行政區別,村里別,宋楚瑜/徐欣瑩,朱立倫/王如玄,蔡英文/陳建仁,有效票數A,無效票數B,投票數C,已領未投票數D,發出票數E,用餘票數F,選舉人數G,投票率H
總計,,85536,242582,570594,898712,11190,909902,0,909902,468438,1378340,66.01
屏東市,,23016,70956,127496,221468,2738,224206,0,224206,105870,330076,67.93
,維新里,328,946,2310,3584,48,3632,0,3632,1750,5382,67.48
,橋南里,206,594,1132,1932,22,1954,0,1954,1036,2990,65.35
,橋北里,110,382,730,1222,24,1246,0,1246,478,1724,72.27
,長春里,250,894,1402,2546,32,2578,0,2578,1284,3862,66.75
,豐榮里,308,1174,2060,3542,42,3584,0,3584,1322,4906,73.05
,豐源里,512,1760,2634,4906,46,4952,0,4952,2190,7142,69.34
,豐田里,520,1840,3048,5408,64,5472,0,5472,2378,7850,69.71
,大連里,1386,4818,6518,12722,162,12884,0,12884,5460,18344,70.24
,湖西里,130,346,1630,2106,24,2130,0,2130,858,2988,71.29
,湖南里,114,234,1086,1434,14,1448,0,1448,588,2036,71.12
,歸心里,98,256,1190,1544,30,1574,0,1574,612,2186,72.0
,瑞光里,998,3044,5054,9096,128,9224,0,9224,4664,13888,66.42
,新生里,746,1994,4316,7056,100,7156,0,7156,3378,10534,67.93
,頂宅里,46,108,600,754,4,758,0,758,256,1014,74.75
,厚生里,388,706,2638,3732,42,3774,0,3774,1802,5576,67.68
,擇仁里,96,276,782,1154,2,1156,0,1156,592,1748,66.13
,建國里,154,384,730,1268,6,1274,0,1274,560,1834,69.47
,一心里,170,614,822,1606,32,1638,0,1638,688,2326,70.42
,萬年里,96,208,648,952,16,968,0,968,442,1410,68.65
,義勇里,180,690,648,1518,14,1532,0,1532,622,2154,71.12
,光華里,102,228,604,934,10,944,0,944,500,1444,65.37
,永安里,892,2542,5564,8998,110,9108,0,9108,4740,13848,65.77
,新興里,400,750,2266,3416,40,3456,0,3456,1592,5048,68.46
,公館里,168,468,1460,2096,42,2138,0,2138,754,2892,73.93
,龍華里,254,690,2070,3014,42,3056,0,3056,1438,4494,68.0
,玉成里,110,354,1618,2082,32,2114,0,2114,750,2864,73.81
,頂柳里,126,346,1024,1496,28,1524,0,1524,568,2092,72.85
,大湖里,176,492,1628,2296,28,2324,0,2324,1092,3416,68.03
,安鎮里,200,582,1858,2640,24,2664,0,2664,1230,3894,68.41
,永光里,106,366,906,1378,30,1408,0,1408,662,2070,68.02
,大洲里,108,254,1298,1660,24,1684,0,1684,662,2346,71.78
,大武里,1068,3296,6126,10490,170,10660,0,10660,5108,15768,67.61
,前進里,354,946,2690,3990,32,4022,0,4022,1744,5766,69.75
,清溪里,648,1548,2854,5050,30,5080,0,5080,2404,7484,67.88
,長安里,242,578,1770,2590,30,2620,0,2620,1232,3852,68.02
,斯文里,238,836,1324,2398,44,2442,0,2442,1002,3444,70.91
,華山里,688,2506,3258,6452,62,6514,0,6514,2980,9494,68.61
,太平里,92,348,558,998,6,1004,0,1004,418,1422,70.6
,中正里,626,2288,3118,6032,70,6102,0,6102,2774,8876,68.75
,勝利里,652,2262,3062,5976,50,6026,0,6026,4196,10222,58.95
,永城里,276,886,1300,2462,30,2492,0,2492,1510,4002,62.27
,溝美里,316,1016,1692,3024,52,3076,0,3076,1638,4714,65.25
,北勢里,272,984,1982,3238,64,3302,0,3302,1376,4678,70.59
,北興里,872,2636,4076,7584,80,7664,0,7664,3828,11492,66.69
,仁愛里,316,948,1722,2986,32,3018,0,3018,1322,4340,69.54
,廣興里,312,852,1588,2752,28,2780,0,2780,1232,4012,69.29
,崇蘭里,1850,5718,6788,14356,170,14526,0,14526,7164,21690,66.97
,空翔里,260,1334,674,2268,30,2298,0,2298,922,3220,71.37
,潭墘里,1836,5608,5932,13376,124,13500,0,13500,7836,21336,63.27
,三山里,132,430,1246,1808,22,1830,0,1830,792,2622,69.79
,海豐里,62,244,960,1266,16,1282,0,1282,434,1716,74.71
,仁義里,98,326,1018,1442,8,1450,0,1450,758,2208,65.67
,和興里,84,238,998,1320,24,1344,0,1344,574,1918,70.07
,信和里,128,372,1652,2152,22,2174,0,2174,856,3030,71.75
,崇武里,540,2118,904,3562,46,3608,0,3608,1858,5466,66.01
,光榮里、民權里,188,532,1140,1860,32,1892,0,1892,736,2628,71.99
,文明里、泰安里,132,494,530,1156,28,1184,0,1184,470,1654,71.58
,武廟里、大同里、端正里,154,366,1114,1634,34,1668,0,1668,708,2376,70.2
,大埔里、必信里,154,398,1224,1776,26,1802,0,1802,782,2584,69.74
,崇智里、崇禮里,60,222,720,1002,10,1012,0,1012,382,1394,72.6
,安樂里、平和里,166,354,1072,1592,22,1614,0,1614,698,2312,69.81
,楠樹里、扶風里、慶春里,168,462,1300,1930,16,1946,0,1946,736,2682,72.56
,金泉里、勝豐里,108,336,1032,1476,18,1494,0,1494,604,2098,71.21
,凌雲里、鵬程里,136,274,438,848,14,862,0,862,580,1442,59.78
,永順里、永昌里,92,236,390,718,14,732,0,732,358,1090,67.16
,興樂里、明正里,218,624,970,1812,20,1832,0,1832,910,2742,66.81
,總計,23016,70956,127496,221468,2738,224206,0,224206,105870,330076,67.93
潮州鎮,,5356,15140,36592,57088,556,57644,0,57644,31622,89266,64.58
,潮州里,86,246,380,712,6,718,0,718,304,1022,70.25
,同榮里,56,222,590,868,10,878,0,878,344,1222,71.85
,新榮里,128,436,1018,1582,20,1602,0,1602,860,2462,65.07
,新生里,138,376,864,1378,12,1390,0,1390,578,1968,70.63
,光華里,590,1642,3284,5516,64,5580,0,5580,3510,9090,61.39
,彭城里,90,170,916,1176,16,1192,0,1192,524,1716,69.46
,三星里,666,1934,3840,6440,50,6490,0,6490,3626,10116,64.16
,三共里,850,2276,4798,7924,76,8000,0,8000,4392,12392,64.56
,三和里,250,772,1598,2620,40,2660,0,2660,1266,3926,67.75
,五魁里,144,414,1166,1724,8,1732,0,1732,980,2712,63.86
,蓬萊里,260,626,2006,2892,34,2926,0,2926,1426,4352,67.23
,八爺里,204,776,1800,2780,18,2798,0,2798,1556,4354,64.26
,永春里,886,2302,5098,8286,62,8348,0,8348,4838,13186,63.31
,富春里,154,502,892,1548,16,1564,0,1564,838,2402,65.11
,光春里,122,444,1188,1754,18,1772,0,1772,878,2650,66.87
,興美里,88,222,740,1050,10,1060,0,1060,688,1748,60.64
,檨子里,30,156,356,542,2,544,0,544,394,938,58.0
,九塊里,134,298,1530,1962,18,1980,0,1980,1284,3264,60.66
,泗林里,176,470,1480,2126,18,2144,0,2144,1024,3168,67.68
,四春里,152,454,1686,2292,34,2326,0,2326,1216,3542,65.67
,崙東里,152,402,1362,1916,24,1940,0,1940,1096,3036,63.9
,總計,5356,15140,36592,57088,556,57644,0,57644,31622,89266,64.58
東港鎮,,4636,10500,34940,50076,578,50654,0,50654,24664,75318,67.25
,新勝里,254,650,2004,2908,22,2930,0,2930,1150,4080,71.81
,頂新里,46,186,490,722,12,734,0,734,318,1052,69.77
,頂中里,38,130,420,588,16,604,0,604,226,830,72.77
,東和里,96,192,574,862,10,872,0,872,406,1278,68.23
,興台里,92,144,490,726,6,732,0,732,282,1014,72.19
,中興里,124,218,566,908,8,916,0,916,446,1362,67.25
,朝安里,184,496,1582,2262,22,2284,0,2284,1080,3364,67.9
,八德里,86,238,746,1070,16,1086,0,1086,464,1550,70.06
,東隆里,174,348,1070,1592,24,1616,0,1616,824,2440,66.23
,豐漁里,84,174,644,902,12,914,0,914,312,1226,74.55
,盛漁里,120,300,1310,1730,20,1750,0,1750,898,2648,66.09
,興漁里,204,414,1830,2448,38,2486,0,2486,1232,3718,66.86
,鎮海里,294,578,2754,3626,54,3680,0,3680,1730,5410,68.02
,嘉蓮里,192,438,1630,2260,30,2290,0,2290,1130,3420,66.96
,南平里,218,540,1376,2134,32,2166,0,2166,1098,3264,66.36
,船頭里,672,1372,4416,6460,54,6514,0,6514,3538,10052,64.8
,下廍里,176,380,1976,2532,40,2572,0,2572,1222,3794,67.79
,大潭里,118,462,1398,1978,24,2002,0,2002,1062,3064,65.34
,興東里,1094,2268,7008,10370,90,10460,0,10460,5378,15838,66.04
,興農里,170,338,1182,1690,28,1718,0,1718,760,2478,69.33
,興和里,58,192,1144,1394,18,1412,0,1412,642,2054,68.74
,共和里,120,322,252,694,2,696,0,696,348,1044,66.67
,大鵬里,22,120,78,220,0,220,0,220,118,338,65.09
,總計,4636,10500,34940,50076,578,50654,0,50654,24664,75318,67.25
恆春鎮,,2938,7324,16126,26388,392,26780,0,26780,22002,48782,54.9
