行政區別,村里別,宋楚瑜/徐欣瑩,朱立倫/王如玄,蔡英文/陳建仁,有效票數A,無效票數B,投票數C,已領未投票數D,發出票數E,用餘票數F,選舉人數G,投票率H
總計,,197614,386234,757472,1341320,21842,1363162,0,1363162,682762,2045924,66.63
彰化市,,40638,74282,135388,250308,3512,253820,0,253820,112160,365980,69.35
,文化里,194,646,980,1820,38,1858,0,1858,812,2670,69.59
,下廍里,984,2086,3518,6588,66,6654,0,6654,2784,9438,70.5
,興北里,354,660,1144,2158,18,2176,0,2176,1040,3216,67.66
,信義里,138,364,670,1172,16,1188,0,1188,486,1674,70.97
,民生里,306,602,1034,1942,10,1952,0,1952,808,2760,70.72
,陽明里,334,744,1334,2412,40,2452,0,2452,958,3410,71.91
,萬安里,776,1762,2900,5438,48,5486,0,5486,2218,7704,71.21
,新興里,1046,2080,3784,6910,110,7020,0,7020,2870,9890,70.98
,新華里,350,736,1226,2312,38,2350,0,2350,970,3320,70.78
,龍山里,378,804,1242,2424,26,2450,0,2450,1148,3598,68.09
,中山里,136,416,504,1056,14,1070,0,1070,490,1560,68.59
,中正里,298,560,1034,1892,30,1922,0,1922,922,2844,67.58
,永福里,168,370,718,1256,20,1276,0,1276,516,1792,71.21
,光復里,104,250,626,980,12,992,0,992,384,1376,72.09
,光華里,160,308,594,1062,10,1072,0,1072,412,1484,72.24
,萬壽里,172,282,842,1296,26,1322,0,1322,494,1816,72.8
,中央里,164,342,674,1180,16,1196,0,1196,396,1592,75.13
,富貴里,206,344,726,1276,16,1292,0,1292,504,1796,71.94
,民權里,242,460,876,1578,32,1610,0,1610,684,2294,70.18
,西興里,798,1252,2338,4388,74,4462,0,4462,1944,6406,69.65
,西勢里,748,1516,2386,4650,66,4716,0,4716,2142,6858,68.77
,忠孝里,256,540,928,1724,34,1758,0,1758,666,2424,72.52
,忠權里,652,1394,2120,4166,62,4228,0,4228,1970,6198,68.22
,五權里,820,1552,2804,5176,68,5244,0,5244,2656,7900,66.38
,長樂里,194,394,900,1488,18,1506,0,1506,516,2022,74.48
,東芳里,752,1226,2504,4482,68,4550,0,4550,2066,6616,68.77
,南安里,512,708,1558,2778,36,2814,0,2814,1300,4114,68.4
,南美里,370,586,1306,2262,52,2314,0,2314,1012,3326,69.57
,莿桐里,684,1216,2114,4014,50,4064,0,4064,1844,5908,68.79
,磚磘里,802,1196,2318,4316,52,4368,0,4368,1914,6282,69.53
,平和里,966,1538,3012,5516,50,5566,0,5566,2568,8134,68.43
,桃源里,520,1080,1688,3288,50,3338,0,3338,1762,5100,65.45
,卦山里,578,1218,1514,3310,46,3356,0,3356,1446,4802,69.89
,東興里,286,674,1160,2120,26,2146,0,2146,878,3024,70.97
,大同里,206,456,748,1410,18,1428,0,1428,600,2028,70.41
,永生里,286,548,956,1790,32,1822,0,1822,702,2524,72.19
,華陽里,348,914,1098,2360,36,2396,0,2396,1218,3614,66.3
,華北里,274,594,1106,1974,24,1998,0,1998,970,2968,67.32
,南瑤里,1528,2890,5624,10042,128,10170,0,10170,4266,14436,70.45
,成功里,310,632,1122,2064,18,2082,0,2082,774,2856,72.9
,延和里,1038,1844,3460,6342,102,6444,0,6444,2750,9194,70.09
,南興里,1504,2486,4826,8816,90,8906,0,8906,4132,13038,68.31
,西安里,594,1116,2172,3882,60,3942,0,3942,1792,5734,68.75
,彰安里,632,1146,2282,4060,48,4108,0,4108,1710,5818,70.61
,光南里,266,602,1088,1956,22,1978,0,1978,820,2798,70.69
,介壽里,558,1240,1156,2954,46,3000,0,3000,2080,5080,59.06
,延平里,1844,3282,5716,10842,136,10978,0,10978,4966,15944,68.85
,建寶里,456,1260,1486,3202,48,3250,0,3250,1200,4450,73.03
,福安里,214,424,784,1422,26,1448,0,1448,570,2018,71.75
,大竹里,682,1172,2302,4156,74,4230,0,4230,1770,6000,70.5
,竹中里,398,654,1228,2280,34,2314,0,2314,1020,3334,69.41
,安溪里,440,636,1386,2462,24,2486,0,2486,1102,3588,69.29
,香山里,662,1026,2348,4036,74,4110,0,4110,1988,6098,67.4
,牛埔里,550,1006,2470,4026,70,4096,0,4096,1534,5630,72.75
,福山里,1496,2396,5156,9048,118,9166,0,9166,4144,13310,68.87
,中庄里,448,898,1972,3318,40,3358,0,3358,1464,4822,69.64
,三村里,300,356,946,1602,28,1630,0,1630,610,2240,72.77
,國聖里,580,782,1928,3290,60,3350,0,3350,1366,4716,71.03
,寶廍里,272,436,824,1532,24,1556,0,1556,694,2250,69.16
,茄苳里,262,328,702,1292,22,1314,0,1314,476,1790,73.41
,茄南里,574,1054,2034,3662,40,3702,0,3702,1606,5308,69.74
,阿夷里,1902,3058,5280,10240,150,10390,0,10390,4722,15112,68.75
,古夷里,476,850,1744,3070,68,3138,0,3138,1492,4630,67.78
,復興里,878,1662,3006,5546,76,5622,0,5622,2502,8124,69.2
,和調里,568,1058,1900,3526,56,3582,0,3582,1512,5094,70.32
,石牌里,242,438,890,1570,30,1600,0,1600,710,2310,69.26
,福田里,322,414,1050,1786,38,1824,0,1824,716,2540,71.81
,竹巷里,150,278,666,1094,6,1100,0,1100,514,1614,68.15
,田中里,200,354,748,1302,36,1338,0,1338,382,1720,77.79
,快官里,186,442,792,1420,16,1436,0,1436,702,2138,67.17
,台鳳里,1228,1628,2616,5472,60,5532,0,5532,2874,8406,65.81
,崙平里,1056,2056,3638,6750,94,6844,0,6844,3262,10106,67.72
,向陽里,1260,1960,3062,6282,102,6384,0,6384,2868,9252,69.0
,總計,40638,74282,135388,250308,3512,253820,0,253820,112160,365980,69.35
鹿港鎮,,12736,24050,54750,91536,1796,93332,0,93332,40436,133768,69.77
,大有里,192,358,986,1536,16,1552,0,1552,690,2242,69.22
,中興里,86,150,448,684,2,686,0,686,296,982,69.86
,洛津里,146,264,698,1108,22,1130,0,1130,556,1686,67.02
,順興里,192,342,698,1232,10,1242,0,1242,572,1814,68.47
,頂厝里,1404,2272,5884,9560,168,9728,0,9728,4340,14068,69.15
,東崎里,966,1678,3684,6328,136,6464,0,6464,3076,9540,67.76
,埔崙里,792,1412,4140,6344,134,6478,0,6478,2666,9144,70.84
,東石里,694,1116,3680,5490,84,5574,0,5574,2460,8034,69.38
,郭厝里,78,174,474,726,22,748,0,748,328,1076,69.52
,新宮里,100,276,932,1308,36,1344,0,1344,454,1798,74.75
,玉順里,218,352,1088,1658,28,1686,0,1686,654,2340,72.05
,景福里,214,462,854,1530,34,1564,0,1564,654,2218,70.51
,泰興里,228,514,996,1738,28,1766,0,1766,584,2350,75.15
,長興里,52,116,192,360,14,374,0,374,164,538,69.52
,龍山里,102,250,608,960,16,976,0,976,352,1328,73.49
,興化里,78,226,468,772,14,786,0,786,340,1126,69.8
,菜園里,118,266,1022,1406,12,1418,0,1418,460,1878,75.51
,街尾里,386,738,1828,2952,66,3018,0,3018,1162,4180,72.2
,頂番里,812,1464,2560,4836,100,4936,0,4936,2294,7230,68.27
,頭崙里,462,1004,1770,3236,70,3306,0,3306,1560,4866,67.94
