縣市,行政區別,鄰里,區域別代碼,總統候選人1,總統候選人1_得票數,總統候選人2,總統候選人2_得票數,總統候選人3,總統候選人3_得票數,總統候選人有效票數A,總統候選人無效票數B,總統候選人投票數C,總統候選人選舉人數G,合一行動聯盟,一邊一國行動黨,勞動黨,綠黨,宗教聯盟,民主進步黨,台灣民眾黨,台灣維新,台澎黨,國會政黨聯盟,台灣團結聯盟,中華統一促進黨,親民黨,安定力量,台灣基進,時代力量,新黨,喜樂島聯盟,中國國民黨,不分區政黨有效票數A,區域立委候選人1＿黨籍,區域立委候選人1_得票數,區域立委候選人2＿候選人名稱,區域立委候選人2＿黨籍,區域立委候選人2_得票數,區域立委候選人3＿候選人名稱,區域立委候選人3＿黨籍,區域立委候選人3_得票數,區域立委候選人4＿候選人名稱,區域立委候選人4＿黨籍,區域立委候選人4_得票數,區域立委候選人5＿候選人名稱,區域立委候選人5＿黨籍,區域立委候選人5_得票數,區域立委候選人6＿候選人名稱,區域立委候選人6＿黨籍,區域立委候選人6_得票數,平原立委候選人1＿黨籍,平原立委候選人1_得票數,平原立委候選人2＿候選人名稱,平原立委候選人2＿黨籍,平原立委候選人2_得票數,平原立委候選人3＿候選人名稱,平原立委候選人3＿黨籍,平原立委候選人3_得票數,平原立委候選人4＿候選人名稱,平原立委候選人4＿黨籍,平原立委候選人4_得票數,平原立委候選人5＿候選人名稱,平原立委候選人5＿黨籍,平原立委候選人5_得票數,平原立委候選人6＿候選人名稱,平原立委候選人6＿黨籍,平原立委候選人6_得票數,平原立委候選人7＿候選人名稱,平原立委候選人7＿黨籍,平原立委候選人7_得票數,平原立委候選人8＿候選人名稱,平原立委候選人8＿黨籍,平原立委候選人8_得票數,平原立委候選人9＿候選人名稱,平原立委候選人9＿黨籍,平原立委候選人9_得票數,平原立委候選人10＿候選人名稱,平原立委候選人10＿黨籍,平原立委候選人10_得票數,山原立委候選人1＿黨籍,山原立委候選人1_得票數,山原立委候選人2＿候選人名稱,山原立委候選人2＿黨籍,山原立委候選人2_得票數,山原立委候選人3＿候選人名稱,山原立委候選人3＿黨籍,山原立委候選人3_得票數,山原立委候選人4＿候選人名稱,山原立委候選人4＿黨籍,山原立委候選人4_得票數,山原立委候選人5＿候選人名稱,山原立委候選人5＿黨籍,山原立委候選人5_得票數,山原立委候選人6＿候選人名稱,山原立委候選人6＿黨籍,山原立委候選人6_得票數,山原立委候選人7＿候選人名稱,山原立委候選人7＿黨籍,山原立委候選人7_得票數,山原立委候選人8＿候選人名稱,山原立委候選人8＿黨籍,山原立委候選人8_得票數,山原立委候選人9＿候選人名稱,山原立委候選人9＿黨籍,山原立委候選人9_得票數,山原立委候選人10＿候選人名稱,山原立委候選人10＿黨籍,山原立委候選人10_得票數,山原立委候選人11＿候選人名稱,山原立委候選人11＿黨籍,山原立委候選人11_得票數
花蓮縣,光復鄉,北富村,10015610363,宋楚瑜/余湘,729,韓國瑜/張善政,12,蔡英文/賴清德,1144,1144,6,1150,1784,6,2,2,8,0,126,32,2,2,0,4,8,24,2,18,40,8,0,820,1104,無黨籍及未經政黨推薦,96,曹純明,無黨籍及未經政黨推薦,0,蕭嘉豪,無黨籍及未經政黨推薦,0,蕭美琴,民主進步黨,60,許願神,無黨籍及未經政黨推薦,0,黃啓嘉,中國國民黨,28,喜樂島聯盟,2,廖國棟Sufin．Siluko,中國國民黨,46,張寶美Ungo．Panay,無黨籍及未經政黨推薦,0,曾美華,無黨籍及未經政黨推薦,0,楊進福,無黨籍及未經政黨推薦,480,達佶祐．卡造Takiyo．Kacaw,無黨籍及未經政黨推薦,6,鄭天財Sra．Kacaw,中國國民黨,228,陳瑩,民主進步黨,102,高潞．以用．巴魕剌Kawlo．Iyun．Pacidal,無黨籍及未經政黨推薦,60,黃仁,中國國民黨,18,無黨籍及未經政黨推薦,0,伍麗華Saidhai．Tahovecahe,民主進步黨,2,孔文吉,中國國民黨,4,張曜羣Lawpaw Buya,無黨籍及未經政黨推薦,0,撒卡伊,無黨籍及未經政黨推薦,0,林信義,無黨籍及未經政黨推薦,0,林曉婷,無黨籍及未經政黨推薦,0,章正輝Lemaljiz．Kusaza,中國國民黨,0,錢宥均,無黨籍及未經政黨推薦,0,高畹芯,喜樂島聯盟,0,高金素梅,無黨籍及未經政黨推薦,6
花蓮縣,光復鄉,南富村,10015616059,宋楚瑜/余湘,726,韓國瑜/張善政,12,蔡英文/賴清德,1068,1068,2,1070,1664,10,4,0,14,2,134,30,10,0,2,6,8,26,8,32,22,2,0,732,1042,無黨籍及未經政黨推薦,42,曹純明,無黨籍及未經政黨推薦,0,蕭嘉豪,無黨籍及未經政黨推薦,0,蕭美琴,民主進步黨,68,許願神,無黨籍及未經政黨推薦,0,黃啓嘉,中國國民黨,16,喜樂島聯盟,6,廖國棟Sufin．Siluko,中國國民黨,34,張寶美Ungo．Panay,無黨籍及未經政黨推薦,0,曾美華,無黨籍及未經政黨推薦,0,楊進福,無黨籍及未經政黨推薦,288,達佶祐．卡造Takiyo．Kacaw,無黨籍及未經政黨推薦,2,鄭天財Sra．Kacaw,中國國民黨,354,陳瑩,民主進步黨,118,高潞．以用．巴魕剌Kawlo．Iyun．Pacidal,無黨籍及未經政黨推薦,108,黃仁,中國國民黨,14,無黨籍及未經政黨推薦,0,伍麗華Saidhai．Tahovecahe,民主進步黨,0,孔文吉,中國國民黨,4,張曜羣Lawpaw Buya,無黨籍及未經政黨推薦,0,撒卡伊,無黨籍及未經政黨推薦,0,林信義,無黨籍及未經政黨推薦,0,林曉婷,無黨籍及未經政黨推薦,0,章正輝Lemaljiz．Kusaza,中國國民黨,0,錢宥均,無黨籍及未經政黨推薦,0,高畹芯,喜樂島聯盟,0,高金素梅,無黨籍及未經政黨推薦,6
花蓮縣,光復鄉,大全村,10015612490,宋楚瑜/余湘,1473,韓國瑜/張善政,18,蔡英文/賴清德,934,934,8,942,1490,2,2,2,2,2,210,42,2,0,2,6,8,36,6,6,28,10,2,518,886,無黨籍及未經政黨推薦,316,曹純明,無黨籍及未經政黨推薦,0,蕭嘉豪,無黨籍及未經政黨推薦,2,蕭美琴,民主進步黨,242,許願神,無黨籍及未經政黨推薦,2,黃啓嘉,中國國民黨,100,喜樂島聯盟,4,廖國棟Sufin．Siluko,中國國民黨,2,張寶美Ungo．Panay,無黨籍及未經政黨推薦,0,曾美華,無黨籍及未經政黨推薦,0,楊進福,無黨籍及未經政黨推薦,24,達佶祐．卡造Takiyo．Kacaw,無黨籍及未經政黨推薦,2,鄭天財Sra．Kacaw,中國國民黨,178,陳瑩,民主進步黨,36,高潞．以用．巴魕剌Kawlo．Iyun．Pacidal,無黨籍及未經政黨推薦,14,黃仁,中國國民黨,4,無黨籍及未經政黨推薦,0,伍麗華Saidhai．Tahovecahe,民主進步黨,0,孔文吉,中國國民黨,0,張曜羣Lawpaw Buya,無黨籍及未經政黨推薦,0,撒卡伊,無黨籍及未經政黨推薦,0,林信義,無黨籍及未經政黨推薦,0,林曉婷,無黨籍及未經政黨推薦,0,章正輝Lemaljiz．Kusaza,中國國民黨,0,錢宥均,無黨籍及未經政黨推薦,0,高畹芯,喜樂島聯盟,0,高金素梅,無黨籍及未經政黨推薦,0
花蓮縣,光復鄉,大同村,10015619754,宋楚瑜/余湘,711,韓國瑜/張善政,12,蔡英文/賴清德,1292,1292,16,1308,1998,2,4,2,12,6,244,78,4,2,2,0,16,52,4,18,62,20,2,724,1254,無黨籍及未經政黨推薦,342,曹純明,無黨籍及未經政黨推薦,2,蕭嘉豪,無黨籍及未經政黨推薦,2,蕭美琴,民主進步黨,304,許願神,無黨籍及未經政黨推薦,4,黃啓嘉,中國國民黨,146,喜樂島聯盟,4,廖國棟Sufin．Siluko,中國國民黨,34,張寶美Ungo．Panay,無黨籍及未經政黨推薦,2,曾美華,無黨籍及未經政黨推薦,0,楊進福,無黨籍及未經政黨推薦,88,達佶祐．卡造Takiyo．Kacaw,無黨籍及未經政黨推薦,0,鄭天財Sra．Kacaw,中國國民黨,208,陳瑩,民主進步黨,40,高潞．以用．巴魕剌Kawlo．Iyun．Pacidal,無黨籍及未經政黨推薦,78,黃仁,中國國民黨,30,無黨籍及未經政黨推薦,0,伍麗華Saidhai．Tahovecahe,民主進步黨,0,孔文吉,中國國民黨,2,張曜羣Lawpaw Buya,無黨籍及未經政黨推薦,0,撒卡伊,無黨籍及未經政黨推薦,0,林信義,無黨籍及未經政黨推薦,0,林曉婷,無黨籍及未經政黨推薦,0,章正輝Lemaljiz．Kusaza,中國國民黨,2,錢宥均,無黨籍及未經政黨推薦,2,高畹芯,喜樂島聯盟,0,高金素梅,無黨籍及未經政黨推薦,4
花蓮縣,光復鄉,大安村,10015618083,宋楚瑜/余湘,702,韓國瑜/張善政,12,蔡英文/賴清德,1178,1178,0,1178,1648,0,0,0,20,0,262,74,0,0,0,8,4,50,4,20,66,8,4,622,1142,無黨籍及未經政黨推薦,482,曹純明,無黨籍及未經政黨推薦,2,蕭嘉豪,無黨籍及未經政黨推薦,6,蕭美琴,民主進步黨,416,許願神,無黨籍及未經政黨推薦,0,黃啓嘉,中國國民黨,178,喜樂島聯盟,4,廖國棟Sufin．Siluko,中國國民黨,6,張寶美Ungo．Panay,無黨籍及未經政黨推薦,0,曾美華,無黨籍及未經政黨推薦,0,楊進福,無黨籍及未經政黨推薦,6,達佶祐．卡造Takiyo．Kacaw,無黨籍及未經政黨推薦,0,鄭天財Sra．Kacaw,中國國民黨,30,陳瑩,民主進步黨,12,高潞．以用．巴魕剌Kawlo．Iyun．Pacidal,無黨籍及未經政黨推薦,8,黃仁,中國國民黨,10,無黨籍及未經政黨推薦,0,伍麗華Saidhai．Tahovecahe,民主進步黨,0,孔文吉,中國國民黨,2,張曜羣Lawpaw Buya,無黨籍及未經政黨推薦,0,撒卡伊,無黨籍及未經政黨推薦,0,林信義,無黨籍及未經政黨推薦,0,林曉婷,無黨籍及未經政黨推薦,0,章正輝Lemaljiz．Kusaza,中國國民黨,0,錢宥均,無黨籍及未經政黨推薦,0,高畹芯,喜樂島聯盟,0,高金素梅,無黨籍及未經政黨推薦,8
花蓮縣,光復鄉,大富村,10015618132,宋楚瑜/余湘,744,韓國瑜/張善政,12,蔡英文/賴清德,376,376,0,376,618,2,2,0,4,2,100,30,0,0,2,4,4,18,4,2,10,6,2,168,360,無黨籍及未經政黨推薦,112,曹純明,無黨籍及未經政黨推薦,0,蕭嘉豪,無黨籍及未經政黨推薦,0,蕭美琴,民主進步黨,110,許願神,無黨籍及未經政黨推薦,4,黃啓嘉,中國國民黨,110,喜樂島聯盟,0,廖國棟Sufin．Siluko,中國國民黨,2,張寶美Ungo．Panay,無黨籍及未經政黨推薦,0,曾美華,無黨籍及未經政黨推薦,0,楊進福,無黨籍及未經政黨推薦,6,達佶祐．卡造Takiyo．Kacaw,無黨籍及未經政黨推薦,0,鄭天財Sra．Kacaw,中國國民黨,8,陳瑩,民主進步黨,14,高潞．以用．巴魕剌Kawlo．Iyun．Pacidal,無黨籍及未經政黨推薦,0,黃仁,中國國民黨,0,無黨籍及未經政黨推薦,0,伍麗華Saidhai．Tahovecahe,民主進步黨,2,孔文吉,中國國民黨,0,張曜羣Lawpaw Buya,無黨籍及未經政黨推薦,0,撒卡伊,無黨籍及未經政黨推薦,0,林信義,無黨籍及未經政黨推薦,0,林曉婷,無黨籍及未經政黨推薦,0,章正輝Lemaljiz．Kusaza,中國國民黨,0,錢宥均,無黨籍及未經政黨推薦,0,高畹芯,喜樂島聯盟,0,高金素梅,無黨籍及未經政黨推薦,0
花蓮縣,光復鄉,大平村,10015618333,宋楚瑜/余湘,705,韓國瑜/張善政,12,蔡英文/賴清德,1168,1168,12,1180,1840,8,0,8,8,4,184,52,0,0,2,8,6,18,18,4,50,12,8,758,1148,無黨籍及未經政黨推薦,146,曹純明,無黨籍及未經政黨推薦,0,蕭嘉豪,無黨籍及未經政黨推薦,0,蕭美琴,民主進步黨,140,許願神,無黨籍及未經政黨推薦,0,黃啓嘉,中國國民黨,50,喜樂島聯盟,2,廖國棟Sufin．Siluko,中國國民黨,50,張寶美Ungo．Panay,無黨籍及未經政黨推薦,0,曾美華,無黨籍及未經政黨推薦,2,楊進福,無黨籍及未經政黨推薦,76,達佶祐．卡造Takiyo．Kacaw,無黨籍及未經政黨推薦,0,鄭天財Sra．Kacaw,中國國民黨,480,陳瑩,民主進步黨,58,高潞．以用．巴魕剌Kawlo．Iyun．Pacidal,無黨籍及未經政黨推薦,134,黃仁,中國國民黨,10,無黨籍及未經政黨推薦,6,伍麗華Saidhai．Tahovecahe,民主進步黨,4,孔文吉,中國國民黨,0,張曜羣Lawpaw Buya,無黨籍及未經政黨推薦,0,撒卡伊,無黨籍及未經政黨推薦,0,林信義,無黨籍及未經政黨推薦,0,林曉婷,無黨籍及未經政黨推薦,0,章正輝Lemaljiz．Kusaza,中國國民黨,0,錢宥均,無黨籍及未經政黨推薦,0,高畹芯,喜樂島聯盟,0,高金素梅,無黨籍及未經政黨推薦,4
花蓮縣,光復鄉,大興村,10015614035,宋楚瑜/余湘,741,韓國瑜/張善政,12,蔡英文/賴清德,534,534,4,538,916,8,0,2,8,2,62,18,0,0,0,0,6,16,4,10,20,6,0,362,524,無黨籍及未經政黨推薦,164,曹純明,無黨籍及未經政黨推薦,0,蕭嘉豪,無黨籍及未經政黨推薦,0,蕭美琴,民主進步黨,102,許願神,無黨籍及未經政黨推薦,0,黃啓嘉,中國國民黨,38,喜樂島聯盟,2,廖國棟Sufin．Siluko,中國國民黨,16,張寶美Ungo．Panay,無黨籍及未經政黨推薦,2,曾美華,無黨籍及未經政黨推薦,0,楊進福,無黨籍及未經政黨推薦,60,達佶祐．卡造Takiyo．Kacaw,無黨籍及未經政黨推薦,0,鄭天財Sra．Kacaw,中國國民黨,104,陳瑩,民主進步黨,30,高潞．以用．巴魕剌Kawlo．Iyun．Pacidal,無黨籍及未經政黨推薦,2,黃仁,中國國民黨,2,無黨籍及未經政黨推薦,2,伍麗華Saidhai．Tahovecahe,民主進步黨,0,孔文吉,中國國民黨,0,張曜羣Lawpaw Buya,無黨籍及未經政黨推薦,0,撒卡伊,無黨籍及未經政黨推薦,0,林信義,無黨籍及未經政黨推薦,0,林曉婷,無黨籍及未經政黨推薦,0,章正輝Lemaljiz．Kusaza,中國國民黨,2,錢宥均,無黨籍及未經政黨推薦,0,高畹芯,喜樂島聯盟,0,高金素梅,無黨籍及未經政黨推薦,4
花蓮縣,光復鄉,大華村,10015611653,宋楚瑜/余湘,699,韓國瑜/張善政,12,蔡英文/賴清德,1672,1672,24,1696,2506,2,8,6,30,4,444,110,4,2,4,12,12,44,12,30,66,4,2,836,1632,無黨籍及未經政黨推薦,488,曹純明,無黨籍及未經政黨推薦,0,蕭嘉豪,無黨籍及未經政黨推薦,2,蕭美琴,民主進步黨,524,許願神,無黨籍及未經政黨推薦,6,黃啓嘉,中國國民黨,220,喜樂島聯盟,2,廖國棟Sufin．Siluko,中國國民黨,44,張寶美Ungo．Panay,無黨籍及未經政黨推薦,0,曾美華,無黨籍及未經政黨推薦,0,楊進福,無黨籍及未經政黨推薦,52,達佶祐．卡造Takiyo．Kacaw,無黨籍及未經政黨推薦,0,鄭天財Sra．Kacaw,中國國民黨,212,陳瑩,民主進步黨,42,高潞．以用．巴魕剌Kawlo．Iyun．Pacidal,無黨籍及未經政黨推薦,58,黃仁,中國國民黨,4,無黨籍及未經政黨推薦,0,伍麗華Saidhai．Tahovecahe,民主進步黨,2,孔文吉,中國國民黨,4,張曜羣Lawpaw Buya,無黨籍及未經政黨推薦,0,撒卡伊,無黨籍及未經政黨推薦,0,林信義,無黨籍及未經政黨推薦,0,林曉婷,無黨籍及未經政黨推薦,0,章正輝Lemaljiz．Kusaza,中國國民黨,4,錢宥均,無黨籍及未經政黨推薦,0,高畹芯,喜樂島聯盟,0,高金素梅,無黨籍及未經政黨推薦,4
花蓮縣,光復鄉,大豐村,10015611224,宋楚瑜/余湘,747,韓國瑜/張善政,12,蔡英文/賴清德,502,502,4,506,878,0,10,2,2,0,126,18,0,2,0,6,2,14,4,6,28,6,6,260,492,無黨籍及未經政黨推薦,240,曹純明,無黨籍及未經政黨推薦,0,蕭嘉豪,無黨籍及未經政黨推薦,0,蕭美琴,民主進步黨,164,許願神,無黨籍及未經政黨推薦,0,黃啓嘉,中國國民黨,58,喜樂島聯盟,0,廖國棟Sufin．Siluko,中國國民黨,8,張寶美Ungo．Panay,無黨籍及未經政黨推薦,0,曾美華,無黨籍及未經政黨推薦,2,楊進福,無黨籍及未經政黨推薦,0,達佶祐．卡造Takiyo．Kacaw,無黨籍及未經政黨推薦,0,鄭天財Sra．Kacaw,中國國民黨,8,陳瑩,民主進步黨,4,高潞．以用．巴魕剌Kawlo．Iyun．Pacidal,無黨籍及未經政黨推薦,4,黃仁,中國國民黨,2,無黨籍及未經政黨推薦,0,伍麗華Saidhai．Tahovecahe,民主進步黨,0,孔文吉,中國國民黨,2,張曜羣Lawpaw Buya,無黨籍及未經政黨推薦,0,撒卡伊,無黨籍及未經政黨推薦,0,林信義,無黨籍及未經政黨推薦,0,林曉婷,無黨籍及未經政黨推薦,0,章正輝Lemaljiz．Kusaza,中國國民黨,0,錢宥均,無黨籍及未經政黨推薦,0,高畹芯,喜樂島聯盟,0,高金素梅,無黨籍及未經政黨推薦,10
