行政區別,村里別,宋楚瑜/徐欣瑩,朱立倫/王如玄,蔡英文/陳建仁,有效票數A,無效票數B,投票數C,已領未投票數D,發出票數E,用餘票數F,選舉人數G,投票率H
,豐谷里,1034,2278,1944,5256,72,5328,0,5328,4208,9536,55.87
,豐里里,380,922,1354,2656,30,2686,0,2686,1794,4480,59.96
,豐原里,166,388,796,1350,16,1366,0,1366,992,2358,57.93
,建和里,352,662,640,1654,18,1672,0,1672,1090,2762,60.54
,建興里,190,364,588,1142,14,1156,0,1156,698,1854,62.35
,建業里,294,578,564,1436,14,1450,0,1450,990,2440,59.43
,知本里,330,524,614,1468,20,1488,0,1488,1038,2526,58.91
,建農里,504,858,548,1910,26,1936,0,1936,1806,3742,51.74
,總計,16152,40380,41622,98154,1110,99264,0,99264,68080,167344,59.32
成功鎮,,2246,5964,3508,11718,112,11830,0,11830,12970,24800,47.7
,博愛里,88,382,114,584,4,588,0,588,724,1312,44.82
,忠孝里,158,380,288,826,8,834,0,834,1180,2014,41.41
,三仙里,268,610,350,1228,10,1238,0,1238,1554,2792,44.34
,三民里,540,1304,630,2474,30,2504,0,2504,2782,5286,47.37
,忠智里,358,1018,706,2082,20,2102,0,2102,1554,3656,57.49
,忠仁里,404,966,864,2234,8,2242,0,2242,2184,4426,50.66
,和平里,84,398,188,670,6,676,0,676,898,1574,42.95
,信義里,346,906,368,1620,26,1646,0,1646,2094,3740,44.01
,總計,2246,5964,3508,11718,112,11830,0,11830,12970,24800,47.7
關山鎮,,1154,3538,2946,7638,88,7726,0,7726,6730,14456,53.44
,德高里,278,782,606,1666,8,1674,0,1674,1526,3200,52.31
,豐泉里,186,578,414,1178,12,1190,0,1190,950,2140,55.61
,新福里,136,378,356,870,18,888,0,888,806,1694,52.42
,中福里,104,418,470,992,20,1012,0,1012,600,1612,62.78
,里里,264,826,624,1714,18,1732,0,1732,1554,3286,52.71
,電光里,120,258,156,534,4,538,0,538,560,1098,49.0
,月眉里,66,298,320,684,8,692,0,692,734,1426,48.53
,總計,1154,3538,2946,7638,88,7726,0,7726,6730,14456,53.44
卑南鄉,,2676,6748,7192,16616,220,16836,0,16836,12364,29200,57.66
,嘉豐村,50,162,234,446,10,456,0,456,536,992,45.97
,利吉村,80,214,200,494,2,496,0,496,360,856,57.94
,富山村,76,240,222,538,6,544,0,544,474,1018,53.44
,富源村,38,98,288,424,4,428,0,428,272,700,61.14
,明峰村,194,414,592,1200,8,1208,0,1208,1116,2324,51.98
,初鹿村,236,548,674,1458,24,1482,0,1482,1036,2518,58.86
,美農村,142,260,682,1084,12,1096,0,1096,932,2028,54.04
,賓朗村,344,890,1314,2548,36,2584,0,2584,1706,4290,60.23
,泰安村,326,570,392,1288,10,1298,0,1298,826,2124,61.11
,太平村,514,1470,1268,3252,50,3302,0,3302,2450,5752,57.41
,利嘉村,240,668,300,1208,28,1236,0,1236,814,2050,60.29
,東興村,266,852,204,1322,16,1338,0,1338,934,2272,58.89
,溫泉村,170,362,822,1354,14,1368,0,1368,908,2276,60.11
,總計,2676,6748,7192,16616,220,16836,0,16836,12364,29200,57.66
鹿野鄉,,1106,2812,3342,7260,122,7382,0,7382,6320,13702,53.88
,瑞和村,108,252,236,596,12,608,0,608,660,1268,47.95
,瑞豐村,92,218,670,980,26,1006,0,1006,776,1782,56.45
,瑞源村,204,370,378,952,16,968,0,968,776,1744,55.5
,永安村,268,648,564,1480,22,1502,0,1502,1374,2876,52.23
