行政區別,村里別,1_宋楚瑜/余湘,10-014_1_黨籍,2_韓國瑜/張善政,10-014_2_黨籍,3_蔡英文/賴清德,10-014_3_黨籍,有效票數A,無效票數B,投票數C,已領未投票數D,發出票數E,用餘票數F,選舉人數G,投票率H
臺東市,富岡里,60,親民黨,1132,中國國民黨,580,民主進步黨,1772,38,1810,0,1810,1124,2934,61.69
臺東市,富豐里,38,親民黨,582,中國國民黨,382,民主進步黨,1002,8,1010,0,1010,654,1664,60.7
臺東市,岩灣里,76,親民黨,1620,中國國民黨,1052,民主進步黨,2748,46,2794,0,2794,1464,4258,65.62
臺東市,南王里,108,親民黨,2094,中國國民黨,1422,民主進步黨,3624,36,3660,0,3660,1592,5252,69.69
臺東市,卑南里,162,親民黨,1814,中國國民黨,1992,民主進步黨,3968,34,4002,0,4002,1302,5304,75.45
臺東市,南榮里,132,親民黨,2138,中國國民黨,1238,民主進步黨,3508,26,3534,0,3534,1598,5132,68.86
臺東市,新生里,338,親民黨,4898,中國國民黨,3624,民主進步黨,8860,90,8950,0,8950,3650,12600,71.03
臺東市,民生里,128,親民黨,2236,中國國民黨,2052,民主進步黨,4416,36,4452,0,4452,1576,6028,73.86
臺東市,寶桑里,56,親民黨,564,中國國民黨,530,民主進步黨,1150,10,1160,0,1160,486,1646,70.47
臺東市,馬蘭里,160,親民黨,2120,中國國民黨,1334,民主進步黨,3614,28,3642,0,3642,1310,4952,73.55
臺東市,中心里,150,親民黨,2178,中國國民黨,1814,民主進步黨,4142,36,4178,0,4178,1608,5786,72.21
臺東市,自強里,216,親民黨,3004,中國國民黨,2434,民主進步黨,5654,56,5710,0,5710,2034,7744,73.73
臺東市,民族里,88,親民黨,894,中國國民黨,1022,民主進步黨,2004,18,2022,0,2022,694,2716,74.45
臺東市,四維里,28,親民黨,522,中國國民黨,306,民主進步黨,856,10,866,0,866,432,1298,66.72
臺東市,中華里,84,親民黨,1030,中國國民黨,1068,民主進步黨,2182,18,2200,0,2200,1052,3252,67.65
臺東市,強國里,36,親民黨,398,中國國民黨,438,民主進步黨,872,2,874,0,874,344,1218,71.76
臺東市,建國里,74,親民黨,814,中國國民黨,744,民主進步黨,1632,26,1658,0,1658,832,2490,66.59
臺東市,民權里,48,親民黨,572,中國國民黨,564,民主進步黨,1184,20,1204,0,1204,492,1696,70.99
臺東市,仁愛里,32,親民黨,448,中國國民黨,466,民主進步黨,946,10,956,0,956,432,1388,68.88
臺東市,中正里,26,親民黨,518,中國國民黨,606,民主進步黨,1150,12,1162,0,1162,398,1560,74.49
臺東市,大同里,44,親民黨,520,中國國民黨,446,民主進步黨,1010,20,1030,0,1030,446,1476,69.78
臺東市,成功里,44,親民黨,478,中國國民黨,536,民主進步黨,1058,6,1064,0,1064,420,1484,71.7
臺東市,文化里,34,親民黨,482,中國國民黨,470,民主進步黨,986,6,992,0,992,706,1698,58.42
臺東市,中山里,28,親民黨,532,中國國民黨,552,民主進步黨,1112,8,1120,0,1120,358,1478,75.78
臺東市,復國里,30,親民黨,420,中國國民黨,314,民主進步黨,764,4,768,0,768,384,1152,66.67
臺東市,興國里,40,親民黨,464,中國國民黨,552,民主進步黨,1056,2,1058,0,1058,410,1468,72.07
臺東市,復興里,20,親民黨,296,中國國民黨,248,民主進步黨,564,0,564,0,564,298,862,65.43
臺東市,鐵花里,22,親民黨,224,中國國民黨,334,民主進步黨,580,8,588,0,588,210,798,73.68
臺東市,新園里,66,親民黨,1300,中國國民黨,828,民主進步黨,2194,34,2228,0,2228,904,3132,71.14
臺東市,豐田里,76,親民黨,1190,中國國民黨,1302,民主進步黨,2568,36,2604,0,2604,1318,3922,66.39
臺東市,豐年里,186,親民黨,2194,中國國民黨,1442,民主進步黨,3822,32,3854,0,3854,2036,5890,65.43
臺東市,光明里,146,親民黨,1964,中國國民黨,1342,民主進步黨,3452,32,3484,0,3484,1406,4890,71.25
臺東市,豐樂里,80,親民黨,1028,中國國民黨,852,民主進步黨,1960,22,1982,0,1982,860,2842,69.74
臺東市,永樂里,128,親民黨,1466,中國國民黨,1198,民主進步黨,2792,34,2826,0,2826,1210,4036,70.02
臺東市,康樂里,62,親民黨,852,中國國民黨,836,民主進步黨,1750,24,1774,0,1774,806,2580,68.76
臺東市,東海里,128,親民黨,2056,中國國民黨,1628,民主進步黨,3812,36,3848,0,3848,1494,5342,72.03
臺東市,新興里,52,親民黨,676,中國國民黨,572,民主進步黨,1300,8,1308,0,1308,596,1904,68.7
臺東市,豐榮里,442,親民黨,6104,中國國民黨,4250,民主進步黨,10796,98,10894,0,10894,4642,15536,70.12
臺東市,豐谷里,214,親民黨,3778,中國國民黨,2582,民主進步黨,6574,44,6618,0,6618,3254,9872,67.04
臺東市,豐里里,104,親民黨,1450,中國國民黨,1574,民主進步黨,3128,32,3160,0,3160,1432,4592,68.82
臺東市,豐原里,64,親民黨,660,中國國民黨,856,民主進步黨,1580,8,1588,0,1588,762,2350,67.57
臺東市,建和里,48,親民黨,1108,中國國民黨,698,民主進步黨,1854,14,1868,0,1868,854,2722,68.63
臺東市,建興里,50,親民黨,604,中國國民黨,624,民主進步黨,1278,14,1292,0,1292,526,1818,71.07
臺東市,建業里,76,親民黨,932,中國國民黨,652,民主進步黨,1660,22,1682,0,1682,810,2492,67.5
臺東市,知本里,74,親民黨,1000,中國國民黨,732,民主進步黨,1806,28,1834,0,1834,840,2674,68.59
臺東市,建農里,104,親民黨,1592,中國國民黨,708,民主進步黨,2404,20,2424,0,2424,1398,3822,63.42
成功鎮,博愛里,16,親民黨,586,中國國民黨,108,民主進步黨,710,4,714,0,714,532,1246,57.3
成功鎮,忠孝里,32,親民黨,638,中國國民黨,316,民主進步黨,986,8,994,0,994,918,1912,51.99
成功鎮,三仙里,44,親民黨,914,中國國民黨,400,民主進步黨,1358,22,1380,0,1380,1342,2722,50.7
成功鎮,三民里,102,親民黨,2136,中國國民黨,758,民主進步黨,2996,20,3016,0,3016,2164,5180,58.22
成功鎮,忠智里,90,親民黨,1480,中國國民黨,798,民主進步黨,2368,24,2392,0,2392,1252,3644,65.64
成功鎮,忠仁里,86,親民黨,1550,中國國民黨,924,民主進步黨,2560,10,2570,0,2570,1598,4168,61.66
成功鎮,和平里,14,親民黨,566,中國國民黨,174,民主進步黨,754,4,758,0,758,688,1446,52.42
成功鎮,信義里,40,親民黨,1484,中國國民黨,394,民主進步黨,1918,10,1928,0,1928,1594,3522,54.74
關山鎮,德高里,72,親民黨,1280,中國國民黨,696,民主進步黨,2048,14,2062,0,2062,1254,3316,62.18
關山鎮,豐泉里,54,親民黨,936,中國國民黨,564,民主進步黨,1554,10,1564,0,1564,604,2168,72.14
關山鎮,新福里,48,親民黨,582,中國國民黨,412,民主進步黨,1042,28,1070,0,1070,642,1712,62.5
關山鎮,中福里,38,親民黨,590,中國國民黨,542,民主進步黨,1170,12,1182,0,1182,384,1566,75.48
關山鎮,里壠里,88,親民黨,1198,中國國民黨,752,民主進步黨,2038,16,2054,0,2054,1184,3238,63.43
關山鎮,電光里,30,親民黨,360,中國國民黨,180,民主進步黨,570,12,582,0,582,452,1034,56.29
關山鎮,月眉里,16,親民黨,378,中國國民黨,382,民主進步黨,776,14,790,0,790,598,1388,56.92
卑南鄉,嘉豐村,36,親民黨,320,中國國民黨,216,民主進步黨,572,6,578,0,578,376,954,60.59
卑南鄉,利吉村,18,親民黨,346,中國國民黨,216,民主進步黨,580,2,582,0,582,290,872,66.74
卑南鄉,富山村,20,親民黨,348,中國國民黨,190,民主進步黨,558,10,568,0,568,358,926,61.34
卑南鄉,富源村,10,親民黨,148,中國國民黨,250,民主進步黨,408,8,416,0,416,248,664,62.65
卑南鄉,明峰村,68,親民黨,718,中國國民黨,624,民主進步黨,1410,14,1424,0,1424,860,2284,62.35
卑南鄉,初鹿村,64,親民黨,924,中國國民黨,670,民主進步黨,1658,16,1674,0,1674,762,2436,68.72
卑南鄉,美農村,42,親民黨,532,中國國民黨,672,民主進步黨,1246,4,1250,0,1250,866,2116,59.07
卑南鄉,賓朗村,108,親民黨,1326,中國國民黨,1460,民主進步黨,2894,22,2916,0,2916,1364,4280,68.13
卑南鄉,泰安村,50,親民黨,910,中國國民黨,496,民主進步黨,1456,18,1474,0,1474,696,2170,67.93
卑南鄉,太平村,120,親民黨,2340,中國國民黨,1534,民主進步黨,3994,44,4038,0,4038,1928,5966,67.68
卑南鄉,利嘉村,48,親民黨,980,中國國民黨,444,民主進步黨,1472,16,1488,0,1488,678,2166,68.7
卑南鄉,東興村,26,親民黨,1202,中國國民黨,356,民主進步黨,1584,8,1592,0,1592,688,2280,69.82
卑南鄉,溫泉村,52,親民黨,582,中國國民黨,796,民主進步黨,1430,8,1438,0,1438,732,2170,66.27
鹿野鄉,瑞和村,34,親民黨,390,中國國民黨,264,民主進步黨,688,10,698,0,698,580,1278,54.62
鹿野鄉,瑞豐村,38,親民黨,376,中國國民黨,700,民主進步黨,1114,14,1128,0,1128,622,1750,64.46
鹿野鄉,瑞源村,50,親民黨,620,中國國民黨,374,民主進步黨,1044,14,1058,0,1058,626,1684,62.83
鹿野鄉,永安村,42,親民黨,1058,中國國民黨,636,民主進步黨,1736,28,1764,0,1764,1028,2792,63.18
鹿野鄉,瑞隆村,28,親民黨,676,中國國民黨,316,民主進步黨,1020,6,1026,0,1026,690,1716,59.79
鹿野鄉,鹿野村,36,親民黨,814,中國國民黨,488,民主進步黨,1338,14,1352,0,1352,754,2106,64.2
鹿野鄉,龍田村,28,親民黨,546,中國國民黨,732,民主進步黨,1306,18,1324,0,1324,708,2032,65.16
池上鄉,福文村,52,親民黨,664,中國國民黨,526,民主進步黨,1242,10,1252,0,1252,930,2182,57.38
池上鄉,慶豐村,24,親民黨,402,中國國民黨,294,民主進步黨,720,10,730,0,730,532,1262,57.84
池上鄉,大坡村,14,親民黨,188,中國國民黨,102,民主進步黨,304,8,312,0,312,330,642,48.6
池上鄉,大埔村,34,親民黨,544,中國國民黨,310,民主進步黨,888,12,900,0,900,638,1538,58.52
池上鄉,福原村,84,親民黨,1264,中國國民黨,1128,民主進步黨,2476,18,2494,0,2494,1212,3706,67.3
池上鄉,錦園村,16,親民黨,168,中國國民黨,232,民主進步黨,416,4,420,0,420,266,686,61.22
池上鄉,新興村,36,親民黨,518,中國國民黨,444,民主進步黨,998,8,1006,0,1006,636,1642,61.27
池上鄉,萬安村,6,親民黨,160,中國國民黨,220,民主進步黨,386,2,388,0,388,218,606,64.03
池上鄉,富興村,22,親民黨,264,中國國民黨,162,民主進步黨,448,0,448,0,448,322,770,58.18
池上鄉,振興村,10,親民黨,254,中國國民黨,118,民主進步黨,382,2,384,0,384,470,854,44.96
東河鄉,北源村,72,親民黨,986,中國國民黨,400,民主進步黨,1458,8,1466,0,1466,1712,3178,46.13
東河鄉,泰源村,44,親民黨,792,中國國民黨,286,民主進步黨,1122,14,1136,0,1136,1134,2270,50.04
東河鄉,東河村,52,親民黨,756,中國國民黨,260,民主進步黨,1068,12,1080,0,1080,846,1926,56.07
東河鄉,尚德村,12,親民黨,148,中國國民黨,108,民主進步黨,268,2,270,0,270,242,512,52.73
東河鄉,隆昌村,14,親民黨,420,中國國民黨,210,民主進步黨,644,6,650,0,650,430,1080,60.19
東河鄉,興昌村,24,親民黨,610,中國國民黨,412,民主進步黨,1046,18,1064,0,1064,704,1768,60.18
