省市代碼,縣市代碼,選區代碼,鄉鎮市區代碼,村里代碼,tbox_no,候選人號次,得票數,得票率,當選註記,ris_prv_code,ris_city_code,ris_area_code,ris_dept_code,區域名稱,cand_id,候選人姓名,性別,出生年,學歷,party_code,政黨,現任,副手,選舉年份,資料層級,當選
00,000,00,000,0000,0000,1,6093578,45.63, ,00,000,00,000,全國,8065,蔡英文,女,1956,博士,16,民主進步黨,否,否,2012,N,否
00,000,00,000,0000,0000,1,6093578,45.63,,00,000,00,000,全國,8066,蘇嘉全,男,1956,碩士,16,民主進步黨,否,是,2012,N,否
00,000,00,000,0000,0000,2,6891139,51.6,*,00,000,00,000,全國,8067,馬英九,男,1950,博士,1,中國國民黨,是,否,2012,N,是
00,000,00,000,0000,0000,2,6891139,51.6,,00,000,00,000,全國,8068,吳敦義,男,1948,大學,1,中國國民黨,否,是,2012,N,否
00,000,00,000,0000,0000,3,369588,2.76, ,00,000,00,000,全國,8069,宋楚瑜,男,1942,博士,999,無黨籍及未經政黨推薦,否,否,2012,N,否
00,000,00,000,0000,0000,3,369588,2.76,,00,000,00,000,全國,8070,林瑞雄,男,1940,博士,999,無黨籍及未經政黨推薦,否,是,2012,N,否
