行政區別,村里別,周可盛,柯文哲,楊秋興,連勝文,陳永昌,陳菊,馮光遠,有效票數A,無效票數B,投票數C,已領未投票數D,發出票數E,用餘票數F,選舉人數G,投票率H
總計,,29850,0,901294,0,0,1986600,0,2917744,47106,2964850,0,2964850,1497600,4462450,66.44
鹽埕區,,338,0,8186,0,0,19922,0,28446,484,28930,0,28930,14418,43348,66.74
,藍橋里,14,0,440,0,0,1434,0,1888,32,1920,0,1920,610,2530,75.89
,慈愛里,4,0,114,0,0,310,0,428,12,440,0,440,234,674,65.28
,博愛里,10,0,206,0,0,738,0,954,20,974,0,974,340,1314,74.12
,壽星里,22,0,574,0,0,1098,0,1694,24,1718,0,1718,934,2652,64.78
,中山里,16,0,444,0,0,972,0,1432,34,1466,0,1466,696,2162,67.81
,教仁里,36,0,872,0,0,2020,0,2928,44,2972,0,2972,1256,4228,70.29
,新樂里,10,0,346,0,0,770,0,1126,26,1152,0,1152,532,1684,68.41
,中原里,2,0,246,0,0,588,0,836,14,850,0,850,386,1236,68.77
,光明里,28,0,446,0,0,1064,0,1538,26,1564,0,1564,1192,2756,56.75
,育仁里,6,0,294,0,0,684,0,984,10,994,0,994,498,1492,66.62
,河濱里,34,0,672,0,0,1390,0,2096,32,2128,0,2128,1222,3350,63.52
,沙地里,22,0,278,0,0,656,0,956,16,972,0,972,466,1438,67.59
,南端里,20,0,350,0,0,844,0,1214,24,1238,0,1238,686,1924,64.35
,港都里,18,0,396,0,0,1082,0,1496,34,1530,0,1530,660,2190,69.86
,江西里,10,0,410,0,0,1056,0,1476,22,1498,0,1498,706,2204,67.97
,新豐里,18,0,268,0,0,690,0,976,16,992,0,992,580,1572,63.1
,府北里,24,0,756,0,0,1668,0,2448,48,2496,0,2496,1310,3806,65.58
,陸橋里,20,0,466,0,0,1096,0,1582,14,1596,0,1596,858,2454,65.04
,瀨南里,8,0,214,0,0,532,0,754,18,772,0,772,434,1206,64.01
,新化里,10,0,228,0,0,558,0,796,14,810,0,810,374,1184,68.41
,江南里,6,0,166,0,0,672,0,844,4,848,0,848,444,1292,65.63
,總計,338,0,8186,0,0,19922,0,28446,484,28930,0,28930,14418,43348,66.74
鼓山區,,1280,0,45016,0,0,85412,0,131708,2062,133770,0,133770,80608,214378,62.4
,鼓峰里,32,0,1140,0,0,1406,0,2578,44,2622,0,2622,1364,3986,65.78
,雄峰里,18,0,1356,0,0,1082,0,2456,54,2510,0,2510,1428,3938,63.74
,前峰里,48,0,2316,0,0,2890,0,5254,96,5350,0,5350,2992,8342,64.13
,光榮里,48,0,1122,0,0,3622,0,4792,58,4850,0,4850,2056,6906,70.23
,民族里,20,0,600,0,0,1262,0,1882,24,1906,0,1906,658,2564,74.34
,內惟里,12,0,420,0,0,1304,0,1736,40,1776,0,1776,524,2300,77.22
,建國里,22,0,852,0,0,2104,0,2978,38,3016,0,3016,1470,4486,67.23
,忠正里,50,0,1524,0,0,3474,0,5048,80,5128,0,5128,2268,7396,69.33
,自強里,10,0,924,0,0,178,0,1112,40,1152,0,1152,340,1492,77.21
,龍井里,16,0,508,0,0,1158,0,1682,24,1706,0,1706,864,2570,66.38
,正德里,16,0,714,0,0,2116,0,2846,68,2914,0,2914,922,3836,75.96
,平和里,42,0,1184,0,0,3388,0,4614,48,4662,0,4662,2136,6798,68.58
,民強里,30,0,1052,0,0,2888,0,3970,50,4020,0,4020,1332,5352,75.11
,厚生里,28,0,988,0,0,2976,0,3992,60,4052,0,4052,2110,6162,65.76
,龍子里,128,0,4654,0,0,9572,0,14354,220,14574,0,14574,11412,25986,56.08
,龍水里,156,0,6926,0,0,11024,0,18106,256,18362,0,18362,14564,32926,55.77
,明誠里,154,0,6300,0,0,9288,0,15742,192,15934,0,15934,13222,29156,54.65
,華豐里,52,0,1960,0,0,2420,0,4432,62,4494,0,4494,2934,7428,60.5
,裕興里,46,0,1592,0,0,2014,0,3652,52,3704,0,3704,2444,6148,60.25
,裕豐里,32,0,1556,0,0,1486,0,3074,58,3132,0,3132,1886,5018,62.42
,鼓岩里,14,0,378,0,0,1184,0,1576,36,1612,0,1612,930,2542,63.41
,樹德里,14,0,350,0,0,1186,0,1550,24,1574,0,1574,690,2264,69.52
,寶樹里,20,0,446,0,0,1248,0,1714,22,1736,0,1736,1816,3552,48.87
,興宗里,26,0,590,0,0,1246,0,1862,34,1896,0,1896,720,2616,72.48
,光化里,32,0,624,0,0,1252,0,1908,30,1938,0,1938,722,2660,72.86
,山下里,28,0,592,0,0,1028,0,1648,32,1680,0,1680,930,2610,64.37
,河邊里,14,0,670,0,0,1420,0,2104,38,2142,0,2142,776,2918,73.41
,綠川里,30,0,472,0,0,1596,0,2098,24,2122,0,2122,802,2924,72.57
,登山里,10,0,250,0,0,568,0,828,14,842,0,842,454,1296,64.97
,峰南里,10,0,342,0,0,804,0,1156,12,1168,0,1168,572,1740,67.13
,麗興里,6,0,318,0,0,906,0,1230,30,1260,0,1260,672,1932,65.22
,新民里,26,0,326,0,0,1170,0,1522,40,1562,0,1562,516,2078,75.17
,延平里,10,0,284,0,0,876,0,1170,22,1192,0,1192,390,1582,75.35
,維生里,16,0,334,0,0,1224,0,1574,18,1592,0,1592,954,2546,62.53
,惠安里,12,0,292,0,0,1134,0,1438,34,1472,0,1472,868,2340,62.91
,壽山里,20,0,340,0,0,1394,0,1754,40,1794,0,1794,958,2752,65.19
,哨船頭里,28,0,454,0,0,1008,0,1490,24,1514,0,1514,470,1984,76.31
,桃源里,4,0,266,0,0,516,0,786,24,810,0,810,442,1252,64.7
,總計,1280,0,45016,0,0,85412,0,131708,2062,133770,0,133770,80608,214378,62.4
左營區,,1626,0,69092,0,0,107032,0,177750,2652,180402,0,180402,117726,298128,60.51
,進學里,20,0,852,0,0,1380,0,2252,32,2284,0,2284,2752,5036,45.35
,尾西里,10,0,318,0,0,1062,0,1390,26,1416,0,1416,702,2118,66.86
,頂北里,6,0,172,0,0,594,0,772,16,788,0,788,328,1116,70.61
,中北里,2,0,168,0,0,752,0,922,16,938,0,938,324,1262,74.33
,中南里,4,0,90,0,0,642,0,736,12,748,0,748,320,1068,70.04
,廟東里,2,0,166,0,0,1030,0,1198,12,1210,0,1210,490,1700,71.18
,廟北里,12,0,232,0,0,1116,0,1360,26,1386,0,1386,426,1812,76.49
,尾南里,8,0,240,0,0,892,0,1140,22,1162,0,1162,298,1460,79.59
,尾北里,48,0,1266,0,0,2958,0,4272,62,4334,0,4334,2162,6496,66.72
,屏山里,18,0,1308,0,0,854,0,2180,38,2218,0,2218,998,3216,68.97
,祥和里,12,0,466,0,0,124,0,602,20,622,0,622,164,786,79.13
,永清里,24,0,622,0,0,382,0,1028,26,1054,0,1054,688,1742,60.51
,莒光里,10,0,1212,0,0,1136,0,2358,36,2394,0,2394,988,3382,70.79
,光輝里,18,0,1258,0,0,1694,0,2970,70,3040,0,3040,1790,4830,62.94
,合群里,30,0,2702,0,0,302,0,3034,46,3080,0,3080,1776,4856,63.43
,明建里,16,0,586,0,0,406,0,1008,18,1026,0,1026,640,1666,61.58
,頂西里,0,0,278,0,0,1080,0,1358,14,1372,0,1372,614,1986,69.08
,聖后里,22,0,208,0,0,806,0,1036,10,1046,0,1046,492,1538,68.01
,聖西里,0,0,104,0,0,402,0,506,4,510,0,510,180,690,73.91
,聖南里,2,0,130,0,0,592,0,724,18,742,0,742,316,1058,70.13
,城南里,4,0,144,0,0,516,0,664,6,670,0,670,362,1032,64.92
,路東里,8,0,206,0,0,760,0,974,16,990,0,990,406,1396,70.92
,北里,8,0,94,0,0,596,0,698,18,716,0,716,184,900,79.56
,南里,8,0,200,0,0,654,0,862,2,864,0,864,428,1292,66.87
,埤西里,26,0,394,0,0,810,0,1230,26,1256,0,1256,628,1884,66.67
,埤北里,14,0,982,0,0,728,0,1724,38,1762,0,1762,998,2760,63.84
,埤東里,10,0,462,0,0,808,0,1280,28,1308,0,1308,738,2046,63.93
,海勝里,110,0,5532,0,0,1608,0,7250,150,7400,0,7400,4054,11454,64.61
,崇實里,52,0,1494,0,0,1828,0,3374,40,3414,0,3414,2338,5752,59.35
,自助里,0,0,268,0,0,186,0,454,2,456,0,456,306,762,59.84
,果貿里,20,0,2386,0,0,856,0,3262,60,3322,0,3322,2188,5510,60.29
,果惠里,10,0,1328,0,0,646,0,1984,46,2030,0,2030,1012,3042,66.73
,果峰里,20,0,1606,0,0,524,0,2150,38,2188,0,2188,1162,3350,65.31
,新下里,122,0,5252,0,0,8436,0,13810,198,14008,0,14008,9404,23412,59.83
,新上里,218,0,8474,0,0,17100,0,25792,330,26122,0,26122,19398,45520,57.39
,新中里,34,0,1364,0,0,4672,0,6070,62,6132,0,6132,3138,9270,66.15
,新光里,106,0,4674,0,0,8684,0,13464,206,13670,0,13670,9592,23262,58.77
,菜公里,272,0,10066,0,0,18666,0,29004,390,29394,0,29394,19882,49276,59.65
,福山里,320,0,11788,0,0,20750,0,32858,472,33330,0,33330,25060,58390,57.08
,總計,1626,0,69092,0,0,107032,0,177750,2652,180402,0,180402,117726,298128,60.51
楠梓區,,1750,0,56794,0,0,119976,0,178520,3026,181546,0,181546,96432,277978,65.31
,清豐里,162,0,5624,0,0,15210,0,20996,278,21274,0,21274,13932,35206,60.43
,東寧里,32,0,1304,0,0,2874,0,4210,46,4256,0,4256,2778,7034,60.51
,五常里,60,0,1644,0,0,4982,0,6686,86,6772,0,6772,3802,10574,64.04
,享平里,32,0,1030,0,0,2612,0,3674,48,3722,0,3722,2066,5788,64.31
,中陽里,34,0,732,0,0,2914,0,3680,60,3740,0,3740,1502,5242,71.35
,惠楠里,22,0,976,0,0,2330,0,3328,62,3390,0,3390,2486,5876,57.69
,惠民里,68,0,1494,0,0,3470,0,5032,88,5120,0,5120,2180,7300,70.14
,惠豐里,52,0,1916,0,0,3538,0,5506,104,5610,0,5610,2994,8604,65.2
,錦屏里,52,0,868,0,0,3790,0,4710,90,4800,0,4800,1796,6596,72.77
,玉屏里,30,0,506,0,0,2988,0,3524,84,3608,0,3608,1078,4686,77.0
,金田里,56,0,858,0,0,3820,0,4734,98,4832,0,4832,1554,6386,75.67
,稔田里,18,0,334,0,0,1950,0,2302,58,2360,0,2360,772,3132,75.35
,瑞屏里,64,0,1430,0,0,3586,0,5080,120,5200,0,5200,2318,7518,69.17
