行政區別,村里別,宋楚瑜/徐欣瑩,朱立倫/王如玄,蔡英文/陳建仁,有效票數A,無效票數B,投票數C,已領未投票數D,發出票數E,用餘票數F,選舉人數G,投票率H
總計,,319530,783646,1910336,3013512,36234,3049746,0,3049746,1458902,4508648,67.64
鹽埕區,,2772,7496,19414,29682,342,30024,0,30024,12978,43002,69.82
,藍橋里,184,398,1244,1826,14,1840,0,1840,688,2528,72.78
,慈愛里,26,100,304,430,4,434,0,434,210,644,67.39
,博愛里,70,190,670,930,18,948,0,948,318,1266,74.88
,壽星里,188,500,1038,1726,18,1744,0,1744,872,2616,66.67
,中山里,140,382,958,1480,30,1510,0,1510,614,2124,71.09
,教仁里,250,844,1884,2978,42,3020,0,3020,1144,4164,72.53
,新樂里,98,320,808,1226,14,1240,0,1240,458,1698,73.03
,中原里,70,238,576,884,14,898,0,898,312,1210,74.21
,光明里,162,498,1110,1770,12,1782,0,1782,1100,2882,61.83
,育仁里,92,256,720,1068,8,1076,0,1076,440,1516,70.98
,河濱里,232,604,1452,2288,32,2320,0,2320,990,3310,70.09
,沙地里,72,222,620,914,20,934,0,934,450,1384,67.49
,南端里,122,366,872,1360,16,1376,0,1376,600,1976,69.64
,港都里,198,340,980,1518,16,1534,0,1534,622,2156,71.15
,江西里,160,330,1058,1548,8,1556,0,1556,614,2170,71.71
,新豐里,144,258,648,1050,4,1054,0,1054,508,1562,67.48
,府北里,222,686,1552,2460,24,2484,0,2484,1246,3730,66.6
,陸橋里,148,428,1128,1704,18,1722,0,1722,756,2478,69.49
,瀨南里,56,194,546,796,2,798,0,798,374,1172,68.09
,新化里,102,198,562,862,18,880,0,880,290,1170,75.21
,江南里,36,144,684,864,10,874,0,874,372,1246,70.14
,總計,2772,7496,19414,29682,342,30024,0,30024,12978,43002,69.82
鼓山區,,15456,43742,86154,145352,1768,147120,0,147120,70112,217232,67.72
,鼓峰里,362,956,1302,2620,26,2646,0,2646,1186,3832,69.05
,雄峰里,346,1266,1008,2620,32,2652,0,2652,1324,3976,66.7
,前峰里,564,2400,3046,6010,82,6092,0,6092,2256,8348,72.98
,光榮里,406,994,3496,4896,32,4928,0,4928,1906,6834,72.11
,民族里,156,540,1198,1894,18,1912,0,1912,640,2552,74.92
,內惟里,156,356,1068,1580,24,1604,0,1604,604,2208,72.64
,建國里,248,920,2068,3236,52,3288,0,3288,1222,4510,72.9
,忠正里,468,1480,3190,5138,68,5206,0,5206,2184,7390,70.45
,自強里,156,786,118,1060,16,1076,0,1076,392,1468,73.3
,龍井里,142,474,1056,1672,32,1704,0,1704,826,2530,67.35
,正德里,246,636,1824,2706,26,2732,0,2732,1104,3836,71.22
,平和里,384,1154,3340,4878,52,4930,0,4930,1866,6796,72.54
,民強里,346,940,2652,3938,38,3976,0,3976,1312,5288,75.19
,厚生里,390,960,2900,4250,34,4284,0,4284,1784,6068,70.6
,龍子里,2002,4866,10420,17288,210,17498,0,17498,9274,26772,65.36
,龍水里,2814,7034,12712,22560,276,22836,0,22836,11718,34554,66.09
,明誠里,2290,6392,10054,18736,210,18946,0,18946,10692,29638,63.92
,華豐里,552,1944,2576,5072,64,5136,0,5136,2264,7400,69.41
,裕興里,458,1742,2312,4512,76,4588,0,4588,2232,6820,67.27
,裕豐里,404,1554,1522,3480,48,3528,0,3528,1554,5082,69.42
,鼓岩里,160,382,1104,1646,28,1674,0,1674,844,2518,66.48
,樹德里,112,356,1188,1656,16,1672,0,1672,570,2242,74.58
,寶樹里,164,338,1116,1618,18,1636,0,1636,1914,3550,46.08
,興宗里,202,450,1106,1758,16,1774,0,1774,830,2604,68.13
,光化里,152,528,1034,1714,22,1736,0,1736,788,2524,68.78
,山下里,212,574,1020,1806,26,1832,0,1832,778,2610,70.19
,河邊里,228,616,1354,2198,30,2228,0,2228,1002,3230,68.98
,綠川里,170,388,1418,1976,32,2008,0,2008,860,2868,70.01
,登山里,70,220,560,850,2,852,0,852,404,1256,67.83
,峰南里,56,304,784,1144,20,1164,0,1164,558,1722,67.6
,麗興里,94,280,942,1316,14,1330,0,1330,582,1912,69.56
,新民里,112,266,1004,1382,16,1398,0,1398,626,2024,69.07
,延平里,86,206,786,1078,22,1100,0,1100,432,1532,71.8
,維生里,178,288,1214,1680,20,1700,0,1700,818,2518,67.51
,惠安里,184,280,1076,1540,12,1552,0,1552,786,2338,66.38
,壽山里,150,320,1316,1786,20,1806,0,1806,902,2708,66.69
,哨船頭里,140,364,782,1286,24,1310,0,1310,646,1956,66.97
,桃源里,96,188,488,772,14,786,0,786,432,1218,64.53
,總計,15456,43742,86154,145352,1768,147120,0,147120,70112,217232,67.72
左營區,,23676,67180,107684,198540,2352,200892,0,200892,102298,303190,66.26
,進學里,208,710,1170,2088,30,2118,0,2118,2938,5056,41.89
,尾西里,116,328,1056,1500,18,1518,0,1518,596,2114,71.81
,頂北里,48,168,538,754,12,766,0,766,314,1080,70.93
,中北里,70,184,718,972,10,982,0,982,286,1268,77.44
,中南里,38,96,608,742,6,748,0,748,318,1066,70.17
,廟東里,82,146,996,1224,12,1236,0,1236,414,1650,74.91
,廟北里,82,156,994,1232,20,1252,0,1252,566,1818,68.87
,尾南里,60,192,762,1014,16,1030,0,1030,420,1450,71.03
