行政區別,村里別,宋楚瑜/徐欣瑩,朱立倫/王如玄,蔡英文/陳建仁,有效票數A,無效票數B,投票數C,已領未投票數D,發出票數E,用餘票數F,選舉人數G,投票率H
總計,,1328,6130,1478,8936,170,9106,0,9106,11374,20480,44.46
南竿鄉,,684,3760,906,5350,130,5480,0,5480,6364,11844,46.27
,介壽村,252,1270,286,1808,40,1848,0,1848,1792,3640,50.77
,復興村、福沃村,214,1076,270,1560,38,1598,0,1598,2064,3662,43.64
,清水村、仁愛村、津沙村、馬祖村、珠螺村、四維村,218,1414,350,1982,52,2034,0,2034,2508,4542,44.78
,總計,684,3760,906,5350,130,5480,0,5480,6364,11844,46.27
北竿鄉,,210,1146,248,1604,26,1630,0,1630,2260,3890,41.9
,塘岐村、后沃村、橋仔村,154,820,188,1162,18,1180,0,1180,1564,2744,43.0
,芹壁村、坂里村、白沙村,56,326,60,442,8,450,0,450,696,1146,39.27
,總計,210,1146,248,1604,26,1630,0,1630,2260,3890,41.9
莒光鄉,,194,636,160,990,12,1002,0,1002,1668,2670,37.53
,青帆村、田沃村、西坵村,92,318,92,502,8,510,0,510,812,1322,38.58
,福正村、大坪村,102,318,68,488,4,492,0,492,856,1348,36.5
,總計,194,636,160,990,12,1002,0,1002,1668,2670,37.53
東引鄉,,240,588,164,992,2,994,0,994,1082,2076,47.88
,中柳村、樂華村,240,588,164,992,2,994,0,994,1082,2076,47.88
,總計,240,588,164,992,2,994,0,994,1082,2076,47.88
