行政區別,村里別,宋楚瑜/徐欣瑩,朱立倫/王如玄,蔡英文/陳建仁,有效票數A,無效票數B,投票數C,已領未投票數D,發出票數E,用餘票數F,選舉人數G,投票率H
總計,,58576,118432,289596,466604,6376,472980,0,472980,265442,738422,64.05
宜蘭市,,12488,27910,54368,94766,1240,96006,0,96006,53928,149934,64.03
,神農里,446,1092,1678,3216,54,3270,0,3270,1898,5168,63.27
,民權里,254,694,908,1856,30,1886,0,1886,1560,3446,54.73
,進士里,382,786,1486,2654,26,2680,0,2680,1272,3952,67.81
,南橋里,184,388,920,1492,12,1504,0,1504,724,2228,67.5
,建業里,164,564,1254,1982,18,2000,0,2000,1004,3004,66.58
,南津里,254,1102,1032,2388,30,2418,0,2418,1342,3760,64.31
,凱旋里,194,332,952,1478,26,1504,0,1504,872,2376,63.3
,黎明里,238,538,1414,2190,40,2230,0,2230,1198,3428,65.05
,東村里,326,724,1530,2580,42,2622,0,2622,1428,4050,64.74
,延平里,548,1080,1980,3608,46,3654,0,3654,2000,5654,64.63
,七張里,216,328,1168,1712,18,1730,0,1730,950,2680,64.55
,慈安里,262,572,1036,1870,16,1886,0,1886,1396,3282,57.46
,新民里,230,532,1356,2118,10,2128,0,2128,984,3112,68.38
,東門里,144,310,832,1286,14,1300,0,1300,630,1930,67.36
,小東里,266,522,1158,1946,18,1964,0,1964,1038,3002,65.42
,菜園里,216,464,988,1668,20,1688,0,1688,870,2558,65.99
,孝廉里,222,348,886,1456,22,1478,0,1478,866,2344,63.05
,新生里,386,652,2080,3118,44,3162,0,3162,1748,4910,64.4
,茭白里,336,558,1414,2308,30,2338,0,2338,1430,3768,62.05
,北津里,434,512,1742,2688,30,2718,0,2718,1572,4290,63.36
,梅洲里,474,796,2524,3794,54,3848,0,3848,2130,5978,64.37
,北門里,192,304,988,1484,16,1500,0,1500,792,2292,65.45
,中山里,134,318,738,1190,14,1204,0,1204,710,1914,62.9
,西門里,266,484,1412,2162,30,2192,0,2192,1180,3372,65.01
,南門里,220,506,1078,1804,14,1818,0,1818,966,2784,65.3
,負郭里,500,1092,1978,3570,40,3610,0,3610,2004,5614,64.3
,民族里,302,1078,1410,2790,30,2820,0,2820,1618,4438,63.54
,建軍里,296,612,1074,1982,24,2006,0,2006,1112,3118,64.34
,思源里,706,1792,2572,5070,66,5136,0,5136,2556,7692,66.77
,文化里,436,1188,2028,3652,66,3718,0,3718,2114,5832,63.75
,復興里,434,1338,1650,3422,54,3476,0,3476,1940,5416,64.18
,成功里,462,998,1970,3430,50,3480,0,3480,2138,5618,61.94
,新東里,526,1020,2010,3556,38,3594,0,3594,2330,5924,60.67
,七結里,454,980,1548,2982,44,3026,0,3026,1578,4604,65.73
,泰山里,316,838,1212,2366,28,2394,0,2394,1506,3900,61.38
,大新里,130,298,586,1014,20,1034,0,1034,538,1572,65.78
,中興里,486,976,1846,3308,46,3354,0,3354,2198,5552,60.41
,擺厘里,452,1194,1930,3576,60,3636,0,3636,1736,5372,67.68
,總計,12488,27910,54368,94766,1240,96006,0,96006,53928,149934,64.03
羅東鎮,,8414,18418,44722,71554,878,72432,0,72432,37232,109664,66.05
,大新里,226,456,1172,1854,30,1884,0,1884,958,2842,66.29
,東安里,536,874,2726,4136,66,4202,0,4202,2334,6536,64.29
,新群里,334,614,2148,3096,46,3142,0,3142,1688,4830,65.05
,羅莊里,550,902,2238,3690,26,3716,0,3716,1952,5668,65.56
,南昌里,450,754,1766,2970,30,3000,0,3000,1532,4532,66.2
,南豪里,156,464,1054,1674,16,1690,0,1690,812,2502,67.55
,成功里,204,500,1216,1920,18,1938,0,1938,872,2810,68.97
,仁德里,218,388,912,1518,24,1542,0,1542,784,2326,66.29
,漢民里,554,1226,2678,4458,58,4516,0,4516,2504,7020,64.33
,西安里,408,856,2212,3476,40,3516,0,3516,1850,5366,65.52
,北成里,378,842,2132,3352,26,3378,0,3378,1792,5170,65.34
,賢文里,520,1322,2648,4490,58,4548,0,4548,2420,6968,65.27
,公正里,434,858,2224,3516,42,3558,0,3558,1700,5258,67.67
,集祥里,138,302,726,1166,8,1174,0,1174,1116,2290,51.27
,信義里,456,948,2338,3742,34,3776,0,3776,1836,5612,67.28
,竹林里,414,894,2426,3734,46,3780,0,3780,1928,5708,66.22
,仁愛里,442,1046,2786,4274,58,4332,0,4332,2204,6536,66.28
,樹林里,454,1418,2506,4378,64,4442,0,4442,1984,6426,69.13
,國華里,570,1572,3236,5378,72,5450,0,5450,2676,8126,67.07
,維揚里,440,1034,2352,3826,34,3860,0,3860,1848,5708,67.62
,開明里,174,410,1258,1842,34,1876,0,1876,888,2764,67.87
,中山里,216,414,1202,1832,26,1858,0,1858,786,2644,70.27
,仁和里,142,324,766,1232,22,1254,0,1254,768,2022,62.02
,總計,8414,18418,44722,71554,878,72432,0,72432,37232,109664,66.05
蘇澳鎮,,5202,9984,26222,41408,528,41936,0,41936,26088,68024,61.65
,龍德里,490,766,2824,4080,58,4138,0,4138,2240,6378,64.88
,頂寮里,110,256,834,1200,18,1218,0,1218,612,1830,66.56
,永榮里,454,956,2906,4316,56,4372,0,4372,2588,6960,62.82
,存仁里,84,274,824,1182,24,1206,0,1206,640,1846,65.33
,港邊里,168,400,1096,1664,24,1688,0,1688,1036,2724,61.97
,隘丁里,398,700,2208,3306,38,3344,0,3344,1898,5242,63.79
,新城里,166,380,990,1536,10,1546,0,1546,914,2460,62.85
,聖湖里,392,964,1474,2830,16,2846,0,2846,1760,4606,61.79
,蘇西里,372,890,1660,2922,40,2962,0,2962,1870,4832,61.3
,蘇北里,150,470,692,1312,22,1334,0,1334,728,2062,64.69
,蘇南里,60,208,374,642,8,650,0,650,280,930,69.89
,蘇東里,92,152,390,634,14,648,0,648,450,1098,59.02
,長安里,108,182,388,678,6,684,0,684,386,1070,63.93
,永光里,78,190,290,558,14,572,0,572,320,892,64.13
,永春里,116,152,460,728,8,736,0,736,476,1212,60.73
,永樂里,96,128,362,586,12,598,0,598,304,902,66.3
,南安里,168,360,728,1256,22,1278,0,1278,728,2006,63.71
,南正里,142,184,746,1072,18,1090,0,1090,838,1928,56.54
,南成里,204,256,838,1298,16,1314,0,1314,994,2308,56.93
,南興里,244,406,990,1640,12,1652,0,1652,1356,3008,54.92
,南寧里,142,334,772,1248,24,1272,0,1272,924,2196,57.92
,南建里,232,214,1004,1450,14,1464,0,1464,1074,2538,57.68
,東澳里,64,112,242,418,8,426,0,426,292,718,59.33
,南強里,98,140,616,854,6,860,0,860,630,1490,57.72
,朝陽里,92,118,530,740,12,752,0,752,510,1262,59.59
,聖愛里,482,792,1984,3258,28,3286,0,3286,2240,5526,59.46
,總計,5202,9984,26222,41408,528,41936,0,41936,26088,68024,61.65
頭城鎮,,4410,9060,15064,28534,422,28956,0,28956,20200,49156,58.91
,石城里,36,100,200,336,8,344,0,344,268,612,56.21
,大里里,142,188,324,654,10,664,0,664,680,1344,49.4
,大溪里,140,204,584,928,12,940,0,940,816,1756,53.53
,合興里,52,118,178,348,8,356,0,356,346,702,50.71
,更新里,268,418,706,1392,18,1410,0,1410,1242,2652,53.17
,外澳里,142,270,452,864,16,880,0,880,934,1814,48.51
,港口里,80,222,482,784,4,788,0,788,514,1302,60.52
,武營里,208,682,922,1812,26,1838,0,1838,1274,3112,59.06
,大坑里,274,378,728,1380,14,1394,0,1394,1216,2610,53.41
,城東里,152,362,404,918,8,926,0,926,490,1416,65.4
,城北里,92,292,304,688,4,692,0,692,316,1008,68.65
,城西里,100,296,362,758,10,768,0,768,406,1174,65.42
,城南里,118,280,390,788,12,800,0,800,420,1220,65.57
,竹安里,348,710,1318,2376,26,2402,0,2402,1852,4254,56.46
,新建里,370,762,1194,2326,34,2360,0,2360,1412,3772,62.57
,拔雅里,352,608,1148,2108,42,2150,0,2150,1458,3608,59.59
,福成里,154,314,670,1138,18,1156,0,1156,738,1894,61.03
,金面里,294,722,1002,2018,40,2058,0,2058,1258,3316,62.06
,金盈里,80,298,414,792,20,812,0,812,590,1402,57.92
,頂埔里,256,528,828,1612,30,1642,0,1642,1036,2678,61.31
,下埔里,166,330,650,1146,12,1158,0,1158,700,1858,62.33
,中崙里,178,436,678,1292,22,1314,0,1314,760,2074,63.36
,二城里,226,356,746,1328,18,1346,0,1346,854,2200,61.18
,龜山里,182,186,380,748,10,758,0,758,620,1378,55.01
,總計,4410,9060,15064,28534,422,28956,0,28956,20200,49156,58.91
礁溪鄉,,4424,9602,23808,37834,538,38372,0,38372,21328,59700,64.27
,白雲村,256,530,1116,1902,24,1926,0,1926,1194,3120,61.73
,玉石村,382,566,1360,2308,40,2348,0,2348,1416,3764,62.38
,德陽村,676,1706,2250,4632,50,4682,0,4682,2824,7506,62.38
,大忠村,424,954,1580,2958,32,2990,0,2990,1910,4900,61.02
,大義村,82,232,564,878,12,890,0,890,390,1280,69.53
,六結村,228,606,1068,1902,24,1926,0,1926,888,2814,68.44
,二龍村,198,338,944,1480,8,1488,0,1488,920,2408,61.79
,時潮村,182,380,1198,1760,40,1800,0,1800,1014,2814,63.97
,玉田村,266,458,2054,2778,28,2806,0,2806,1356,4162,67.42
,三民村,360,740,1966,3066,44,3110,0,3110,1734,4844,64.2
,林美村,162,340,920,1422,32,1454,0,1454,820,2274,63.94
,白鵝村,78,230,668,976,24,1000,0,1000,644,1644,60.83
,玉光村,130,278,884,1292,20,1312,0,1312,594,1906,68.84
,光武村,146,336,1080,1562,24,1586,0,1586,898,2484,63.85
,吳沙村,358,762,2080,3200,32,3232,0,3232,1604,4836,66.83
,龍潭村,322,822,2860,4004,78,4082,0,4082,2180,6262,65.19
,匏崙村,112,282,796,1190,16,1206,0,1206,646,1852,65.12
,二結村,62,42,420,524,10,534,0,534,296,830,64.34
,總計,4424,9602,23808,37834,538,38372,0,38372,21328,59700,64.27
壯圍鄉,,2670,5710,17084,25464,374,25838,0,25838,14848,40686,63.51
,吉祥村,422,734,1922,3078,26,3104,0,3104,1562,4666,66.52
,美福村,208,532,1356,2096,44,2140,0,2140,1188,3328,64.3
,新南村,122,250,796,1168,10,1178,0,1178,610,1788,65.88
,東港村,94,250,778,1122,16,1138,0,1138,774,1912,59.52
,復興村,160,484,1368,2012,24,2036,0,2036,1104,3140,64.84
,過嶺村,162,374,1246,1782,24,1806,0,1806,1276,3082,58.6
,永鎮村,66,182,690,938,16,954,0,954,614,1568,60.84
,忠孝村,248,614,1906,2768,44,2812,0,2812,1554,4366,64.41
,古亭村,178,390,1276,1844,38,1882,0,1882,1044,2926,64.32
,功勞村,170,368,1016,1554,26,1580,0,1580,786,2366,66.78
,美城村,346,512,1696,2554,44,2598,0,2598,1456,4054,64.08
,新社村,114,298,878,1290,22,1312,0,1312,748,2060,63.69
,大福村,218,450,1328,1996,28,2024,0,2024,1414,3438,58.87
,古結村,162,272,828,1262,12,1274,0,1274,718,1992,63.96
,總計,2670,5710,17084,25464,374,25838,0,25838,14848,40686,63.51
員山鄉,,3726,7152,22648,33526,490,34016,0,34016,19702,53718,63.32
,員山村,858,1732,4084,6674,90,6764,0,6764,3846,10610,63.75
,尚德村,282,546,1638,2466,30,2496,0,2496,1716,4212,59.26
,惠好村,192,368,1412,1972,32,2004,0,2004,1004,3008,66.62
,七賢村,176,364,938,1478,38,1516,0,1516,1002,2518,60.21
,深溝村,218,406,1550,2174,40,2214,0,2214,1256,3470,63.8
,蓁巷村,146,242,1048,1436,36,1472,0,1472,882,2354,62.53
,內城村,218,504,908,1630,24,1654,0,1654,1172,2826,58.53
,中華村,78,132,550,760,12,772,0,772,550,1322,58.4
,永和村,272,452,1464,2188,30,2218,0,2218,1296,3514,63.12
,頭分村,166,396,1054,1616,12,1628,0,1628,932,2560,63.59
,枕山村,324,444,2234,3002,34,3036,0,3036,1466,4502,67.44
,同樂村,304,604,2004,2912,40,2952,0,2952,1778,4730,62.41
,湖東村,138,204,738,1080,6,1086,0,1086,620,1706,63.66
,逸仙村,90,200,872,1162,22,1184,0,1184,508,1692,69.98
,湖北村,122,266,868,1256,22,1278,0,1278,666,1944,65.74
,湖西村,142,292,1286,1720,22,1742,0,1742,1008,2750,63.35
,總計,3726,7152,22648,33526,490,34016,0,34016,19702,53718,63.32
冬山鄉,,5874,11320,39142,56336,840,57176,0,57176,29960,87136,65.62
,武淵村,166,266,1050,1482,34,1516,0,1516,778,2294,66.09
,珍珠村,242,350,1508,2100,32,2132,0,2132,930,3062,69.63
,補城村,160,260,1002,1422,16,1438,0,1438,758,2196,65.48
