行政區別,村里別,宋楚瑜/徐欣瑩,朱立倫/王如玄,蔡英文/陳建仁,有效票數A,無效票數B,投票數C,已領未投票數D,發出票數E,用餘票數F,選舉人數G,投票率H
總計,,63910,136714,186804,387428,4864,392292,0,392292,220804,613096,63.99
中正區,,9110,19200,25320,53630,740,54370,0,54370,34326,88696,61.3
,德義里,130,310,502,942,14,956,0,956,444,1400,68.29
,正義里,178,592,834,1604,24,1628,0,1628,866,2494,65.28
,信義里,208,338,592,1138,14,1152,0,1152,682,1834,62.81
,義重里,234,468,678,1380,20,1400,0,1400,736,2136,65.54
,港通里,202,546,864,1612,26,1638,0,1638,806,2444,67.02
,中船里,282,510,662,1454,30,1484,0,1484,964,2448,60.62
,正船里,296,646,682,1624,26,1650,0,1650,868,2518,65.53
,入船里,134,392,530,1056,24,1080,0,1080,620,1700,63.53
,中砂里,208,586,670,1464,18,1482,0,1482,740,2222,66.7
,正砂里,500,1282,1202,2984,28,3012,0,3012,1614,4626,65.11
,真砂里,288,638,762,1688,26,1714,0,1714,850,2564,66.85
,砂灣里,446,1010,940,2396,36,2432,0,2432,1608,4040,60.2
,建國里,414,1066,894,2374,42,2416,0,2416,1438,3854,62.69
,中濱里,246,654,704,1604,24,1628,0,1628,900,2528,64.4
,海濱里,318,560,500,1378,20,1398,0,1398,974,2372,58.94
,社寮里,324,626,1252,2202,26,2228,0,2228,1280,3508,63.51
,和憲里,286,452,392,1130,18,1148,0,1148,846,1994,57.57
,平寮里,192,460,938,1590,24,1614,0,1614,986,2600,62.08
,八斗里,196,322,1414,1932,22,1954,0,1954,986,2940,66.46
,碧砂里,188,360,940,1488,14,1502,0,1502,1008,2510,59.84
,長潭里,68,178,488,734,8,742,0,742,286,1028,72.18
,砂子里,934,1854,2630,5418,56,5474,0,5474,4160,9634,56.82
,中正里,318,722,1002,2042,28,2070,0,2070,1938,4008,51.65
,正濱里,214,450,558,1222,14,1236,0,1236,792,2028,60.95
,新豐里,1072,2246,2400,5718,68,5786,0,5786,3990,9776,59.19
,新富里,1234,1932,2290,5456,90,5546,0,5546,3944,9490,58.44
,總計,9110,19200,25320,53630,740,54370,0,54370,34326,88696,61.3
七堵區,,8882,18528,29134,56544,678,57222,0,57222,31410,88632,64.56
,長興里,776,1652,2204,4632,70,4702,0,4702,2528,7230,65.03
,正光里,442,1038,1558,3038,34,3072,0,3072,1738,4810,63.87
,富民里,742,1846,2112,4700,66,4766,0,4766,2254,7020,67.89
,永平里,356,954,1276,2586,28,2614,0,2614,1192,3806,68.68
,永安里,370,1014,1324,2708,18,2726,0,2726,1486,4212,64.72
,八德里,316,590,1008,1914,22,1936,0,1936,1034,2970,65.19
,自強里,212,358,654,1224,18,1242,0,1242,702,1944,63.89
,六堵里,464,862,1430,2756,36,2792,0,2792,1516,4308,64.81
,泰安里,838,1694,2506,5038,74,5112,0,5112,3014,8126,62.91
,堵北里,668,1178,2476,4322,44,4366,0,4366,2320,6686,65.3
,堵南里,352,696,1420,2468,14,2482,0,2482,1538,4020,61.74
,瑪南里,60,126,338,524,10,534,0,534,312,846,63.12
,瑪東里,68,94,212,374,4,378,0,378,190,568,66.55
,瑪西里,50,128,276,454,0,454,0,454,230,684,66.37
,友一里,348,840,976,2164,36,2200,0,2200,1278,3478,63.25
,友二里,66,180,352,598,4,602,0,602,276,878,68.56
,正明里,374,866,1320,2560,32,2592,0,2592,1350,3942,65.75
,百福里,1066,2134,3832,7032,94,7126,0,7126,4066,11192,63.67
,實踐里,776,1422,2558,4756,46,4802,0,4802,2410,7212,66.58
,長安里,538,856,1302,2696,28,2724,0,2724,1976,4700,57.96
,總計,8882,18528,29134,56544,678,57222,0,57222,31410,88632,64.56
暖暖區,,6928,14472,17814,39214,514,39728,0,39728,23122,62850,63.21
,八西里,314,520,914,1748,24,1772,0,1772,1028,2800,63.29
,八堵里,130,294,502,926,10,936,0,936,426,1362,68.72
,八南里,144,252,442,838,14,852,0,852,534,1386,61.47
,過港里,726,1730,1900,4356,42,4398,0,4398,2576,6974,63.06
,碇內里,544,1222,1312,3078,48,3126,0,3126,1850,4976,62.82
,碇和里,574,1622,1246,3442,44,3486,0,3486,2090,5576,62.52
,暖同里,534,1058,1300,2892,36,2928,0,2928,1962,4890,59.88
,暖暖里,536,1130,1502,3168,62,3230,0,3230,1694,4924,65.6
,暖東里,104,132,244,480,4,484,0,484,382,866,55.89
,暖西里,986,1916,2718,5620,74,5694,0,5694,2928,8622,66.04
,八中里,98,170,304,572,2,574,0,574,324,898,63.92
,碇安里,1008,2208,2698,5914,76,5990,0,5990,3214,9204,65.08
,碇祥里,1230,2218,2732,6180,78,6258,0,6258,4114,10372,60.34
,總計,6928,14472,17814,39214,514,39728,0,39728,23122,62850,63.21
仁愛區,,7180,15694,24364,47238,586,47824,0,47824,25538,73362,65.19
,林泉里,326,710,1152,2188,32,2220,0,2220,1350,3570,62.18
,花崗里,174,452,728,1354,18,1372,0,1372,728,2100,65.33
,虹橋里,252,742,988,1982,24,2006,0,2006,1100,3106,64.58
,水錦里,348,832,1026,2206,18,2224,0,2224,1250,3474,64.02
,智仁里,404,1134,1440,2978,34,3012,0,3012,1720,4732,63.65
,和明里,320,730,976,2026,28,2054,0,2054,1222,3276,62.7
,忠勇里,164,394,632,1190,20,1210,0,1210,720,1930,62.69
,玉田里,182,476,726,1384,16,1400,0,1400,632,2032,68.9
,仁德里,146,360,708,1214,12,1226,0,1226,572,1798,68.19
,博愛里,332,682,1070,2084,16,2100,0,2100,868,2968,70.75
,福仁里,158,280,574,1012,10,1022,0,1022,536,1558,65.6
,誠仁里,152,394,722,1268,20,1288,0,1288,672,1960,65.71
,吉仁里,496,956,1800,3252,32,3284,0,3284,1904,5188,63.3
,育仁里,162,234,632,1028,6,1034,0,1034,518,1552,66.62
,英仁里,238,514,890,1642,22,1664,0,1664,962,2626,63.37
,龍門里,172,318,552,1042,12,1054,0,1054,518,1572,67.05
,德厚里,304,846,1124,2274,20,2294,0,2294,1112,3406,67.35
