行政區別,村里別,宋楚瑜/徐欣瑩,朱立倫/王如玄,蔡英文/陳建仁,有效票數A,無效票數B,投票數C,已領未投票數D,發出票數E,用餘票數F,選舉人數G,投票率H
總計,,313036,738026,1095146,2146208,23796,2170004,0,2170004,1085192,3255196,66.66
桃園區,,60704,140590,226474,427768,4482,432250,0,432250,219590,651840,66.31
,文化里,88,298,462,848,10,858,0,858,406,1264,67.88
,文明里,230,620,1044,1894,14,1908,0,1908,718,2626,72.66
,武陵里,234,514,1042,1790,24,1814,0,1814,1072,2886,62.86
,大林里,1684,3484,6940,12108,108,12216,0,12216,6390,18606,65.66
,忠義里,1446,3064,4186,8696,94,8790,0,8790,5180,13970,62.92
,會稽里,1542,3640,4738,9920,84,10004,0,10004,5970,15974,62.63
,長美里,136,326,920,1382,10,1392,0,1392,548,1940,71.75
,民生里,214,620,1160,1994,18,2012,0,2012,844,2856,70.45
,永興里,274,560,1436,2270,16,2286,0,2286,976,3262,70.08
,汴洲里,812,1618,3442,5872,50,5922,0,5922,2526,8448,70.1
,永安里,746,1486,3702,5934,56,5990,0,5990,2698,8688,68.95
,東埔里,764,1614,3552,5930,56,5986,0,5986,2924,8910,67.18
,東門里,440,1258,2004,3702,48,3750,0,3750,1778,5528,67.84
,東山里,322,732,1264,2318,28,2346,0,2346,1246,3592,65.31
,萬壽里,180,336,760,1276,12,1288,0,1288,682,1970,65.38
,長安里,572,1210,2662,4444,48,4492,0,4492,2132,6624,67.81
,中埔里,380,708,1942,3030,26,3056,0,3056,1158,4214,72.52
,西埔里,440,996,2736,4172,40,4212,0,4212,1648,5860,71.88
,西門里,294,566,1116,1976,24,2000,0,2000,1050,3050,65.57
,中和里,236,466,1204,1906,28,1934,0,1934,730,2664,72.6
,文昌里,96,300,772,1168,8,1176,0,1176,546,1722,68.29
,新埔里,1570,3852,5108,10530,102,10632,0,10632,5200,15832,67.16
,中山里,1116,2638,4090,7844,66,7910,0,7910,3644,11554,68.46
,慈文里,1090,2016,4008,7114,62,7176,0,7176,3874,11050,64.94
,西湖里,272,642,964,1878,20,1898,0,1898,846,2744,69.17
,南門里,994,2384,4008,7386,92,7478,0,7478,3560,11038,67.75
,南華里,214,552,1070,1836,20,1856,0,1856,832,2688,69.05
,玉山里,762,1806,3802,6370,66,6436,0,6436,2978,9414,68.37
,中成里,650,1930,3098,5678,50,5728,0,5728,2588,8316,68.88
,中正里,838,2202,3228,6268,76,6344,0,6344,2720,9064,69.99
,北門里,260,612,1314,2186,18,2204,0,2204,1026,3230,68.24
,雲林里,1020,2698,3800,7518,112,7630,0,7630,3456,11086,68.83
,福林里,812,2518,3980,7310,96,7406,0,7406,3218,10624,69.71
,光興里,792,1946,3778,6516,68,6584,0,6584,2616,9200,71.57
,龍山里,560,1648,2078,4286,54,4340,0,4340,2422,6762,64.18
,龍岡里,1144,2644,3156,6944,70,7014,0,7014,3446,10460,67.06
,成功里,622,1746,2784,5152,60,5212,0,5212,2168,7380,70.62
,青溪里,826,1586,3828,6240,78,6318,0,6318,2616,8934,70.72
,朝陽里,306,668,1450,2424,24,2448,0,2448,1326,3774,64.86
,中興里,776,1992,4170,6938,60,6998,0,6998,3106,10104,69.26
,豐林里,1088,2600,4486,8174,82,8256,0,8256,3644,11900,69.38
,建國里,858,2062,3382,6302,70,6372,0,6372,3064,9436,67.53
,大豐里,816,1948,3608,6372,88,6460,0,6460,2930,9390,68.8
,福安里,648,1746,2916,5310,44,5354,0,5354,2596,7950,67.35
,三民里,816,2050,2258,5124,48,5172,0,5172,2480,7652,67.59
,大興里,1710,3604,6204,11518,146,11664,0,11664,6962,18626,62.62
,春日里,1096,1990,3884,6970,72,7042,0,7042,4124,11166,63.07
,信光里,1106,2258,4676,8040,82,8122,0,8122,4168,12290,66.09
,中寧里,1040,2308,3288,6636,68,6704,0,6704,3812,10516,63.75
,同安里,1318,2964,4782,9064,76,9140,0,9140,4832,13972,65.42
,莊敬里,1372,3530,4428,9330,98,9428,0,9428,5214,14642,64.39
,文中里,448,1184,1812,3444,46,3490,0,3490,1354,4844,72.05
,泰山里,702,1526,2618,4846,42,4888,0,4888,2172,7060,69.24
,中路里,700,1610,2440,4750,30,4780,0,4780,2454,7234,66.08
,中德里,1038,2698,4276,8012,76,8088,0,8088,3762,11850,68.25
,龍祥里,878,2208,2436,5522,62,5584,0,5584,2878,8462,65.99
,大有里,956,2136,2614,5706,74,5780,0,5780,3666,9446,61.19
,寶山里,1550,2996,4412,8958,74,9032,0,9032,5458,14490,62.33
,龍鳳里,1394,2858,3818,8070,80,8150,0,8150,7976,16126,50.54
,龍安里,970,1886,2904,5760,54,5814,0,5814,2900,8714,66.72
,自強里,1244,2962,4088,8294,78,8372,0,8372,4370,12742,65.7
,中信里,976,2242,3516,6734,98,6832,0,6832,3470,10302,66.32
,長德里,840,1878,3526,6244,84,6328,0,6328,2682,9010,70.23
,中平里,762,1908,2780,5450,56,5506,0,5506,2856,8362,65.85
,中原里,810,1942,2716,5468,58,5526,0,5526,2532,8058,68.58
,中泰里,756,2008,2216,4980,56,5036,0,5036,2302,7338,68.63
,南埔里,786,1766,3074,5626,74,5700,0,5700,2578,8278,68.86
,寶慶里,974,2456,3346,6776,70,6846,0,6846,3488,10334,66.25
,北埔里,730,1648,2618,4996,50,5046,0,5046,2754,7800,64.69
,中聖里,950,2708,2624,6282,62,6344,0,6344,3380,9724,65.24
,龍壽里,946,1968,3344,6258,64,6322,0,6322,3500,9822,64.37
,同德里,1082,2512,3340,6934,70,7004,0,7004,3322,10326,67.83
,明德里,526,1440,1812,3778,48,3826,0,3826,2016,5842,65.49
,寶安里,1428,2970,4112,8510,86,8596,0,8596,5242,13838,62.12
,瑞慶里,980,2074,3256,6310,66,6376,0,6376,3594,9970,63.95
,三元里,656,1450,2066,4172,54,4226,0,4226,2194,6420,65.83
,總計,60704,140590,226474,427768,4482,432250,0,432250,219590,651840,66.31
中壢區,,61760,153692,187486,402938,4330,407268,0,407268,197878,605146,67.3
,龍平里,574,2364,956,3894,44,3938,0,3938,1776,5714,68.92
