行政區別,村里別,周可盛,柯文哲,楊秋興,連勝文,陳永昌,陳菊,馮光遠,有效票數A,無效票數B,投票數C,已領未投票數D,發出票數E,用餘票數F,選舉人數G,投票率H
總計,,984828,0,19886,0,0,926266,0,1930980,37218,1968198,0,1968198,1169228,3137426,62.73
桃園區,,204416,0,3678,0,0,155286,0,363380,6700,370080,0,370080,257260,627340,58.99
,文化里,432,0,2,0,0,306,0,740,14,754,0,754,494,1248,60.42
,文明里,960,0,28,0,0,748,0,1736,32,1768,0,1768,876,2644,66.87
,武陵里,954,0,12,0,0,560,0,1526,38,1564,0,1564,1348,2912,53.71
,大林里,5800,0,76,0,0,3770,0,9646,144,9790,0,9790,7552,17342,56.45
,忠義里,3552,0,56,0,0,3064,0,6672,170,6842,0,6842,6636,13478,50.76
,會稽里,3976,0,52,0,0,3968,0,7996,148,8144,0,8144,6890,15034,54.17
,長美里,900,0,14,0,0,346,0,1260,36,1296,0,1296,480,1776,72.97
,民生里,1082,0,40,0,0,606,0,1728,34,1762,0,1762,1018,2780,63.38
,永興里,1406,0,14,0,0,600,0,2020,54,2074,0,2074,1160,3234,64.13
,汴洲里,3464,0,72,0,0,2174,0,5710,102,5812,0,5812,2496,8308,69.96
,永安里,3512,0,52,0,0,1646,0,5210,102,5312,0,5312,3118,8430,63.01
,東埔里,3412,0,56,0,0,1920,0,5388,84,5472,0,5472,3164,8636,63.36
,東門里,1908,0,22,0,0,1358,0,3288,52,3340,0,3340,2096,5436,61.44
,東山里,1200,0,26,0,0,736,0,1962,50,2012,0,2012,1490,3502,57.45
,萬壽里,880,0,28,0,0,456,0,1364,18,1382,0,1382,590,1972,70.08
,長安里,2642,0,40,0,0,1454,0,4136,86,4222,0,4222,2224,6446,65.5
,中埔里,2060,0,54,0,0,952,0,3066,44,3110,0,3110,1014,4124,75.41
,西埔里,2472,0,40,0,0,1126,0,3638,66,3704,0,3704,1976,5680,65.21
,西門里,1044,0,24,0,0,686,0,1754,34,1788,0,1788,1260,3048,58.66
,中和里,1270,0,28,0,0,578,0,1876,40,1916,0,1916,704,2620,73.13
,文昌里,800,0,12,0,0,354,0,1166,26,1192,0,1192,552,1744,68.35
,新埔里,4564,0,100,0,0,4386,0,9050,154,9204,0,9204,6006,15210,60.51
,中山里,3556,0,64,0,0,2770,0,6390,138,6528,0,6528,4482,11010,59.29
,慈文里,3820,0,58,0,0,2456,0,6334,128,6462,0,6462,4338,10800,59.83
,西湖里,998,0,30,0,0,722,0,1750,34,1784,0,1784,928,2712,65.78
,南門里,3708,0,58,0,0,2596,0,6362,112,6474,0,6474,4370,10844,59.7
,南華里,1120,0,24,0,0,634,0,1778,32,1810,0,1810,842,2652,68.25
,玉山里,3612,0,46,0,0,2136,0,5794,92,5886,0,5886,3492,9378,62.76
,中成里,2930,0,52,0,0,2152,0,5134,112,5246,0,5246,2820,8066,65.04
,中正里,2952,0,50,0,0,2488,0,5490,112,5602,0,5602,3232,8834,63.41
,北門里,1362,0,16,0,0,700,0,2078,48,2126,0,2126,998,3124,68.05
,雲林里,3466,0,66,0,0,2842,0,6374,118,6492,0,6492,4268,10760,60.33
,福林里,3700,0,64,0,0,2576,0,6340,92,6432,0,6432,3984,10416,61.75
,光興里,3764,0,50,0,0,2174,0,5988,108,6096,0,6096,3122,9218,66.13
,龍山里,1832,0,48,0,0,1776,0,3656,98,3754,0,3754,3002,6756,55.57
,龍岡里,2884,0,64,0,0,3150,0,6098,102,6200,0,6200,3824,10024,61.85
,成功里,2596,0,62,0,0,2020,0,4678,84,4762,0,4762,2474,7236,65.81
,青溪里,3574,0,62,0,0,1788,0,5424,82,5506,0,5506,3282,8788,62.65
,朝陽里,1382,0,22,0,0,782,0,2186,30,2216,0,2216,1602,3818,58.04
,中興里,3952,0,64,0,0,2260,0,6276,100,6376,0,6376,3600,9976,63.91
,豐林里,4310,0,88,0,0,2884,0,7282,138,7420,0,7420,4300,11720,63.31
,建國里,3372,0,48,0,0,2308,0,5728,104,5832,0,5832,3456,9288,62.79
,大豐里,3262,0,52,0,0,2046,0,5360,92,5452,0,5452,3612,9064,60.15
,福安里,2532,0,32,0,0,1716,0,4280,92,4372,0,4372,3346,7718,56.65
,三民里,2080,0,32,0,0,2186,0,4298,90,4388,0,4388,3118,7506,58.46
,大興里,5626,0,88,0,0,3876,0,9590,160,9750,0,9750,7786,17536,55.6
,春日里,3466,0,56,0,0,2246,0,5768,130,5898,0,5898,4662,10560,55.85
,信光里,4186,0,58,0,0,2570,0,6814,108,6922,0,6922,4530,11452,60.44
,中寧里,2510,0,38,0,0,2302,0,4850,94,4944,0,4944,4948,9892,49.98
,同安里,4148,0,70,0,0,3334,0,7552,122,7674,0,7674,5786,13460,57.01
,莊敬里,3534,0,54,0,0,3448,0,7036,104,7140,0,7140,6424,13564,52.64
,文中里,1894,0,36,0,0,1406,0,3336,58,3394,0,3394,1384,4778,71.03
,泰山里,2602,0,58,0,0,1788,0,4448,88,4536,0,4536,2398,6934,65.42
