行政區別,村里別,伊斯坦大‧貝雅夫‧正福Istanda‧Paingav,俄鄧‧殷艾Eteng‧Ingay,吳春芳,唐惠美,李美素,林志強,洪金福,温建華,王義雄,范織欽Pasulang‧Tomatalate,蘇志強,陳天斯,有效票數A,無效票數B,投票數C,已領未投票數D,發出票數E,用餘票數F,選舉人數G,投票率H
,永安里,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,8.0,4.0,12.0,0,12.0,14.0,26.0,46.15
,永安里,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,0,6.0,20.0,26.0,23.08
,東埔里,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,6.0,0,6.0,24.0,30.0,20.0
,東埔里,0.0,8.0,0.0,0.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,16.0,0.0,16.0,0,16.0,26.0,42.0,38.1
,東門里,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,4.0,0,4.0,14.0,18.0,22.22
,東門里,0.0,4.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,10.0,0.0,10.0,0,10.0,20.0,30.0,33.33
,東山里,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,6.0,0,6.0,8.0,14.0,42.86
,東山里,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,0,6.0,6.0,12.0,50.0
,萬壽里,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,10.0,0.0,10.0,0,10.0,2.0,12.0,83.33
,萬壽里,0.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,0,8.0,14.0,22.0,36.36
,長安里,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,0.0,6.0,0,6.0,4.0,10.0,60.0
,長安里,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,0,6.0,14.0,20.0,30.0
,中埔里,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,12.0,0.0,12.0,0,12.0,6.0,18.0,66.67
,中埔里,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0,2.0,6.0,8.0,25.0
,西埔里,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,4.0,4.0,0.0
,西埔里,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0,4.0,6.0,10.0,40.0
,西門里,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,4.0,4.0,0.0
,西門里,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0,4.0,8.0,12.0,33.33
,中和里,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,2.0,0.0
,中和里,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0,2.0,10.0,12.0,16.67
,文昌里,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,4.0,4.0,0.0
,文昌里,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,4.0,0,4.0,0.0,4.0,100.0
,新埔里,6.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,14.0,4.0,0.0,38.0,0.0,38.0,0,38.0,36.0,74.0,51.35
,新埔里,0.0,10.0,10.0,0.0,4.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,32.0,0,32.0,86.0,118.0,27.12
,中山里,6.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,26.0,0.0,26.0,0,26.0,26.0,52.0,50.0
,中山里,0.0,20.0,8.0,0.0,2.0,4.0,6.0,6.0,2.0,0.0,0.0,8.0,56.0,0.0,56.0,0,56.0,50.0,106.0,52.83
,慈文里,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,18.0,0.0,18.0,0,18.0,24.0,42.0,42.86
,慈文里,0.0,18.0,6.0,0.0,8.0,6.0,10.0,2.0,6.0,0.0,0.0,2.0,58.0,0.0,58.0,0,58.0,36.0,94.0,61.7
,西湖里,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,0.0,6.0,0,6.0,0.0,6.0,100.0
,西湖里,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
,南門里,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,10.0,0.0,10.0,0,10.0,18.0,28.0,35.71
,南門里,0.0,10.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,24.0,0,24.0,22.0,46.0,52.17
,南華里,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,6.0,0,6.0,0.0,6.0,100.0
,南華里,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0,2.0,8.0,10.0,20.0
,玉山里,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,12.0,2.0,14.0,0,14.0,12.0,26.0,53.85
,玉山里,0.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,12.0,0.0,12.0,0,12.0,20.0,32.0,37.5
,中成里,8.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,20.0,0.0,20.0,0,20.0,24.0,44.0,45.45
,中成里,0.0,6.0,2.0,0.0,2.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,16.0,0.0,16.0,0,16.0,10.0,26.0,61.54
,中正里,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,8.0,2.0,10.0,0,10.0,34.0,44.0,22.73
,中正里,0.0,4.0,8.0,0.0,8.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,30.0,0.0,30.0,0,30.0,38.0,68.0,44.12
,北門里,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0,4.0,6.0,10.0,40.0
,北門里,0.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,10.0,0.0,10.0,0,10.0,6.0,16.0,62.5
,雲林里,2.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,30.0,2.0,32.0,0,32.0,22.0,54.0,59.26
,雲林里,0.0,22.0,2.0,0.0,10.0,2.0,12.0,0.0,4.0,0.0,0.0,2.0,54.0,0.0,54.0,0,54.0,80.0,134.0,40.3
,福林里,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,10.0,0.0,10.0,0,10.0,6.0,16.0,62.5
,福林里,0.0,12.0,4.0,0.0,12.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,30.0,0,30.0,34.0,64.0,46.88
,光興里,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,4.0,0,4.0,8.0,12.0,33.33
,光興里,0.0,6.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0,10.0,6.0,16.0,62.5
,龍山里,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,14.0,12.0,0.0,38.0,0.0,38.0,0,38.0,44.0,82.0,46.34
,龍山里,0.0,22.0,2.0,0.0,4.0,8.0,0.0,0.0,8.0,0.0,0.0,0.0,44.0,2.0,46.0,0,46.0,50.0,96.0,47.92
,龍岡里,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,18.0,8.0,0.0,28.0,0.0,28.0,0,28.0,30.0,58.0,48.28
,龍岡里,0.0,48.0,10.0,0.0,4.0,14.0,4.0,0.0,6.0,0.0,0.0,4.0,90.0,0.0,90.0,0,90.0,66.0,156.0,57.69
,成功里,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,4.0,0.0,4.0,0,4.0,4.0,8.0,50.0
,成功里,0.0,8.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,16.0,4.0,20.0,0,20.0,18.0,38.0,52.63
,青溪里,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,12.0,0.0,12.0,0,12.0,6.0,18.0,66.67
,青溪里,0.0,6.0,2.0,0.0,12.0,0.0,4.0,0.0,4.0,0.0,0.0,2.0,30.0,0.0,30.0,0,30.0,20.0,50.0,60.0
,朝陽里,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0,2.0,8.0,10.0,20.0
,朝陽里,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,10.0,10.0,0.0
,中興里,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,0,8.0,10.0,18.0,44.44
,中興里,0.0,0.0,8.0,0.0,4.0,0.0,2.0,2.0,4.0,0.0,0.0,0.0,20.0,0.0,20.0,0,20.0,30.0,50.0,40.0
,豐林里,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,12.0,0.0,12.0,0,12.0,40.0,52.0,23.08
,豐林里,0.0,12.0,20.0,0.0,12.0,4.0,6.0,0.0,8.0,0.0,0.0,2.0,64.0,2.0,66.0,0,66.0,56.0,122.0,54.1
,建國里,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,8.0,0.0,8.0,0,8.0,20.0,28.0,28.57
,建國里,0.0,16.0,16.0,0.0,10.0,12.0,2.0,0.0,10.0,0.0,0.0,0.0,66.0,0.0,66.0,0,66.0,42.0,108.0,61.11
,大豐里,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,28.0,4.0,0.0,34.0,0.0,34.0,0,34.0,22.0,56.0,60.71
,大豐里,0.0,32.0,12.0,0.0,24.0,8.0,0.0,2.0,22.0,0.0,0.0,10.0,110.0,2.0,112.0,0,112.0,98.0,210.0,53.33
,福安里,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,12.0,0.0,12.0,0,12.0,24.0,36.0,33.33
,福安里,0.0,4.0,4.0,0.0,4.0,0.0,2.0,0.0,8.0,0.0,0.0,0.0,22.0,0.0,22.0,0,22.0,44.0,66.0,33.33
,三民里,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,14.0,0.0,14.0,0,14.0,14.0,28.0,50.0
,三民里,0.0,0.0,0.0,0.0,4.0,8.0,0.0,2.0,2.0,0.0,0.0,4.0,20.0,0.0,20.0,0,20.0,24.0,44.0,45.45
,大興里,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,16.0,2.0,18.0,0,18.0,38.0,56.0,32.14
,大興里,0.0,4.0,12.0,0.0,12.0,4.0,4.0,0.0,8.0,0.0,0.0,2.0,46.0,2.0,48.0,0,48.0,68.0,116.0,41.38
,春日里,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,12.0,2.0,14.0,0,14.0,36.0,50.0,28.0
,春日里,0.0,10.0,10.0,0.0,14.0,4.0,4.0,2.0,2.0,0.0,0.0,0.0,46.0,0.0,46.0,0,46.0,64.0,110.0,41.82
,信光里,6.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,14.0,6.0,0.0,34.0,2.0,36.0,0,36.0,30.0,66.0,54.55
,信光里,0.0,6.0,2.0,0.0,2.0,0.0,2.0,0.0,10.0,0.0,0.0,6.0,28.0,0.0,28.0,0,28.0,32.0,60.0,46.67
,中寧里,4.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,18.0,0.0,18.0,0,18.0,22.0,40.0,45.0
,中寧里,0.0,0.0,8.0,0.0,8.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,28.0,0.0,28.0,0,28.0,56.0,84.0,33.33
,同安里,4.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,34.0,0.0,34.0,0,34.0,22.0,56.0,60.71
,同安里,0.0,14.0,12.0,0.0,14.0,16.0,8.0,2.0,4.0,0.0,0.0,0.0,70.0,0.0,70.0,0,70.0,78.0,148.0,47.3
,莊敬里,8.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,18.0,0.0,18.0,0,18.0,20.0,38.0,47.37
,莊敬里,0.0,6.0,10.0,0.0,16.0,2.0,4.0,0.0,0.0,0.0,0.0,8.0,46.0,0.0,46.0,0,46.0,76.0,122.0,37.7
,文中里,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,0,6.0,6.0,12.0,50.0
,文中里,0.0,8.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,14.0,0,14.0,24.0,38.0,36.84
,泰山里,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,6.0,0.0,6.0,0,6.0,4.0,10.0,60.0
,泰山里,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,8.0,2.0,10.0,0,10.0,14.0,24.0,41.67
,中路里,2.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,24.0,0.0,24.0,0,24.0,34.0,58.0,41.38
,中路里,0.0,18.0,10.0,0.0,4.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,40.0,2.0,42.0,0,42.0,46.0,88.0,47.73
,中德里,12.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,18.0,2.0,0.0,50.0,0.0,50.0,0,50.0,30.0,80.0,62.5
,中德里,0.0,2.0,8.0,0.0,24.0,0.0,6.0,2.0,2.0,0.0,0.0,2.0,46.0,0.0,46.0,0,46.0,42.0,88.0,52.27
,龍祥里,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,18.0,0.0,18.0,0,18.0,24.0,42.0,42.86
,龍祥里,0.0,24.0,6.0,0.0,4.0,2.0,12.0,6.0,2.0,0.0,0.0,6.0,62.0,0.0,62.0,0,62.0,82.0,144.0,43.06
,大有里,6.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,24.0,0.0,24.0,0,24.0,28.0,52.0,46.15
,大有里,0.0,12.0,2.0,0.0,6.0,0.0,0.0,0.0,12.0,0.0,0.0,4.0,36.0,2.0,38.0,0,38.0,90.0,128.0,29.69
,寶山里,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,14.0,6.0,0.0,30.0,0.0,30.0,0,30.0,28.0,58.0,51.72
,寶山里,0.0,32.0,10.0,0.0,20.0,6.0,10.0,4.0,8.0,0.0,0.0,0.0,90.0,8.0,98.0,0,98.0,84.0,182.0,53.85
,龍鳳里,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,0.0,26.0,2.0,28.0,0,28.0,50.0,78.0,35.9
,龍鳳里,0.0,52.0,2.0,0.0,20.0,14.0,18.0,0.0,10.0,0.0,0.0,0.0,116.0,0.0,116.0,0,116.0,152.0,268.0,43.28
,龍安里,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,8.0,2.0,10.0,0,10.0,22.0,32.0,31.25
,龍安里,0.0,26.0,14.0,0.0,12.0,10.0,8.0,2.0,4.0,0.0,0.0,2.0,78.0,2.0,80.0,0,80.0,92.0,172.0,46.51
,自強里,16.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,0.0,38.0,0.0,38.0,0,38.0,32.0,70.0,54.29
,自強里,0.0,2.0,4.0,0.0,12.0,12.0,4.0,0.0,10.0,0.0,0.0,0.0,44.0,0.0,44.0,0,44.0,60.0,104.0,42.31
,中信里,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,6.0,0.0,24.0,0.0,24.0,0,24.0,38.0,62.0,38.71
,中信里,0.0,16.0,16.0,0.0,8.0,4.0,4.0,0.0,0.0,0.0,0.0,2.0,50.0,2.0,52.0,0,52.0,64.0,116.0,44.83
,長德里,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,10.0,2.0,12.0,0,12.0,10.0,22.0,54.55
,長德里,0.0,4.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,10.0,0.0,10.0,0,10.0,4.0,14.0,71.43
,中平里,6.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,20.0,0.0,20.0,0,20.0,4.0,24.0,83.33
,中平里,0.0,4.0,8.0,0.0,6.0,4.0,0.0,0.0,8.0,0.0,0.0,6.0,36.0,2.0,38.0,0,38.0,38.0,76.0,50.0
,中原里,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0,14.0,0.0,14.0,0,14.0,14.0,28.0,50.0
,中原里,0.0,12.0,2.0,0.0,4.0,4.0,0.0,0.0,12.0,0.0,0.0,4.0,38.0,0.0,38.0,0,38.0,60.0,98.0,38.78
,中泰里,2.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,20.0,0.0,20.0,0,20.0,10.0,30.0,66.67
,中泰里,0.0,4.0,20.0,0.0,4.0,2.0,0.0,4.0,2.0,0.0,0.0,0.0,36.0,4.0,40.0,0,40.0,30.0,70.0,57.14
,南埔里,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,16.0,0.0,16.0,0,16.0,10.0,26.0,61.54
,南埔里,0.0,2.0,8.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,18.0,0.0,18.0,0,18.0,36.0,54.0,33.33
,寶慶里,2.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,12.0,0.0,12.0,0,12.0,18.0,30.0,40.0
,寶慶里,0.0,2.0,2.0,0.0,4.0,16.0,0.0,0.0,2.0,0.0,0.0,8.0,34.0,2.0,36.0,0,36.0,26.0,62.0,58.06
,北埔里,8.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,18.0,0,18.0,10.0,28.0,64.29
,北埔里,0.0,6.0,0.0,0.0,2.0,2.0,0.0,2.0,6.0,0.0,0.0,2.0,20.0,0.0,20.0,0,20.0,30.0,50.0,40.0
,中聖里,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,14.0,0.0,14.0,0,14.0,18.0,32.0,43.75
,中聖里,0.0,20.0,6.0,0.0,14.0,16.0,10.0,2.0,0.0,0.0,0.0,6.0,74.0,4.0,78.0,0,78.0,64.0,142.0,54.93
,龍壽里,12.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,0.0,34.0,2.0,36.0,0,36.0,24.0,60.0,60.0
,龍壽里,0.0,20.0,10.0,0.0,8.0,0.0,20.0,4.0,12.0,0.0,0.0,6.0,80.0,0.0,80.0,0,80.0,78.0,158.0,50.63
,同德里,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,10.0,0.0,10.0,0,10.0,22.0,32.0,31.25
,同德里,0.0,0.0,4.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,12.0,0.0,12.0,0,12.0,22.0,34.0,35.29
,明德里,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0,2.0,10.0,12.0,16.67
,明德里,0.0,18.0,16.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,10.0,50.0,0.0,50.0,0,50.0,24.0,74.0,67.57
,寶安里,10.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,34.0,0.0,34.0,0,34.0,64.0,98.0,34.69
,寶安里,0.0,30.0,26.0,0.0,6.0,8.0,2.0,6.0,4.0,0.0,0.0,4.0,86.0,4.0,90.0,0,90.0,98.0,188.0,47.87
,瑞慶里,8.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,20.0,2.0,22.0,0,22.0,16.0,38.0,57.89
,瑞慶里,0.0,38.0,24.0,0.0,10.0,4.0,2.0,6.0,0.0,0.0,0.0,4.0,88.0,2.0,90.0,0,90.0,94.0,184.0,48.91
,三元里,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,16.0,0.0,16.0,0,16.0,60.0,76.0,21.05
,三元里,0.0,12.0,4.0,0.0,2.0,0.0,4.0,0.0,10.0,0.0,0.0,0.0,32.0,0.0,32.0,0,32.0,52.0,84.0,38.1
,總計,4622.0,1728.0,4318.0,6898.0,5260.0,4098.0,3008.0,1066.0,3178.0,3772.0,5534.0,1694.0,45176.0,1082.0,46258.0,0,46258.0,37774.0,84032.0,55.05
,龍平里,14.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,34.0,0.0,34.0,0,34.0,26.0,60.0,56.67
,龍平里,0.0,0.0,4.0,0.0,6.0,6.0,2.0,0.0,8.0,0.0,0.0,2.0,28.0,0.0,28.0,0,28.0,22.0,50.0,56.0
,龍昌里,26.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,18.0,22.0,0.0,76.0,4.0,80.0,0,80.0,66.0,146.0,54.79
,龍昌里,0.0,4.0,20.0,0.0,10.0,8.0,0.0,0.0,16.0,0.0,0.0,6.0,64.0,2.0,66.0,0,66.0,54.0,120.0,55.0
,仁德里,8.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,12.0,14.0,0.0,36.0,2.0,38.0,0,38.0,36.0,74.0,51.35
,仁德里,0.0,14.0,0.0,0.0,4.0,8.0,10.0,0.0,38.0,0.0,0.0,0.0,74.0,4.0,78.0,0,78.0,48.0,126.0,61.9
,永興里,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,2.0,0.0
