行政區別,村里別,俄鄧．殷艾 Eteng．Ingay,吳春芳,唐惠美,李惠民,林偕文,林志強,林欽明,江愛珍,王仙蓮,王義雄,范織欽 Pasulang．Tomatalate,蔣正仁,蘇佐揚,詹金福,陳姿伶 Amuy ．Muwakay,陳幸富,陳榮基,有效票數A,無效票數B,投票數C,已領未投票數D,發出票數E,用餘票數F,選舉人數G,投票率H
總計,,5352.0,3176.0,4158.0,5726.0,1226.0,3314.0,1456.0,2250.0,3716.0,1990.0,858.0,2212.0,886.0,3034.0,4002.0,5466.0,4588.0,53410.0,1510.0,54920.0,0,54920.0,43526.0,98446.0,55.79
,,5352.0,3176.0,4158.0,5726.0,1226.0,3314.0,1456.0,2250.0,3716.0,1990.0,858.0,2212.0,886.0,3034.0,4002.0,5466.0,4588.0,53410.0,1510.0,54920.0,0,54920.0,43526.0,98446.0,55.79
,文化里,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,4.0,0,4.0,2.0,6.0,66.67
,文化里,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,0,6.0,6.0,12.0,50.0
,文明里,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0,2.0,4.0,6.0,33.33
,文明里,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,4.0,0,4.0,6.0,10.0,40.0
,武陵里,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0,2.0,4.0,6.0,33.33
,武陵里,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,8.0,0.0,8.0,0,8.0,4.0,12.0,66.67
,大林里,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,6.0,20.0,0.0,20.0,0,20.0,34.0,54.0,37.04
,大林里,20.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,8.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,44.0,0.0,44.0,0,44.0,74.0,118.0,37.29
,忠義里,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,4.0,0.0,0.0,2.0,4.0,20.0,2.0,22.0,0,22.0,26.0,48.0,45.83
