行政區別,村里別,1_柯文哲/吳欣盈,10-005_1_黨籍,2_賴清德/蕭美琴,10-005_2_黨籍,3_侯友宜/趙少康,10-005_3_黨籍,有效票數A,無效票數B,投票數C,已領未投票數D,發出票數E,用餘票數F,選舉人數G,投票率H
苗栗市,中苗里,482,無黨籍及未經政黨推薦,394,民主進步黨,782,中國國民黨,1658,8,1666,0,1666,592,2258,73.78
苗栗市,建功里,1656,無黨籍及未經政黨推薦,1288,民主進步黨,2822,中國國民黨,5766,42,5808,0,5808,2062,7870,73.8
苗栗市,青苗里,380,無黨籍及未經政黨推薦,352,民主進步黨,608,中國國民黨,1340,10,1350,0,1350,564,1914,70.53
苗栗市,玉清里,900,無黨籍及未經政黨推薦,714,民主進步黨,1616,中國國民黨,3230,16,3246,0,3246,1046,4292,75.63
苗栗市,玉華里,1404,無黨籍及未經政黨推薦,1058,民主進步黨,2570,中國國民黨,5032,28,5060,0,5060,1882,6942,72.89
苗栗市,維新里,1326,無黨籍及未經政黨推薦,1128,民主進步黨,2636,中國國民黨,5090,44,5134,0,5134,1748,6882,74.6
苗栗市,維祥里,1252,無黨籍及未經政黨推薦,944,民主進步黨,2240,中國國民黨,4436,24,4460,0,4460,1790,6250,71.36
苗栗市,綠苗里,308,無黨籍及未經政黨推薦,252,民主進步黨,520,中國國民黨,1080,4,1084,0,1084,426,1510,71.79
苗栗市,高苗里,1262,無黨籍及未經政黨推薦,1054,民主進步黨,2066,中國國民黨,4382,42,4424,0,4424,1838,6262,70.65
苗栗市,玉苗里,268,無黨籍及未經政黨推薦,330,民主進步黨,548,中國國民黨,1146,6,1152,0,1152,406,1558,73.94
苗栗市,大同里,182,無黨籍及未經政黨推薦,158,民主進步黨,336,中國國民黨,676,6,682,0,682,276,958,71.19
苗栗市,新苗里,276,無黨籍及未經政黨推薦,332,民主進步黨,514,中國國民黨,1122,8,1130,0,1130,438,1568,72.07
苗栗市,勝利里,1562,無黨籍及未經政黨推薦,1318,民主進步黨,2630,中國國民黨,5510,46,5556,0,5556,1834,7390,75.18
苗栗市,恭敬里,572,無黨籍及未經政黨推薦,466,民主進步黨,826,中國國民黨,1864,16,1880,0,1880,716,2596,72.42
苗栗市,上苗里,562,無黨籍及未經政黨推薦,580,民主進步黨,1000,中國國民黨,2142,12,2154,0,2154,802,2956,72.87
苗栗市,北苗里,2142,無黨籍及未經政黨推薦,1774,民主進步黨,3366,中國國民黨,7282,50,7332,0,7332,2506,9838,74.53
苗栗市,清華里,1224,無黨籍及未經政黨推薦,1118,民主進步黨,2072,中國國民黨,4414,22,4436,0,4436,1448,5884,75.39
苗栗市,嘉盛里,1506,無黨籍及未經政黨推薦,1092,民主進步黨,2268,中國國民黨,4866,36,4902,0,4902,1664,6566,74.66
苗栗市,福星里,1826,無黨籍及未經政黨推薦,1416,民主進步黨,2642,中國國民黨,5884,32,5916,0,5916,2252,8168,72.43
苗栗市,新川里,450,無黨籍及未經政黨推薦,424,民主進步黨,752,中國國民黨,1626,16,1642,0,1642,596,2238,73.37
苗栗市,文山里,2184,無黨籍及未經政黨推薦,1466,民主進步黨,2752,中國國民黨,6402,42,6444,0,6444,2100,8544,75.42
苗栗市,福麗里,2228,無黨籍及未經政黨推薦,1574,民主進步黨,3470,中國國民黨,7272,52,7324,0,7324,3192,10516,69.65
苗栗市,水源里,1004,無黨籍及未經政黨推薦,822,民主進步黨,1620,中國國民黨,3446,30,3476,0,3476,1280,4756,73.09
苗栗市,新英里,640,無黨籍及未經政黨推薦,546,民主進步黨,994,中國國民黨,2180,22,2202,0,2202,996,3198,68.86
苗栗市,福安里,1720,無黨籍及未經政黨推薦,1066,民主進步黨,2118,中國國民黨,4904,28,4932,0,4932,1998,6930,71.17
苗栗市,嘉新里,1178,無黨籍及未經政黨推薦,896,民主進步黨,2054,中國國民黨,4128,32,4160,0,4160,1230,5390,77.18
苗栗市,南勢里,752,無黨籍及未經政黨推薦,612,民主進步黨,1184,中國國民黨,2548,24,2572,0,2572,1110,3682,69.85
苗栗市,文聖里,1788,無黨籍及未經政黨推薦,1060,民主進步黨,2228,中國國民黨,5076,36,5112,0,5112,1934,7046,72.55
苑裡鎮,苑東里,902,無黨籍及未經政黨推薦,1160,民主進步黨,942,中國國民黨,3004,32,3036,0,3036,1134,4170,72.81
苑裡鎮,苑南里,484,無黨籍及未經政黨推薦,818,民主進步黨,618,中國國民黨,1920,8,1928,0,1928,826,2754,70.01
苑裡鎮,苑北里,332,無黨籍及未經政黨推薦,526,民主進步黨,376,中國國民黨,1234,4,1238,0,1238,408,1646,75.21
苑裡鎮,西平里,626,無黨籍及未經政黨推薦,970,民主進步黨,562,中國國民黨,2158,18,2176,0,2176,824,3000,72.53
苑裡鎮,苑港里,434,無黨籍及未經政黨推薦,882,民主進步黨,300,中國國民黨,1616,26,1642,0,1642,604,2246,73.11
苑裡鎮,西勢里,908,無黨籍及未經政黨推薦,1208,民主進步黨,784,中國國民黨,2900,14,2914,0,2914,1122,4036,72.2
苑裡鎮,海岸里,348,無黨籍及未經政黨推薦,706,民主進步黨,374,中國國民黨,1428,12,1440,0,1440,550,1990,72.36
苑裡鎮,房裡里,794,無黨籍及未經政黨推薦,1308,民主進步黨,948,中國國民黨,3050,12,3062,0,3062,1088,4150,73.78
苑裡鎮,客庄里,1622,無黨籍及未經政黨推薦,2362,民主進步黨,1764,中國國民黨,5748,12,5760,0,5760,2102,7862,73.26
苑裡鎮,中正里,926,無黨籍及未經政黨推薦,1232,民主進步黨,900,中國國民黨,3058,14,3072,0,3072,1200,4272,71.91
苑裡鎮,苑坑里,320,無黨籍及未經政黨推薦,602,民主進步黨,302,中國國民黨,1224,14,1238,0,1238,590,1828,67.72
苑裡鎮,水坡里,222,無黨籍及未經政黨推薦,390,民主進步黨,212,中國國民黨,824,8,832,0,832,386,1218,68.31
苑裡鎮,新復里,572,無黨籍及未經政黨推薦,742,民主進步黨,600,中國國民黨,1914,10,1924,0,1924,642,2566,74.98
苑裡鎮,山脚里,538,無黨籍及未經政黨推薦,772,民主進步黨,528,中國國民黨,1838,10,1848,0,1848,672,2520,73.33
苑裡鎮,舊社里,666,無黨籍及未經政黨推薦,1014,民主進步黨,750,中國國民黨,2430,10,2440,0,2440,1010,3450,70.72
苑裡鎮,福田里,392,無黨籍及未經政黨推薦,742,民主進步黨,492,中國國民黨,1626,32,1658,0,1658,698,2356,70.37
苑裡鎮,石鎮里,198,無黨籍及未經政黨推薦,296,民主進步黨,226,中國國民黨,720,6,726,0,726,290,1016,71.46
