行政區別,村里別,1_宋楚瑜/余湘,64_1_黨籍,2_韓國瑜/張善政,64_2_黨籍,3_蔡英文/賴清德,64_3_黨籍,有效票數A,無效票數B,投票數C,已領未投票數D,發出票數E,用餘票數F,選舉人數G,投票率H
高雄市鹽埕區,藍橋里,60,親民黨,588,中國國民黨,1324,民主進步黨,1972,14,1986,0,1986,512,2498,79.5
高雄市鹽埕區,慈愛里,8,親民黨,160,中國國民黨,366,民主進步黨,534,2,536,0,536,116,652,82.21
高雄市鹽埕區,博愛里,24,親民黨,260,中國國民黨,710,民主進步黨,994,10,1004,0,1004,240,1244,80.71
高雄市鹽埕區,壽星里,36,親民黨,734,中國國民黨,1094,民主進步黨,1864,14,1878,0,1878,680,2558,73.42
高雄市鹽埕區,中山里,56,親民黨,592,中國國民黨,1078,民主進步黨,1726,18,1744,0,1744,464,2208,78.99
高雄市鹽埕區,教仁里,88,親民黨,1064,中國國民黨,1962,民主進步黨,3114,22,3136,0,3136,774,3910,80.2
高雄市鹽埕區,新樂里,32,親民黨,468,中國國民黨,780,民主進步黨,1280,16,1296,0,1296,336,1632,79.41
高雄市鹽埕區,中原里,24,親民黨,282,中國國民黨,596,民主進步黨,902,12,914,0,914,250,1164,78.52
高雄市鹽埕區,光明里,44,親民黨,656,中國國民黨,1262,民主進步黨,1962,20,1982,0,1982,906,2888,68.63
高雄市鹽埕區,育仁里,42,親民黨,354,中國國民黨,758,民主進步黨,1154,20,1174,0,1174,332,1506,77.95
高雄市鹽埕區,河濱里,110,親民黨,814,中國國民黨,1560,民主進步黨,2484,28,2512,0,2512,664,3176,79.09
高雄市鹽埕區,沙地里,22,親民黨,302,中國國民黨,712,民主進步黨,1036,8,1044,0,1044,334,1378,75.76
高雄市鹽埕區,南端里,46,親民黨,518,中國國民黨,848,民主進步黨,1412,18,1430,0,1430,472,1902,75.18
高雄市鹽埕區,港都里,58,親民黨,502,中國國民黨,1094,民主進步黨,1654,6,1660,0,1660,404,2064,80.43
高雄市鹽埕區,江西里,40,親民黨,504,中國國民黨,1120,民主進步黨,1664,16,1680,0,1680,448,2128,78.95
高雄市鹽埕區,新豐里,40,親民黨,426,中國國民黨,714,民主進步黨,1180,10,1190,0,1190,352,1542,77.17
高雄市鹽埕區,府北里,78,親民黨,1036,中國國民黨,1866,民主進步黨,2980,38,3018,0,3018,1012,4030,74.89
高雄市鹽埕區,陸橋里,46,親民黨,572,中國國民黨,1116,民主進步黨,1734,14,1748,0,1748,524,2272,76.94
高雄市鹽埕區,瀨南里,22,親民黨,270,中國國民黨,580,民主進步黨,872,8,880,0,880,254,1134,77.6
高雄市鹽埕區,新化里,20,親民黨,266,中國國民黨,590,民主進步黨,876,26,902,0,902,192,1094,82.45
高雄市鹽埕區,江南里,14,親民黨,172,中國國民黨,720,民主進步黨,906,4,910,0,910,288,1198,75.96
高雄市鼓山區,鼓峰里,94,親民黨,1350,中國國民黨,1406,民主進步黨,2850,28,2878,0,2878,878,3756,76.62
高雄市鼓山區,雄峰里,74,親民黨,1682,中國國民黨,1158,民主進步黨,2914,28,2942,0,2942,964,3906,75.32
高雄市鼓山區,前峰里,198,親民黨,2852,中國國民黨,3294,民主進步黨,6344,90,6434,0,6434,1634,8068,79.75
高雄市鼓山區,光榮里,124,親民黨,1396,中國國民黨,3626,民主進步黨,5146,48,5194,0,5194,1420,6614,78.53
高雄市鼓山區,民族里,48,親民黨,680,中國國民黨,1322,民主進步黨,2050,16,2066,0,2066,422,2488,83.04
高雄市鼓山區,內惟里,44,親民黨,490,中國國民黨,1104,民主進步黨,1638,22,1660,0,1660,470,2130,77.93
高雄市鼓山區,建國里,120,親民黨,1288,中國國民黨,2334,民主進步黨,3742,52,3794,0,3794,934,4728,80.25
高雄市鼓山區,忠正里,180,親民黨,1940,中國國民黨,3510,民主進步黨,5630,46,5676,0,5676,1598,7274,78.03
高雄市鼓山區,自強里,28,親民黨,916,中國國民黨,156,民主進步黨,1100,6,1106,0,1106,290,1396,79.23
高雄市鼓山區,龍井里,42,親民黨,666,中國國民黨,1104,民主進步黨,1812,16,1828,0,1828,582,2410,75.85
高雄市鼓山區,正德里,78,親民黨,842,中國國民黨,2080,民主進步黨,3000,20,3020,0,3020,796,3816,79.14
高雄市鼓山區,平和里,132,親民黨,1502,中國國民黨,3608,民主進步黨,5242,54,5296,0,5296,1338,6634,79.83
高雄市鼓山區,民強里,130,親民黨,1226,中國國民黨,2778,民主進步黨,4134,30,4164,0,4164,1012,5176,80.45
高雄市鼓山區,厚生里,82,親民黨,1394,中國國民黨,3082,民主進步黨,4558,28,4586,0,4586,1230,5816,78.85
高雄市鼓山區,龍子里,738,親民黨,8704,中國國民黨,13378,民主進步黨,22820,216,23036,0,23036,6510,29546,77.97
高雄市鼓山區,龍水里,1230,親民黨,13032,中國國民黨,18404,民主進步黨,32666,340,33006,0,33006,9212,42218,78.18
高雄市鼓山區,明誠里,784,親民黨,10124,中國國民黨,12974,民主進步黨,23882,228,24110,0,24110,7224,31334,76.95
高雄市鼓山區,華豐里,222,親民黨,2634,中國國民黨,3156,民主進步黨,6012,54,6066,0,6066,1502,7568,80.15
高雄市鼓山區,裕興里,170,親民黨,2498,中國國民黨,2656,民主進步黨,5324,44,5368,0,5368,1568,6936,77.39
高雄市鼓山區,裕豐里,96,親民黨,2018,中國國民黨,1806,民主進步黨,3920,22,3942,0,3942,1024,4966,79.38
高雄市鼓山區,鼓岩里,24,親民黨,524,中國國民黨,1146,民主進步黨,1694,24,1718,0,1718,598,2316,74.18
高雄市鼓山區,樹德里,40,親民黨,508,中國國民黨,1266,民主進步黨,1814,12,1826,0,1826,390,2216,82.4
高雄市鼓山區,寶樹里,44,親民黨,610,中國國民黨,1116,民主進步黨,1770,12,1782,0,1782,1822,3604,49.45
高雄市鼓山區,興宗里,46,親民黨,684,中國國民黨,1228,民主進步黨,1958,12,1970,0,1970,530,2500,78.8
高雄市鼓山區,光化里,88,親民黨,652,中國國民黨,1056,民主進步黨,1796,16,1812,0,1812,582,2394,75.69
高雄市鼓山區,山下里,64,親民黨,800,中國國民黨,1090,民主進步黨,1954,26,1980,0,1980,618,2598,76.21
高雄市鼓山區,河邊里,62,親民黨,852,中國國民黨,1380,民主進步黨,2294,16,2310,0,2310,708,3018,76.54
高雄市鼓山區,綠川里,64,親民黨,610,中國國民黨,1410,民主進步黨,2084,14,2098,0,2098,600,2698,77.76
高雄市鼓山區,登山里,14,親民黨,326,中國國民黨,564,民主進步黨,904,2,906,0,906,290,1196,75.75
高雄市鼓山區,峰南里,22,親民黨,374,中國國民黨,840,民主進步黨,1236,10,1246,0,1246,390,1636,76.16
高雄市鼓山區,麗興里,52,親民黨,406,中國國民黨,964,民主進步黨,1422,18,1440,0,1440,452,1892,76.11
高雄市鼓山區,新民里,46,親民黨,368,中國國民黨,1024,民主進步黨,1438,20,1458,0,1458,420,1878,77.64
高雄市鼓山區,延平里,28,親民黨,292,中國國民黨,844,民主進步黨,1164,6,1170,0,1170,286,1456,80.36
高雄市鼓山區,維生里,44,親民黨,490,中國國民黨,1286,民主進步黨,1820,10,1830,0,1830,570,2400,76.25
