行政區別,村里別,1_柯文哲/吳欣盈,64_1_黨籍,2_賴清德/蕭美琴,64_2_黨籍,3_侯友宜/趙少康,64_3_黨籍,有效票數A,無效票數B,投票數C,已領未投票數D,發出票數E,用餘票數F,選舉人數G,投票率H
高雄市鹽埕區,藍橋里,378,無黨籍及未經政黨推薦,1014,民主進步黨,420,中國國民黨,1812,10,1822,0,1822,600,2422,75.23
高雄市鹽埕區,慈愛里,72,無黨籍及未經政黨推薦,246,民主進步黨,116,中國國民黨,434,2,436,0,436,168,604,72.19
高雄市鹽埕區,博愛里,112,無黨籍及未經政黨推薦,518,民主進步黨,246,中國國民黨,876,0,876,0,876,296,1172,74.74
高雄市鹽埕區,壽星里,308,無黨籍及未經政黨推薦,760,民主進步黨,584,中國國民黨,1652,10,1662,0,1662,760,2422,68.62
高雄市鹽埕區,中山里,350,無黨籍及未經政黨推薦,934,民主進步黨,520,中國國民黨,1804,6,1810,0,1810,690,2500,72.4
高雄市鹽埕區,教仁里,494,無黨籍及未經政黨推薦,1452,民主進步黨,830,中國國民黨,2776,16,2792,0,2792,900,3692,75.62
高雄市鹽埕區,新樂里,212,無黨籍及未經政黨推薦,568,民主進步黨,386,中國國民黨,1166,4,1170,0,1170,356,1526,76.67
高雄市鹽埕區,中原里,122,無黨籍及未經政黨推薦,460,民主進步黨,204,中國國民黨,786,4,790,0,790,252,1042,75.82
高雄市鹽埕區,光明里,290,無黨籍及未經政黨推薦,1028,民主進步黨,510,中國國民黨,1828,8,1836,0,1836,1106,2942,62.41
高雄市鹽埕區,育仁里,176,無黨籍及未經政黨推薦,556,民主進步黨,286,中國國民黨,1018,12,1030,0,1030,400,1430,72.03
高雄市鹽埕區,河濱里,408,無黨籍及未經政黨推薦,1194,民主進步黨,638,中國國民黨,2240,8,2248,0,2248,684,2932,76.67
高雄市鹽埕區,沙地里,176,無黨籍及未經政黨推薦,540,民主進步黨,230,中國國民黨,946,2,948,0,948,346,1294,73.26
高雄市鹽埕區,南端里,212,無黨籍及未經政黨推薦,648,民主進步黨,350,中國國民黨,1210,14,1224,0,1224,526,1750,69.94
高雄市鹽埕區,港都里,210,無黨籍及未經政黨推薦,804,民主進步黨,440,中國國民黨,1454,6,1460,0,1460,484,1944,75.1
高雄市鹽埕區,江西里,242,無黨籍及未經政黨推薦,806,民主進步黨,364,中國國民黨,1412,6,1418,0,1418,528,1946,72.87
高雄市鹽埕區,新豐里,202,無黨籍及未經政黨推薦,566,民主進步黨,336,中國國民黨,1104,2,1106,0,1106,384,1490,74.23
高雄市鹽埕區,府北里,542,無黨籍及未經政黨推薦,1412,民主進步黨,760,中國國民黨,2714,26,2740,0,2740,1116,3856,71.06
高雄市鹽埕區,陸橋里,290,無黨籍及未經政黨推薦,774,民主進步黨,398,中國國民黨,1462,20,1482,0,1482,594,2076,71.39
高雄市鹽埕區,瀨南里,102,無黨籍及未經政黨推薦,466,民主進步黨,200,中國國民黨,768,4,772,0,772,266,1038,74.37
高雄市鹽埕區,新化里,146,無黨籍及未經政黨推薦,418,民主進步黨,232,中國國民黨,796,6,802,0,802,234,1036,77.41
高雄市鹽埕區,江南里,102,無黨籍及未經政黨推薦,506,民主進步黨,132,中國國民黨,740,4,744,0,744,318,1062,70.06
高雄市鼓山區,鼓峰里,574,無黨籍及未經政黨推薦,908,民主進步黨,1002,中國國民黨,2484,18,2502,0,2502,1058,3560,70.28
高雄市鼓山區,雄峰里,562,無黨籍及未經政黨推薦,704,民主進步黨,1206,中國國民黨,2472,14,2486,0,2486,1166,3652,68.07
高雄市鼓山區,前峰里,1008,無黨籍及未經政黨推薦,2352,民主進步黨,2238,中國國民黨,5598,22,5620,0,5620,2030,7650,73.46
高雄市鼓山區,光榮里,892,無黨籍及未經政黨推薦,2724,民主進步黨,1150,中國國民黨,4766,22,4788,0,4788,1746,6534,73.28
高雄市鼓山區,民族里,356,無黨籍及未經政黨推薦,970,民主進步黨,542,中國國民黨,1868,12,1880,0,1880,540,2420,77.69
高雄市鼓山區,內惟里,282,無黨籍及未經政黨推薦,818,民主進步黨,314,中國國民黨,1414,6,1420,0,1420,550,1970,72.08
高雄市鼓山區,建國里,678,無黨籍及未經政黨推薦,1790,民主進步黨,1046,中國國民黨,3514,20,3534,0,3534,1078,4612,76.63
高雄市鼓山區,忠正里,954,無黨籍及未經政黨推薦,2480,民主進步黨,1550,中國國民黨,4984,36,5020,0,5020,1898,6918,72.56
高雄市鼓山區,自強里,132,無黨籍及未經政黨推薦,90,民主進步黨,710,中國國民黨,932,2,934,0,934,378,1312,71.19
高雄市鼓山區,龍井里,256,無黨籍及未經政黨推薦,854,民主進步黨,508,中國國民黨,1618,8,1626,0,1626,644,2270,71.63
高雄市鼓山區,正德里,502,無黨籍及未經政黨推薦,1534,民主進步黨,638,中國國民黨,2674,18,2692,0,2692,990,3682,73.11
高雄市鼓山區,平和里,890,無黨籍及未經政黨推薦,2744,民主進步黨,1134,中國國民黨,4768,38,4806,0,4806,1598,6404,75.05
高雄市鼓山區,民強里,596,無黨籍及未經政黨推薦,1986,民主進步黨,940,中國國民黨,3522,14,3536,0,3536,1302,4838,73.09
高雄市鼓山區,厚生里,876,無黨籍及未經政黨推薦,2242,民主進步黨,980,中國國民黨,4098,18,4116,0,4116,1494,5610,73.37
高雄市鼓山區,龍子里,5062,無黨籍及未經政黨推薦,10124,民主進步黨,7162,中國國民黨,22348,144,22492,0,22492,8194,30686,73.3
高雄市鼓山區,龍水里,8230,無黨籍及未經政黨推薦,15766,民主進步黨,11366,中國國民黨,35362,180,35542,0,35542,12700,48242,73.67
高雄市鼓山區,明誠里,5458,無黨籍及未經政黨推薦,9242,民主進步黨,8046,中國國民黨,22746,106,22852,0,22852,9378,32230,70.9
高雄市鼓山區,華豐里,1062,無黨籍及未經政黨推薦,2270,民主進步黨,2110,中國國民黨,5442,16,5458,0,5458,1814,7272,75.06
高雄市鼓山區,裕興里,998,無黨籍及未經政黨推薦,1876,民主進步黨,1674,中國國民黨,4548,18,4566,0,4566,1552,6118,74.63
高雄市鼓山區,裕豐里,646,無黨籍及未經政黨推薦,1224,民主進步黨,1564,中國國民黨,3434,4,3438,0,3438,1272,4710,72.99
高雄市鼓山區,鼓岩里,246,無黨籍及未經政黨推薦,864,民主進步黨,350,中國國民黨,1460,10,1470,0,1470,708,2178,67.49
高雄市鼓山區,樹德里,270,無黨籍及未經政黨推薦,962,民主進步黨,384,中國國民黨,1616,4,1620,0,1620,492,2112,76.7
高雄市鼓山區,寶樹里,260,無黨籍及未經政黨推薦,888,民主進步黨,428,中國國民黨,1576,2,1578,0,1578,2182,3760,41.97
高雄市鼓山區,興宗里,242,無黨籍及未經政黨推薦,914,民主進步黨,508,中國國民黨,1664,6,1670,0,1670,686,2356,70.88
高雄市鼓山區,光化里,316,無黨籍及未經政黨推薦,800,民主進步黨,522,中國國民黨,1638,16,1654,0,1654,682,2336,70.8
高雄市鼓山區,山下里,388,無黨籍及未經政黨推薦,842,民主進步黨,586,中國國民黨,1816,6,1822,0,1822,624,2446,74.49
高雄市鼓山區,河邊里,290,無黨籍及未經政黨推薦,774,民主進步黨,528,中國國民黨,1592,2,1594,0,1594,708,2302,69.24
高雄市鼓山區,綠川里,350,無黨籍及未經政黨推薦,1018,民主進步黨,498,中國國民黨,1866,18,1884,0,1884,646,2530,74.47
高雄市鼓山區,登山里,138,無黨籍及未經政黨推薦,400,民主進步黨,224,中國國民黨,762,10,772,0,772,374,1146,67.36
高雄市鼓山區,峰南里,144,無黨籍及未經政黨推薦,538,民主進步黨,286,中國國民黨,968,10,978,0,978,442,1420,68.87
高雄市鼓山區,麗興里,182,無黨籍及未經政黨推薦,722,民主進步黨,320,中國國民黨,1224,8,1232,0,1232,554,1786,68.98
高雄市鼓山區,新民里,218,無黨籍及未經政黨推薦,784,民主進步黨,330,中國國民黨,1332,8,1340,0,1340,482,1822,73.55
高雄市鼓山區,延平里,176,無黨籍及未經政黨推薦,608,民主進步黨,216,中國國民黨,1000,16,1016,0,1016,330,1346,75.48
高雄市鼓山區,維生里,258,無黨籍及未經政黨推薦,932,民主進步黨,410,中國國民黨,1600,8,1608,0,1608,652,2260,71.15
