行政區別,村里別,1_宋楚瑜/余湘,68_1_黨籍,2_韓國瑜/張善政,68_2_黨籍,3_蔡英文/賴清德,68_3_黨籍,有效票數A,無效票數B,投票數C,已領未投票數D,發出票數E,用餘票數F,選舉人數G,投票率H
桃園市桃園區,文化里,76,親民黨,444,中國國民黨,654,民主進步黨,1174,12,1186,0,1186,430,1616,73.39
桃園市桃園區,文明里,96,親民黨,762,中國國民黨,1152,民主進步黨,2010,20,2030,0,2030,592,2622,77.42
桃園市桃園區,武陵里,92,親民黨,812,中國國民黨,1306,民主進步黨,2210,28,2238,0,2238,918,3156,70.91
桃園市桃園區,大林里,494,親民黨,3390,中國國民黨,5790,民主進步黨,9674,86,9760,0,9760,3478,13238,73.73
桃園市桃園區,忠義里,258,親民黨,1976,中國國民黨,2656,民主進步黨,4890,18,4908,0,4908,1968,6876,71.38
桃園市桃園區,會稽里,664,親民黨,5642,中國國民黨,6630,民主進步黨,12936,98,13034,0,13034,5022,18056,72.19
桃園市桃園區,長美里,32,親民黨,450,中國國民黨,952,民主進步黨,1434,18,1452,0,1452,502,1954,74.31
桃園市桃園區,民生里,104,親民黨,732,中國國民黨,1250,民主進步黨,2086,20,2106,0,2106,718,2824,74.58
桃園市桃園區,永興里,132,親民黨,812,中國國民黨,1656,民主進步黨,2600,20,2620,0,2620,930,3550,73.8
桃園市桃園區,汴洲里,402,親民黨,2666,中國國民黨,4822,民主進步黨,7890,80,7970,0,7970,2692,10662,74.75
桃園市桃園區,永安里,294,親民黨,2022,中國國民黨,4230,民主進步黨,6546,84,6630,0,6630,2140,8770,75.6
桃園市桃園區,東埔里,218,親民黨,2272,中國國民黨,4152,民主進步黨,6642,92,6734,0,6734,2304,9038,74.51
桃園市桃園區,東門里,160,親民黨,1720,中國國民黨,2372,民主進步黨,4252,48,4300,0,4300,1462,5762,74.63
桃園市桃園區,東山里,150,親民黨,1034,中國國民黨,1526,民主進步黨,2710,42,2752,0,2752,1008,3760,73.19
桃園市桃園區,萬壽里,46,親民黨,472,中國國民黨,842,民主進步黨,1360,14,1374,0,1374,522,1896,72.47
