行政區別,村里別,1_宋楚瑜/余湘,10-018_1_黨籍,2_韓國瑜/張善政,10-018_2_黨籍,3_蔡英文/賴清德,10-018_3_黨籍,有效票數A,無效票數B,投票數C,已領未投票數D,發出票數E,用餘票數F,選舉人數G,投票率H
北區,潛園里,36,親民黨,400,中國國民黨,676,民主進步黨,1112,10,1122,0,1122,336,1458,76.95
北區,崇禮里,102,親民黨,474,中國國民黨,1054,民主進步黨,1630,26,1656,0,1656,558,2214,74.8
北區,興南里,78,親民黨,584,中國國民黨,1066,民主進步黨,1728,18,1746,0,1746,562,2308,75.65
北區,北門里,60,親民黨,448,中國國民黨,888,民主進步黨,1396,30,1426,0,1426,460,1886,75.61
北區,中興里,52,親民黨,376,中國國民黨,712,民主進步黨,1140,14,1154,0,1154,310,1464,78.83
北區,大同里,68,親民黨,486,中國國民黨,614,民主進步黨,1168,16,1184,0,1184,320,1504,78.72
北區,中山里,62,親民黨,330,中國國民黨,796,民主進步黨,1188,14,1202,0,1202,356,1558,77.15
北區,長和里,92,親民黨,690,中國國民黨,1252,民主進步黨,2034,38,2072,0,2072,656,2728,75.95
北區,新民里,128,親民黨,790,中國國民黨,1346,民主進步黨,2264,40,2304,0,2304,716,3020,76.29
北區,民富里,332,親民黨,2372,中國國民黨,4052,民主進步黨,6756,84,6840,0,6840,2586,9426,72.57
北區,水田里,234,親民黨,1666,中國國民黨,2468,民主進步黨,4368,46,4414,0,4414,1352,5766,76.55
北區,文雅里,314,親民黨,2254,中國國民黨,3396,民主進步黨,5964,54,6018,0,6018,1702,7720,77.95
北區,光田里,148,親民黨,1264,中國國民黨,1766,民主進步黨,3178,42,3220,0,3220,930,4150,77.59
北區,士林里,158,親民黨,794,中國國民黨,1662,民主進步黨,2614,32,2646,0,2646,726,3372,78.47
北區,福林里,304,親民黨,2468,中國國民黨,2964,民主進步黨,5736,80,5816,0,5816,1642,7458,77.98
北區,古賢里,50,親民黨,378,中國國民黨,878,民主進步黨,1306,10,1316,0,1316,340,1656,79.47
北區,湳雅里,222,親民黨,1698,中國國民黨,2120,民主進步黨,4040,78,4118,0,4118,1146,5264,78.23
北區,舊社里,456,親民黨,3332,中國國民黨,4896,民主進步黨,8684,120,8804,0,8804,2666,11470,76.76
北區,武陵里,356,親民黨,4660,中國國民黨,1960,民主進步黨,6976,74,7050,0,7050,1988,9038,78.0
北區,南寮里,386,親民黨,3036,中國國民黨,4616,民主進步黨,8038,82,8120,0,8120,3080,11200,72.5
北區,舊港里,30,親民黨,288,中國國民黨,494,民主進步黨,812,16,828,0,828,316,1144,72.38
北區,康樂里,222,親民黨,1590,中國國民黨,2484,民主進步黨,4296,32,4328,0,4328,1302,5630,76.87
北區,港北里,142,親民黨,800,中國國民黨,1536,民主進步黨,2478,38,2516,0,2516,882,3398,74.04
北區,中寮里,260,親民黨,1794,中國國民黨,2856,民主進步黨,4910,66,4976,0,4976,1710,6686,74.42
北區,海濱里,304,親民黨,2032,中國國民黨,3170,民主進步黨,5506,80,5586,0,5586,2060,7646,73.06
北區,客雅里,124,親民黨,892,中國國民黨,1552,民主進步黨,2568,44,2612,0,2612,800,3412,76.55
北區,育英里,286,親民黨,1802,中國國民黨,3166,民主進步黨,5254,68,5322,0,5322,1586,6908,77.04
北區,曲溪里,426,親民黨,2952,中國國民黨,3750,民主進步黨,7128,80,7208,0,7208,2776,9984,72.2
北區,西雅里,214,親民黨,1470,中國國民黨,2626,民主進步黨,4310,74,4384,0,4384,1260,5644,77.68
北區,南勢里,264,親民黨,1410,中國國民黨,3538,民主進步黨,5212,70,5282,0,5282,1332,6614,79.86
北區,境福里,400,親民黨,2716,中國國民黨,3864,民主進步黨,6980,92,7072,0,7072,2064,9136,77.41
北區,磐石里,342,親民黨,2868,中國國民黨,4702,民主進步黨,7912,88,8000,0,8000,2384,10384,77.04
北區,新雅里,312,親民黨,2186,中國國民黨,3900,民主進步黨,6398,64,6462,0,6462,2182,8644,74.76
北區,光華里,276,親民黨,2202,中國國民黨,2756,民主進步黨,5234,62,5296,0,5296,2778,8074,65.59
北區,金華里,348,親民黨,2848,中國國民黨,3948,民主進步黨,7144,80,7224,0,7224,2144,9368,77.11
北區,金竹里,506,親民黨,3502,中國國民黨,4522,民主進步黨,8530,90,8620,0,8620,2626,11246,76.65
北區,湳中里,586,親民黨,4158,中國國民黨,4964,民主進步黨,9708,138,9846,0,9846,2710,12556,78.42
北區,金雅里,172,親民黨,1294,中國國民黨,1986,民主進步黨,3452,36,3488,0,3488,778,4266,81.76
北區,台溪里,72,親民黨,890,中國國民黨,1202,民主進步黨,2164,36,2200,0,2200,950,3150,69.84
北區,中雅里,254,親民黨,2612,中國國民黨,2076,民主進步黨,4942,66,5008,0,5008,1428,6436,77.81
北區,西門里、中央里,60,親民黨,450,中國國民黨,964,民主進步黨,1474,24,1498,0,1498,486,1984,75.5
北區,石坊里、興南里,32,親民黨,366,中國國民黨,654,民主進步黨,1052,12,1064,0,1064,318,1382,76.99
北區,南勢里、大鵬里,60,親民黨,538,中國國民黨,832,民主進步黨,1430,12,1442,0,1442,560,2002,72.03
香山區,港南里,196,親民黨,1182,中國國民黨,2412,民主進步黨,3790,38,3828,0,3828,1198,5026,76.16
香山區,虎山里,388,親民黨,2506,中國國民黨,4662,民主進步黨,7556,104,7660,0,7660,2716,10376,73.82
香山區,虎林里,164,親民黨,1086,中國國民黨,1992,民主進步黨,3242,58,3300,0,3300,1104,4404,74.93
香山區,浸水里,200,親民黨,1010,中國國民黨,2296,民主進步黨,3506,38,3544,0,3544,1052,4596,77.11
香山區,樹下里,140,親民黨,776,中國國民黨,2252,民主進步黨,3168,52,3220,0,3220,924,4144,77.7
香山區,埔前里,268,親民黨,1534,中國國民黨,3002,民主進步黨,4804,60,4864,0,4864,1346,6210,78.33
香山區,中埔里,200,親民黨,1646,中國國民黨,2528,民主進步黨,4374,46,4420,0,4420,1250,5670,77.95
香山區,牛埔里,358,親民黨,2398,中國國民黨,3464,民主進步黨,6220,76,6296,0,6296,2530,8826,71.33
香山區,頂埔里,422,親民黨,2494,中國國民黨,4274,民主進步黨,7190,74,7264,0,7264,2428,9692,74.95
香山區,東香里,318,親民黨,2548,中國國民黨,2978,民主進步黨,5844,84,5928,0,5928,1670,7598,78.02
香山區,香村里,272,親民黨,2064,中國國民黨,2662,民主進步黨,4998,64,5062,0,5062,1676,6738,75.13
香山區,香山里,382,親民黨,2142,中國國民黨,3658,民主進步黨,6182,64,6246,0,6246,1984,8230,75.89
香山區,大庄里,198,親民黨,1228,中國國民黨,2668,民主進步黨,4094,44,4138,0,4138,1284,5422,76.32
香山區,美山里,52,親民黨,482,中國國民黨,1010,民主進步黨,1544,28,1572,0,1572,620,2192,71.72
香山區,朝山里,178,親民黨,1076,中國國民黨,1822,民主進步黨,3076,24,3100,0,3100,982,4082,75.94
香山區,海山里,190,親民黨,1376,中國國民黨,1856,民主進步黨,3422,46,3468,0,3468,1144,4612,75.2
香山區,茄苳里,44,親民黨,496,中國國民黨,692,民主進步黨,1232,20,1252,0,1252,518,1770,70.73
香山區,大湖里,64,親民黨,456,中國國民黨,790,民主進步黨,1310,16,1326,0,1326,386,1712,77.45
香山區,南隘里,54,親民黨,458,中國國民黨,608,民主進步黨,1120,28,1148,0,1148,360,1508,76.13
香山區,中隘里,116,親民黨,1036,中國國民黨,1286,民主進步黨,2438,22,2460,0,2460,1012,3472,70.85
香山區,內湖里,304,親民黨,2218,中國國民黨,3400,民主進步黨,5922,78,6000,0,6000,2324,8324,72.08
香山區,鹽水里,122,親民黨,696,中國國民黨,1228,民主進步黨,2046,30,2076,0,2076,666,2742,75.71
香山區,南港里,42,親民黨,320,中國國民黨,772,民主進步黨,1134,16,1150,0,1150,402,1552,74.1
香山區,頂福里,336,親民黨,2324,中國國民黨,3618,民主進步黨,6278,56,6334,0,6334,1902,8236,76.91
