行政區別,村里別,宋楚瑜/徐欣瑩,朱立倫/王如玄,蔡英文/陳建仁,有效票數A,無效票數B,投票數C,已領未投票數D,發出票數E,用餘票數F,選舉人數G,投票率H
總計,,33852,77644,166286,277782,2984,280766,0,280766,140750,421516,66.61
東區,,15552,38164,73184,126900,1484,128384,0,128384,64240,192624,66.65
,荖藤里,652,1184,3030,4866,48,4914,0,4914,2634,7548,65.1
,後湖里,516,1208,2498,4222,38,4260,0,4260,2146,6406,66.5
,仁義里,426,1146,1970,3542,48,3590,0,3590,1810,5400,66.48
,中庄里,550,1102,2304,3956,38,3994,0,3994,2102,6096,65.52
,頂庄里,336,898,1498,2732,32,2764,0,2764,1386,4150,66.6
,圳頭里,680,2146,2458,5284,76,5360,0,5360,2622,7982,67.15
,新店里,626,1736,3000,5362,72,5434,0,5434,2494,7928,68.54
,後庄里,684,1668,2736,5088,60,5148,0,5148,2390,7538,68.29
,王田里,346,1128,1608,3082,48,3130,0,3130,1422,4552,68.76
,東川里,272,904,1184,2360,26,2386,0,2386,1054,3440,69.36
,太平里,684,1814,2684,5182,58,5240,0,5240,2596,7836,66.87
,盧厝里,298,576,1244,2118,24,2142,0,2142,1078,3220,66.52
,鹿寮里,142,308,792,1242,8,1250,0,1250,726,1976,63.26
,長竹里,384,1182,2042,3608,38,3646,0,3646,1638,5284,69.0
,短竹里,308,914,1564,2786,30,2816,0,2816,1492,4308,65.37
,新開里,346,764,1408,2518,30,2548,0,2548,1362,3910,65.17
,宣信里,188,418,1124,1730,10,1740,0,1740,1012,2752,63.23
,興南里,228,482,1320,2030,22,2052,0,2052,1144,3196,64.21
,豐年里,204,404,1074,1682,12,1694,0,1694,846,2540,66.69
,芳草里,444,1184,2346,3974,42,4016,0,4016,2372,6388,62.87
,芳安里,302,778,1726,2806,28,2834,0,2834,1304,4138,68.49
,頂寮里,386,830,2054,3270,48,3318,0,3318,1492,4810,68.98
,安寮里,390,936,2080,3406,28,3434,0,3434,1766,5200,66.04
,興安里,428,810,1718,2956,40,2996,0,2996,1562,4558,65.73
,興村里,760,1262,2820,4842,64,4906,0,4906,2474,7380,66.48
,興仁里,628,1328,2678,4634,66,4700,0,4700,2370,7070,66.48
,過溝里,282,814,1776,2872,22,2894,0,2894,1348,4242,68.22
,民族里,324,736,1380,2440,22,2462,0,2462,1876,4338,56.75
,朝陽里,326,726,1686,2738,36,2774,0,2774,1274,4048,68.53
,華南里,272,774,1542,2588,30,2618,0,2618,1288,3906,67.03
,東興里,212,804,1536,2552,38,2590,0,2590,1072,3662,70.73
,中山里,334,870,1338,2542,24,2566,0,2566,1044,3610,71.08
,中央里,322,714,1922,2958,28,2986,0,2986,1352,4338,68.83
,林森里,392,804,1936,3132,50,3182,0,3182,1494,4676,68.05
,北門里,318,752,1828,2898,42,2940,0,2940,1470,4410,66.67
,蘭潭里,342,854,1360,2556,24,2580,0,2580,1422,4002,64.47
,文雅里,506,1518,2448,4472,74,4546,0,4546,2134,6680,68.05
,安業里,312,712,1368,2392,20,2412,0,2412,1288,3700,65.19
,義教里,402,976,2104,3482,40,3522,0,3522,1884,5406,65.15
,總計,15552,38164,73184,126900,1484,128384,0,128384,64240,192624,66.65
西區,,18300,39480,93102,150882,1500,152382,0,152382,76510,228892,66.57
,香湖里,118,280,562,960,14,974,0,974,548,1522,63.99
,湖邊里,370,660,1868,2898,42,2940,0,2940,1664,4604,63.86
,北榮里,300,658,1920,2878,28,2906,0,2906,1328,4234,68.63
,重興里,344,568,1624,2536,28,2564,0,2564,1328,3892,65.88
,竹圍里,566,1196,3280,5042,56,5098,0,5098,2780,7878,64.71
,新厝里,614,1104,3512,5230,46,5276,0,5276,2426,7702,68.5
,保安里,484,978,2402,3864,40,3904,0,3904,2054,5958,65.53
,北湖里,396,796,2268,3460,30,3490,0,3490,1720,5210,66.99
,下埤里,202,450,1192,1844,32,1876,0,1876,1072,2948,63.64
,竹村里,184,366,926,1476,20,1496,0,1496,688,2184,68.5
,大溪里,288,470,1700,2458,36,2494,0,2494,1420,3914,63.72
,福全里,642,1236,3088,4966,34,5000,0,5000,2804,7804,64.07
,西平里,538,892,2318,3748,42,3790,0,3790,1846,5636,67.25
,磚磘里,558,954,2602,4114,50,4164,0,4164,2168,6332,65.76
,港坪里,536,1090,2318,3944,44,3988,0,3988,1932,5920,67.36
,頭港里,224,480,1402,2106,18,2124,0,2124,1062,3186,66.67
,劉厝里,1068,2188,4610,7866,68,7934,0,7934,4080,12014,66.04
,新西里,260,672,1670,2602,26,2628,0,2628,1456,4084,64.35
,書院里,328,700,1514,2542,14,2556,0,2556,1290,3846,66.46
,培元里,272,868,1008,2148,26,2174,0,2174,994,3168,68.62
,垂楊里,294,616,1426,2336,26,2362,0,2362,1374,3736,63.22
,車店里,858,1932,4256,7046,72,7118,0,7118,3658,10776,66.05
,福民里,800,1688,4030,6518,52,6570,0,6570,3668,10238,64.17
,湖內里,600,1282,3652,5534,46,5580,0,5580,2800,8380,66.59
,美源里,538,1360,2888,4786,28,4814,0,4814,2218,7032,68.46
,育英里,278,710,1468,2456,30,2486,0,2486,1122,3608,68.9
,致遠里,352,1416,468,2236,26,2262,0,2262,1014,3276,69.05
,光路里,742,1806,3716,6264,84,6348,0,6348,3238,9586,66.22
,翠岱里,256,1190,388,1834,28,1862,0,1862,820,2682,69.43
,自強里,254,574,1204,2032,18,2050,0,2050,956,3006,68.2
,永和里,276,608,1524,2408,22,2430,0,2430,1240,3670,66.21
,新富里,284,454,1496,2234,36,2270,0,2270,1056,3326,68.25
,文化里,318,754,1954,3026,26,3052,0,3052,1376,4428,68.93
,西榮里,350,712,2036,3098,26,3124,0,3124,1302,4426,70.58
,國華里,222,462,1148,1832,16,1848,0,1848,954,2802,65.95
,番社里,192,530,1302,2024,14,2038,0,2038,874,2912,69.99
,導明里,240,562,1262,2064,22,2086,0,2086,1132,3218,64.82
,慶安里,234,462,1424,2120,26,2146,0,2146,1040,3186,67.36
,後驛里,270,532,1920,2722,26,2748,0,2748,1462,4210,65.27
,福安里,670,1266,3222,5158,48,5206,0,5206,2514,7720,67.44
,獅子里,482,930,2068,3480,26,3506,0,3506,1678,5184,67.63
,紅瓦里,220,510,1372,2102,20,2122,0,2122,870,2992,70.92
,保福里,526,1026,2594,4146,20,4166,0,4166,2480,6646,62.68
,保生里,586,1220,3570,5376,50,5426,0,5426,2414,7840,69.21
,北新里,166,272,930,1368,18,1386,0,1386,590,1976,70.14
,總計,18300,39480,93102,150882,1500,152382,0,152382,76510,228892,66.57
