行政區別,村里別,1_柯文哲/吳欣盈,10-013_1_黨籍,2_賴清德/蕭美琴,10-013_2_黨籍,3_侯友宜/趙少康,10-013_3_黨籍,有效票數A,無效票數B,投票數C,已領未投票數D,發出票數E,用餘票數F,選舉人數G,投票率H
屏東市,光榮里,478,無黨籍及未經政黨推薦,1136,民主進步黨,666,中國國民黨,2280,4,2284,0,2284,776,3060,74.64
屏東市,大同里,450,無黨籍及未經政黨推薦,1212,民主進步黨,716,中國國民黨,2378,10,2388,0,2388,838,3226,74.02
屏東市,大埔里,520,無黨籍及未經政黨推薦,1218,民主進步黨,622,中國國民黨,2360,16,2376,0,2376,846,3222,73.74
屏東市,維新里,634,無黨籍及未經政黨推薦,1678,民主進步黨,954,中國國民黨,3266,24,3290,0,3290,1484,4774,68.91
屏東市,楠樹里,560,無黨籍及未經政黨推薦,1596,民主進步黨,782,中國國民黨,2938,10,2948,0,2948,1004,3952,74.6
屏東市,金泉里,250,無黨籍及未經政黨推薦,904,民主進步黨,424,中國國民黨,1578,8,1586,0,1586,596,2182,72.69
屏東市,橋南里,432,無黨籍及未經政黨推薦,916,民主進步黨,592,中國國民黨,1940,4,1944,0,1944,934,2878,67.55
屏東市,橋北里,318,無黨籍及未經政黨推薦,664,民主進步黨,496,中國國民黨,1478,0,1478,0,1478,484,1962,75.33
屏東市,長春里,554,無黨籍及未經政黨推薦,972,民主進步黨,748,中國國民黨,2274,22,2296,0,2296,890,3186,72.07
屏東市,豐榮里,740,無黨籍及未經政黨推薦,1640,民主進步黨,1264,中國國民黨,3644,22,3666,0,3666,1136,4802,76.34
屏東市,豐源里,1150,無黨籍及未經政黨推薦,1946,民主進步黨,1720,中國國民黨,4816,24,4840,0,4840,1718,6558,73.8
屏東市,豐田里,1234,無黨籍及未經政黨推薦,2162,民主進步黨,1838,中國國民黨,5234,38,5272,0,5272,2146,7418,71.07
屏東市,大連里,1332,無黨籍及未經政黨推薦,2252,民主進步黨,2220,中國國民黨,5804,22,5826,0,5826,2108,7934,73.43
屏東市,湖西里,412,無黨籍及未經政黨推薦,1212,民主進步黨,394,中國國民黨,2018,16,2034,0,2034,750,2784,73.06
屏東市,湖南里,332,無黨籍及未經政黨推薦,856,民主進步黨,272,中國國民黨,1460,12,1472,0,1472,594,2066,71.25
屏東市,歸心里,300,無黨籍及未經政黨推薦,910,民主進步黨,284,中國國民黨,1494,26,1520,0,1520,604,2124,71.56
屏東市,瑞光里,2486,無黨籍及未經政黨推薦,4058,民主進步黨,3436,中國國民黨,9980,64,10044,0,10044,4038,14082,71.33
屏東市,新生里,1654,無黨籍及未經政黨推薦,3306,民主進步黨,2348,中國國民黨,7308,56,7364,0,7364,3044,10408,70.75
屏東市,頂宅里,174,無黨籍及未經政黨推薦,382,民主進步黨,146,中國國民黨,702,18,720,0,720,262,982,73.32
屏東市,厚生里,876,無黨籍及未經政黨推薦,2096,民主進步黨,922,中國國民黨,3894,12,3906,0,3906,1596,5502,70.99
屏東市,建國里,432,無黨籍及未經政黨推薦,1162,民主進步黨,738,中國國民黨,2332,8,2340,0,2340,910,3250,72.0
屏東市,一心里,562,無黨籍及未經政黨推薦,1160,民主進步黨,878,中國國民黨,2600,22,2622,0,2622,978,3600,72.83
屏東市,義勇里,598,無黨籍及未經政黨推薦,942,民主進步黨,1002,中國國民黨,2542,12,2554,0,2554,872,3426,74.55
屏東市,永安里,1856,無黨籍及未經政黨推薦,3802,民主進步黨,2516,中國國民黨,8174,42,8216,0,8216,3472,11688,70.29
屏東市,新興里,920,無黨籍及未經政黨推薦,1790,民主進步黨,784,中國國民黨,3494,18,3512,0,3512,1246,4758,73.81
屏東市,公館里,518,無黨籍及未經政黨推薦,1072,民主進步黨,482,中國國民黨,2072,16,2088,0,2088,782,2870,72.75
屏東市,龍華里,664,無黨籍及未經政黨推薦,1654,民主進步黨,702,中國國民黨,3020,12,3032,0,3032,1290,4322,70.15
屏東市,玉成里,464,無黨籍及未經政黨推薦,1302,民主進步黨,420,中國國民黨,2186,14,2200,0,2200,786,2986,73.68
屏東市,頂柳里,348,無黨籍及未經政黨推薦,870,民主進步黨,342,中國國民黨,1560,10,1570,0,1570,540,2110,74.41
屏東市,大湖里,536,無黨籍及未經政黨推薦,1238,民主進步黨,618,中國國民黨,2392,12,2404,0,2404,1046,3450,69.68
屏東市,安鎮里,608,無黨籍及未經政黨推薦,1446,民主進步黨,662,中國國民黨,2716,14,2730,0,2730,1060,3790,72.03
屏東市,永光里,336,無黨籍及未經政黨推薦,948,民主進步黨,598,中國國民黨,1882,12,1894,0,1894,830,2724,69.53
屏東市,大洲里,370,無黨籍及未經政黨推薦,992,民主進步黨,290,中國國民黨,1652,6,1658,0,1658,566,2224,74.55
屏東市,大武里,2632,無黨籍及未經政黨推薦,4818,民主進步黨,3678,中國國民黨,11128,60,11188,0,11188,4338,15526,72.06
屏東市,前進里,882,無黨籍及未經政黨推薦,2084,民主進步黨,1052,中國國民黨,4018,14,4032,0,4032,1624,5656,71.29
屏東市,清溪里,1514,無黨籍及未經政黨推薦,2328,民主進步黨,1912,中國國民黨,5754,32,5786,0,5786,2340,8126,71.2
屏東市,長安里,810,無黨籍及未經政黨推薦,1666,民主進步黨,872,中國國民黨,3348,16,3364,0,3364,1478,4842,69.48
屏東市,斯文里,620,無黨籍及未經政黨推薦,1146,民主進步黨,998,中國國民黨,2764,16,2780,0,2780,1008,3788,73.39
屏東市,華山里,1544,無黨籍及未經政黨推薦,2722,民主進步黨,2632,中國國民黨,6898,44,6942,0,6942,2460,9402,73.84
屏東市,中正里,1442,無黨籍及未經政黨推薦,2380,民主進步黨,2362,中國國民黨,6184,40,6224,0,6224,2338,8562,72.69
屏東市,勝利里,1674,無黨籍及未經政黨推薦,2612,民主進步黨,2752,中國國民黨,7038,36,7074,0,7074,4262,11336,62.4
屏東市,永城里,660,無黨籍及未經政黨推薦,1202,民主進步黨,1052,中國國民黨,2914,32,2946,0,2946,1370,4316,68.26
屏東市,溝美里,634,無黨籍及未經政黨推薦,1280,民主進步黨,1010,中國國民黨,2924,18,2942,0,2942,1198,4140,71.06
屏東市,北勢里,684,無黨籍及未經政黨推薦,1566,民主進步黨,1052,中國國民黨,3302,18,3320,0,3320,1140,4460,74.44
屏東市,北興里,2070,無黨籍及未經政黨推薦,3402,民主進步黨,2972,中國國民黨,8444,40,8484,0,8484,3344,11828,71.73
屏東市,仁愛里,682,無黨籍及未經政黨推薦,1222,民主進步黨,958,中國國民黨,2862,20,2882,0,2882,1054,3936,73.22
屏東市,廣興里,1016,無黨籍及未經政黨推薦,1624,民主進步黨,1416,中國國民黨,4056,22,4078,0,4078,1596,5674,71.87
屏東市,崇蘭里,3054,無黨籍及未經政黨推薦,3952,民主進步黨,4366,中國國民黨,11372,76,11448,0,11448,4340,15788,72.51
屏東市,空翔里,1086,無黨籍及未經政黨推薦,1608,民主進步黨,2456,中國國民黨,5150,26,5176,0,5176,2436,7612,68.0
屏東市,潭墘里,1536,無黨籍及未經政黨推薦,2502,民主進步黨,2978,中國國民黨,7016,46,7062,0,7062,3182,10244,68.94
屏東市,三山里,360,無黨籍及未經政黨推薦,1040,民主進步黨,488,中國國民黨,1888,10,1898,0,1898,698,2596,73.11
屏東市,海豐里,204,無黨籍及未經政黨推薦,714,民主進步黨,244,中國國民黨,1162,6,1168,0,1168,410,1578,74.02
屏東市,仁義里,316,無黨籍及未經政黨推薦,792,民主進步黨,386,中國國民黨,1494,4,1498,0,1498,640,2138,70.07
屏東市,和興里,390,無黨籍及未經政黨推薦,754,民主進步黨,312,中國國民黨,1456,14,1470,0,1470,542,2012,73.06
屏東市,信和里,490,無黨籍及未經政黨推薦,1280,民主進步黨,416,中國國民黨,2186,4,2190,0,2190,858,3048,71.85
屏東市,崇武里,1314,無黨籍及未經政黨推薦,1554,民主進步黨,2634,中國國民黨,5502,42,5544,0,5544,2226,7770,71.35
屏東市,豐年里,1560,無黨籍及未經政黨推薦,2738,民主進步黨,2782,中國國民黨,7080,38,7118,0,7118,2282,9400,75.72
屏東市,崇陽里,2898,無黨籍及未經政黨推薦,3028,民主進步黨,4302,中國國民黨,10228,76,10304,0,10304,3984,14288,72.12
屏東市,公園里,568,無黨籍及未經政黨推薦,1184,民主進步黨,948,中國國民黨,2700,24,2724,0,2724,1046,3770,72.25
潮州鎮,潮州里,132,無黨籍及未經政黨推薦,266,民主進步黨,274,中國國民黨,672,6,678,0,678,284,962,70.48
潮州鎮,同榮里,152,無黨籍及未經政黨推薦,460,民主進步黨,210,中國國民黨,822,6,828,0,828,264,1092,75.82
潮州鎮,新榮里,336,無黨籍及未經政黨推薦,878,民主進步黨,522,中國國民黨,1736,10,1746,0,1746,644,2390,73.05
潮州鎮,新生里,296,無黨籍及未經政黨推薦,594,民主進步黨,400,中國國民黨,1290,4,1294,0,1294,512,1806,71.65
潮州鎮,光華里,1534,無黨籍及未經政黨推薦,2708,民主進步黨,1962,中國國民黨,6204,16,6220,0,6220,3060,9280,67.03
潮州鎮,彭城里,232,無黨籍及未經政黨推薦,738,民主進步黨,240,中國國民黨,1210,18,1228,0,1228,452,1680,73.1
潮州鎮,三星里,1822,無黨籍及未經政黨推薦,3298,民主進步黨,2598,中國國民黨,7718,46,7764,0,7764,2940,10704,72.53
潮州鎮,三共里,2078,無黨籍及未經政黨推薦,4068,民主進步黨,2858,中國國民黨,9004,58,9062,0,9062,3502,12564,72.13
潮州鎮,三和里,666,無黨籍及未經政黨推薦,1262,民主進步黨,938,中國國民黨,2866,8,2874,0,2874,1148,4022,71.46
潮州鎮,五魁里,416,無黨籍及未經政黨推薦,982,民主進步黨,564,中國國民黨,1962,12,1974,0,1974,806,2780,71.01
潮州鎮,蓬萊里,770,無黨籍及未經政黨推薦,1628,民主進步黨,908,中國國民黨,3306,24,3330,0,3330,1372,4702,70.82
潮州鎮,八爺里,804,無黨籍及未經政黨推薦,1532,民主進步黨,904,中國國民黨,3240,24,3264,0,3264,1516,4780,68.28
潮州鎮,永春里,2420,無黨籍及未經政黨推薦,4360,民主進步黨,2972,中國國民黨,9752,68,9820,0,9820,4226,14046,69.91
潮州鎮,富春里,268,無黨籍及未經政黨推薦,680,民主進步黨,488,中國國民黨,1436,18,1454,0,1454,780,2234,65.09
