行政區別,村里別,1_宋楚瑜/余湘,10-017_1_黨籍,2_韓國瑜/張善政,10-017_2_黨籍,3_蔡英文/賴清德,10-017_3_黨籍,有效票數A,無效票數B,投票數C,已領未投票數D,發出票數E,用餘票數F,選舉人數G,投票率H
中正區,德義里,50,親民黨,394,中國國民黨,540,民主進步黨,984,6,990,0,990,360,1350,73.33
中正區,正義里,66,親民黨,726,中國國民黨,890,民主進步黨,1682,28,1710,0,1710,654,2364,72.34
中正區,信義里,76,親民黨,506,中國國民黨,664,民主進步黨,1246,24,1270,0,1270,470,1740,72.99
中正區,義重里,90,親民黨,662,中國國民黨,726,民主進步黨,1478,22,1500,0,1500,520,2020,74.26
中正區,港通里,86,親民黨,690,中國國民黨,944,民主進步黨,1720,28,1748,0,1748,548,2296,76.13
中正區,中船里,106,親民黨,692,中國國民黨,822,民主進步黨,1620,30,1650,0,1650,624,2274,72.56
中正區,正船里,88,親民黨,878,中國國民黨,856,民主進步黨,1822,20,1842,0,1842,616,2458,74.94
中正區,入船里,52,親民黨,462,中國國民黨,574,民主進步黨,1088,28,1116,0,1116,402,1518,73.52
中正區,中砂里,90,親民黨,824,中國國民黨,920,民主進步黨,1834,20,1854,0,1854,1272,3126,59.31
中正區,正砂里,172,親民黨,1654,中國國民黨,1470,民主進步黨,3296,50,3346,0,3346,1184,4530,73.86
中正區,真砂里,104,親民黨,886,中國國民黨,952,民主進步黨,1942,26,1968,0,1968,616,2584,76.16
中正區,砂灣里,146,親民黨,1396,中國國民黨,1146,民主進步黨,2688,40,2728,0,2728,1150,3878,70.35
中正區,建國里,164,親民黨,1484,中國國民黨,1058,民主進步黨,2706,24,2730,0,2730,1064,3794,71.96
中正區,中濱里,78,親民黨,866,中國國民黨,886,民主進步黨,1830,22,1852,0,1852,654,2506,73.9
中正區,海濱里,92,親民黨,834,中國國民黨,616,民主進步黨,1542,12,1554,0,1554,698,2252,69.01
中正區,社寮里,120,親民黨,894,中國國民黨,1350,民主進步黨,2364,22,2386,0,2386,976,3362,70.97
中正區,和憲里,44,親民黨,664,中國國民黨,522,民主進步黨,1230,8,1238,0,1238,658,1896,65.3
中正區,平寮里,80,親民黨,628,中國國民黨,960,民主進步黨,1668,36,1704,0,1704,728,2432,70.07
中正區,八斗里,72,親民黨,514,中國國民黨,1456,民主進步黨,2042,24,2066,0,2066,760,2826,73.11
中正區,碧砂里,76,親民黨,546,中國國民黨,1026,民主進步黨,1648,16,1664,0,1664,774,2438,68.25
中正區,長潭里,28,親民黨,198,中國國民黨,468,民主進步黨,694,12,706,0,706,190,896,78.79
中正區,砂子里,390,親民黨,3128,中國國民黨,3510,民主進步黨,7028,80,7108,0,7108,3446,10554,67.35
中正區,中正里,102,親民黨,986,中國國民黨,1234,民主進步黨,2322,24,2346,0,2346,912,3258,72.01
中正區,正濱里,62,親民黨,604,中國國民黨,660,民主進步黨,1326,18,1344,0,1344,526,1870,71.87
中正區,新豐里,428,親民黨,3584,中國國民黨,3580,民主進步黨,7592,86,7678,0,7678,3048,10726,71.58
