行政區別,村里別,1_柯文哲/吳欣盈,10-017_1_黨籍,2_賴清德/蕭美琴,10-017_2_黨籍,3_侯友宜/趙少康,10-017_3_黨籍,有效票數A,無效票數B,投票數C,已領未投票數D,發出票數E,用餘票數F,選舉人數G,投票率H
中正區,德義里,236,無黨籍及未經政黨推薦,378,民主進步黨,322,中國國民黨,936,6,942,0,942,300,1242,75.85
中正區,正義里,324,無黨籍及未經政黨推薦,566,民主進步黨,670,中國國民黨,1560,30,1590,0,1590,620,2210,71.95
中正區,信義里,250,無黨籍及未經政黨推薦,448,民主進步黨,436,中國國民黨,1134,6,1140,0,1140,498,1638,69.6
中正區,義重里,322,無黨籍及未經政黨推薦,430,民主進步黨,510,中國國民黨,1262,14,1276,0,1276,530,1806,70.65
中正區,港通里,376,無黨籍及未經政黨推薦,754,民主進步黨,676,中國國民黨,1806,6,1812,0,1812,558,2370,76.46
中正區,中船里,396,無黨籍及未經政黨推薦,554,民主進步黨,528,中國國民黨,1478,8,1486,0,1486,660,2146,69.25
中正區,正船里,398,無黨籍及未經政黨推薦,540,民主進步黨,660,中國國民黨,1598,10,1608,0,1608,614,2222,72.37
中正區,入船里,206,無黨籍及未經政黨推薦,370,民主進步黨,378,中國國民黨,954,6,960,0,960,448,1408,68.18
中正區,中砂里,462,無黨籍及未經政黨推薦,634,民主進步黨,698,中國國民黨,1794,26,1820,0,1820,1422,3242,56.14
中正區,正砂里,766,無黨籍及未經政黨推薦,900,民主進步黨,1344,中國國民黨,3010,22,3032,0,3032,1262,4294,70.61
中正區,真砂里,426,無黨籍及未經政黨推薦,612,民主進步黨,716,中國國民黨,1754,12,1766,0,1766,716,2482,71.15
中正區,砂灣里,584,無黨籍及未經政黨推薦,810,民主進步黨,1200,中國國民黨,2594,32,2626,0,2626,1258,3884,67.61
中正區,建國里,738,無黨籍及未經政黨推薦,662,民主進步黨,1168,中國國民黨,2568,12,2580,0,2580,1184,3764,68.54
中正區,中濱里,410,無黨籍及未經政黨推薦,538,民主進步黨,698,中國國民黨,1646,10,1656,0,1656,742,2398,69.06
中正區,海濱里,358,無黨籍及未經政黨推薦,420,民主進步黨,664,中國國民黨,1442,10,1452,0,1452,744,2196,66.12
中正區,社寮里,564,無黨籍及未經政黨推薦,930,民主進步黨,706,中國國民黨,2200,12,2212,0,2212,972,3184,69.47
中正區,和憲里,292,無黨籍及未經政黨推薦,286,民主進步黨,508,中國國民黨,1086,8,1094,0,1094,640,1734,63.09
中正區,平寮里,392,無黨籍及未經政黨推薦,586,民主進步黨,488,中國國民黨,1466,16,1482,0,1482,762,2244,66.04
中正區,八斗里,384,無黨籍及未經政黨推薦,1056,民主進步黨,406,中國國民黨,1846,12,1858,0,1858,902,2760,67.32
中正區,碧砂里,362,無黨籍及未經政黨推薦,674,民主進步黨,430,中國國民黨,1466,24,1490,0,1490,750,2240,66.52
中正區,長潭里,130,無黨籍及未經政黨推薦,326,民主進步黨,166,中國國民黨,622,4,626,0,626,182,808,77.48
中正區,砂子里,2112,無黨籍及未經政黨推薦,2476,民主進步黨,2750,中國國民黨,7338,54,7392,0,7392,4170,11562,63.93
中正區,中正里,458,無黨籍及未經政黨推薦,704,民主進步黨,792,中國國民黨,1954,10,1964,0,1964,1056,3020,65.03
中正區,正濱里,288,無黨籍及未經政黨推薦,384,民主進步黨,436,中國國民黨,1108,18,1126,0,1126,592,1718,65.54
中正區,新豐里,2726,無黨籍及未經政黨推薦,2550,民主進步黨,3500,中國國民黨,8776,54,8830,0,8830,3878,12708,69.48
中正區,新富里,2044,無黨籍及未經政黨推薦,1894,民主進步黨,2550,中國國民黨,6488,48,6536,0,6536,3580,10116,64.61
七堵區,長興里,1392,無黨籍及未經政黨推薦,1724,民主進步黨,2018,中國國民黨,5134,56,5190,0,5190,2106,7296,71.13
七堵區,正光里,822,無黨籍及未經政黨推薦,1294,民主進步黨,1228,中國國民黨,3344,34,3378,0,3378,1622,5000,67.56
七堵區,富民里,1212,無黨籍及未經政黨推薦,1588,民主進步黨,2006,中國國民黨,4806,50,4856,0,4856,1756,6612,73.44
七堵區,永平里,666,無黨籍及未經政黨推薦,968,民主進步黨,1070,中國國民黨,2704,14,2718,0,2718,932,3650,74.47
七堵區,永安里,806,無黨籍及未經政黨推薦,952,民主進步黨,1182,中國國民黨,2940,14,2954,0,2954,1150,4104,71.98
七堵區,八德里,514,無黨籍及未經政黨推薦,712,民主進步黨,664,中國國民黨,1890,8,1898,0,1898,960,2858,66.41
七堵區,自強里,394,無黨籍及未經政黨推薦,584,民主進步黨,582,中國國民黨,1560,22,1582,0,1582,636,2218,71.33
七堵區,六堵里,772,無黨籍及未經政黨推薦,1190,民主進步黨,1200,中國國民黨,3162,36,3198,0,3198,1218,4416,72.42
