行政區別,村里別,宋楚瑜/徐欣瑩,朱立倫/王如玄,蔡英文/陳建仁,有效票數A,無效票數B,投票數C,已領未投票數D,發出票數E,用餘票數F,選舉人數G,投票率H
總計,,81736,167208,272208,521152,7298,528450,0,528450,301794,830244,63.65
南投市,,18328,35704,53336,107368,1426,108794,0,108794,53930,162724,66.86
,龍泉里,154,374,696,1224,6,1230,0,1230,626,1856,66.27
,康壽里,300,652,992,1944,22,1966,0,1966,830,2796,70.31
,三民里,194,362,526,1082,14,1096,0,1096,508,1604,68.33
,仁和里,88,226,442,756,12,768,0,768,234,1002,76.65
,南投里,114,256,466,836,10,846,0,846,344,1190,71.09
,彰仁里,56,146,344,546,10,556,0,556,208,764,72.77
,崇文里,174,484,622,1280,10,1290,0,1290,618,1908,67.61
,漳興里,488,978,1906,3372,36,3408,0,3408,1646,5054,67.43
,漳和里,1370,2908,4496,8774,128,8902,0,8902,4552,13454,66.17
,軍功里,1088,1668,2736,5492,58,5550,0,5550,3148,8698,63.81
,東山里,92,136,320,548,6,554,0,554,246,800,69.25
,平和里,1198,2472,3904,7574,82,7656,0,7656,4158,11814,64.8
,振興里,322,688,1694,2704,46,2750,0,2750,1270,4020,68.41
,千秋里,212,420,758,1390,20,1410,0,1410,574,1984,71.07
,三興里,1150,2408,3106,6664,96,6760,0,6760,3370,10130,66.73
,三和里,532,1434,1938,3904,42,3946,0,3946,1600,5546,71.15
,嘉興里,340,604,1658,2602,46,2648,0,2648,1414,4062,65.19
,嘉和里,824,1632,2916,5372,72,5444,0,5444,2960,8404,64.78
,福山里,356,734,1278,2368,42,2410,0,2410,1270,3680,65.49
,永興里,156,216,572,944,22,966,0,966,544,1510,63.97
,鳳鳴里,82,154,580,816,18,834,0,834,492,1326,62.9
,鳳山里,168,320,946,1434,16,1450,0,1450,788,2238,64.79
,平山里,1060,1888,3354,6302,88,6390,0,6390,3824,10214,62.56
,新興里,976,1514,3252,5742,62,5804,0,5804,3488,9292,62.46
,永豐里,542,1006,1980,3528,22,3550,0,3550,1844,5394,65.81
,福興里,694,1044,2040,3778,74,3852,0,3852,1800,5652,68.15
,營北里,1570,3580,2914,8064,90,8154,0,8154,3106,11260,72.42
,營南里,746,978,1366,3090,28,3118,0,3118,1396,4514,69.07
,內興里,1710,2954,3454,8118,128,8246,0,8246,3944,12190,67.65
,內新里,382,500,1048,1930,34,1964,0,1964,834,2798,70.19
,光華里,294,758,232,1284,22,1306,0,1306,562,1868,69.91
,光榮里,332,960,306,1598,34,1632,0,1632,832,2464,66.23
,光明里,402,954,248,1604,22,1626,0,1626,592,2218,73.31
,光輝里,162,296,246,704,8,712,0,712,308,1020,69.8
,總計,18328,35704,53336,107368,1426,108794,0,108794,53930,162724,66.86
埔里鎮,,12824,27274,40220,80318,1078,81396,0,81396,51528,132924,61.23
,東門里,482,1182,1620,3284,42,3326,0,3326,1998,5324,62.47
,南門里,138,412,562,1112,20,1132,0,1132,532,1664,68.03
,西門里,532,1270,1866,3668,46,3714,0,3714,2338,6052,61.37
,北門里,424,1060,1344,2828,46,2874,0,2874,1916,4790,60.0
,同聲里,486,958,1298,2742,32,2774,0,2774,1642,4416,62.82
