行政區別,村里別,1_柯文哲/吳欣盈,10-008_1_黨籍,2_賴清德/蕭美琴,10-008_2_黨籍,3_侯友宜/趙少康,10-008_3_黨籍,有效票數A,無效票數B,投票數C,已領未投票數D,發出票數E,用餘票數F,選舉人數G,投票率H
南投市,龍泉里,352,無黨籍及未經政黨推薦,536,民主進步黨,382,中國國民黨,1270,14,1284,0,1284,436,1720,74.65
南投市,康壽里,528,無黨籍及未經政黨推薦,780,民主進步黨,712,中國國民黨,2020,10,2030,0,2030,550,2580,78.68
南投市,三民里,360,無黨籍及未經政黨推薦,412,民主進步黨,452,中國國民黨,1224,2,1226,0,1226,370,1596,76.82
南投市,仁和里,178,無黨籍及未經政黨推薦,306,民主進步黨,240,中國國民黨,724,0,724,0,724,216,940,77.02
南投市,南投里,204,無黨籍及未經政黨推薦,320,民主進步黨,282,中國國民黨,806,8,814,0,814,242,1056,77.08
南投市,彰仁里,118,無黨籍及未經政黨推薦,238,民主進步黨,142,中國國民黨,498,4,502,0,502,164,666,75.38
南投市,崇文里,282,無黨籍及未經政黨推薦,518,民主進步黨,472,中國國民黨,1272,8,1280,0,1280,458,1738,73.65
南投市,漳興里,978,無黨籍及未經政黨推薦,1466,民主進步黨,1300,中國國民黨,3744,34,3778,0,3778,1252,5030,75.11
南投市,漳和里,2956,無黨籍及未經政黨推薦,3486,民主進步黨,3696,中國國民黨,10138,60,10198,0,10198,3544,13742,74.21
南投市,軍功里,1740,無黨籍及未經政黨推薦,2036,民主進步黨,2118,中國國民黨,5894,36,5930,0,5930,2310,8240,71.97
南投市,東山里,122,無黨籍及未經政黨推薦,202,民主進步黨,170,中國國民黨,494,4,498,0,498,204,702,70.94
南投市,平和里,2196,無黨籍及未經政黨推薦,3154,民主進步黨,3110,中國國民黨,8460,40,8500,0,8500,3524,12024,70.69
南投市,振興里,710,無黨籍及未經政黨推薦,1272,民主進步黨,892,中國國民黨,2874,28,2902,0,2902,1046,3948,73.51
南投市,千秋里,346,無黨籍及未經政黨推薦,516,民主進步黨,518,中國國民黨,1380,6,1386,0,1386,550,1936,71.59
南投市,三興里,2050,無黨籍及未經政黨推薦,2562,民主進步黨,2926,中國國民黨,7538,58,7596,0,7596,2770,10366,73.28
南投市,三和里,1012,無黨籍及未經政黨推薦,1448,民主進步黨,1514,中國國民黨,3974,24,3998,0,3998,1216,5214,76.68
南投市,嘉興里,710,無黨籍及未經政黨推薦,1290,民主進步黨,818,中國國民黨,2818,12,2830,0,2830,1234,4064,69.64
南投市,嘉和里,1758,無黨籍及未經政黨推薦,2242,民主進步黨,2230,中國國民黨,6230,46,6276,0,6276,2496,8772,71.55
南投市,福山里,794,無黨籍及未經政黨推薦,902,民主進步黨,876,中國國民黨,2572,12,2584,0,2584,1034,3618,71.42
南投市,永興里,246,無黨籍及未經政黨推薦,498,民主進步黨,362,中國國民黨,1106,6,1112,0,1112,384,1496,74.33
南投市,鳳鳴里,138,無黨籍及未經政黨推薦,394,民主進步黨,190,中國國民黨,722,4,726,0,726,382,1108,65.52
南投市,鳳山里,306,無黨籍及未經政黨推薦,664,民主進步黨,306,中國國民黨,1276,8,1284,0,1284,688,1972,65.11
南投市,平山里,2232,無黨籍及未經政黨推薦,2698,民主進步黨,2700,中國國民黨,7630,48,7678,0,7678,2904,10582,72.56
南投市,新興里,2156,無黨籍及未經政黨推薦,2502,民主進步黨,2244,中國國民黨,6902,46,6948,0,6948,3010,9958,69.77
南投市,永豐里,1090,無黨籍及未經政黨推薦,1492,民主進步黨,1354,中國國民黨,3936,32,3968,0,3968,1486,5454,72.75
南投市,福興里,1210,無黨籍及未經政黨推薦,1614,民主進步黨,1432,中國國民黨,4256,34,4290,0,4290,1688,5978,71.76
南投市,營北里,2200,無黨籍及未經政黨推薦,2314,民主進步黨,4556,中國國民黨,9070,48,9118,0,9118,2344,11462,79.55
南投市,營南里,1086,無黨籍及未經政黨推薦,1138,民主進步黨,1388,中國國民黨,3612,26,3638,0,3638,1096,4734,76.85
南投市,內興里,2136,無黨籍及未經政黨推薦,2284,民主進步黨,3318,中國國民黨,7738,38,7776,0,7776,2372,10148,76.63
南投市,內新里,1264,無黨籍及未經政黨推薦,1776,民主進步黨,1716,中國國民黨,4756,44,4800,0,4800,1604,6404,74.95
南投市,光華里,160,無黨籍及未經政黨推薦,130,民主進步黨,604,中國國民黨,894,6,900,0,900,330,1230,73.17
南投市,光榮里,218,無黨籍及未經政黨推薦,202,民主進步黨,868,中國國民黨,1288,8,1296,0,1296,444,1740,74.48
南投市,光明里,142,無黨籍及未經政黨推薦,146,民主進步黨,798,中國國民黨,1086,4,1090,0,1090,372,1462,74.56
南投市,光輝里,178,無黨籍及未經政黨推薦,218,民主進步黨,338,中國國民黨,734,4,738,0,738,186,924,79.87
埔里鎮,東門里,862,無黨籍及未經政黨推薦,1238,民主進步黨,1338,中國國民黨,3438,24,3462,0,3462,1508,4970,69.66
埔里鎮,南門里,274,無黨籍及未經政黨推薦,458,民主進步黨,378,中國國民黨,1110,2,1112,0,1112,390,1502,74.03
埔里鎮,西門里,1006,無黨籍及未經政黨推薦,1384,民主進步黨,1544,中國國民黨,3934,30,3964,0,3964,1666,5630,70.41
埔里鎮,北門里,818,無黨籍及未經政黨推薦,978,民主進步黨,1286,中國國民黨,3082,32,3114,0,3114,1662,4776,65.2
埔里鎮,同聲里,788,無黨籍及未經政黨推薦,1002,民主進步黨,1158,中國國民黨,2948,24,2972,0,2972,1216,4188,70.96
埔里鎮,薰化里,356,無黨籍及未經政黨推薦,510,民主進步黨,596,中國國民黨,1462,4,1466,0,1466,480,1946,75.33
埔里鎮,清新里,1370,無黨籍及未經政黨推薦,1590,民主進步黨,1916,中國國民黨,4876,34,4910,0,4910,2106,7016,69.98
埔里鎮,大城里,2234,無黨籍及未經政黨推薦,2484,民主進步黨,3206,中國國民黨,7924,62,7986,0,7986,3274,11260,70.92
埔里鎮,籃城里,336,無黨籍及未經政黨推薦,570,民主進步黨,436,中國國民黨,1342,10,1352,0,1352,470,1822,74.2
埔里鎮,枇杷里,2920,無黨籍及未經政黨推薦,2976,民主進步黨,3896,中國國民黨,9792,80,9872,0,9872,4572,14444,68.35
埔里鎮,水頭里,1354,無黨籍及未經政黨推薦,1722,民主進步黨,1858,中國國民黨,4934,36,4970,0,4970,2476,7446,66.75
埔里鎮,麒麟里,318,無黨籍及未經政黨推薦,448,民主進步黨,466,中國國民黨,1232,10,1242,0,1242,704,1946,63.82
埔里鎮,珠格里,366,無黨籍及未經政黨推薦,532,民主進步黨,546,中國國民黨,1444,14,1458,0,1458,682,2140,68.13
埔里鎮,溪南里,410,無黨籍及未經政黨推薦,466,民主進步黨,642,中國國民黨,1518,8,1526,0,1526,576,2102,72.6
埔里鎮,桃米里,294,無黨籍及未經政黨推薦,468,民主進步黨,540,中國國民黨,1302,10,1312,0,1312,624,1936,67.77
埔里鎮,成功里,66,無黨籍及未經政黨推薦,116,民主進步黨,168,中國國民黨,350,2,352,0,352,192,544,64.71
埔里鎮,南村里,472,無黨籍及未經政黨推薦,588,民主進步黨,700,中國國民黨,1760,10,1770,0,1770,844,2614,67.71
埔里鎮,愛蘭里,524,無黨籍及未經政黨推薦,534,民主進步黨,792,中國國民黨,1850,20,1870,0,1870,838,2708,69.05
埔里鎮,鐵山里,636,無黨籍及未經政黨推薦,782,民主進步黨,874,中國國民黨,2292,16,2308,0,2308,980,3288,70.19
埔里鎮,房里里,412,無黨籍及未經政黨推薦,526,民主進步黨,822,中國國民黨,1760,26,1786,0,1786,776,2562,69.71
埔里鎮,向善里,214,無黨籍及未經政黨推薦,334,民主進步黨,346,中國國民黨,894,4,898,0,898,376,1274,70.49
埔里鎮,一新里,208,無黨籍及未經政黨推薦,378,民主進步黨,854,中國國民黨,1440,12,1452,0,1452,424,1876,77.4
埔里鎮,廣成里,248,無黨籍及未經政黨推薦,526,民主進步黨,648,中國國民黨,1422,10,1432,0,1432,718,2150,66.6
埔里鎮,史港里,172,無黨籍及未經政黨推薦,230,民主進步黨,366,中國國民黨,768,2,770,0,770,298,1068,72.1
埔里鎮,福興里,292,無黨籍及未經政黨推薦,604,民主進步黨,396,中國國民黨,1292,16,1308,0,1308,556,1864,70.17
埔里鎮,牛眠里,1028,無黨籍及未經政黨推薦,1486,民主進步黨,1328,中國國民黨,3842,38,3880,0,3880,1648,5528,70.19
埔里鎮,大湳里,682,無黨籍及未經政黨推薦,956,民主進步黨,838,中國國民黨,2476,20,2496,0,2496,924,3420,72.98
埔里鎮,蜈蚣里,772,無黨籍及未經政黨推薦,1036,民主進步黨,1248,中國國民黨,3056,26,3082,0,3082,1754,4836,63.73
埔里鎮,合成里,538,無黨籍及未經政黨推薦,854,民主進步黨,712,中國國民黨,2104,32,2136,0,2136,944,3080,69.35
埔里鎮,北安里,1060,無黨籍及未經政黨推薦,1426,民主進步黨,1800,中國國民黨,4286,28,4314,0,4314,1690,6004,71.85
埔里鎮,杷城里,898,無黨籍及未經政黨推薦,1206,民主進步黨,1426,中國國民黨,3530,16,3546,0,3546,1444,4990,71.06
埔里鎮,北梅里,1216,無黨籍及未經政黨推薦,1302,民主進步黨,1748,中國國民黨,4266,32,4298,0,4298,1902,6200,69.32
埔里鎮,泰安里,716,無黨籍及未經政黨推薦,900,民主進步黨,1284,中國國民黨,2900,16,2916,0,2916,1036,3952,73.79
草屯鎮,玉峰里,772,無黨籍及未經政黨推薦,1076,民主進步黨,1170,中國國民黨,3018,22,3040,0,3040,1002,4042,75.21
草屯鎮,炎峰里,790,無黨籍及未經政黨推薦,1042,民主進步黨,1086,中國國民黨,2918,20,2938,0,2938,1070,4008,73.3
草屯鎮,和平里,362,無黨籍及未經政黨推薦,646,民主進步黨,518,中國國民黨,1526,14,1540,0,1540,482,2022,76.16
草屯鎮,敦和里,2728,無黨籍及未經政黨推薦,3180,民主進步黨,3270,中國國民黨,9178,50,9228,0,9228,3266,12494,73.86
草屯鎮,山腳里,3294,無黨籍及未經政黨推薦,3530,民主進步黨,4568,中國國民黨,11392,70,11462,0,11462,3734,15196,75.43
草屯鎮,富寮里,3038,無黨籍及未經政黨推薦,3486,民主進步黨,3296,中國國民黨,9820,78,9898,0,9898,3848,13746,72.01
草屯鎮,御史里,2508,無黨籍及未經政黨推薦,3242,民主進步黨,2810,中國國民黨,8560,68,8628,0,8628,3274,11902,72.49
草屯鎮,新豐里,1536,無黨籍及未經政黨推薦,2338,民主進步黨,1964,中國國民黨,5838,48,5886,0,5886,1964,7850,74.98
草屯鎮,碧峰里,1992,無黨籍及未經政黨推薦,2444,民主進步黨,2094,中國國民黨,6530,48,6578,0,6578,2382,8960,73.42
草屯鎮,碧洲里,1088,無黨籍及未經政黨推薦,1180,民主進步黨,1436,中國國民黨,3704,28,3732,0,3732,1162,4894,76.26
草屯鎮,復興里,1136,無黨籍及未經政黨推薦,1482,民主進步黨,1366,中國國民黨,3984,36,4020,0,4020,1528,5548,72.46
