行政區別,村里別,1_柯文哲/吳欣盈,63_1_黨籍,2_賴清德/蕭美琴,63_2_黨籍,3_侯友宜/趙少康,63_3_黨籍,有效票數A,無效票數B,投票數C,已領未投票數D,發出票數E,用餘票數F,選舉人數G,投票率H
臺北市松山區,莊敬里,1514,無黨籍及未經政黨推薦,2162,民主進步黨,2596,中國國民黨,6272,38,6310,0,6310,2242,8552,73.78
臺北市松山區,東榮里,1980,無黨籍及未經政黨推薦,3976,民主進步黨,3622,中國國民黨,9578,44,9622,0,9622,3038,12660,76.0
臺北市松山區,三民里,1620,無黨籍及未經政黨推薦,3064,民主進步黨,3508,中國國民黨,8192,58,8250,0,8250,2786,11036,74.76
臺北市松山區,新益里,1290,無黨籍及未經政黨推薦,2280,民主進步黨,2258,中國國民黨,5828,40,5868,0,5868,1652,7520,78.03
臺北市松山區,富錦里,1402,無黨籍及未經政黨推薦,2308,民主進步黨,2510,中國國民黨,6220,48,6268,0,6268,2160,8428,74.37
臺北市松山區,新東里,1398,無黨籍及未經政黨推薦,2320,民主進步黨,2432,中國國民黨,6150,20,6170,0,6170,1852,8022,76.91
臺北市松山區,富泰里,1256,無黨籍及未經政黨推薦,1852,民主進步黨,2430,中國國民黨,5538,50,5588,0,5588,1844,7432,75.19
臺北市松山區,介壽里,1078,無黨籍及未經政黨推薦,2170,民主進步黨,1952,中國國民黨,5200,38,5238,0,5238,1672,6910,75.8
臺北市松山區,精忠里,1030,無黨籍及未經政黨推薦,1932,民主進步黨,2160,中國國民黨,5122,42,5164,0,5164,1776,6940,74.41
臺北市松山區,東光里,1806,無黨籍及未經政黨推薦,3102,民主進步黨,3676,中國國民黨,8584,54,8638,0,8638,2856,11494,75.15
臺北市松山區,龍田里,2928,無黨籍及未經政黨推薦,3614,民主進步黨,6140,中國國民黨,12682,56,12738,0,12738,3872,16610,76.69
臺北市松山區,東昌里,670,無黨籍及未經政黨推薦,1310,民主進步黨,1096,中國國民黨,3076,22,3098,0,3098,934,4032,76.84
臺北市松山區,東勢里,1114,無黨籍及未經政黨推薦,2116,民主進步黨,1930,中國國民黨,5160,32,5192,0,5192,1634,6826,76.06
臺北市松山區,中華里,1622,無黨籍及未經政黨推薦,2782,民主進步黨,3168,中國國民黨,7572,62,7634,0,7634,2456,10090,75.66
臺北市松山區,民有里,2080,無黨籍及未經政黨推薦,4756,民主進步黨,4032,中國國民黨,10868,58,10926,0,10926,3488,14414,75.8
臺北市松山區,民福里,1670,無黨籍及未經政黨推薦,2602,民主進步黨,3492,中國國民黨,7764,48,7812,0,7812,2548,10360,75.41
臺北市松山區,慈祐里,2308,無黨籍及未經政黨推薦,3700,民主進步黨,3034,中國國民黨,9042,58,9100,0,9100,5058,14158,64.27
臺北市松山區,安平里,2450,無黨籍及未經政黨推薦,3974,民主進步黨,3684,中國國民黨,10108,64,10172,0,10172,3632,13804,73.69
臺北市松山區,鵬程里,1436,無黨籍及未經政黨推薦,1986,民主進步黨,2654,中國國民黨,6076,38,6114,0,6114,1746,7860,77.79
臺北市松山區,自強里,2452,無黨籍及未經政黨推薦,2330,民主進步黨,6438,中國國民黨,11220,64,11284,0,11284,3698,14982,75.32
臺北市松山區,吉祥里,2138,無黨籍及未經政黨推薦,3704,民主進步黨,4022,中國國民黨,9864,56,9920,0,9920,3358,13278,74.71
臺北市松山區,新聚里,2336,無黨籍及未經政黨推薦,3754,民主進步黨,3488,中國國民黨,9578,62,9640,0,9640,3298,12938,74.51
臺北市松山區,復盛里,1678,無黨籍及未經政黨推薦,2728,民主進步黨,3166,中國國民黨,7572,60,7632,0,7632,2540,10172,75.03
臺北市松山區,中正里,2450,無黨籍及未經政黨推薦,4550,民主進步黨,3888,中國國民黨,10888,78,10966,0,10966,3708,14674,74.73
臺北市松山區,中崙里,1186,無黨籍及未經政黨推薦,1828,民主進步黨,1878,中國國民黨,4892,22,4914,0,4914,1524,6438,76.33
臺北市松山區,美仁里,890,無黨籍及未經政黨推薦,1698,民主進步黨,1526,中國國民黨,4114,22,4136,0,4136,1318,5454,75.83
臺北市松山區,吉仁里,1080,無黨籍及未經政黨推薦,1828,民主進步黨,1716,中國國民黨,4624,24,4648,0,4648,1558,6206,74.9
臺北市松山區,敦化里,1836,無黨籍及未經政黨推薦,3338,民主進步黨,3110,中國國民黨,8284,58,8342,0,8342,2392,10734,77.72
臺北市松山區,復源里,902,無黨籍及未經政黨推薦,1504,民主進步黨,1628,中國國民黨,4034,18,4052,0,4052,1316,5368,75.48
臺北市松山區,復建里,1214,無黨籍及未經政黨推薦,1966,民主進步黨,2204,中國國民黨,5384,50,5434,0,5434,1768,7202,75.45
臺北市松山區,復勢里,1868,無黨籍及未經政黨推薦,3122,民主進步黨,2676,中國國民黨,7666,48,7714,0,7714,2484,10198,75.64
臺北市松山區,福成里,646,無黨籍及未經政黨推薦,1346,民主進步黨,1178,中國國民黨,3170,14,3184,0,3184,1034,4218,75.49
臺北市松山區,松基里,852,無黨籍及未經政黨推薦,1858,民主進步黨,1612,中國國民黨,4322,42,4364,0,4364,1528,5892,74.07
臺北市信義區,西村里,1274,無黨籍及未經政黨推薦,1370,民主進步黨,2978,中國國民黨,5622,26,5648,0,5648,1660,7308,77.29
臺北市信義區,正和里,1130,無黨籍及未經政黨推薦,1736,民主進步黨,2480,中國國民黨,5346,32,5378,0,5378,1840,7218,74.51
臺北市信義區,興隆里,640,無黨籍及未經政黨推薦,926,民主進步黨,1320,中國國民黨,2886,16,2902,0,2902,1368,4270,67.96
臺北市信義區,中興里,908,無黨籍及未經政黨推薦,1438,民主進步黨,1632,中國國民黨,3978,20,3998,0,3998,1650,5648,70.79
臺北市信義區,新仁里,800,無黨籍及未經政黨推薦,1236,民主進步黨,1830,中國國民黨,3866,18,3884,0,3884,1392,5276,73.62
臺北市信義區,興雅里,1426,無黨籍及未經政黨推薦,2496,民主進步黨,2682,中國國民黨,6604,42,6646,0,6646,2500,9146,72.67
