行政區別,村里別,1_宋楚瑜/余湘,63_1_黨籍,2_韓國瑜/張善政,63_2_黨籍,3_蔡英文/賴清德,63_3_黨籍,有效票數A,無效票數B,投票數C,已領未投票數D,發出票數E,用餘票數F,選舉人數G,投票率H
臺北市松山區,莊敬里,346,親民黨,3110,中國國民黨,3436,民主進步黨,6892,124,7016,0,7016,2044,9060,77.44
臺北市松山區,東榮里,348,親民黨,4346,中國國民黨,5320,民主進步黨,10014,146,10160,0,10160,2818,12978,78.29
臺北市松山區,三民里,384,親民黨,4020,中國國民黨,4350,民主進步黨,8754,130,8884,0,8884,2642,11526,77.08
臺北市松山區,新益里,266,親民黨,2514,中國國民黨,3372,民主進步黨,6152,90,6242,0,6242,1594,7836,79.66
臺北市松山區,富錦里,294,親民黨,3082,中國國民黨,3308,民主進步黨,6684,106,6790,0,6790,1904,8694,78.1
臺北市松山區,新東里,276,親民黨,2862,中國國民黨,3412,民主進步黨,6550,100,6650,0,6650,1718,8368,79.47
臺北市松山區,富泰里,260,親民黨,2980,中國國民黨,2780,民主進步黨,6020,90,6110,0,6110,1728,7838,77.95
臺北市松山區,介壽里,210,親民黨,2334,中國國民黨,2984,民主進步黨,5528,78,5606,0,5606,1562,7168,78.21
臺北市松山區,精忠里,198,親民黨,2476,中國國民黨,2786,民主進步黨,5460,70,5530,0,5530,1678,7208,76.72
臺北市松山區,東光里,404,親民黨,4312,中國國民黨,4660,民主進步黨,9376,106,9482,0,9482,2690,12172,77.9
臺北市松山區,龍田里,616,親民黨,7132,中國國民黨,5198,民主進步黨,12946,232,13178,0,13178,3470,16648,79.16
臺北市松山區,東昌里,158,親民黨,1282,中國國民黨,1944,民主進步黨,3384,30,3414,0,3414,930,4344,78.59
臺北市松山區,東勢里,226,親民黨,2262,中國國民黨,2936,民主進步黨,5424,80,5504,0,5504,1646,7150,76.98
臺北市松山區,中華里,348,親民黨,3672,中國國民黨,3986,民主進步黨,8006,114,8120,0,8120,2270,10390,78.15
臺北市松山區,民有里,446,親民黨,4532,中國國民黨,6386,民主進步黨,11364,178,11542,0,11542,3328,14870,77.62
臺北市松山區,民福里,370,親民黨,4150,中國國民黨,3964,民主進步黨,8484,132,8616,0,8616,2488,11104,77.59
臺北市松山區,慈祐里,476,親民黨,3300,中國國民黨,5382,民主進步黨,9158,114,9272,0,9272,4870,14142,65.56
臺北市松山區,安平里,474,親民黨,4374,中國國民黨,6284,民主進步黨,11132,156,11288,0,11288,3218,14506,77.82
臺北市松山區,鵬程里,304,親民黨,3646,中國國民黨,3276,民主進步黨,7226,116,7342,0,7342,1974,9316,78.81
臺北市松山區,自強里,580,親民黨,7960,中國國民黨,4356,民主進步黨,12896,164,13060,0,13060,3624,16684,78.28
臺北市松山區,吉祥里,470,親民黨,4866,中國國民黨,5578,民主進步黨,10914,110,11024,0,11024,3292,14316,77.0
臺北市松山區,新聚里,432,親民黨,4206,中國國民黨,5756,民主進步黨,10394,106,10500,0,10500,3102,13602,77.19
臺北市松山區,復盛里,366,親民黨,3818,中國國民黨,4090,民主進步黨,8274,106,8380,0,8380,2432,10812,77.51
臺北市松山區,中正里,516,親民黨,4504,中國國民黨,6478,民主進步黨,11498,168,11666,0,11666,3436,15102,77.25
臺北市松山區,中崙里,210,親民黨,2074,中國國民黨,2704,民主進步黨,4988,64,5052,0,5052,1468,6520,77.48
臺北市松山區,美仁里,174,親民黨,1764,中國國民黨,2562,民主進步黨,4500,46,4546,0,4546,1162,5708,79.64
臺北市松山區,吉仁里,228,親民黨,2052,中國國民黨,2616,民主進步黨,4896,66,4962,0,4962,1556,6518,76.13
臺北市松山區,敦化里,354,親民黨,3518,中國國民黨,4824,民主進步黨,8696,108,8804,0,8804,2418,11222,78.45
臺北市松山區,復源里,148,親民黨,1860,中國國民黨,2046,民主進步黨,4054,48,4102,0,4102,1136,5238,78.31
臺北市松山區,復建里,266,親民黨,2494,中國國民黨,2782,民主進步黨,5542,102,5644,0,5644,1666,7310,77.21
臺北市松山區,復勢里,374,親民黨,3122,中國國民黨,4528,民主進步黨,8024,96,8120,0,8120,2342,10462,77.61
臺北市松山區,福成里,156,親民黨,1288,中國國民黨,1736,民主進步黨,3180,70,3250,0,3250,1042,4292,75.72
臺北市松山區,松基里,194,親民黨,1924,中國國民黨,2594,民主進步黨,4712,78,4790,0,4790,1414,6204,77.21
臺北市信義區,西村里,232,親民黨,3738,中國國民黨,2244,民主進步黨,6214,76,6290,0,6290,3764,10054,62.56
臺北市信義區,正和里,252,親民黨,2964,中國國民黨,2618,民主進步黨,5834,82,5916,0,5916,1794,7710,76.73
臺北市信義區,興隆里,136,親民黨,1684,中國國民黨,1452,民主進步黨,3272,32,3304,0,3304,1300,4604,71.76
臺北市信義區,中興里,172,親民黨,1942,中國國民黨,2132,民主進步黨,4246,40,4286,0,4286,1708,5994,71.5
臺北市信義區,新仁里,160,親民黨,2098,中國國民黨,1902,民主進步黨,4160,56,4216,0,4216,1340,5556,75.88
臺北市信義區,興雅里,378,親民黨,3266,中國國民黨,3714,民主進步黨,7358,90,7448,0,7448,2326,9774,76.2
臺北市信義區,敦厚里,294,親民黨,2902,中國國民黨,3416,民主進步黨,6612,112,6724,0,6724,2152,8876,75.75
臺北市信義區,廣居里,396,親民黨,4460,中國國民黨,4816,民主進步黨,9672,128,9800,0,9800,3042,12842,76.31
臺北市信義區,安康里,552,親民黨,5780,中國國民黨,6348,民主進步黨,12680,164,12844,0,12844,4066,16910,75.96
臺北市信義區,六藝里,200,親民黨,1784,中國國民黨,2742,民主進步黨,4726,64,4790,0,4790,1402,6192,77.36
臺北市信義區,雅祥里,272,親民黨,2670,中國國民黨,3618,民主進步黨,6560,84,6644,0,6644,1950,8594,77.31
臺北市信義區,五常里,170,親民黨,2030,中國國民黨,2530,民主進步黨,4730,56,4786,0,4786,1488,6274,76.28
臺北市信義區,五全里,254,親民黨,2464,中國國民黨,3802,民主進步黨,6520,76,6596,0,6596,1842,8438,78.17
臺北市信義區,永吉里,146,親民黨,1610,中國國民黨,3394,民主進步黨,5150,60,5210,0,5210,1594,6804,76.57
臺北市信義區,長春里,224,親民黨,2248,中國國民黨,3204,民主進步黨,5676,66,5742,0,5742,1770,7512,76.44
臺北市信義區,四育里,306,親民黨,2842,中國國民黨,4328,民主進步黨,7476,66,7542,0,7542,2040,9582,78.71
臺北市信義區,四維里,334,親民黨,3084,中國國民黨,3622,民主進步黨,7040,90,7130,0,7130,2146,9276,76.87
臺北市信義區,永春里,282,親民黨,2484,中國國民黨,3712,民主進步黨,6478,82,6560,0,6560,1970,8530,76.91
