行政區別,村里別,侯友宜/趙少康,柯文哲/吳欣盈,賴清德/蕭美琴,有效票數A,無效票數B,投票數C,已領未投票數D,發出票數E,用餘票數F,選舉人數G,投票率H
總計,,56010,26076,9138,91224,738,91962,0,91962,160882,252844,36.37
金城鎮,,17790,7646,2850,28286,190,28476,0,28476,46954,75430,37.75
,東門里,2320,1106,356,3782,38,3820,0,3820,5674,9494,40.24
,西門里,4712,1940,698,7350,42,7392,0,7392,11484,18876,39.16
,南門里,2674,1028,408,4110,22,4132,0,4132,6414,10546,39.18
,北門里,1936,770,296,3002,24,3026,0,3026,5082,8108,37.32
,古城里,1740,708,312,2760,26,2786,0,2786,5366,8152,34.18
,金水里,1062,398,176,1636,10,1646,0,1646,2848,4494,36.63
,珠沙里,1264,590,218,2072,10,2082,0,2082,3852,5934,35.09
,賢庵里,2082,1106,386,3574,18,3592,0,3592,6234,9826,36.56
,總計,17790,7646,2850,28286,190,28476,0,28476,46954,75430,37.75
金沙鎮,,8674,3130,982,12786,114,12900,0,12900,24752,37652,34.26
,汶沙里,2470,952,268,3690,24,3714,0,3714,6558,10272,36.16
,三山里,902,292,112,1306,6,1312,0,1312,2548,3860,33.99
,大洋里,560,224,68,852,16,868,0,868,1478,2346,37.0
,光前里,1036,500,150,1686,14,1700,0,1700,2998,4698,36.19
,何斗里,890,370,94,1354,14,1368,0,1368,2742,4110,33.28
,西園里,688,156,60,904,6,910,0,910,2254,3164,28.76
,官嶼里,948,296,106,1350,20,1370,0,1370,3072,4442,30.84
,浦山里,1180,340,124,1644,14,1658,0,1658,3102,4760,34.83
,總計,8674,3130,982,12786,114,12900,0,12900,24752,37652,34.26
金湖鎮,,12408,6124,2064,20596,158,20754,0,20754,33722,54476,38.1
,新市里,2132,1018,320,3470,22,3492,0,3492,4968,8460,41.28
,山外里,1504,832,254,2590,12,2602,0,2602,4162,6764,38.47
,正義里,1166,574,162,1902,20,1922,0,1922,3472,5394,35.63
,料羅里,966,534,194,1694,20,1714,0,1714,2766,4480,38.26
,瓊林里,1526,740,224,2490,18,2508,0,2508,4122,6630,37.83
,新湖里,3614,1924,752,6290,42,6332,0,6332,9744,16076,39.39
,溪湖里,682,210,66,958,14,972,0,972,2236,3208,30.3
,蓮庵里,818,292,92,1202,10,1212,0,1212,2252,3464,34.99
,總計,12408,6124,2064,20596,158,20754,0,20754,33722,54476,38.1
金寧鄉,,12380,7446,2606,22432,216,22648,0,22648,38186,60834,37.23
,古寧村,1324,466,178,1968,30,1998,0,1998,4694,6692,29.86
,安美村,2248,1312,474,4034,52,4086,0,4086,7316,11402,35.84
,后盤村,732,342,102,1176,14,1190,0,1190,2270,3460,34.39
,湖埔村,3286,2274,732,6292,40,6332,0,6332,8974,15306,41.37
,榜林村,2368,1138,366,3872,56,3928,0,3928,6890,10818,36.31
,盤山村,2422,1914,754,5090,24,5114,0,5114,8042,13156,38.87
,總計,12380,7446,2606,22432,216,22648,0,22648,38186,60834,37.23
烈嶼鄉,,4598,1686,608,6892,60,6952,0,6952,16362,23314,29.82
,上岐村,1154,348,146,1648,14,1662,0,1662,4020,5682,29.25
,上林村,520,178,56,754,4,758,0,758,2088,2846,26.63
,西口村,830,294,170,1294,6,1300,0,1300,3454,4754,27.35
,林湖村,1488,566,132,2186,14,2200,0,2200,4490,6690,32.88
,黃埔村,606,300,104,1010,22,1032,0,1032,2310,3342,30.88
,總計,4598,1686,608,6892,60,6952,0,6952,16362,23314,29.82
烏坵鄉,,160,44,28,232,0,232,0,232,906,1138,20.39
,大坵村,88,38,26,152,0,152,0,152,416,568,26.76
,小坵村,72,6,2,80,0,80,0,80,490,570,14.04
,總計,160,44,28,232,0,232,0,232,906,1138,20.39
