行政區別,村里別,宋楚瑜/余湘,蔡英文/賴清德,韓國瑜/張善政,有效票數A,無效票數B,投票數C,已領未投票數D,發出票數E,用餘票數F,選舉人數G,投票率H
總計,,3272,20912,71896,96080,846,96926,0,96926,144516,241442,40.14
金城鎮,,1010,6340,22984,30334,256,30590,0,30590,43586,74176,41.24
,東門里,130,842,3158,4130,36,4166,0,4166,5410,9576,43.5
,西門里,262,1692,6072,8026,62,8088,0,8088,10868,18956,42.67
,南門里,174,928,3276,4378,36,4414,0,4414,6120,10534,41.9
,北門里,110,654,2660,3424,38,3462,0,3462,4876,8338,41.52
,古城里,96,538,2214,2848,22,2870,0,2870,4822,7692,37.31
,金水里,60,364,1326,1750,24,1774,0,1774,2542,4316,41.1
,珠沙里,66,454,1578,2098,10,2108,0,2108,3466,5574,37.82
,賢庵里,112,868,2700,3680,28,3708,0,3708,5482,9190,40.35
,總計,1010,6340,22984,30334,256,30590,0,30590,43586,74176,41.24
金沙鎮,,370,2396,11472,14238,144,14382,0,14382,22286,36668,39.22
,汶沙里,128,766,3238,4132,44,4176,0,4176,6072,10248,40.75
,三山里,32,242,1154,1428,12,1440,0,1440,2372,3812,37.78
,大洋里,22,150,750,922,4,926,0,926,1312,2238,41.38
,光前里,52,340,1456,1848,10,1858,0,1858,2594,4452,41.73
,何斗里,54,208,1238,1500,18,1518,0,1518,2424,3942,38.51
,西園里,24,154,882,1060,10,1070,0,1070,1984,3054,35.04
,官嶼里,24,208,1316,1548,26,1574,0,1574,2742,4316,36.47
,浦山里,34,328,1438,1800,20,1820,0,1820,2786,4606,39.51
,總計,370,2396,11472,14238,144,14382,0,14382,22286,36668,39.22
金湖鎮,,830,4548,16242,21620,174,21794,0,21794,29920,51714,42.14
,新市里,174,762,2876,3812,28,3840,0,3840,4680,8520,45.07
,山外里,112,528,2014,2654,36,2690,0,2690,3696,6386,42.12
,正義里,62,370,1588,2020,14,2034,0,2034,3146,5180,39.27
,料羅里,58,320,1224,1602,18,1620,0,1620,2352,3972,40.79
,瓊林里,76,410,1964,2450,20,2470,0,2470,3676,6146,40.19
,新湖里,280,1748,4662,6690,38,6728,0,6728,8606,15334,43.88
,溪湖里,28,172,850,1050,6,1056,0,1056,1874,2930,36.04
,蓮庵里,40,238,1064,1342,14,1356,0,1356,1890,3246,41.77
,總計,830,4548,16242,21620,174,21794,0,21794,29920,51714,42.14
金寧鄉,,874,6322,15070,22266,222,22488,0,22488,32482,54970,40.91
,古寧村,52,402,1782,2236,18,2254,0,2254,4236,6490,34.73
,安美村,152,892,2660,3704,50,3754,0,3754,5836,9590,39.14
,后盤村,26,182,908,1116,6,1122,0,1122,1964,3086,36.36
,湖埔村,280,1950,3768,5998,58,6056,0,6056,7590,13646,44.38
,榜林村,118,920,2918,3956,36,3992,0,3992,6178,10170,39.25
,盤山村,246,1976,3034,5256,54,5310,0,5310,6678,11988,44.29
,總計,874,6322,15070,22266,222,22488,0,22488,32482,54970,40.91
烈嶼鄉,,184,1276,5936,7396,48,7444,0,7444,15388,22832,32.6
,上岐村,48,300,1456,1804,12,1816,0,1816,3726,5542,32.77
,上林村,26,124,680,830,14,844,0,844,1932,2776,30.4
,西口村,30,288,1062,1380,6,1386,0,1386,3342,4728,29.31
,林湖村,68,378,1950,2396,12,2408,0,2408,4204,6612,36.42
,黃埔村,12,186,788,986,4,990,0,990,2184,3174,31.19
,總計,184,1276,5936,7396,48,7444,0,7444,15388,22832,32.6
烏坵鄉,,4,30,192,226,2,228,0,228,854,1082,21.07
,大坵村,2,20,120,142,0,142,0,142,386,528,26.89
,小坵村,2,10,72,84,2,86,0,86,468,554,15.52
,總計,4,30,192,226,2,228,0,228,854,1082,21.07
