行政區別,村里別,宋楚瑜/徐欣瑩,朱立倫/王如玄,蔡英文/陳建仁,有效票數A,無效票數B,投票數C,已領未投票數D,發出票數E,用餘票數F,選舉人數G,投票率H
總計,,437620,860010,1586562,2884192,39600,2923792,0,2923792,1353246,4277038,68.36
中區,,2516,5546,10324,18386,240,18626,0,18626,10256,28882,64.49
,繼光里,274,568,1106,1948,24,1972,0,1972,994,2966,66.49
,大墩里,360,782,1572,2714,28,2742,0,2742,1440,4182,65.57
,綠川里,256,636,1350,2242,20,2262,0,2262,1006,3268,69.22
,公園里,248,552,1040,1840,20,1860,0,1860,1132,2992,62.17
,光復里,356,864,1398,2618,26,2644,0,2644,1396,4040,65.45
,柳川里,288,658,1154,2100,26,2126,0,2126,1504,3630,58.57
,大誠里,418,880,1522,2820,58,2878,0,2878,1458,4336,66.37
,中華里,316,606,1182,2104,38,2142,0,2142,1326,3468,61.76
,總計,2516,5546,10324,18386,240,18626,0,18626,10256,28882,64.49
東區,,11936,23362,47514,82812,1094,83906,0,83906,37982,121888,68.84
,新庄里,486,936,2196,3618,38,3656,0,3656,2296,5952,61.42
,振興里,528,992,2684,4204,66,4270,0,4270,1920,6190,68.98
,東橋里,576,1020,3162,4758,58,4816,0,4816,2130,6946,69.33
,東興里,538,978,2380,3896,46,3942,0,3942,1586,5528,71.31
,干城里,370,838,1920,3128,36,3164,0,3164,1434,4598,68.81
,泉源里,296,536,1446,2278,22,2300,0,2300,1020,3320,69.28
,旱溪里,500,868,1992,3360,34,3394,0,3394,1400,4794,70.8
,樂成里,372,608,1804,2784,32,2816,0,2816,1254,4070,69.19
,東門里,1140,1684,5530,8354,116,8470,0,8470,3302,11772,71.95
,十甲里,812,1472,3346,5630,50,5680,0,5680,2562,8242,68.92
,東南里,756,1470,2558,4784,58,4842,0,4842,2334,7176,67.47
,東勢里,570,1008,1778,3356,46,3402,0,3402,1796,5198,65.45
,合作里,932,2282,1926,5140,98,5238,0,5238,2680,7918,66.15
,富台里,398,1076,772,2246,28,2274,0,2274,1096,3370,67.48
,富仁里,886,2542,1776,5204,92,5296,0,5296,2752,8048,65.81
,東信里,1534,2848,7124,11506,164,11670,0,11670,4752,16422,71.06
,東英里,1242,2204,5120,8566,110,8676,0,8676,3668,12344,70.29
,總計,11936,23362,47514,82812,1094,83906,0,83906,37982,121888,68.84
南區,,19222,37616,69446,126284,1570,127854,0,127854,62322,190176,67.23
