行政區別,村里別,1_宋楚瑜/余湘,66_1_黨籍,2_韓國瑜/張善政,66_2_黨籍,3_蔡英文/賴清德,66_3_黨籍,有效票數A,無效票數B,投票數C,已領未投票數D,發出票數E,用餘票數F,選舉人數G,投票率H
臺中市中區,繼光里,88,親民黨,724,中國國民黨,1292,民主進步黨,2104,16,2120,0,2120,800,2920,72.6
臺中市中區,大墩里,148,親民黨,986,中國國民黨,1600,民主進步黨,2734,34,2768,0,2768,1104,3872,71.49
臺中市中區,綠川里,94,親民黨,810,中國國民黨,1438,民主進步黨,2342,10,2352,0,2352,854,3206,73.36
臺中市中區,公園里,72,親民黨,696,中國國民黨,1134,民主進步黨,1902,10,1912,0,1912,810,2722,70.24
臺中市中區,光復里,128,親民黨,1136,中國國民黨,1560,民主進步黨,2824,32,2856,0,2856,1092,3948,72.34
臺中市中區,柳川里,98,親民黨,1060,中國國民黨,1318,民主進步黨,2476,20,2496,0,2496,1112,3608,69.18
臺中市中區,大誠里,148,親民黨,1264,中國國民黨,1820,民主進步黨,3232,54,3286,0,3286,1284,4570,71.9
臺中市中區,中華里,108,親民黨,970,中國國民黨,1424,民主進步黨,2502,36,2538,0,2538,1076,3614,70.23
臺中市東區,新庄里,174,親民黨,1350,中國國民黨,2282,民主進步黨,3806,46,3852,0,3852,1962,5814,66.25
臺中市東區,振興里,206,親民黨,1464,中國國民黨,2970,民主進步黨,4640,56,4696,0,4696,1426,6122,76.71
臺中市東區,東橋里,306,親民黨,1628,中國國民黨,3782,民主進步黨,5716,70,5786,0,5786,1562,7348,78.74
臺中市東區,東興里,198,親民黨,1362,中國國民黨,2658,民主進步黨,4218,60,4278,0,4278,1208,5486,77.98
臺中市東區,干城里,110,親民黨,1036,中國國民黨,1658,民主進步黨,2804,50,2854,0,2854,832,3686,77.43
臺中市東區,泉源里,132,親民黨,908,中國國民黨,1780,民主進步黨,2820,48,2868,0,2868,858,3726,76.97
臺中市東區,旱溪里,186,親民黨,1308,中國國民黨,2264,民主進步黨,3758,44,3802,0,3802,984,4786,79.44
臺中市東區,樂成里,114,親民黨,1026,中國國民黨,2080,民主進步黨,3220,36,3256,0,3256,1068,4324,75.3
臺中市東區,東門里,446,親民黨,2982,中國國民黨,6864,民主進步黨,10292,98,10390,0,10390,2538,12928,80.37
臺中市東區,十甲里,362,親民黨,2314,中國國民黨,4338,民主進步黨,7014,80,7094,0,7094,2064,9158,77.46
臺中市東區,東南里,268,親民黨,2096,中國國民黨,3074,民主進步黨,5438,64,5502,0,5502,1688,7190,76.52
臺中市東區,東勢里,182,親民黨,1548,中國國民黨,2034,民主進步黨,3764,50,3814,0,3814,1292,5106,74.7
臺中市東區,合作里,356,親民黨,3022,中國國民黨,2576,民主進步黨,5954,54,6008,0,6008,1854,7862,76.42
臺中市東區,富台里,114,親民黨,1388,中國國民黨,922,民主進步黨,2424,38,2462,0,2462,878,3340,73.71
臺中市東區,富仁里,250,親民黨,3494,中國國民黨,2130,民主進步黨,5874,88,5962,0,5962,2044,8006,74.47
