行政區別,村里別,周可盛,柯文哲,楊秋興,連勝文,陳永昌,陳菊,馮光遠,有效票數A,無效票數B,投票數C,已領未投票數D,發出票數E,用餘票數F,選舉人數G,投票率H
總計,,1275062,0,0,0,0,1694568,0,2969630,42416,3012046,0,3012046,1175332,4187378,71.93
中區,,7942,0,0,0,0,11050,0,18992,256,19248,0,19248,9652,28900,66.6
,繼光里,860,0,0,0,0,1212,0,2072,28,2100,0,2100,898,2998,70.05
,大墩里,1126,0,0,0,0,1622,0,2748,32,2780,0,2780,1450,4230,65.72
,綠川里,886,0,0,0,0,1434,0,2320,24,2344,0,2344,978,3322,70.56
,公園里,750,0,0,0,0,1118,0,1868,24,1892,0,1892,1080,2972,63.66
,光復里,1182,0,0,0,0,1492,0,2674,34,2708,0,2708,1410,4118,65.76
,柳川里,998,0,0,0,0,1220,0,2218,22,2240,0,2240,1350,3590,62.4
,大誠里,1224,0,0,0,0,1648,0,2872,58,2930,0,2930,1336,4266,68.68
,中華里,916,0,0,0,0,1304,0,2220,34,2254,0,2254,1150,3404,66.22
,總計,7942,0,0,0,0,11050,0,18992,256,19248,0,19248,9652,28900,66.6
東區,,34480,0,0,0,0,51380,0,85860,1094,86954,0,86954,33326,120280,72.29
,新庄里,1294,0,0,0,0,2306,0,3600,44,3644,0,3644,2276,5920,61.55
,振興里,1444,0,0,0,0,2974,0,4418,66,4484,0,4484,1730,6214,72.16
,東橋里,1598,0,0,0,0,3326,0,4924,70,4994,0,4994,1906,6900,72.38
,東興里,1446,0,0,0,0,2666,0,4112,50,4162,0,4162,1348,5510,75.54
,干城里,1198,0,0,0,0,2174,0,3372,36,3408,0,3408,1278,4686,72.73
,泉源里,850,0,0,0,0,1522,0,2372,28,2400,0,2400,840,3240,74.07
,旱溪里,1334,0,0,0,0,2186,0,3520,52,3572,0,3572,1144,4716,75.74
,樂成里,974,0,0,0,0,1894,0,2868,26,2894,0,2894,1170,4064,71.21
,東門里,2826,0,0,0,0,6022,0,8848,116,8964,0,8964,2596,11560,77.54
