行政區別,村里別,璩美鳳,蘇煥智,蘇盈貴,陳其邁,陳永和,韓國瑜,有效票數A,無效票數B,投票數C,已領未投票數D,發出票數E,用餘票數F,選舉人數G,投票率H
總計,,1655992,0,0,1239710,0,31838,2927540,59190,2986730,0,2986730,1440848,4427578,67.46
中區,,9718,0,0,8346,0,172,18236,394,18630,0,18630,9852,28482,65.41
,繼光里,924,0,0,1004,0,22,1950,62,2012,0,2012,966,2978,67.56
,大墩里,1278,0,0,1144,0,26,2448,74,2522,0,2522,1418,3940,64.01
,綠川里,1118,0,0,1092,0,20,2230,24,2254,0,2254,942,3196,70.53
,公園里,894,0,0,818,0,18,1730,38,1768,0,1768,1012,2780,63.6
,光復里,1412,0,0,1120,0,26,2558,38,2596,0,2596,1352,3948,65.75
,柳川里,1262,0,0,938,0,10,2210,36,2246,0,2246,1344,3590,62.56
,大誠里,1584,0,0,1342,0,18,2944,58,3002,0,3002,1462,4464,67.25
,中華里,1246,0,0,888,0,32,2166,64,2230,0,2230,1356,3586,62.19
,總計,9718,0,0,8346,0,172,18236,394,18630,0,18630,9852,28482,65.41
東區,,44110,0,0,38156,0,916,83182,1724,84906,0,84906,39558,124464,68.22
,新庄里,1666,0,0,1770,0,32,3468,96,3564,0,3564,2294,5858,60.84
,振興里,1998,0,0,2186,0,46,4230,86,4316,0,4316,1788,6104,70.71
,東橋里,2134,0,0,2598,0,62,4794,90,4884,0,4884,2158,7042,69.36
,東興里,1844,0,0,1910,0,28,3782,84,3866,0,3866,1634,5500,70.29
,干城里,1282,0,0,1386,0,28,2696,42,2738,0,2738,1102,3840,71.3
,泉源里,1230,0,0,1362,0,28,2620,58,2678,0,2678,990,3668,73.01
,旱溪里,1676,0,0,1570,0,40,3286,44,3330,0,3330,1512,4842,68.77
,樂成里,1374,0,0,1598,0,26,2998,84,3082,0,3082,1192,4274,72.11
,東門里,3900,0,0,4596,0,114,8610,198,8808,0,8808,3894,12702,69.34
,十甲里,3092,0,0,2802,0,70,5964,134,6098,0,6098,2900,8998,67.77
,東南里,2768,0,0,2082,0,60,4910,108,5018,0,5018,2206,7224,69.46
,東勢里,1878,0,0,1298,0,24,3200,68,3268,0,3268,1812,5080,64.33
,合作里,3696,0,0,1558,0,48,5302,94,5396,0,5396,2512,7908,68.23
,富台里,1524,0,0,582,0,26,2132,44,2176,0,2176,1128,3304,65.86
,富仁里,3858,0,0,1330,0,84,5272,104,5376,0,5376,2558,7934,67.76
,東信里,5616,0,0,5608,0,104,11328,228,11556,0,11556,5294,16850,68.58
,東英里,4574,0,0,3920,0,96,8590,162,8752,0,8752,4584,13336,65.63
,總計,44110,0,0,38156,0,916,83182,1724,84906,0,84906,39558,124464,68.22
南區,,74500,0,0,56660,0,1316,132476,2592,135068,0,135068,64084,199152,67.82
,城隍里,2446,0,0,2130,0,50,4626,122,4748,0,4748,2286,7034,67.5
,國光里,2582,0,0,2418,0,54,5054,112,5166,0,5166,2348,7514,68.75
,南門里,2498,0,0,2096,0,46,4640,74,4714,0,4714,2024,6738,69.96
,德義里,2028,0,0,1644,0,38,3710,78,3788,0,3788,1686,5474,69.2
,積善里,1820,0,0,1676,0,28,3524,70,3594,0,3594,1424,5018,71.62
,江川里,1992,0,0,1694,0,46,3732,74,3806,0,3806,1490,5296,71.87
,新榮里,3092,0,0,2220,0,48,5360,94,5454,0,5454,2842,8296,65.74
,福興里,2796,0,0,2390,0,46,5232,92,5324,0,5324,2064,7388,72.06
,福平里,3846,0,0,3062,0,64,6972,132,7104,0,7104,3156,10260,69.24
,和平里,2604,0,0,1988,0,50,4642,90,4732,0,4732,2628,7360,64.29
,永興里,5612,0,0,4006,0,80,9698,204,9902,0,9902,4672,14574,67.94
,樹義里,7616,0,0,5442,0,128,13186,236,13422,0,13422,7084,20506,65.45
,樹德里,6168,0,0,4172,0,114,10454,212,10666,0,10666,4404,15070,70.78
,西川里,3052,0,0,2146,0,62,5260,88,5348,0,5348,2658,8006,66.8
,長春里,1362,0,0,1218,0,20,2600,56,2656,0,2656,1134,3790,70.08
,長榮里,1782,0,0,1568,0,38,3388,68,3456,0,3456,1270,4726,73.13
,福順里,4002,0,0,3056,0,80,7138,130,7268,0,7268,3110,10378,70.03
,平和里,2484,0,0,2198,0,44,4726,98,4824,0,4824,1970,6794,71.0
,南和里,4868,0,0,2974,0,86,7928,148,8076,0,8076,5754,13830,58.39
,永和里,3060,0,0,2388,0,50,5498,120,5618,0,5618,2898,8516,65.97
,工學里,4920,0,0,3244,0,70,8234,172,8406,0,8406,3948,12354,68.04
,崇倫里,3870,0,0,2930,0,74,6874,122,6996,0,6996,3234,10230,68.39
,總計,74500,0,0,56660,0,1316,132476,2592,135068,0,135068,64084,199152,67.82
西區,,67068,0,0,51232,0,1236,119536,2378,121914,0,121914,61920,183834,66.32
,民生里,1332,0,0,1074,0,34,2440,30,2470,0,2470,1002,3472,71.14
,利民里,1038,0,0,676,0,20,1734,26,1760,0,1760,964,2724,64.61
,三民里,1328,0,0,882,0,22,2232,34,2266,0,2266,2084,4350,52.09
,東昇里,1770,0,0,1286,0,30,3086,48,3134,0,3134,1284,4418,70.94
,廣民里,1170,0,0,788,0,18,1976,46,2022,0,2022,830,2852,70.9
,平和里,1452,0,0,974,0,22,2448,26,2474,0,2474,1218,3692,67.01
,公民里,3462,0,0,2720,0,66,6248,122,6370,0,6370,2920,9290,68.57
,藍興里,2920,0,0,2282,0,58,5260,92,5352,0,5352,2242,7594,70.48
,公舘里,3930,0,0,3318,0,88,7336,112,7448,0,7448,3512,10960,67.96
,和龍里,1458,0,0,1450,0,50,2958,46,3004,0,3004,1522,4526,66.37
,民龍里,2196,0,0,1476,0,40,3712,80,3792,0,3792,2394,6186,61.3
,後龍里,2410,0,0,2038,0,34,4482,106,4588,0,4588,2214,6802,67.45
,安龍里,1994,0,0,1576,0,38,3608,52,3660,0,3660,1866,5526,66.23
,吉龍里,4692,0,0,3306,0,98,8096,172,8268,0,8268,4290,12558,65.84
,昇平里,3918,0,0,3100,0,58,7076,166,7242,0,7242,3720,10962,66.06
,忠明里,3884,0,0,2872,0,62,6818,168,6986,0,6986,3950,10936,63.88
,公正里,4370,0,0,3216,0,78,7664,180,7844,0,7844,3810,11654,67.31
,土庫里,3648,0,0,2868,0,74,6590,132,6722,0,6722,4030,10752,62.52
,忠誠里,3994,0,0,3220,0,84,7298,136,7434,0,7434,3562,10996,67.61
,公益里,1862,0,0,1720,0,26,3608,72,3680,0,3680,1752,5432,67.75
,中興里,2224,0,0,2044,0,32,4300,90,4390,0,4390,2620,7010,62.62
,公平里,3510,0,0,2298,0,54,5862,124,5986,0,5986,3320,9306,64.32
,公德里,3172,0,0,2284,0,54,5510,114,5624,0,5624,2508,8132,69.16
,双龍里,2140,0,0,1460,0,50,3650,116,3766,0,3766,1634,5400,69.74
,大忠里,3194,0,0,2304,0,46,5544,88,5632,0,5632,2672,8304,67.82
,總計,67068,0,0,51232,0,1236,119536,2378,121914,0,121914,61920,183834,66.32
北區,,91538,0,0,60374,0,1490,153402,2960,156362,0,156362,85230,241592,64.72
,光大里,1416,0,0,1128,0,24,2568,78,2646,0,2646,1340,3986,66.38
,文莊里,2998,0,0,1252,0,36,4286,96,4382,0,4382,2192,6574,66.66
,五常里,872,0,0,768,0,18,1658,34,1692,0,1692,1022,2714,62.34
,新興里,1228,0,0,708,0,16,1952,38,1990,0,1990,1008,2998,66.38
,新北里,1250,0,0,906,0,12,2168,48,2216,0,2216,1100,3316,66.83
,樂英里,2802,0,0,618,0,24,3444,70,3514,0,3514,1688,5202,67.55
,錦村里,2636,0,0,1688,0,38,4362,46,4408,0,4408,1774,6182,71.3
,建成里,3868,0,0,2662,0,64,6594,104,6698,0,6698,3880,10578,63.32
,錦洲里,2410,0,0,1382,0,52,3844,78,3922,0,3922,2558,6480,60.52
,金華里,1916,0,0,1152,0,32,3100,60,3160,0,3160,1628,4788,66.0
,金龍里,3244,0,0,2094,0,60,5398,72,5470,0,5470,2920,8390,65.2
,邱厝里,1752,0,0,1258,0,30,3040,40,3080,0,3080,1312,4392,70.13
,建興里,4140,0,0,2968,0,56,7164,160,7324,0,7324,3538,10862,67.43
,頂厝里,3090,0,0,2066,0,46,5202,108,5310,0,5310,2582,7892,67.28
,賴厝里,3166,0,0,1736,0,44,4946,86,5032,0,5032,4810,9842,51.13
,賴村里,3124,0,0,2444,0,58,5626,70,5696,0,5696,2956,8652,65.83
,育德里,2564,0,0,1918,0,36,4518,94,4612,0,4612,2350,6962,66.25
,淡溝里,3264,0,0,2490,0,46,5800,128,5928,0,5928,3636,9564,61.98
,中達里,1862,0,0,1374,0,38,3274,74,3348,0,3348,1668,5016,66.75
,錦祥里,2774,0,0,1574,0,56,4404,74,4478,0,4478,2798,7276,61.54
,健行里,4278,0,0,3478,0,78,7834,154,7988,0,7988,4462,12450,64.16
,明德里,3864,0,0,2654,0,74,6592,140,6732,0,6732,3486,10218,65.88
,長青里,4296,0,0,2970,0,68,7334,140,7474,0,7474,4198,11672,64.03
,賴明里,2822,0,0,1642,0,36,4500,108,4608,0,4608,2628,7236,63.68
,賴興里,3004,0,0,1690,0,60,4754,76,4830,0,4830,2418,7248,66.64
,中正里,970,0,0,884,0,12,1866,36,1902,0,1902,916,2818,67.49
,六合里,1068,0,0,1016,0,10,2094,50,2144,0,2144,1212,3356,63.89
,大湖里,1538,0,0,1320,0,42,2900,52,2952,0,2952,1360,4312,68.46
,錦平里,1304,0,0,1026,0,26,2356,50,2406,0,2406,1206,3612,66.61
,建德里,2520,0,0,1656,0,48,4224,70,4294,0,4294,2222,6516,65.9
,崇德里,2452,0,0,1682,0,28,4162,64,4226,0,4226,2604,6830,61.87
,賴旺里,3270,0,0,1998,0,48,5316,108,5424,0,5424,2866,8290,65.43
,明新里,2058,0,0,1420,0,30,3508,62,3570,0,3570,1650,5220,68.39
,立人里,2780,0,0,1480,0,46,4306,98,4404,0,4404,2666,7070,62.29
,梅川里,2320,0,0,1528,0,56,3904,96,4000,0,4000,1890,5890,67.91
,賴福里,2618,0,0,1744,0,42,4404,98,4502,0,4502,2686,7188,62.63
,總計,91538,0,0,60374,0,1490,153402,2960,156362,0,156362,85230,241592,64.72
