行政區別,村里別,何孟樺,侯漢廷,劉仕傑,劉榮之,劉耀仁,吳世正,吳崢,吳志剛,吳怡萱,吳欣岱,吳沛憶,吳蕚洋,呂增塔,張四維,張幸松,張志豪,張文潔,張斯綱,張榮法,張渝江,徐千淳,徐巧芯,徐弘庭,徐正文,徐立信,應曉薇,戴錫欽,曾獻瑩,曾琳詒,李光輝,李建昌,李彥秀,李明賢,李有宜,李柏毅,李菁琪,林世宗,林亮君,林元敏,林婕麗,林岳龍,林延鳳,林志穎,林杏兒,林柏勛,林泓泰,林珍羽,林瑞圖,林穎孟,柳采葳,梁文傑,楊寶楨,楊植斗,楊靜宇,江志銘,汪志冰,洪健益,洪士奇,洪婉臻,游淑慧,王世堅,王孝維,王欣儀,王郁揚,王閔生,王鴻薇,王麒傑,秦慧珠,簡舒培,耿葳,苗博雅,華珮君,葉林傳,蘇府庭,蘇恆,許家蓓,許淑華,詹晉鑒,詹為元,趙怡翔,連紹傑,邵維倫,郝淑薏,郭昭巖,郭智亭,郭榮先,鄭建炘,鄭淑娟,鄭穎隆,鍾佩玲,鍾小平,鍾沛君,闕枚莎,陳宥丞,陳志明,陳思宇,陳怡君,陳慈慧,陳政忠,陳樹霖,陳炳甫,陳聖文,陳賢蔚,陳重文,陳錦祥,項豪,顏若芳,高世俊,高揚凱,高毓安,黃瀞瑩,黃郁芬
中山區,成功里,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,470.0,,156.0,,,,,,,398.0,,,736.0,460.0,,,,,,,,,,1052.0,,,,,,,,,,,,736.0,,,,,,,,36.0,,,,,,,,,,,,,,,,384.0,,,,1042.0,,,,,,832.0,130.0,,,,
中山區,新喜里,,,,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,384.0,,102.0,,,,,,,670.0,,,666.0,318.0,,,,,,,,,,888.0,,,,,,,,,,,,454.0,,,,,,,,52.0,,,,,,,,,,,,,,,,478.0,,,,434.0,,,,,,744.0,82.0,,,,
中山區,新庄里,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,344.0,,78.0,,,,,,,630.0,,,696.0,470.0,,,,,,,,,,808.0,,,,,,,,,,,,502.0,,,,,,,,24.0,,,,,,,,,,,,,,,,484.0,,,,614.0,,,,,,772.0,132.0,,,,
中山區,新生里,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,312.0,,84.0,,,,,,,966.0,,,568.0,364.0,,,,,,,,,,790.0,,,,,,,,,,,,424.0,,,,,,,,52.0,,,,,,,,,,,,,,,,408.0,,,,440.0,,,,,,614.0,60.0,,,,
中山區,新福里,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,324.0,,50.0,,,,,,,578.0,,,748.0,304.0,,,,,,,,,,826.0,,,,,,,,,,,,372.0,,,,,,,,24.0,,,,,,,,,,,,,,,,496.0,,,,382.0,,,,,,1138.0,70.0,,,,
中山區,晴光里,,,,,,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,,,434.0,,110.0,,,,,,,488.0,,,696.0,326.0,,,,,,,,,,958.0,,,,,,,,,,,,864.0,,,,,,,,52.0,,,,,,,,,,,,,,,,392.0,,,,422.0,,,,,,550.0,86.0,,,,
中山區,朱園里,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,436.0,,56.0,,,,,,,324.0,,,620.0,380.0,,,,,,,,,,894.0,,,,,,,,,,,,282.0,,,,,,,,58.0,,,,,,,,,,,,,,,,398.0,,,,610.0,,,,,,558.0,126.0,,,,
中山區,朱崙里,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,284.0,,48.0,,,,,,,260.0,,,408.0,238.0,,,,,,,,,,602.0,,,,,,,,,,,,518.0,,,,,,,,22.0,,,,,,,,,,,,,,,,266.0,,,,232.0,,,,,,282.0,72.0,,,,
中山區,朱馥里,,,,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,430.0,,154.0,,,,,,,596.0,,,764.0,376.0,,,,,,,,,,986.0,,,,,,,,,,,,730.0,,,,,,,,52.0,,,,,,,,,,,,,,,,424.0,,,,524.0,,,,,,632.0,160.0,,,,
中山區,松江里,,,,,,,,,,,,,,,,,,,,,26.0,,,,,,,,,,,,,,,,,530.0,,86.0,,,,,,,628.0,,,666.0,476.0,,,,,,,,,,1026.0,,,,,,,,,,,,750.0,,,,,,,,44.0,,,,,,,,,,,,,,,,534.0,,,,894.0,,,,,,816.0,94.0,,,,
中山區,正守里,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,258.0,,62.0,,,,,,,308.0,,,352.0,300.0,,,,,,,,,,638.0,,,,,,,,,,,,314.0,,,,,,,,32.0,,,,,,,,,,,,,,,,262.0,,,,564.0,,,,,,400.0,118.0,,,,
中山區,正得里,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,330.0,,72.0,,,,,,,284.0,,,378.0,272.0,,,,,,,,,,704.0,,,,,,,,,,,,388.0,,,,,,,,34.0,,,,,,,,,,,,,,,,230.0,,,,384.0,,,,,,394.0,232.0,,,,
中山區,正義里,,,,,,,,,,,,,,,,,,,,,28.0,,,,,,,,,,,,,,,,,328.0,,86.0,,,,,,,426.0,,,450.0,334.0,,,,,,,,,,876.0,,,,,,,,,,,,362.0,,,,,,,,48.0,,,,,,,,,,,,,,,,330.0,,,,1220.0,,,,,,550.0,108.0,,,,
中山區,民安里,,,,,,,,,,,,,,,,,,,,,26.0,,,,,,,,,,,,,,,,,396.0,,52.0,,,,,,,488.0,,,486.0,378.0,,,,,,,,,,804.0,,,,,,,,,,,,396.0,,,,,,,,32.0,,,,,,,,,,,,,,,,328.0,,,,590.0,,,,,,706.0,76.0,,,,
