行政區別,村里別,伍大辰,侯漢廷,劉仕傑,劉耀仁,吳世正,吳崢,吳志剛,吳曉東,吳沛憶,周威佑,周柏雅,張凱鈞,張斯綱,張東隆,張榮法,張秀葉,張茂楠,徐世勲,徐巧芯,徐弘庭,徐書慧,徐立信,應曉薇,戴錫欽,曾勁元,李克焜,李建昌,李志恒,李慶元,李慶鋒,李明賢,李柏毅,李美津,李茂榮,杜彩菊,林世宗,林亭君,林亮君,林國成,林婕麗,林明正,林杏兒,林柏勛,林瑞圖,林穎孟,林逸萍,梁文傑,楊仟慧,楊時睿,楊靜宇,歐陽龍,江志銘,汪志冰,洪健益,洪士奇,游淑慧,游藝,潘懷宗,潘翰疆,王世堅,王奕凱,王威中,王孝維,王振鴻,王映心,王欣儀,王正德,王浩,王致雅,王芝安,王閔生,王鴻芸,王鴻薇,秦慧珠,簡舒培,羅智強,耿葳,苗博雅,葉智遠,葉林傳,葉海瑞,蔡宜珊,蕭新晟,蕭瑞麟,蕭筱臻,蕭赫麟,蘇恆,許家蓓,許淑華,許菡芸,謝維洲,趙家蓉,邱威傑,郭昭巖,鄭建炘,鍾佩玲,鍾小平,鍾沛君,闕枚莎,阮昭雄,陳又新,陳婕瑄,陳建銘,陳彥伯,陳怡君,陳慈慧,陳政忠,陳永德,陳炳甫,陳義洲,陳賢蔚,陳重文,陳錦祥,顏聖冠,顏若芳,高嘉瑜,黃德北,黃珊珊,黃郁芬,黃麗香,龔偉綸
中山區,永安里,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,4.0,,840.0,922.0,468.0,356.0,,,,,,,960.0,30.0,,,,,,,,,,,100.0,670.0,,,,,,,,1294.0,,,,12.0,,,,,,,,796.0,,,,,,,384.0,,,,,,,,,,,,,,,,,,490.0,,,,1500.0,,,,,,938.0,,,,,18.0,
中山區,江寧里,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,10.0,,566.0,786.0,506.0,100.0,,,,,,,730.0,28.0,,,,,,,,,,,82.0,714.0,,,,,,,,990.0,,,,8.0,,,,,,,,856.0,,,,,,,354.0,,,,,,,,,,,,,,,,,,506.0,,,,932.0,,,,,,454.0,,,,,8.0,
中山區,江山里,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,6.0,,706.0,786.0,702.0,128.0,,,,,,,846.0,24.0,,,,,,,,,,,74.0,870.0,,,,,,,,980.0,,,,6.0,,,,,,,,786.0,,,,,,,294.0,,,,,,,,,,,,,,,,,,674.0,,,,702.0,,,,,,594.0,,,,,10.0,
中山區,聚盛里,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,8.0,,294.0,420.0,322.0,150.0,,,,,,,442.0,40.0,,,,,,,,,,,44.0,406.0,,,,,,,,334.0,,,,22.0,,,,,,,,756.0,,,,,,,214.0,,,,,,,,,,,,,,,,,,252.0,,,,404.0,,,,,,184.0,,,,,8.0,
中山區,聚葉里,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,2.0,,364.0,386.0,438.0,68.0,,,,,,,376.0,20.0,,,,,,,,,,,38.0,522.0,,,,,,,,352.0,,,,6.0,,,,,,,,492.0,,,,,,,194.0,,,,,,,,,,,,,,,,,,282.0,,,,348.0,,,,,,260.0,,,,,16.0,
中山區,興亞里,,,,,,,,,,,,,,26.0,,,,,,,,,,,,,,,,,,,,,4.0,,442.0,592.0,344.0,126.0,,,,,,,652.0,34.0,,,,,,,,,,,62.0,536.0,,,,,,,,570.0,,,,14.0,,,,,,,,970.0,,,,,,,200.0,,,,,,,,,,,,,,,,,,380.0,,,,362.0,,,,,,310.0,,,,,30.0,
中山區,行仁里,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,4.0,,574.0,892.0,730.0,234.0,,,,,,,916.0,32.0,,,,,,,,,,,72.0,788.0,,,,,,,,970.0,,,,20.0,,,,,,,,814.0,,,,,,,238.0,,,,,,,,,,,,,,,,,,920.0,,,,850.0,,,,,,828.0,,,,,0.0,
中山區,行孝里,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,2.0,,366.0,438.0,434.0,208.0,,,,,,,456.0,30.0,,,,,,,,,,,38.0,378.0,,,,,,,,518.0,,,,2.0,,,,,,,,354.0,,,,,,,112.0,,,,,,,,,,,,,,,,,,450.0,,,,326.0,,,,,,370.0,,,,,0.0,
中山區,行政里,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,6.0,,452.0,636.0,576.0,190.0,,,,,,,524.0,26.0,,,,,,,,,,,58.0,562.0,,,,,,,,610.0,,,,20.0,,,,,,,,544.0,,,,,,,240.0,,,,,,,,,,,,,,,,,,568.0,,,,794.0,,,,,,754.0,,,,,14.0,
中山區,金泰里,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,8.0,,604.0,740.0,432.0,174.0,,,,,,,556.0,48.0,,,,,,,,,,,118.0,530.0,,,,,,,,806.0,,,,12.0,,,,,,,,970.0,,,,,,,386.0,,,,,,,,,,,,,,,,,,388.0,,,,996.0,,,,,,468.0,,,,,10.0,
