行政區別,村里別,伍大辰,侯漢廷,劉仕傑,劉耀仁,吳世正,吳崢,吳志剛,吳曉東,吳沛憶,周威佑,周柏雅,張凱鈞,張斯綱,張東隆,張榮法,張秀葉,張茂楠,徐世勲,徐巧芯,徐弘庭,徐書慧,徐立信,應曉薇,戴錫欽,曾勁元,李克焜,李建昌,李志恒,李慶元,李慶鋒,李明賢,李柏毅,李美津,李茂榮,杜彩菊,林世宗,林亭君,林亮君,林國成,林婕麗,林明正,林杏兒,林柏勛,林瑞圖,林穎孟,林逸萍,梁文傑,楊仟慧,楊時睿,楊靜宇,歐陽龍,江志銘,汪志冰,洪健益,洪士奇,游淑慧,游藝,潘懷宗,潘翰疆,王世堅,王奕凱,王威中,王孝維,王振鴻,王映心,王欣儀,王正德,王浩,王致雅,王芝安,王閔生,王鴻芸,王鴻薇,秦慧珠,簡舒培,羅智強,耿葳,苗博雅,葉智遠,葉林傳,葉海瑞,蔡宜珊,蕭新晟,蕭瑞麟,蕭筱臻,蕭赫麟,蘇恆,許家蓓,許淑華,許菡芸,謝維洲,趙家蓉,邱威傑,郭昭巖,鄭建炘,鍾佩玲,鍾小平,鍾沛君,闕枚莎,阮昭雄,陳又新,陳婕瑄,陳建銘,陳彥伯,陳怡君,陳慈慧,陳政忠,陳永德,陳炳甫,陳義洲,陳賢蔚,陳重文,陳錦祥,顏聖冠,顏若芳,高嘉瑜,黃德北,黃珊珊,黃郁芬,黃麗香,龔偉綸
中正區,永昌里,12.0,,,368.0,,,544.0,,724.0,338.0,,,,,248.0,8.0,,,,,,878.0,384.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,36.0,,,,,,,,146.0,,,,630.0,,,782.0,,,,,14.0,,,,,,,,,,,,368.0,,,,,,,0.0
中正區,河堤里,24.0,,,198.0,,,392.0,,582.0,294.0,,,,,248.0,0.0,,,,,,566.0,384.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,86.0,,,,,,,,226.0,,,,852.0,,,714.0,,,,,20.0,,,,,,,,,,,,256.0,,,,,,,10.0
中正區,網溪里,14.0,,,332.0,,,438.0,,846.0,356.0,,,,,274.0,8.0,,,,,,850.0,600.0,,10.0,,,,,,,,,,,,,,,,,,,,,,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,110.0,,,,,,,,276.0,,,,572.0,,,1330.0,,,,,26.0,,,,,,,,,,,,404.0,,,,,,,12.0
中正區,螢圃里,26.0,,,278.0,,,412.0,,698.0,398.0,,,,,216.0,10.0,,,,,,672.0,968.0,,12.0,,,,,,,,,,,,,,,,,,,,,,,,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.0,100.0,,,,,,,,278.0,,,,482.0,,,886.0,,,,,18.0,,,,,,,,,,,,314.0,,,,,,,12.0
中正區,螢雪里,12.0,,,320.0,,,540.0,,562.0,286.0,,,,,138.0,0.0,,,,,,738.0,470.0,,8.0,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.0,68.0,,,,,,,,176.0,,,,434.0,,,762.0,,,,,10.0,,,,,,,,,,,,326.0,,,,,,,8.0
中正區,頂東里,22.0,,,266.0,,,796.0,,880.0,416.0,,,,,272.0,22.0,,,,,,770.0,660.0,,12.0,,,,,,,,,,,,,,,,,,,,,,,,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,90.0,,,,,,,,344.0,,,,458.0,,,1162.0,,,,,20.0,,,,,,,,,,,,500.0,,,,,,,12.0
中正區,黎明里,12.0,,,118.0,,,322.0,,358.0,114.0,,,,,72.0,8.0,,,,,,386.0,340.0,,18.0,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,46.0,,,,,,,,124.0,,,,378.0,,,450.0,,,,,6.0,,,,,,,,,,,,206.0,,,,,,,4.0
中正區,龍光里,0.0,,,120.0,,,584.0,,476.0,190.0,,,,,146.0,2.0,,,,,,454.0,224.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,36.0,,,,,,,,150.0,,,,270.0,,,498.0,,,,,8.0,,,,,,,,,,,,180.0,,,,,,,4.0
中正區,龍福里,4.0,,,256.0,,,530.0,,726.0,278.0,,,,,176.0,2.0,,,,,,680.0,434.0,,10.0,,,,,,,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,74.0,,,,,,,,190.0,,,,590.0,,,970.0,,,,,18.0,,,,,,,,,,,,554.0,,,,,,,12.0
中正區,龍興里,2.0,,,340.0,,,450.0,,500.0,338.0,,,,,136.0,2.0,,,,,,662.0,228.0,,10.0,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,62.0,,,,,,,,200.0,,,,428.0,,,490.0,,,,,6.0,,,,,,,,,,,,274.0,,,,,,,16.0
信義區,三張里,,,,,,562.0,,,,,,,,,,,402.0,366.0,994.0,,,,,522.0,,,,,,,,,,38.0,,,,,,,296.0,,56.0,,,,,,,,,,,478.0,520.0,,118.0,,,,,,,34.0,,,994.0,,,,,,1250.0,742.0,,,,,26.0,,,,,,,14.0,,594.0,866.0,,,,520.0,,,,,,,,,,,,,,,844.0,,,,,,,,,,,,,
信義區,三犁里,,,,,,302.0,,,,,,,,,,,206.0,228.0,580.0,,,,,450.0,,,,,,,,,,14.0,,,,,,,142.0,,64.0,,,,,,,,,,,292.0,342.0,,56.0,,,,,,,6.0,,,362.0,,,,,,602.0,362.0,,,,,18.0,,,,,,,6.0,,246.0,520.0,,,,236.0,,,,,,,,,,,,,,,518.0,,,,,,,,,,,,,
信義區,中坡里,,,,,,260.0,,,,,,,,,,,628.0,180.0,418.0,,,,,384.0,,,,,,,,,,4.0,,,,,,,80.0,,38.0,,,,,,,,,,,402.0,458.0,,62.0,,,,,,,16.0,,,338.0,,,,,,410.0,434.0,,,,,26.0,,,,,,,2.0,,320.0,260.0,,,,260.0,,,,,,,,,,,,,,,244.0,,,,,,,,,,,,,
信義區,中興里,,,,,,240.0,,,,,,,,,,,178.0,94.0,400.0,,,,,158.0,,,,,,,,,,244.0,,,,,,,90.0,,28.0,,,,,,,,,,,144.0,156.0,,72.0,,,,,,,10.0,,,164.0,,,,,,460.0,278.0,,,,,14.0,,,,,,,0.0,,164.0,254.0,,,,172.0,,,,,,,,,,,,,,,122.0,,,,,,,,,,,,,
