行政區別,村里別,唐新民,張家豪,施奉先,王文娟,童文薰,蔣萬安,蘇煥智,謝立康,鄭匡宇,陳時中,黃珊珊,黃聖峰
中正區,水源里,0,6,0,0,10,1292,2,0,0,1054,756,0
中正區,永功里,2,14,0,0,14,2624,8,2,2,2156,1596,4
中正區,永昌里,0,6,0,2,12,2304,6,0,2,1720,1208,2
中正區,河堤里,0,24,2,0,8,2264,14,0,2,1448,1102,4
中正區,網溪里,0,26,0,6,14,2728,2,0,4,1924,1600,0
中正區,螢圃里,4,10,0,2,12,2736,6,0,2,1848,1504,0
中正區,螢雪里,0,6,2,8,12,2164,10,0,4,1364,1124,0
中正區,頂東里,0,12,0,4,24,2888,8,0,6,2098,1576,0
中正區,黎明里,0,4,0,0,6,1336,6,0,2,890,766,2
中正區,龍光里,0,6,0,0,8,1454,18,2,0,998,908,0
中正區,龍福里,0,8,0,0,0,2122,6,2,2,1638,1312,0
中正區,龍興里,4,12,2,2,0,1428,8,0,2,1152,1092,2
信義區,三張里,0,12,4,0,22,4508,6,2,4,2730,2062,0
信義區,三犁里,0,8,0,0,8,2558,6,0,0,1542,1220,0
信義區,中坡里,0,2,2,6,6,2162,2,0,2,1596,1166,0
信義區,中興里,0,10,2,0,6,1518,4,0,2,1050,760,0
信義區,中行里,0,8,2,8,18,3366,8,4,0,2924,2090,2
信義區,五全里,0,10,2,0,6,2074,4,0,4,1942,1370,2
信義區,五常里,0,2,2,2,2,1718,4,0,2,1250,906,0
信義區,六合里,2,20,0,4,16,3664,10,2,0,1780,1694,0
信義區,六藝里,0,2,0,2,12,1650,6,0,2,1320,956,0
信義區,嘉興里,0,2,2,0,4,1560,4,0,2,1110,844,0
信義區,四維里,0,6,4,2,6,2610,6,0,0,1676,1368,4
信義區,四育里,0,8,2,2,12,2496,8,2,2,2346,1410,0
信義區,國業里,2,20,0,2,2,3406,4,0,0,2314,2018,2
信義區,大仁里,0,14,0,6,6,2084,10,0,2,1574,1252,0
信義區,大道里,0,16,0,0,12,2876,14,0,2,2228,1610,2
信義區,安康里,12,10,2,4,14,4734,8,0,2,3202,2558,4
信義區,富台里,2,4,0,2,10,2512,6,0,0,1186,1138,0
信義區,廣居里,0,12,0,2,8,3674,6,0,2,2366,1928,0
信義區,惠安里,4,16,2,2,10,3444,12,2,4,1704,1718,2
信義區,敦厚里,0,6,0,2,8,2364,16,0,0,1600,1358,0
信義區,新仁里,0,4,0,2,12,1758,2,0,0,902,750,0
信義區,景勤里,0,8,0,4,6,1966,4,2,0,1162,814,2
信義區,景新里,2,10,0,6,2,2710,8,0,4,1458,1252,4
信義區,景聯里,0,4,0,0,6,2186,2,2,2,1478,1166,0
信義區,松光里,0,8,0,0,4,2230,8,0,4,1770,1230,2
信義區,松友里,2,18,0,2,16,3126,10,2,2,2028,1744,2
信義區,松隆里,0,8,0,0,4,1058,2,0,0,718,554,0
信義區,正和里,2,6,0,0,6,2434,10,0,6,1336,1148,0
信義區,永吉里,0,2,2,0,4,1402,0,0,0,1616,1058,0
信義區,永春里,0,4,0,0,6,2184,2,2,10,1802,1358,0
信義區,泰和里,0,4,4,10,12,3660,8,4,6,2306,1888,0
信義區,興隆里,0,10,0,0,6,1332,2,2,4,736,578,0
信義區,興雅里,4,20,2,14,6,2608,6,0,0,1814,1400,0
