行政區別,村里別,唐新民,張家豪,施奉先,王文娟,童文薰,蔣萬安,蘇煥智,謝立康,鄭匡宇,陳時中,黃珊珊,黃聖峰
文山區,興業里,0,22,4,0,26,3150,12,0,0,1304,1278,0
文山區,興泰里,0,8,4,0,0,2294,8,0,0,1234,1254,2
文山區,興福里,0,24,4,0,8,2778,6,0,0,1760,1564,0
文山區,興豐里,6,16,2,0,6,2574,8,2,0,1498,1264,0
文山區,興邦里,6,22,0,0,10,3028,8,0,0,1116,1426,4
文山區,華興里,0,32,0,0,16,4858,6,0,2,2342,2392,2
文山區,萬和里,2,8,0,0,8,2132,6,0,2,722,850,0
文山區,萬年里,0,14,2,2,14,2578,14,2,6,1722,1446,4
文山區,萬有里,0,22,0,2,26,2930,10,4,2,1644,1596,0
文山區,萬盛里,2,12,2,0,10,2450,6,0,0,1424,1214,0
文山區,萬祥里,0,18,2,4,14,2146,6,2,2,1470,1324,6
文山區,萬美里,4,30,8,4,16,3898,14,0,4,1914,1816,2
文山區,萬興里,4,22,2,12,14,4062,14,0,2,2626,2524,2
文山區,萬芳里,8,30,2,2,26,4238,24,0,0,2028,2276,4
文山區,萬隆里,2,18,0,2,14,3890,26,0,2,2036,2104,2
文山區,試院里,2,20,4,2,2,3936,10,6,4,1712,2076,6
文山區,順興里,0,18,4,2,14,3804,18,2,2,2156,2224,4
松山區,三民里,2,6,0,4,6,3410,6,2,2,2232,1488,0
松山區,中崙里,0,10,6,4,2,1760,4,2,0,1320,1152,0
松山區,中正里,0,24,0,2,22,3664,16,0,2,3278,2342,2
松山區,中華里,0,4,2,0,6,3180,2,2,2,2032,1394,2
松山區,介壽里,0,2,2,0,8,1966,2,0,0,1580,1090,0
松山區,吉仁里,2,2,2,0,4,1664,2,2,0,1338,1034,0
松山區,吉祥里,2,20,2,2,8,3928,10,0,2,2784,1984,0
松山區,安平里,0,26,6,8,18,3822,20,0,2,3112,2200,2
松山區,富泰里,2,6,0,2,8,2554,16,2,6,1298,1036,0
松山區,富錦里,0,10,4,4,4,2654,12,0,2,1716,1262,0
松山區,復勢里,0,22,2,2,4,2648,20,0,0,2196,1752,0
松山區,復建里,2,8,0,0,2,2068,4,2,0,1456,1288,0
松山區,復源里,2,4,0,4,6,1604,2,0,0,1062,860,0
松山區,復盛里,4,4,0,6,4,3314,12,2,0,2082,1572,4
松山區,慈祐里,2,26,4,2,12,2922,8,4,0,2820,1866,0
松山區,敦化里,0,6,0,2,22,2998,18,2,2,2488,1778,0
松山區,新東里,0,4,0,0,2,2470,6,2,0,1706,1234,0
松山區,新益里,0,2,0,2,8,2332,0,0,2,1714,1230,0
松山區,新聚里,2,12,2,4,14,3602,0,6,2,2766,2074,0
松山區,東光里,0,14,0,2,8,3680,14,0,2,2302,1676,2
松山區,東勢里,0,4,0,4,6,1870,2,0,0,1592,1074,2
松山區,東昌里,0,0,0,4,2,1166,4,0,0,972,686,0
松山區,東榮里,0,16,0,4,12,3648,8,4,0,2916,1798,0
松山區,松基里,2,6,0,4,8,1676,2,0,0,1382,796,0
松山區,民有里,0,12,0,2,22,3916,12,2,0,3558,2140,0
松山區,民福里,0,16,4,2,20,3532,12,4,0,1938,1384,0
松山區,福成里,0,6,0,2,2,1170,4,0,2,926,648,0
松山區,精忠里,0,12,2,2,6,2090,10,0,4,1408,1048,0
松山區,美仁里,0,0,0,4,4,1482,8,0,0,1262,796,0
松山區,自強里,4,8,4,6,20,6300,20,0,2,1494,2080,0
松山區,莊敬里,2,4,2,4,10,2690,8,0,0,1632,1234,2
松山區,鵬程里,0,12,2,4,8,2840,6,0,0,1468,1272,0
松山區,龍田里,4,8,4,4,14,5970,18,0,2,2366,2608,2
萬華區,仁德里,0,6,0,2,10,1998,2,0,0,1918,1326,0
萬華區,保德里,0,2,0,2,10,1352,8,0,0,1284,850,0
萬華區,全德里,0,6,2,2,10,1724,6,0,2,1638,1258,0
萬華區,凌霄里,4,12,0,0,4,2062,6,0,2,940,974,0
萬華區,和平里,2,10,0,0,12,2174,4,6,0,3046,1950,2
萬華區,和德里,4,12,2,4,14,2238,6,0,0,2502,1646,2
萬華區,壽德里,2,10,2,2,8,2074,4,0,0,1932,1348,0
萬華區,孝德里,0,6,0,0,6,1154,4,2,2,1460,974,0
萬華區,富民里,0,16,2,4,10,1754,10,2,0,2204,1376,4
萬華區,富福里,0,6,8,2,10,1790,2,2,0,2002,1420,2
萬華區,忠德里,2,6,4,0,6,1700,6,2,0,1848,1412,0
萬華區,忠貞里,4,12,2,2,14,3060,14,2,2,1164,1114,2
萬華區,新和里,0,12,0,0,22,5494,8,4,4,1624,2272,0
萬華區,新安里,0,16,4,0,10,2916,8,2,6,1534,1434,0
萬華區,新忠里,0,4,0,0,4,2412,4,0,4,620,740,0
萬華區,新起里,0,8,0,0,16,2834,10,0,4,2502,1882,4
萬華區,日善里,4,4,0,2,10,1458,6,0,0,1488,1074,0
萬華區,日祥里,2,24,2,8,14,3430,14,2,2,1612,1698,2
萬華區,柳鄉里,4,14,4,0,12,1740,14,0,4,2106,1362,4
萬華區,榮德里,0,10,4,0,8,1422,8,0,0,1494,914,0
萬華區,福星里,0,16,2,2,10,2528,8,0,4,1690,1302,0
萬華區,福音里,0,2,6,2,6,1544,10,2,4,1480,1072,0
萬華區,糖里,2,16,12,0,12,2196,10,2,4,2320,1564,2
萬華區,綠堤里,0,12,0,8,4,1848,6,0,4,1538,1270,2
萬華區,興德里,4,16,0,0,10,1746,6,2,0,1798,1156,0
萬華區,菜園里,0,18,2,4,18,2416,8,2,2,2332,1776,0
萬華區,華中里,0,24,2,6,18,2464,12,0,12,2664,1712,0
萬華區,華江里,2,16,4,2,12,3308,8,2,2,3282,2590,0
萬華區,萬壽里,0,6,0,4,6,1414,6,0,0,954,692,0
萬華區,西門里,0,2,0,0,2,1664,0,0,0,1122,818,0
萬華區,銘德里,0,16,2,8,10,1832,4,0,0,1860,1436,0
萬華區,錦德里,2,12,2,8,6,2062,6,0,2,2330,1676,8
萬華區,雙園里,2,6,0,0,6,1712,8,0,2,1792,1224,0
萬華區,青山里,6,10,6,4,14,2354,0,2,6,2318,1548,4
萬華區,頂碩里,0,12,8,0,20,2634,6,4,6,3140,2026,2
萬華區,騰雲里,0,14,0,2,4,1772,8,0,0,890,812,0
