縣市,行政區別,村里別,合一行動聯盟,一邊一國行動黨,勞動黨,綠黨,宗教聯盟,民主進步黨,台灣民眾黨,台灣維新,台澎黨,國會政黨聯盟,台灣團結聯盟,中華統一促進黨,親民黨,安定力量,台灣基進,時代力量,新黨,喜樂島聯盟,中國國民黨,不分區政黨有效票數A
臺北市,中山區,下埤里,4,40,8,322,18,3500,1282,4,6,32,16,16,402,80,236,842,110,20,3130,10068
臺北市,中山區,中原里,0,32,2,226,12,2416,854,6,2,12,8,12,286,52,174,558,126,26,2020,6824
臺北市,中山區,中吉里,4,28,2,296,10,2656,958,0,0,18,18,2,294,58,166,562,88,18,2026,7204
臺北市,中山區,中央里,20,98,12,436,28,5590,2102,4,6,30,42,16,512,86,304,1248,210,30,4630,15404
臺北市,中山區,中山里,12,62,0,292,22,2774,1124,2,0,16,22,6,392,52,234,638,166,24,2806,8644
臺北市,中山區,中庄里,0,50,0,264,8,2452,798,2,2,14,14,2,282,30,156,490,80,12,1886,6542
臺北市,中山區,劍潭里,0,16,4,112,4,578,420,2,0,6,12,12,216,50,84,246,226,8,2744,4740
臺北市,中山區,力行里,8,30,12,252,4,2802,918,6,0,16,20,4,310,50,204,590,140,22,2510,7898
臺北市,中山區,北安里,0,12,4,158,0,860,390,2,2,4,12,4,154,42,72,262,116,0,1356,3450
臺北市,中山區,圓山里,6,30,2,194,6,1878,592,6,0,26,10,6,192,48,118,490,82,10,1730,5426
臺北市,中山區,埤頭里,0,20,0,168,2,1362,546,2,0,4,10,2,182,36,128,324,58,8,1438,4290
臺北市,中山區,大佳里,4,18,0,28,2,624,162,0,0,4,4,4,48,8,30,70,18,2,300,1326
臺北市,中山區,大直里,10,62,2,390,22,3290,1460,4,2,22,24,8,448,102,286,1014,216,20,4286,11668
臺北市,中山區,康樂里,2,20,0,116,2,962,370,0,0,2,14,4,132,28,50,226,56,10,1316,3310
臺北市,中山區,復華里,4,24,2,188,4,1666,710,2,0,10,14,6,266,36,100,452,136,22,2322,5964
臺北市,中山區,恆安里,6,54,4,194,2,1898,774,2,2,32,2,16,280,38,128,462,104,18,2052,6068
臺北市,中山區,成功里,4,20,0,280,4,2570,1136,2,6,10,10,14,360,56,166,668,174,10,2628,8118
臺北市,中山區,新喜里,6,28,0,246,6,2370,986,2,4,16,14,8,346,34,162,558,78,16,1938,6818
臺北市,中山區,新庄里,6,54,0,212,4,2414,884,2,0,10,20,14,226,32,104,452,78,6,2082,6600
臺北市,中山區,新生里,4,44,4,204,6,2364,800,4,6,24,18,10,248,40,156,460,74,20,1964,6450
臺北市,中山區,新福里,4,40,8,200,6,2616,824,2,2,22,18,4,322,32,144,546,80,8,1794,6672
臺北市,中山區,晴光里,6,30,6,234,2,2004,844,2,0,12,8,14,322,44,132,644,156,10,2408,6878
臺北市,中山區,朱園里,2,30,6,236,6,2010,820,2,0,12,18,2,250,44,140,500,118,20,1682,5898
臺北市,中山區,朱崙里,0,14,0,120,2,1280,500,0,0,14,4,2,130,44,100,288,70,8,1206,3782
臺北市,中山區,朱馥里,4,42,4,242,6,2328,960,0,2,22,14,12,318,54,164,578,146,14,2482,7392
臺北市,中山區,松江里,2,16,8,310,14,2914,1066,8,4,26,16,4,356,48,184,678,118,24,2482,8278
臺北市,中山區,正守里,2,16,2,136,0,1342,612,2,2,12,14,8,162,16,106,308,70,6,1398,4214
臺北市,中山區,正得里,0,34,2,178,6,1350,656,4,0,10,12,4,178,30,92,364,118,14,1608,4660
臺北市,中山區,正義里,10,34,0,236,4,1972,782,2,0,20,10,18,298,54,120,456,148,14,2348,6526
臺北市,中山區,民安里,4,52,6,174,8,2078,800,2,4,10,6,12,180,32,174,410,96,14,1810,5872
臺北市,中山區,永安里,4,62,8,432,12,3654,1414,4,4,26,8,14,546,98,284,928,276,44,3910,11728
臺北市,中山區,江寧里,6,32,8,356,4,2930,1132,0,0,20,20,8,418,76,224,782,208,12,2940,9176
臺北市,中山區,江山里,14,38,2,316,12,3606,1218,2,0,18,18,10,348,74,224,786,146,14,3126,9972
臺北市,中山區,聚盛里,4,30,6,166,6,1548,612,0,0,22,16,18,236,42,118,368,92,18,1936,5238
臺北市,中山區,聚葉里,10,34,6,156,22,1742,634,2,2,4,14,14,208,36,124,362,106,12,1564,5052
臺北市,中山區,興亞里,2,60,2,262,6,2390,936,2,2,8,16,6,264,26,112,578,140,10,2100,6922
臺北市,中山區,行仁里,0,90,4,332,18,3930,1488,6,6,36,18,18,374,42,234,822,122,12,3094,10646
臺北市,中山區,行孝里,0,26,2,148,10,1932,730,4,2,8,22,10,216,28,130,484,56,10,1506,5324
臺北市,中山區,行政里,6,40,6,234,14,2742,952,6,0,18,22,8,346,58,190,602,114,16,2640,8014
臺北市,中山區,金泰里,0,36,4,274,4,2564,1374,8,2,34,34,10,454,114,240,696,214,16,3320,9398
臺北市,中山區,集英里,6,58,4,362,8,3240,1224,0,4,14,18,12,374,58,258,730,134,20,2440,8964
臺北市,中山區,龍洲里,2,12,12,176,4,1290,790,2,2,10,14,2,288,66,100,508,272,6,3310,6866
臺北市,中正區,三愛里,4,44,10,458,14,3096,1302,6,2,32,22,6,446,120,248,804,294,38,3660,10606
臺北市,中正區,光復里,8,18,2,148,0,1312,648,0,2,12,10,2,162,30,138,348,96,14,1590,4540
臺北市,中正區,南福里,8,32,4,480,26,3636,1998,8,2,30,28,4,638,134,334,1166,350,26,4474,13378
臺北市,中正區,南門里,6,10,4,136,4,846,480,2,0,2,14,4,118,36,70,212,106,4,1304,3358
臺北市,中正區,富水里,0,18,6,86,2,624,478,0,0,10,8,6,116,10,60,318,120,0,1276,3138
臺北市,中正區,幸市里,8,12,4,188,8,1808,658,6,2,18,2,0,226,60,208,434,120,12,1946,5720
臺北市,中正區,幸福里,8,18,6,242,0,1750,792,4,0,20,16,8,216,66,116,420,180,4,2160,6026
臺北市,中正區,廈安里,2,36,0,198,2,1640,846,4,2,28,10,4,212,62,138,486,88,0,1642,5400
臺北市,中正區,建國里,0,6,0,76,0,452,270,0,0,6,0,6,62,14,48,164,30,0,670,1804
臺北市,中正區,忠勤里,8,64,6,194,16,2318,1048,6,4,26,26,24,338,62,158,502,192,16,3116,8124
臺北市,中正區,愛國里,2,20,0,136,2,1204,576,2,0,20,0,6,138,20,112,310,66,8,1266,3888
臺北市,中正區,文北里,6,28,2,320,0,2100,912,12,0,12,8,6,284,72,168,550,198,18,2350,7046
臺北市,中正區,文盛里,2,14,0,158,4,942,396,8,0,10,2,4,144,44,72,316,54,10,1132,3312
臺北市,中正區,文祥里,2,36,4,432,2,2724,1294,4,0,32,10,8,422,70,254,740,206,18,3318,9576
臺北市,中正區,新營里,2,28,6,402,16,2646,1578,10,2,44,22,8,442,116,274,842,312,20,4016,10786
臺北市,中正區,東門里,4,24,4,198,12,1234,618,4,0,12,2,2,170,24,126,332,172,2,1886,4826
臺北市,中正區,板溪里,2,28,4,138,6,1194,512,4,0,20,18,4,184,24,114,312,108,8,1616,4296
臺北市,中正區,林興里,4,24,4,198,12,1456,788,6,2,16,26,16,212,66,148,508,198,12,2306,6002
臺北市,中正區,梅花里,0,18,0,182,4,1260,516,0,2,16,10,2,172,28,112,318,94,14,1362,4110
臺北市,中正區,水源里,6,10,4,138,4,1170,438,0,4,22,10,8,164,22,96,352,70,10,1284,3812
