行政區別,村里別,丁增義,何啟聖,何志偉,余筱菁,劉耀仁,厲耿桂芳,吳世正,吳志剛,吳思瑤,吳碧珠,周佳君,周威佑,周柏雅,孫仲康,孫士堅,康明道,張榮法,張茂楠,徐世勲,徐弘庭,徐立信,應曉薇,戴錫欽,李卓翰,李建昌,李彥秀,李慶元,李慶鋒,李新,林世宗,林亭君,林佳諭,林國成,林婕麗,林瑞圖,梁文傑,楊世光,楊實秋,楊鎮雄,楊靜宇,歐陽瑞蓮,歐陽龍,江志銘,汪志冰,洪健益,洪士奇,潘懷宗,潘翰疆,潘翰聲,王世堅,王博玉,王奕凱,王威中,王孝維,王小玉,王欣儀,王正德,王致雅,王英文,王閔生,王鴻薇,王麗珠,秦慧珠,童仲彥,簡聖哲,簡舒培,聶紹雄,葉林傳,許家蓓,許明偉,許淑華,謝啟大,謝建平,謝維洲,賴素如,趙家蓉,郭昭巖,鄭惠齡,鍾君竺,鍾小平,闕枚莎,阮昭雄,陳嘉霖,陳孋輝,陳建銘,陳彥伯,陳慈慧,陳政忠,陳永德,陳炳甫,陳義洲,陳蓋武,陳重文,陳錦祥,青天,顏聖冠,顏若芳,高嘉瑜,黃向羣,黃子哲,黃平洋,黃珊珊,黄文章,丁增義_黨籍,何啟聖_黨籍,何志偉_黨籍,余筱菁_黨籍,劉耀仁_黨籍,厲耿桂芳_黨籍,吳世正_黨籍,吳志剛_黨籍,吳思瑤_黨籍,吳碧珠_黨籍,周佳君_黨籍,周威佑_黨籍,周柏雅_黨籍,孫仲康_黨籍,孫士堅_黨籍,康明道_黨籍,張榮法_黨籍,張茂楠_黨籍,徐世勲_黨籍,徐弘庭_黨籍,徐立信_黨籍,應曉薇_黨籍,戴錫欽_黨籍,李卓翰_黨籍,李建昌_黨籍,李彥秀_黨籍,李慶元_黨籍,李慶鋒_黨籍,李新_黨籍,林世宗_黨籍,林亭君_黨籍,林佳諭_黨籍,林國成_黨籍,林婕麗_黨籍,林瑞圖_黨籍,梁文傑_黨籍,楊世光_黨籍,楊實秋_黨籍,楊鎮雄_黨籍,楊靜宇_黨籍,歐陽瑞蓮_黨籍,歐陽龍_黨籍,江志銘_黨籍,汪志冰_黨籍,洪健益_黨籍,洪士奇_黨籍,潘懷宗_黨籍,潘翰疆_黨籍,潘翰聲_黨籍,王世堅_黨籍,王博玉_黨籍,王奕凱_黨籍,王威中_黨籍,王孝維_黨籍,王小玉_黨籍,王欣儀_黨籍,王正德_黨籍,王致雅_黨籍,王英文_黨籍,王閔生_黨籍,王鴻薇_黨籍,王麗珠_黨籍,秦慧珠_黨籍,童仲彥_黨籍,簡聖哲_黨籍,簡舒培_黨籍,聶紹雄_黨籍,葉林傳_黨籍,許家蓓_黨籍,許明偉_黨籍,許淑華_黨籍,謝啟大_黨籍,謝建平_黨籍,謝維洲_黨籍,賴素如_黨籍,趙家蓉_黨籍,郭昭巖_黨籍,鄭惠齡_黨籍,鍾君竺_黨籍,鍾小平_黨籍,闕枚莎_黨籍,阮昭雄_黨籍,陳嘉霖_黨籍,陳孋輝_黨籍,陳建銘_黨籍,陳彥伯_黨籍,陳慈慧_黨籍,陳政忠_黨籍,陳永德_黨籍,陳炳甫_黨籍,陳義洲_黨籍,陳蓋武_黨籍,陳重文_黨籍,陳錦祥_黨籍,青天_黨籍,顏聖冠_黨籍,顏若芳_黨籍,高嘉瑜_黨籍,黃向羣_黨籍,黃子哲_黨籍,黃平洋_黨籍,黃珊珊_黨籍,黄文章_黨籍
中山區,下埤里,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,916.0,,534.0,204.0,,1280.0,,,30.0,,,,,,,,,,,920.0,,,,,,,,,,,,642.0,,,420.0,,,976.0,,,,,,,,,,258.0,94.0,,,,,,,,,,,792.0,,,,,,,1116.0,,902.0,,,,,無黨籍及未經政黨推薦,親民黨,民主進步黨,無黨籍及未經政黨推薦,民主進步黨,中國國民黨,中國國民黨,中國國民黨,民主進步黨,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,民主進步黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,民主進步黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,中國國民黨,中國國民黨,民主進步黨,中國國民黨,民主進步黨,中國國民黨,無黨籍及未經政黨推薦,親民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,民主進步黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,民主進步黨,中國國民黨,民主進步黨,親民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,民主進步黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,民主進步黨,民主進步黨,親民黨,中國國民黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,中國國民黨,中國國民黨,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,民主進步黨,無黨籍及未經政黨推薦,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,民主進步黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,民主進步黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,民主進步黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,中國國民黨,親民黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,民主進步黨,民主進步黨,民主進步黨,中國國民黨,中國國民黨,親民黨,無黨籍及未經政黨推薦
中山區,中原里,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,438.0,,556.0,172.0,,856.0,,,8.0,,,,,,,,,,,782.0,,,,,,,,,,,,454.0,,,224.0,,,666.0,,,,,,,,,,162.0,54.0,,,,,,,,,,,450.0,,,,,,,670.0,,452.0,,,,,無黨籍及未經政黨推薦,親民黨,民主進步黨,無黨籍及未經政黨推薦,民主進步黨,中國國民黨,中國國民黨,中國國民黨,民主進步黨,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,民主進步黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,民主進步黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,中國國民黨,中國國民黨,民主進步黨,中國國民黨,民主進步黨,中國國民黨,無黨籍及未經政黨推薦,親民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,民主進步黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,民主進步黨,中國國民黨,民主進步黨,親民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,民主進步黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,民主進步黨,民主進步黨,親民黨,中國國民黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,中國國民黨,中國國民黨,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,民主進步黨,無黨籍及未經政黨推薦,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,民主進步黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,民主進步黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,民主進步黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,中國國民黨,親民黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,民主進步黨,民主進步黨,民主進步黨,中國國民黨,中國國民黨,親民黨,無黨籍及未經政黨推薦
中山區,中吉里,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,446.0,,462.0,142.0,,910.0,,,28.0,,,,,,,,,,,904.0,,,,,,,,,,,,488.0,,,238.0,,,576.0,,,,,,,,,,160.0,86.0,,,,,,,,,,,480.0,,,,,,,856.0,,696.0,,,,,無黨籍及未經政黨推薦,親民黨,民主進步黨,無黨籍及未經政黨推薦,民主進步黨,中國國民黨,中國國民黨,中國國民黨,民主進步黨,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,民主進步黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,民主進步黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,中國國民黨,中國國民黨,民主進步黨,中國國民黨,民主進步黨,中國國民黨,無黨籍及未經政黨推薦,親民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,民主進步黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,民主進步黨,中國國民黨,民主進步黨,親民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,民主進步黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,民主進步黨,民主進步黨,親民黨,中國國民黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,中國國民黨,中國國民黨,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,民主進步黨,無黨籍及未經政黨推薦,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,民主進步黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,民主進步黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,民主進步黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,中國國民黨,親民黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,民主進步黨,民主進步黨,民主進步黨,中國國民黨,中國國民黨,親民黨,無黨籍及未經政黨推薦
中山區,中央里,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368.0,,272.0,100.0,,484.0,,,30.0,,,,,,,,,,,468.0,,,,,,,,,,,,570.0,,,118.0,,,598.0,,,,,,,,,,90.0,48.0,,,,,,,,,,,314.0,,,,,,,438.0,,324.0,,,,,無黨籍及未經政黨推薦,親民黨,民主進步黨,無黨籍及未經政黨推薦,民主進步黨,中國國民黨,中國國民黨,中國國民黨,民主進步黨,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,民主進步黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,民主進步黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,中國國民黨,中國國民黨,民主進步黨,中國國民黨,民主進步黨,中國國民黨,無黨籍及未經政黨推薦,親民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,民主進步黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,民主進步黨,中國國民黨,民主進步黨,親民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,民主進步黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,民主進步黨,民主進步黨,親民黨,中國國民黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,中國國民黨,中國國民黨,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,民主進步黨,無黨籍及未經政黨推薦,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,民主進步黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,民主進步黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,民主進步黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,中國國民黨,親民黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,民主進步黨,民主進步黨,民主進步黨,中國國民黨,中國國民黨,親民黨,無黨籍及未經政黨推薦
中山區,中山里,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530.0,,446.0,300.0,,882.0,,,18.0,,,,,,,,,,,868.0,,,,,,,,,,,,404.0,,,186.0,,,752.0,,,,,,,,,,154.0,96.0,,,,,,,,,,,764.0,,,,,,,838.0,,452.0,,,,,無黨籍及未經政黨推薦,親民黨,民主進步黨,無黨籍及未經政黨推薦,民主進步黨,中國國民黨,中國國民黨,中國國民黨,民主進步黨,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,民主進步黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,民主進步黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,中國國民黨,中國國民黨,民主進步黨,中國國民黨,民主進步黨,中國國民黨,無黨籍及未經政黨推薦,親民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,民主進步黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,民主進步黨,中國國民黨,民主進步黨,親民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,民主進步黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,民主進步黨,民主進步黨,親民黨,中國國民黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,中國國民黨,中國國民黨,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,民主進步黨,無黨籍及未經政黨推薦,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,民主進步黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,民主進步黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,民主進步黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,中國國民黨,親民黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,民主進步黨,民主進步黨,民主進步黨,中國國民黨,中國國民黨,親民黨,無黨籍及未經政黨推薦
中山區,中庄里,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,386.0,,814.0,166.0,,694.0,,,12.0,,,,,,,,,,,898.0,,,,,,,,,,,,322.0,,,190.0,,,496.0,,,,,,,,,,122.0,78.0,,,,,,,,,,,340.0,,,,,,,740.0,,530.0,,,,,無黨籍及未經政黨推薦,親民黨,民主進步黨,無黨籍及未經政黨推薦,民主進步黨,中國國民黨,中國國民黨,中國國民黨,民主進步黨,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,民主進步黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,民主進步黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,中國國民黨,中國國民黨,民主進步黨,中國國民黨,民主進步黨,中國國民黨,無黨籍及未經政黨推薦,親民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,民主進步黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,民主進步黨,中國國民黨,民主進步黨,親民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,民主進步黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,民主進步黨,民主進步黨,親民黨,中國國民黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,中國國民黨,中國國民黨,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,民主進步黨,無黨籍及未經政黨推薦,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,民主進步黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,民主進步黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,民主進步黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,中國國民黨,親民黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,民主進步黨,民主進步黨,民主進步黨,中國國民黨,中國國民黨,親民黨,無黨籍及未經政黨推薦
中山區,劍潭里,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314.0,,184.0,468.0,,190.0,,,22.0,,,,,,,,,,,218.0,,,,,,,,,,,,468.0,,,18.0,,,1368.0,,,,,,,,,,92.0,22.0,,,,,,,,,,,634.0,,,,,,,198.0,,56.0,,,,,無黨籍及未經政黨推薦,親民黨,民主進步黨,無黨籍及未經政黨推薦,民主進步黨,中國國民黨,中國國民黨,中國國民黨,民主進步黨,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,民主進步黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,民主進步黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,中國國民黨,中國國民黨,民主進步黨,中國國民黨,民主進步黨,中國國民黨,無黨籍及未經政黨推薦,親民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,民主進步黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,民主進步黨,中國國民黨,民主進步黨,親民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,民主進步黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,民主進步黨,民主進步黨,親民黨,中國國民黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,中國國民黨,中國國民黨,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,民主進步黨,無黨籍及未經政黨推薦,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,民主進步黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,民主進步黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,民主進步黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,中國國民黨,親民黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,民主進步黨,民主進步黨,民主進步黨,中國國民黨,中國國民黨,親民黨,無黨籍及未經政黨推薦
中山區,力行里,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,702.0,,274.0,144.0,,854.0,,,24.0,,,,,,,,,,,874.0,,,,,,,,,,,,440.0,,,212.0,,,672.0,,,,,,,,,,170.0,78.0,,,,,,,,,,,656.0,,,,,,,946.0,,488.0,,,,,無黨籍及未經政黨推薦,親民黨,民主進步黨,無黨籍及未經政黨推薦,民主進步黨,中國國民黨,中國國民黨,中國國民黨,民主進步黨,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,民主進步黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,民主進步黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,中國國民黨,中國國民黨,民主進步黨,中國國民黨,民主進步黨,中國國民黨,無黨籍及未經政黨推薦,親民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,民主進步黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,民主進步黨,中國國民黨,民主進步黨,親民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,民主進步黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,民主進步黨,民主進步黨,親民黨,中國國民黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,中國國民黨,中國國民黨,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,民主進步黨,無黨籍及未經政黨推薦,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,民主進步黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,民主進步黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,民主進步黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,中國國民黨,親民黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,民主進步黨,民主進步黨,民主進步黨,中國國民黨,中國國民黨,親民黨,無黨籍及未經政黨推薦
中山區,北安里,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240.0,,306.0,444.0,,342.0,,,8.0,,,,,,,,,,,186.0,,,,,,,,,,,,414.0,,,36.0,,,380.0,,,,,,,,,,108.0,42.0,,,,,,,,,,,262.0,,,,,,,308.0,,130.0,,,,,無黨籍及未經政黨推薦,親民黨,民主進步黨,無黨籍及未經政黨推薦,民主進步黨,中國國民黨,中國國民黨,中國國民黨,民主進步黨,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,民主進步黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,民主進步黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,中國國民黨,中國國民黨,民主進步黨,中國國民黨,民主進步黨,中國國民黨,無黨籍及未經政黨推薦,親民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,民主進步黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,民主進步黨,中國國民黨,民主進步黨,親民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,民主進步黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,民主進步黨,民主進步黨,親民黨,中國國民黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,中國國民黨,中國國民黨,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,民主進步黨,無黨籍及未經政黨推薦,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,民主進步黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,民主進步黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,民主進步黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,中國國民黨,親民黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,民主進步黨,民主進步黨,民主進步黨,中國國民黨,中國國民黨,親民黨,無黨籍及未經政黨推薦
中山區,圓山里,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330.0,,228.0,102.0,,600.0,,,8.0,,,,,,,,,,,516.0,,,,,,,,,,,,220.0,,,112.0,,,1390.0,,,,,,,,,,116.0,30.0,,,,,,,,,,,236.0,,,,,,,504.0,,362.0,,,,,無黨籍及未經政黨推薦,親民黨,民主進步黨,無黨籍及未經政黨推薦,民主進步黨,中國國民黨,中國國民黨,中國國民黨,民主進步黨,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,民主進步黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,民主進步黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,中國國民黨,中國國民黨,民主進步黨,中國國民黨,民主進步黨,中國國民黨,無黨籍及未經政黨推薦,親民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,民主進步黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,民主進步黨,中國國民黨,民主進步黨,親民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,民主進步黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,民主進步黨,民主進步黨,親民黨,中國國民黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,中國國民黨,中國國民黨,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,民主進步黨,無黨籍及未經政黨推薦,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,民主進步黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,民主進步黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,民主進步黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,中國國民黨,親民黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,民主進步黨,民主進步黨,民主進步黨,中國國民黨,中國國民黨,親民黨,無黨籍及未經政黨推薦
