行政區別,村里別,丁守中,吳蕚洋,姚文智,李錫錕,柯文哲
信義區,四維里,2752,38,964,22,2528
信義區,四育里,2420,22,1434,26,2742
信義區,國業里,3806,30,1274,26,3360
信義區,大仁里,2010,14,916,18,1894
信義區,大道里,2878,32,1330,20,2818
信義區,安康里,4878,32,1764,44,4288
信義區,富台里,2392,24,468,18,1768
信義區,廣居里,3850,40,1276,34,3416
信義區,惠安里,3570,14,970,26,2908
信義區,敦厚里,2490,30,906,28,2504
信義區,新仁里,1880,26,502,20,1344
信義區,景勤里,2238,20,738,20,1632
信義區,景新里,2752,32,780,30,1868
信義區,景聯里,2312,20,838,16,2096
信義區,松光里,2272,14,1110,26,2298
信義區,松友里,3218,32,1206,26,3054
信義區,松隆里,1066,4,476,16,940
信義區,正和里,2580,28,816,28,1840
信義區,永吉里,1400,12,1012,10,2098
信義區,永春里,2234,28,1220,32,2460
信義區,泰和里,3862,32,1338,48,3286
信義區,興隆里,1472,8,420,20,996
信義區,興雅里,2898,26,1092,24,2468
信義區,西村里,3054,20,484,26,1836
信義區,長春里,2006,34,1124,28,2124
信義區,雅祥里,2274,36,1058,42,2278
信義區,雙和里,3810,38,1082,28,3014
信義區,黎安里,1390,28,310,8,662
信義區,黎平里,3584,30,1152,38,3058
信義區,黎忠里,2514,16,892,28,2206
信義區,黎順里,2146,22,710,16,1764
內湖區,五分里,3954,42,1634,42,5290
內湖區,內湖里,2982,26,1014,26,3012
內湖區,內溝里,1988,16,804,24,2290
內湖區,南湖里,2584,26,638,22,2790
內湖區,大湖里,2628,26,854,22,2806
內湖區,安泰里,2422,36,874,30,2732
內湖區,安湖里,3156,22,1062,18,3902
內湖區,寶湖里,4228,36,1132,48,4198
內湖區,康寧里,3920,28,1172,40,4064
內湖區,明湖里,2236,14,792,16,2820
內湖區,東湖里,2890,42,1226,34,3818
內湖區,樂康里,3290,52,1348,24,4414
內湖區,清白里,4166,20,1204,54,4042
內湖區,港墘里,2822,36,1076,26,2906
內湖區,港富里,4008,32,1774,46,4558
內湖區,港華里,3930,30,1444,30,4548
內湖區,港都里,2326,26,962,24,2810
內湖區,湖元里,2392,12,1038,26,2706
內湖區,湖濱里,4486,30,1206,46,4010
內湖區,湖興里,3180,34,1300,52,3466
內湖區,瑞光里,2696,14,676,18,2268
內湖區,瑞陽里,4604,20,964,42,3520
內湖區,石潭里,1798,14,572,20,1832
內湖區,碧山里,3294,24,1216,34,3598
內湖區,秀湖里,3158,20,972,26,2734
內湖區,紫星里,3716,42,1554,34,3848
內湖區,紫陽里,3796,36,1360,54,4122
內湖區,紫雲里,3124,38,796,34,2496
內湖區,葫洲里,3300,12,758,26,3500
內湖區,蘆洲里,484,6,298,2,656
內湖區,行善里,2962,30,1426,52,3228
內湖區,西安里,3308,32,1284,36,3420
內湖區,西康里,4566,42,1344,40,4286
內湖區,西湖里,3126,40,1424,40,3512
內湖區,週美里,3376,38,1750,44,3894
內湖區,金湖里,4494,42,1186,40,4254
內湖區,金瑞里,3040,22,1216,28,3290
內湖區,金龍里,2384,20,1030,26,2554
內湖區,麗山里,2278,20,1114,32,2984
北投區,一德里,2806,48,1570,36,3534
北投區,中和里,2348,20,922,24,2200
北投區,中央里,3264,34,1914,22,3970
北投區,中庸里,1782,6,1000,26,2150
北投區,中心里,2738,28,1228,24,3020
北投區,八仙里,2244,16,1232,26,2612
北投區,吉利里,3304,26,1036,34,3200
北投區,吉慶里,1924,16,1126,24,2502
北投區,大同里,2096,22,1290,22,2838
北投區,大屯里,500,2,366,8,612
北投區,奇岩里,4414,70,2096,36,4538
北投區,尊賢里,1804,14,1112,12,2172
北投區,建民里,1820,16,1168,32,2064
北投區,振華里,3510,22,1522,38,3348
北投區,文化里,2602,20,456,22,1802
北投區,文林里,1798,18,1108,34,2048
北投區,智仁里,2640,38,972,32,2700
北投區,東華里,2302,34,818,18,2108
北投區,林泉里,1360,16,520,18,1370
北投區,桃源里,2492,36,1382,36,3056
北投區,榮光里,3142,28,1308,38,3336
北投區,榮華里,3486,24,1364,30,3416
北投區,永和里,4036,34,1912,48,4016
北投區,永明里,2264,18,886,28,2318
北投區,永欣里,3660,16,1274,28,3310
北投區,泉源里,1008,14,592,16,1066
北投區,洲美里,690,16,718,14,1014
北投區,清江里,3622,46,1898,48,3958
北投區,湖山里,776,4,420,10,698
北投區,湖田里,446,6,212,12,456
北投區,溫泉里,2856,34,1426,34,3200
北投區,石牌里,2098,18,1254,28,2668
北投區,福興里,2992,20,1438,22,3382
北投區,秀山里,1708,14,674,20,1352
北投區,稻香里,2732,16,930,32,2290
北投區,立賢里,2060,16,1046,24,2650
北投區,立農里,3524,32,1736,40,4220
北投區,裕民里,3436,20,1520,20,3450
北投區,豐年里,2040,24,824,26,2338
北投區,長安里,2368,20,1194,28,2812
北投區,開明里,3262,30,1288,28,2976
北投區,關渡里,4892,42,2228,56,5390
南港區,三重里,3086,24,1080,20,3504
南港區,中南里,1414,18,760,16,1932
南港區,中研里,4044,60,1696,50,4928
南港區,九如里,3518,38,1022,42,3020
南港區,仁福里,3062,16,876,44,2658
南港區,南港里,2630,32,1168,34,3168
南港區,合成里,3132,52,1498,50,3520
南港區,成福里,3928,30,1360,52,3762
南港區,新光里,1964,22,688,22,1810
南港區,新富里,1560,20,888,16,2280
南港區,東新里,3022,38,1384,34,3702
南港區,東明里,2310,14,732,20,2262
南港區,玉成里,1998,24,1166,36,2420
南港區,百福里,2354,22,1068,36,2600
南港區,聯成里,2562,16,1006,22,2496
南港區,舊莊里,3518,58,1640,56,4294
南港區,萬福里,2250,10,798,20,2050
南港區,西新里,1624,18,1144,28,2660
南港區,重陽里,2412,22,798,30,2708
南港區,鴻福里,2154,40,886,20,2368
士林區,三玉里,2472,10,1190,24,2554
士林區,仁勇里,1354,18,1012,18,1940
士林區,公館里,490,10,504,4,696
士林區,前港里,1596,16,1150,14,2354
士林區,名山里,3330,34,1420,26,3180
士林區,天和里,3394,24,1508,34,3258
士林區,天壽里,2220,10,964,22,2054
士林區,天山里,3240,16,1306,36,2902
士林區,天母里,3066,28,1312,26,2862
士林區,天玉里,3964,20,1638,40,3762
士林區,天祿里,1982,8,1216,26,2398
士林區,天福里,2886,22,1238,28,3034
士林區,富光里,1910,22,1696,34,2864
士林區,富洲里,1542,30,2488,48,3272
士林區,岩山里,1646,14,578,16,1434
士林區,平等里,546,4,714,8,776
士林區,後港里,2986,38,2136,44,4120
士林區,德華里,2298,20,1368,20,2530
士林區,德行里,1918,18,1028,24,2126
士林區,忠誠里,3302,20,746,28,1984
士林區,承德里,2420,20,1096,20,2522
士林區,新安里,804,6,644,12,924
士林區,明勝里,2004,12,1230,18,2520
士林區,東山里,2810,20,924,34,2108
士林區,永倫里,2232,24,2028,30,3438
士林區,永福里,500,6,416,4,594
士林區,溪山里,616,8,572,12,760
士林區,百齡里,2564,22,1814,38,3594
士林區,社園里,2150,34,2180,28,3688
士林區,社子里,2158,18,1924,22,3246
士林區,社新里,2884,42,2538,46,4520
士林區,福中里,2392,26,1726,50,3500
士林區,福佳里,3286,34,1784,46,3532
士林區,福安里,1056,32,2296,22,2294
士林區,福德里,2044,18,1006,38,2108
士林區,福志里,3768,18,1602,28,3136
士林區,福林里,1392,22,692,26,1370
士林區,福華里,2428,22,1570,32,2850
士林區,福順里,1800,16,1658,24,2688
士林區,義信里,1406,12,730,16,1386
士林區,翠山里,1898,12,338,8,928
士林區,聖山里,2650,20,986,22,2234
士林區,臨溪里,1450,8,654,10,1188
士林區,舊佳里,2596,46,1606,26,2910
士林區,芝山里,3398,34,1540,40,3330
士林區,菁山里,826,8,474,6,856
士林區,葫東里,1312,26,1168,10,2198
