行政區別,村里別,宋楚瑜/余湘,蔡英文/賴清德,韓國瑜/張善政,宋楚瑜/余湘_黨籍,蔡英文/賴清德_黨籍,韓國瑜/張善政_黨籍,有效票數A,無效票數B,投票數C,已領未投票數D,發出票數E,用餘票數F,選舉人數G,投票率H
中山區,江山里,436,5832,3708,親民黨,民主進步黨,中國國民黨,533,1035,20,1055,1328,0,3,1
中山區,聚盛里,250,2654,2370,親民黨,民主進步黨,中國國民黨,447,925,12,937,1292,0,3,1
中山區,聚葉里,232,2896,1958,親民黨,民主進步黨,中國國民黨,454,851,8,859,1172,0,3,1
中山區,興亞里,310,4018,2560,親民黨,民主進步黨,中國國民黨,544,1182,17,1199,1573,0,3,1
中山區,行仁里,452,6506,3714,親民黨,民主進步黨,中國國民黨,516,1041,20,1061,1321,0,3,1
中山區,行孝里,258,3306,1812,親民黨,民主進步黨,中國國民黨,521,911,12,923,1164,0,3,1
中山區,行政里,366,4510,3130,親民黨,民主進步黨,中國國民黨,512,820,10,830,1041,0,3,1
中山區,金泰里,526,4768,4068,親民黨,民主進步黨,中國國民黨,488,753,11,764,986,0,3,1
中山區,集英里,434,5560,3012,親民黨,民主進步黨,中國國民黨,450,1132,8,1140,1482,0,3,1
中山區,龍洲里,304,2600,3942,親民黨,民主進步黨,中國國民黨,554,821,16,837,1079,0,3,1
中正區,三愛里,472,5550,4554,親民黨,民主進步黨,中國國民黨,1109,793,12,805,1096,0,3,1
中正區,光復里,200,2422,1922,親民黨,民主進步黨,中國國民黨,1080,684,7,691,895,0,3,1
中正區,南福里,672,6886,5782,親民黨,民主進步黨,中國國民黨,1062,936,11,947,1188,0,3,1
中正區,南門里,188,1554,1612,親民黨,民主進步黨,中國國民黨,1057,813,11,824,1070,0,3,1
中正區,富水里,172,1372,1608,親民黨,民主進步黨,中國國民黨,1698,792,8,800,1049,0,3,1
中正區,幸市里,224,3090,2412,親民黨,民主進步黨,中國國民黨,1093,668,10,678,902,0,3,1
中正區,幸福里,256,3028,2710,親民黨,民主進步黨,中國國民黨,1089,781,17,798,1070,0,3,1
中正區,廈安里,278,3038,2072,親民黨,民主進步黨,中國國民黨,1051,924,11,935,1198,0,3,1
中正區,建國里,78,904,818,親民黨,民主進步黨,中國國民黨,1079,900,11,911,1199,0,3,1
中正區,忠勤里,324,4118,3752,親民黨,民主進步黨,中國國民黨,1046,766,10,776,1086,0,3,1
中正區,愛國里,148,2156,1552,親民黨,民主進步黨,中國國民黨,1054,617,16,633,845,0,3,1
中正區,文北里,284,3814,2922,親民黨,民主進步黨,中國國民黨,1100,912,11,923,1242,0,3,1
中正區,文盛里,178,1730,1418,親民黨,民主進步黨,中國國民黨,1700,915,8,923,1176,0,3,1
中正區,文祥里,416,4960,4132,親民黨,民主進步黨,中國國民黨,1104,1028,16,1044,1375,0,3,1
中正區,新營里,504,5004,5226,親民黨,民主進步黨,中國國民黨,1073,883,10,893,1149,0,3,1
中正區,東門里,196,2260,2340,親民黨,民主進步黨,中國國民黨,1097,925,24,949,1219,0,3,1
中正區,板溪里,172,2194,1940,親民黨,民主進步黨,中國國民黨,1719,692,15,707,939,0,3,1
中正區,林興里,256,2822,2922,親民黨,民主進步黨,中國國民黨,1702,769,11,780,1026,0,3,1
中正區,梅花里,184,2204,1706,親民黨,民主進步黨,中國國民黨,1086,697,14,711,890,0,3,1
中正區,水源里,178,2026,1612,親民黨,民主進步黨,中國國民黨,1695,624,8,632,828,0,3,1
中正區,永功里,346,4324,2968,親民黨,民主進步黨,中國國民黨,1034,748,11,759,1001,0,3,1
中正區,永昌里,292,3550,2792,親民黨,民主進步黨,中國國民黨,1039,904,11,915,1162,0,3,1
中正區,河堤里,266,2878,2788,親民黨,民主進步黨,中國國民黨,1706,759,12,771,1029,0,3,1
中正區,網溪里,310,3858,3444,親民黨,民主進步黨,中國國民黨,1715,895,11,906,1190,0,3,1
中正區,螢圃里,342,3572,3356,親民黨,民主進步黨,中國國民黨,1722,926,15,941,1261,0,3,1
中正區,螢雪里,222,2888,2740,親民黨,民主進步黨,中國國民黨,1726,1057,19,1076,1369,0,3,1
中正區,頂東里,344,4060,3462,親民黨,民主進步黨,中國國民黨,1710,769,6,775,998,0,3,1
中正區,黎明里,168,1924,1708,親民黨,民主進步黨,中國國民黨,1083,640,4,644,890,0,3,1
中正區,龍光里,184,1982,1920,親民黨,民主進步黨,中國國民黨,1059,722,8,730,938,0,3,1
中正區,龍福里,292,3658,2842,親民黨,民主進步黨,中國國民黨,1069,899,8,907,1157,0,3,1
中正區,龍興里,230,2540,1890,親民黨,民主進步黨,中國國民黨,1043,805,6,811,1015,0,3,1
信義區,三張里,464,5446,5606,親民黨,民主進步黨,中國國民黨,1424,855,7,862,1088,0,3,1
信義區,三犁里,308,3216,3260,親民黨,民主進步黨,中國國民黨,1431,866,10,876,1174,0,3,1
信義區,中坡里,242,3176,2420,親民黨,民主進步黨,中國國民黨,1397,788,14,802,1010,0,3,1
信義區,中興里,172,2132,1942,親民黨,民主進步黨,中國國民黨,1318,626,6,632,862,0,3,1
信義區,中行里,454,5910,4080,親民黨,民主進步黨,中國國民黨,1401,818,9,827,1102,0,3,1
信義區,五全里,254,3802,2464,親民黨,民主進步黨,中國國民黨,1355,753,10,763,1001,0,3,1
信義區,五常里,170,2530,2030,親民黨,民主進步黨,中國國民黨,1352,827,6,833,1083,0,3,1
信義區,六合里,338,3934,4502,親民黨,民主進步黨,中國國民黨,1435,887,11,898,1157,0,3,1
信義區,六藝里,200,2742,1784,親民黨,民主進步黨,中國國民黨,1345,843,10,853,1139,0,3,1
信義區,嘉興里,196,2194,1828,親民黨,民主進步黨,中國國民黨,1458,686,6,692,875,0,3,1
信義區,四維里,334,3622,3084,親民黨,民主進步黨,中國國民黨,1369,789,14,803,1047,0,3,1
信義區,四育里,306,4328,2842,親民黨,民主進步黨,中國國民黨,1365,922,8,930,1210,0,3,1
信義區,國業里,410,4716,4164,親民黨,民主進步黨,中國國民黨,1380,712,5,717,975,0,3,1
信義區,大仁里,232,2828,2248,親民黨,民主進步黨,中國國民黨,1412,843,13,856,1144,0,3,1
信義區,大道里,352,4508,3220,親民黨,民主進步黨,中國國民黨,1407,828,16,844,1089,0,3,1
信義區,安康里,552,6348,5780,親民黨,民主進步黨,中國國民黨,1338,1063,13,1076,1379,0,3,1
信義區,富台里,238,2352,2976,親民黨,民主進步黨,中國國民黨,1377,724,10,734,1004,0,3,1
