縣市,行政區別,村里別,民主進步黨,台灣團結聯盟,時代力量,大愛憲改聯盟,綠黨社會民主黨聯盟,台灣獨立黨,無黨團結聯盟,新黨,健保免費連線,樹黨,親民黨,自由台灣黨,和平鴿聯盟黨,軍公教聯盟黨,民國黨,信心希望聯盟,中華統一促進黨,中國國民黨,不分區政黨有效票數A
臺北市,中山區,下埤里,4060,200,622,4,360,16,26,526,14,62,498,24,12,28,118,190,28,2336,9124
臺北市,中山區,中原里,2704,152,412,4,244,4,20,334,2,38,300,12,4,16,60,96,42,1502,5946
臺北市,中山區,中吉里,3098,180,424,2,204,14,14,316,14,62,378,16,8,12,62,112,24,1518,6458
臺北市,中山區,中央里,6510,338,864,20,464,28,36,690,32,104,730,24,10,82,266,226,50,3630,14104
臺北市,中山區,中山里,2936,168,424,8,272,10,20,404,32,66,460,12,6,44,86,100,40,1840,6928
臺北市,中山區,中庄里,2838,150,250,4,220,20,28,262,12,66,414,6,18,20,64,72,30,1480,5954
臺北市,中山區,劍潭里,700,50,160,2,160,0,6,770,10,56,288,2,4,28,50,150,64,1884,4384
臺北市,中山區,力行里,3026,170,426,4,228,14,18,454,12,64,382,18,6,24,74,148,14,1734,6816
臺北市,中山區,北安里,960,22,204,2,142,2,10,386,2,38,166,10,6,14,46,66,22,1006,3104
臺北市,中山區,圓山里,2132,130,290,6,148,6,12,256,12,44,258,8,4,12,64,94,36,1220,4732
臺北市,中山區,埤頭里,1648,96,238,6,164,2,4,320,4,32,210,4,2,0,38,80,20,1158,4026
臺北市,中山區,大佳里,770,22,60,0,32,4,2,34,2,12,62,0,4,2,16,14,2,220,1258
臺北市,中山區,大直里,3870,194,706,12,440,14,16,940,32,168,596,10,20,74,110,294,44,3486,11026
臺北市,中山區,康樂里,1144,50,170,2,70,2,2,208,4,12,212,4,6,16,32,68,14,836,2852
臺北市,中山區,復華里,1906,112,286,4,166,8,16,536,26,54,342,14,4,34,64,120,34,1552,5278
臺北市,中山區,恆安里,2066,116,332,6,186,8,28,310,28,38,294,18,12,22,84,136,24,1374,5082
臺北市,中山區,成功里,2814,112,446,6,250,6,14,574,4,54,416,6,2,22,82,192,14,1928,6942
臺北市,中山區,新喜里,2900,152,452,6,198,12,18,308,18,62,396,18,8,30,60,84,24,1476,6222
臺北市,中山區,新庄里,2678,120,348,4,182,6,28,356,12,56,314,14,8,26,54,138,30,1490,5864
臺北市,中山區,新生里,2852,174,354,4,172,12,26,298,18,40,300,12,8,8,96,82,20,1440,5916
臺北市,中山區,新福里,2944,156,404,0,150,14,10,214,16,52,354,20,4,16,78,82,20,1396,5930
臺北市,中山區,晴光里,2322,146,314,8,166,10,22,340,4,52,406,26,8,18,68,118,40,1618,5686
臺北市,中山區,朱園里,2286,130,320,4,210,6,10,322,8,40,260,18,4,14,72,130,14,1228,5076
臺北市,中山區,朱崙里,1450,78,158,2,76,6,8,202,14,16,192,8,0,10,34,90,26,900,3270
臺北市,中山區,朱馥里,2722,110,416,8,208,10,28,460,10,40,404,18,10,36,78,124,38,1902,6622
臺北市,中山區,松江里,3582,174,476,6,246,8,10,380,20,74,432,14,2,48,94,128,42,2016,7752
