行政區別,村里別,宋楚瑜/徐欣瑩,朱立倫/王如玄,蔡英文/陳建仁,宋楚瑜/徐欣瑩_黨籍,朱立倫/王如玄_黨籍,蔡英文/陳建仁_黨籍
中山區,下埤里,922,2908,5286,親民黨,中國國民黨,民主進步黨
中山區,中原里,548,1890,3514,親民黨,中國國民黨,民主進步黨
中山區,中吉里,624,1822,4022,親民黨,中國國民黨,民主進步黨
中山區,中央里,450,1416,2266,親民黨,中國國民黨,民主進步黨
中山區,中山里,772,2474,4094,親民黨,中國國民黨,民主進步黨
中山區,中庄里,674,1836,3584,親民黨,中國國民黨,民主進步黨
中山區,劍潭里,542,2764,1042,親民黨,中國國民黨,民主進步黨
中山區,力行里,664,2206,3932,親民黨,中國國民黨,民主進步黨
中山區,北安里,342,1416,1334,親民黨,中國國民黨,民主進步黨
中山區,圓山里,506,1502,2726,親民黨,中國國民黨,民主進步黨
中山區,埤頭里,358,1502,2180,親民黨,中國國民黨,民主進步黨
中山區,大佳里,112,234,914,親民黨,中國國民黨,民主進步黨
中山區,大直里,1146,4548,5282,親民黨,中國國民黨,民主進步黨
中山區,康樂里,330,1080,1430,親民黨,中國國民黨,民主進步黨
中山區,復華里,568,2184,2546,親民黨,中國國民黨,民主進步黨
中山區,恆安里,516,1776,2790,親民黨,中國國民黨,民主進步黨
中山區,成功里,660,2570,3630,親民黨,中國國民黨,民主進步黨
中山區,新喜里,702,1788,3748,親民黨,中國國民黨,民主進步黨
中山區,新庄里,656,1840,3386,親民黨,中國國民黨,民主進步黨
中山區,新生里,588,1744,3580,親民黨,中國國民黨,民主進步黨
中山區,新福里,586,1570,3796,親民黨,中國國民黨,民主進步黨
中山區,晴光里,674,2000,3010,親民黨,中國國民黨,民主進步黨
中山區,朱園里,520,1560,2990,親民黨,中國國民黨,民主進步黨
中山區,朱崙里,334,1114,1806,親民黨,中國國民黨,民主進步黨
中山區,朱馥里,692,2378,3554,親民黨,中國國民黨,民主進步黨
中山區,松江里,760,2462,4536,親民黨,中國國民黨,民主進步黨
中山區,正守里,394,1238,2054,親民黨,中國國民黨,民主進步黨
中山區,正得里,436,1478,2196,親民黨,中國國民黨,民主進步黨
中山區,正義里,696,1920,2872,親民黨,中國國民黨,民主進步黨
