縣市,行政區別,村里別,小民參政歐巴桑聯盟,司法改革黨,新黨,台灣民眾黨,台灣維新,親民黨,人民最大黨,台灣團結聯盟,台灣綠黨,臺灣雙語無法黨,台灣基進,中華統一促進黨,民主進步黨,制度救世島,時代力量,中國國民黨,不分區政黨有效票數A
臺北市,中山區,下埤里,80,12,24,1976,2,44,12,16,64,20,48,4,3592,8,258,3214,9374
臺北市,中山區,中原里,56,28,24,1156,4,36,0,8,48,18,32,2,2534,6,152,2040,6144
臺北市,中山區,中吉里,72,16,14,1590,4,36,2,4,42,8,38,6,2744,10,166,2038,6790
臺北市,中山區,中央里,178,54,36,3170,6,80,6,14,112,36,58,4,5626,10,360,4588,14338
臺北市,中山區,中山里,64,32,52,1884,0,50,10,18,72,18,32,6,2960,4,252,2878,8332
臺北市,中山區,中庄里,38,30,10,1344,4,32,6,18,72,20,36,14,2438,8,174,1912,6156
臺北市,中山區,劍潭里,46,10,46,838,0,30,4,4,36,20,10,12,652,2,96,2586,4392
臺北市,中山區,力行里,62,24,26,1384,6,26,8,14,58,16,44,10,2880,2,224,2648,7432
臺北市,中山區,北安里,22,10,42,582,0,16,2,4,32,6,10,4,918,0,88,1360,3096
臺北市,中山區,圓山里,36,18,24,1072,2,40,0,10,60,8,32,10,1876,0,160,1640,4988
臺北市,中山區,埤頭里,34,6,16,772,4,28,0,14,34,8,20,4,1396,2,108,1506,3952
臺北市,中山區,大佳里,12,4,2,210,0,4,0,8,6,0,8,2,528,0,34,246,1064
臺北市,中山區,大直里,92,28,68,2132,8,48,2,20,96,24,58,10,3382,4,340,4222,10534
臺北市,中山區,康樂里,24,4,20,626,0,24,2,2,26,10,20,2,1108,0,72,1274,3214
臺北市,中山區,復華里,44,12,40,1112,4,34,4,20,46,26,26,6,1686,4,148,2370,5582
臺北市,中山區,恆安里,74,10,18,1384,2,36,2,6,66,34,30,4,2078,4,156,2240,6144
臺北市,中山區,成功里,64,12,40,1446,4,38,0,12,66,16,56,4,2694,2,178,2898,7530
臺北市,中山區,新喜里,52,6,22,1460,0,36,6,12,50,18,44,4,2354,4,190,1858,6116
臺北市,中山區,新庄里,42,4,24,1268,6,32,10,20,64,24,22,10,2306,8,158,1982,5980
臺北市,中山區,新生里,26,4,18,1192,2,30,4,18,62,28,44,12,2290,2,136,1932,5800
臺北市,中山區,新福里,38,8,18,1318,12,24,0,6,34,22,32,16,2558,4,198,1882,6170
臺北市,中山區,晴光里,82,18,38,1370,4,34,8,8,66,20,34,6,2160,4,206,2428,6486
臺北市,中山區,朱園里,44,10,24,1084,6,32,2,4,52,20,34,6,2122,4,206,1852,5502
臺北市,中山區,朱崙里,22,8,16,834,2,26,0,6,40,4,32,2,1400,0,82,1314,3788
臺北市,中山區,朱馥里,54,14,26,1442,8,48,2,8,38,24,28,6,2324,4,202,2480,6708
臺北市,中山區,松江里,66,16,16,1702,2,36,4,14,50,14,66,6,3000,2,196,2522,7712
臺北市,中山區,正守里,34,24,16,890,4,18,2,6,48,6,20,4,1448,0,124,1422,4066
臺北市,中山區,正得里,44,18,26,950,2,26,4,10,32,10,16,14,1542,2,106,1616,4418
臺北市,中山區,正義里,64,10,26,1282,0,24,0,6,68,8,26,12,2094,6,180,2326,6132
