行政區別,村里別,侯友宜/趙少康,柯文哲/吳欣盈,賴清德/蕭美琴,侯友宜/趙少康_黨籍,柯文哲/吳欣盈_黨籍,賴清德/蕭美琴_黨籍,有效票數A,無效票數B,投票數C,已領未投票數D,發出票數E,用餘票數F,選舉人數G,投票率H
中正區,螢雪里,2092,1328,1796,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,1762,950,5,955,1230,0,3,0
中正區,頂東里,3028,1666,2892,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,1746,803,7,810,1050,0,3,0
中正區,黎明里,1386,934,1226,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,1112,543,5,548,829,0,3,0
中正區,龍光里,1484,890,1306,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,1087,639,4,643,865,0,3,0
中正區,龍福里,2198,1488,2202,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,1098,787,6,793,1072,0,3,0
中正區,龍興里,1410,1086,1522,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,1071,718,2,720,939,0,3,0
信義區,三張里,4662,2358,3646,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,1455,815,4,819,1040,0,3,0
信義區,三犁里,2748,1360,2174,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,1462,773,8,781,1093,0,3,0
信義區,中坡里,2084,1322,2084,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,1426,742,2,744,944,0,3,0
信義區,中興里,1632,908,1438,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,1347,582,3,585,800,0,3,0
信義區,中行里,3304,2332,3850,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,1430,710,2,712,992,0,3,0
信義區,五全里,2052,1494,2564,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,1384,791,1,792,1036,0,3,0
信義區,五常里,1744,1134,1688,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,1381,755,11,766,1020,0,3,0
信義區,六合里,3752,1852,2518,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,1466,800,3,803,1078,0,3,0
信義區,六藝里,1570,1090,1824,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,1374,851,11,862,1129,0,3,0
信義區,嘉興里,1492,882,1462,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,1489,635,4,639,833,0,3,0
信義區,四維里,2652,1462,2244,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,1398,651,2,653,845,0,3,0
信義區,四育里,2480,1500,2936,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,1394,794,9,803,1061,0,3,0
信義區,國業里,3542,2110,3086,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,1409,744,8,752,979,0,3,0
信義區,大仁里,2616,2256,2752,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,1441,1114,6,1120,2492,0,3,0
信義區,大道里,2798,1672,2960,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,1436,789,7,796,1051,0,3,0
信義區,安康里,5106,2710,4422,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,1367,950,5,955,1263,0,3,0
信義區,富台里,2668,1288,1708,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,1406,944,9,953,1285,0,3,0
信義區,廣居里,3840,2076,3136,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,1361,801,11,812,1049,0,3,0
信義區,惠安里,3404,1944,2466,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,1450,724,4,728,1002,0,3,0
信義區,敦厚里,2376,1448,2254,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,1357,732,5,737,968,0,3,0
信義區,新仁里,1830,800,1236,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,1350,685,3,688,939,0,3,0
信義區,景勤里,2036,982,1642,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,1481,730,3,733,1007,0,3,0
信義區,景新里,2836,1246,2104,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,1446,850,12,862,1106,0,3,0
信義區,景聯里,2326,1264,1972,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,1477,714,7,721,977,0,3,0
信義區,松光里,2278,1268,2428,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,1422,725,4,729,981,0,3,0
信義區,松友里,3166,1948,2816,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,1417,746,8,754,1098,0,3,0
信義區,松隆里,1030,606,930,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,1415,653,6,659,900,0,3,0
信義區,正和里,2480,1130,1736,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,1342,901,4,905,1222,0,3,0
信義區,永吉里,1340,1158,2046,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,1388,722,4,726,1052,0,3,0
信義區,永春里,2240,1376,2388,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,1402,700,6,706,950,0,3,0
信義區,泰和里,3664,2210,3178,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,1471,715,9,724,1039,0,3,0
