行政區別,村里別,侯友宜/趙少康,柯文哲/吳欣盈,賴清德/蕭美琴,侯友宜/趙少康_黨籍,柯文哲/吳欣盈_黨籍,賴清德/蕭美琴_黨籍,有效票數A,無效票數B,投票數C,已領未投票數D,發出票數E,用餘票數F,選舉人數G,投票率H
南港區,東明里,2628,2082,2322,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,886,893,9,902,1162,0,3,0
南港區,玉成里,1998,1514,2394,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,893,1000,10,1010,1342,0,3,0
南港區,百福里,2346,1676,2476,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,913,1092,6,1098,1497,0,3,0
南港區,聯成里,2366,1448,2218,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,904,1026,4,1030,1342,0,3,0
南港區,舊莊里,3672,3078,3912,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,871,932,5,937,1317,0,3,0
南港區,萬福里,2376,1366,1912,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,907,860,6,866,1099,0,3,0
南港區,西新里,1736,1590,2378,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,890,934,9,943,1226,0,3,0
南港區,重陽里,2806,2196,2600,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,882,953,11,964,1272,0,3,0
南港區,鴻福里,2202,1378,2120,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,910,947,6,953,1273,0,3,0
士林區,三玉里,2714,1618,2928,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,175,950,6,956,1269,0,3,0
士林區,仁勇里,1488,1104,2144,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,314,797,2,799,1085,0,3,0
士林區,公館里,416,374,836,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,431,813,7,820,1147,0,3,0
士林區,前港里,1532,1418,2422,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,349,922,7,929,1269,0,3,0
士林區,名山里,3400,1972,3562,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,414,972,7,979,1265,0,3,0
士林區,天和里,3446,1944,3622,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,194,904,7,911,1159,0,3,0
士林區,天壽里,2362,1240,2524,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,186,1073,8,1081,1376,0,3,0
士林區,天山里,3318,1648,3250,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,189,840,7,847,1169,0,3,0
士林區,天母里,3180,1636,3186,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,170,644,3,647,881,0,3,0
士林區,天玉里,4010,2188,4298,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,199,881,7,888,1234,0,3,0
士林區,天祿里,2080,1376,2756,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,183,1009,6,1015,1402,0,3,0
士林區,天福里,2816,1692,3072,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,179,1089,10,1099,1458,0,3,0
士林區,富光里,2014,1924,3358,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,373,1058,6,1064,1442,0,3,0
士林區,富洲里,1604,1928,4234,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,408,847,4,851,1152,0,3,0
士林區,岩山里,1654,806,1598,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,412,951,6,957,1375,0,3,0
士林區,平等里,438,358,1108,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,439,952,15,967,1282,0,3,0
士林區,後港里,2980,2272,4324,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,340,950,12,962,1276,0,3,0
士林區,德華里,2242,1610,3052,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,208,881,6,887,1191,0,3,0
士林區,德行里,1906,1244,2384,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,205,982,7,989,1271,0,3,0
