行政區別,村里別,李宏信,柯文哲,趙衍慶,連勝文,陳永昌,陳汝斌,馮光遠,李宏信_黨籍,柯文哲_黨籍,趙衍慶_黨籍,連勝文_黨籍,陳永昌_黨籍,陳汝斌_黨籍,馮光遠_黨籍
中正區,梅花里,10,2054,20,1494,6,0,30,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
中正區,水源里,10,1952,32,1314,6,2,20,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
中正區,永功里,10,4562,76,2812,10,8,34,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
中正區,永昌里,8,3638,60,2562,14,12,28,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
中正區,河堤里,10,2844,90,2460,26,4,28,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
中正區,網溪里,24,3950,86,3090,10,8,48,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
中正區,螢圃里,8,3522,70,2918,2,10,58,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
中正區,螢雪里,12,3128,56,2396,8,10,30,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
中正區,頂東里,16,4186,78,2994,16,0,56,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
中正區,黎明里,6,1740,38,1538,4,2,10,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
中正區,龍光里,6,2172,28,1662,4,6,26,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
中正區,龍福里,12,3926,60,2920,12,2,34,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
中正區,龍興里,12,2732,32,1792,10,10,24,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
信義區,三張里,28,5614,104,5200,12,6,68,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
信義區,三犁里,4,3160,62,2838,6,8,40,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
信義區,中坡里,6,3244,72,2390,8,4,26,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
信義區,中興里,4,1908,34,1636,4,4,14,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
信義區,中行里,12,5968,122,3684,22,12,54,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
信義區,五全里,16,3912,60,2340,8,6,24,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
信義區,五常里,10,2624,38,1814,2,2,20,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
