行政區別,村里別,宋楚瑜/徐欣瑩,朱立倫/王如玄,蔡英文/陳建仁,有效票數A,無效票數B,投票數C,已領未投票數D,發出票數E,用餘票數F,選舉人數G,投票率H
總計,,206864,438392,1341216,1986472,24914,2011386,0,2011386,1045106,3056492,65.81
新營區,,9156,19622,48410,77188,974,78162,0,78162,45882,124044,63.01
,忠政里,624,1980,3178,5782,70,5852,0,5852,3296,9148,63.97
,民權里,310,966,1642,2918,28,2946,0,2946,1774,4720,62.42
,三仙里,378,964,2106,3448,42,3490,0,3490,2084,5574,62.61
,好平里,144,208,586,938,14,952,0,952,592,1544,61.66
,延平里,140,326,948,1414,24,1438,0,1438,818,2256,63.74
,永生里,152,340,724,1216,12,1228,0,1228,666,1894,64.84
,大宏里,398,1054,2366,3818,44,3862,0,3862,2090,5952,64.89
,王公里,488,1356,3046,4890,70,4960,0,4960,3018,7978,62.17
,中營里,200,348,890,1438,20,1458,0,1458,812,2270,64.23
,土庫里,192,280,1358,1830,30,1860,0,1860,976,2836,65.59
,興安里,84,100,336,520,4,524,0,524,254,778,67.35
,南興里,318,802,1762,2882,34,2916,0,2916,1938,4854,60.07
,興業里,224,616,974,1814,26,1840,0,1840,984,2824,65.16
,民生里,446,1014,2446,3906,54,3960,0,3960,2402,6362,62.24
,民榮里,652,1214,3254,5120,54,5174,0,5174,3348,8522,60.71
,埤寮里,238,388,1406,2032,24,2056,0,2056,1214,3270,62.87
,護鎮里,154,328,1252,1734,16,1750,0,1750,940,2690,65.06
,太南里,172,230,1330,1732,10,1742,0,1742,1106,2848,61.17
,太北里,198,288,1622,2108,22,2130,0,2130,1174,3304,64.47
,南紙里,714,1002,2494,4210,36,4246,0,4246,2718,6964,60.97
,嘉芳里,268,378,1476,2122,24,2146,0,2146,1280,3426,62.64
,舊廍里,36,60,320,416,8,424,0,424,182,606,69.97
,角帶里,74,94,330,498,8,506,0,506,328,834,60.67
,鐵線里,70,164,688,922,16,938,0,938,478,1416,66.24
,五興里,88,156,860,1104,22,1126,0,1126,736,1862,60.47
,姑爺里,44,104,578,726,6,732,0,732,360,1092,67.03
,新北里,706,1480,3170,5356,68,5424,0,5424,3352,8776,61.8
,新南里,698,1386,3256,5340,94,5434,0,5434,3124,8558,63.5
,新東里,946,1996,4012,6954,94,7048,0,7048,3838,10886,64.74
,總計,9156,19622,48410,77188,974,78162,0,78162,45882,124044,63.01
鹽水區,,2342,5060,19452,26854,392,27246,0,27246,16474,43720,62.32
,水秀里,192,390,1320,1902,14,1916,0,1916,1110,3026,63.32
,福得里,102,162,522,786,10,796,0,796,424,1220,65.25
,三生里,42,90,304,436,6,442,0,442,204,646,68.42
,武廟里,72,140,426,638,12,650,0,650,396,1046,62.14
,中境里,68,196,360,624,6,630,0,630,376,1006,62.62
,水仙里,44,110,286,440,4,444,0,444,246,690,64.35
,水正里,98,236,620,954,16,970,0,970,506,1476,65.72
,橋南里,422,892,2886,4200,64,4264,0,4264,2874,7138,59.74
,舊營里,64,96,798,958,18,976,0,976,554,1530,63.79
,汫水里,76,96,980,1152,20,1172,0,1172,738,1910,61.36
,岸內里,412,940,2846,4198,68,4266,0,4266,2534,6800,62.74
,義稠里,86,166,740,992,18,1010,0,1010,608,1618,62.42
,下中里,50,116,672,838,12,850,0,850,636,1486,57.2
,歡雅里,170,312,1496,1978,22,2000,0,2000,1322,3322,60.2
,大莊里,36,90,502,628,4,632,0,632,380,1012,62.45
,桐寮里,28,50,292,370,8,378,0,378,210,588,64.29
,後宅里,38,152,596,786,10,796,0,796,474,1270,62.68
,孫厝里,36,88,362,486,4,490,0,490,360,850,57.65
,竹埔里,48,124,812,984,22,1006,0,1006,578,1584,63.51
,下林里,28,48,410,486,2,488,0,488,252,740,65.95
,田寮里,20,46,268,334,6,340,0,340,152,492,69.11
,大豐里,34,62,302,398,0,398,0,398,268,666,59.76
,飯店里,60,108,338,506,6,512,0,512,290,802,63.84
,河南里,36,124,434,594,14,608,0,608,414,1022,59.49
,南港里,80,226,880,1186,26,1212,0,1212,568,1780,68.09
,總計,2342,5060,19452,26854,392,27246,0,27246,16474,43720,62.32
白河區,,2382,5946,21592,29920,502,30422,0,30422,19404,49826,61.06
,白河里,170,490,1422,2082,34,2116,0,2116,1278,3394,62.35
,永安里,252,766,2510,3528,46,3574,0,3574,2096,5670,63.03
,外角里,140,284,1202,1626,22,1648,0,1648,1072,2720,60.59
,庄內里,200,358,1370,1928,36,1964,0,1964,1204,3168,61.99
,秀祐里,82,194,760,1036,14,1050,0,1050,720,1770,59.32
,河東里,116,274,1214,1604,24,1628,0,1628,982,2610,62.38
,虎山里,40,96,410,546,14,560,0,560,346,906,61.81
,大林里,54,90,564,708,14,722,0,722,500,1222,59.08
,崁頭里,40,62,330,432,6,438,0,438,318,756,57.94
,六溪里,46,84,410,540,14,554,0,554,520,1074,51.58
,仙草里,148,470,980,1598,36,1634,0,1634,1158,2792,58.52
,關嶺里,118,266,838,1222,10,1232,0,1232,914,2146,57.41
,玉豐里,154,290,1056,1500,14,1514,0,1514,888,2402,63.03
,大竹里,128,348,1214,1690,30,1720,0,1720,1160,2880,59.72
,詔安里,56,148,784,988,20,1008,0,1008,674,1682,59.93
,廣安里,52,156,540,748,16,764,0,764,514,1278,59.78
,蓮潭里,76,168,914,1158,22,1180,0,1180,548,1728,68.29
,竹門里,78,266,718,1062,30,1092,0,1092,668,1760,62.05
,崎內里,64,226,556,846,10,856,0,856,606,1462,58.55
,昇安里,132,298,1234,1664,36,1700,0,1700,920,2620,64.89
,汴頭里,28,120,730,878,18,896,0,896,574,1470,60.95
,內角里,74,158,684,916,16,932,0,932,494,1426,65.36
,草店里,100,236,636,972,10,982,0,982,706,1688,58.18
,甘宅里,34,98,516,648,10,658,0,658,544,1202,54.74
,總計,2382,5946,21592,29920,502,30422,0,30422,19404,49826,61.06
柳營區,,2238,4504,16568,23310,332,23642,0,23642,13250,36892,64.08
,士林里,256,372,1380,2008,28,2036,0,2036,1168,3204,63.55
,光福里,284,538,1612,2434,26,2460,0,2460,1178,3638,67.62
,中埕里,104,208,706,1018,12,1030,0,1030,586,1616,63.74
,東昇里,352,696,2386,3434,36,3470,0,3470,1868,5338,65.01
,八翁里,164,338,1144,1646,36,1682,0,1682,944,2626,64.05
,人和里,148,200,646,994,18,1012,0,1012,498,1510,67.02
,太康里,170,402,1364,1936,28,1964,0,1964,1020,2984,65.82
,重溪里,188,402,1662,2252,36,2288,0,2288,1258,3546,64.52
,篤農里,108,314,1262,1684,28,1712,0,1712,906,2618,65.39
,大農里,58,168,580,806,24,830,0,830,504,1334,62.22
,神農里,84,286,1382,1752,28,1780,0,1780,1024,2804,63.48
,果毅里,130,214,1162,1506,14,1520,0,1520,928,2448,62.09
,旭山里,192,366,1282,1840,18,1858,0,1858,1368,3226,57.59
,總計,2238,4504,16568,23310,332,23642,0,23642,13250,36892,64.08
後壁區,,2190,4914,19460,26564,420,26984,0,26984,14836,41820,64.52
,後壁里,156,532,1406,2094,24,2118,0,2118,1132,3250,65.17
,侯伯里,176,296,1246,1718,20,1738,0,1738,898,2636,65.93
,嘉苳里,134,318,1116,1568,30,1598,0,1598,888,2486,64.28
,土溝里,148,246,1284,1678,20,1698,0,1698,906,2604,65.21
,嘉田里,82,178,1144,1404,22,1426,0,1426,826,2252,63.32
,嘉民里,94,212,1148,1454,28,1482,0,1482,806,2288,64.77
,菁豊里,78,172,638,888,12,900,0,900,578,1478,60.89
,崁頂里,40,94,424,558,12,570,0,570,356,926,61.56
,仕安里,40,110,492,642,6,648,0,648,416,1064,60.9
,竹新里,188,206,1530,1924,20,1944,0,1944,838,2782,69.88
,新東里,194,340,1480,2014,22,2036,0,2036,1204,3240,62.84
,頂安里,198,366,1020,1584,30,1614,0,1614,874,2488,64.87
,長安里,116,392,1034,1542,26,1568,0,1568,856,2424,64.69
,福安里,128,358,1008,1494,22,1516,0,1516,876,2392,63.38
,烏樹里,58,132,718,908,0,908,0,908,520,1428,63.59
,後廍里,72,106,334,512,22,534,0,534,340,874,61.1
,墨林里,52,206,650,908,18,926,0,926,510,1436,64.48
,菁寮里,26,132,318,476,8,484,0,484,276,760,63.68
,新嘉里,88,146,1036,1270,42,1312,0,1312,762,2074,63.26
,頂長里,34,104,542,680,12,692,0,692,304,996,69.48
,平安里,88,268,892,1248,24,1272,0,1272,670,1942,65.5
,總計,2190,4914,19460,26564,420,26984,0,26984,14836,41820,64.52
東山區,,2398,4200,14290,20888,290,21178,0,21178,15666,36844,57.48
,東山里,170,402,980,1552,12,1564,0,1564,1244,2808,55.7
,東中里,294,670,1876,2840,30,2870,0,2870,1874,4744,60.5
,東正里,170,302,1196,1668,16,1684,0,1684,1226,2910,57.87
,三榮里,102,152,812,1066,2,1068,0,1068,758,1826,58.49
,大客里,130,248,746,1124,18,1142,0,1142,1012,2154,53.02
,科里里,148,302,1064,1514,44,1558,0,1558,962,2520,61.83
,東河里,86,124,816,1026,14,1040,0,1040,714,1754,59.29
,南溪里,90,74,312,476,14,490,0,490,392,882,55.56
,水雲里,20,50,330,400,2,402,0,402,412,814,49.39
,林安里,34,60,336,430,10,440,0,440,280,720,61.11
,東原里,286,538,1538,2362,36,2398,0,2398,1954,4352,55.1
,嶺南里,64,128,522,714,10,724,0,724,692,1416,51.13
,南勢里,136,264,752,1152,6,1158,0,1158,1080,2238,51.74
,青山里,200,240,756,1196,12,1208,0,1208,926,2134,56.61
,高原里,228,250,556,1034,16,1050,0,1050,760,1810,58.01
,聖賢里,240,396,1698,2334,48,2382,0,2382,1380,3762,63.32
,總計,2398,4200,14290,20888,290,21178,0,21178,15666,36844,57.48
麻豆區,,3556,7468,39306,50330,682,51012,0,51012,22600,73612,69.3
,穀興里,52,144,742,938,8,946,0,946,360,1306,72.43
,保安里,68,116,584,768,4,772,0,772,296,1068,72.28
,東角里,334,604,2296,3234,40,3274,0,3274,1632,4906,66.73
,晉江里,198,572,2578,3348,36,3384,0,3384,1418,4802,70.47
,巷口里,180,436,1464,2080,32,2112,0,2112,976,3088,68.39
,中興里,190,516,1914,2620,42,2662,0,2662,1210,3872,68.75
,興農里,126,292,1528,1946,30,1976,0,1976,914,2890,68.37
,新建里,94,224,1206,1524,22,1546,0,1546,698,2244,68.89
,油車里,362,656,3698,4716,30,4746,0,4746,2020,6766,70.14
,北勢里,72,116,1300,1488,22,1510,0,1510,742,2252,67.05
,大埕里,322,640,2738,3700,52,3752,0,3752,1650,5402,69.46
,總榮里,64,208,658,930,8,938,0,938,342,1280,73.28
,龍泉里,52,112,936,1100,8,1108,0,1108,430,1538,72.04
,南勢里,278,642,1978,2898,28,2926,0,2926,1524,4450,65.75
,寮廍里,136,228,1786,2150,58,2208,0,2208,984,3192,69.17
,小埤里,88,158,1106,1352,24,1376,0,1376,556,1932,71.22
,埤頭里,84,170,1460,1714,34,1748,0,1748,880,2628,66.51
,大山里,56,92,650,798,16,814,0,814,360,1174,69.34
,海埔里,76,192,1062,1330,24,1354,0,1354,642,1996,67.84
,莊禮里,62,62,540,664,10,674,0,674,304,978,68.92
,港尾里,114,248,1240,1602,30,1632,0,1632,788,2420,67.44
,麻口里,96,150,1168,1414,18,1432,0,1432,664,2096,68.32
,安東里,48,140,652,840,10,850,0,850,368,1218,69.79
,安業里,50,90,756,896,8,904,0,904,326,1230,73.5
,安西里,40,94,904,1038,28,1066,0,1066,372,1438,74.13
