行政區別,村里別,俄鄧．殷艾 Eteng．Ingay,吳春芳,唐惠美,李惠民,林偕文,林志強,林欽明,江愛珍,王仙蓮,王義雄,范織欽 Pasulang．Tomatalate,蔣正仁,蘇佐揚,詹金福,陳姿伶 Amuy ．Muwakay,陳幸富,陳榮基,有效票數A,無效票數B,投票數C,已領未投票數D,發出票數E,用餘票數F,選舉人數G,投票率H
總計,,1270.0,0.0,2192.0,0.0,0.0,0.0,0.0,0.0,0.0,680.0,1200.0,0.0,0.0,746.0,0.0,0.0,0.0,6088.0,176.0,6264.0,0,6264.0,4162.0,10426.0,60.08
,,1270.0,0.0,2192.0,0.0,0.0,0.0,0.0,0.0,0.0,680.0,1200.0,0.0,0.0,746.0,0.0,0.0,0.0,6088.0,176.0,6264.0,0,6264.0,4162.0,10426.0,60.08
,忠政里,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,0,6.0,4.0,10.0,60.0
,忠政里,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,14.0,2.0,16.0,0,16.0,2.0,18.0,88.89
,民權里,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
,民權里,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
,三仙里,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0,2.0,0.0,2.0,100.0
,三仙里,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,6.0,0,6.0,4.0,10.0,60.0
,大宏里,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0,2.0,4.0,6.0,33.33
,大宏里,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,0,6.0,2.0,8.0,75.0
