行政區別,村里別,周可盛,柯文哲,楊秋興,連勝文,陳永昌,陳菊,馮光遠,有效票數A,無效票數B,投票數C,已領未投票數D,發出票數E,用餘票數F,選舉人數G,投票率H
,汴頭里,718,0,0,0,0,206,0,924,22,946,0,946,488,1434,65.97
,內角里,858,0,0,0,0,232,0,1090,30,1120,0,1120,318,1438,77.89
,草店里,780,0,0,0,0,410,0,1190,24,1214,0,1214,486,1700,71.41
,甘宅里,528,0,0,0,0,158,0,686,12,698,0,698,520,1218,57.31
,總計,24232,0,0,0,0,8910,0,33142,748,33890,0,33890,16186,50076,67.68
柳營區,,19472,0,0,0,0,6648,0,26120,770,26890,0,26890,9802,36692,73.29
,士林里,1492,0,0,0,0,464,0,1956,46,2002,0,2002,1218,3220,62.17
,光福里,1878,0,0,0,0,730,0,2608,80,2688,0,2688,1014,3702,72.61
,中埕里,846,0,0,0,0,298,0,1144,28,1172,0,1172,408,1580,74.18
,東昇里,2744,0,0,0,0,974,0,3718,104,3822,0,3822,1406,5228,73.11
,八翁里,1396,0,0,0,0,508,0,1904,64,1968,0,1968,638,2606,75.52
,人和里,680,0,0,0,0,272,0,952,30,982,0,982,532,1514,64.86
,太康里,1714,0,0,0,0,574,0,2288,64,2352,0,2352,638,2990,78.66
,重溪里,1902,0,0,0,0,680,0,2582,90,2672,0,2672,796,3468,77.05
,篤農里,1506,0,0,0,0,508,0,2014,68,2082,0,2082,594,2676,77.8
,大農里,650,0,0,0,0,204,0,854,26,880,0,880,428,1308,67.28
,神農里,1420,0,0,0,0,378,0,1798,52,1850,0,1850,956,2806,65.93
,果毅里,1494,0,0,0,0,306,0,1800,42,1842,0,1842,556,2398,76.81
,旭山里,1750,0,0,0,0,752,0,2502,76,2578,0,2578,618,3196,80.66
,總計,19472,0,0,0,0,6648,0,26120,770,26890,0,26890,9802,36692,73.29
後壁區,,21934,0,0,0,0,7090,0,29024,726,29750,0,29750,12092,41842,71.1
,後壁里,1566,0,0,0,0,762,0,2328,76,2404,0,2404,858,3262,73.7
,侯伯里,1350,0,0,0,0,440,0,1790,34,1824,0,1824,804,2628,69.41
,嘉苳里,1290,0,0,0,0,460,0,1750,40,1790,0,1790,692,2482,72.12
,土溝里,1536,0,0,0,0,396,0,1932,64,1996,0,1996,632,2628,75.95
,嘉田里,1228,0,0,0,0,206,0,1434,38,1472,0,1472,802,2274,64.73
,嘉民里,1384,0,0,0,0,316,0,1700,28,1728,0,1728,588,2316,74.61
,菁豊里,618,0,0,0,0,234,0,852,24,876,0,876,612,1488,58.87
,崁頂里,538,0,0,0,0,188,0,726,32,758,0,758,166,924,82.03
,仕安里,634,0,0,0,0,206,0,840,30,870,0,870,198,1068,81.46
,竹新里,1804,0,0,0,0,366,0,2170,44,2214,0,2214,580,2794,79.24
,新東里,1398,0,0,0,0,438,0,1836,26,1862,0,1862,1328,3190,58.37
,頂安里,1160,0,0,0,0,598,0,1758,32,1790,0,1790,656,2446,73.18
,長安里,1300,0,0,0,0,526,0,1826,58,1884,0,1884,554,2438,77.28
,福安里,1110,0,0,0,0,498,0,1608,34,1642,0,1642,726,2368,69.34
,烏樹里,758,0,0,0,0,142,0,900,12,912,0,912,526,1438,63.42
,後里,340,0,0,0,0,122,0,462,36,498,0,498,370,868,57.37
,墨林里,658,0,0,0,0,236,0,894,22,916,0,916,524,1440,63.61
,菁寮里,358,0,0,0,0,166,0,524,8,532,0,532,220,752,70.74
,新嘉里,1182,0,0,0,0,242,0,1424,30,1454,0,1454,616,2070,70.24
,頂長里,648,0,0,0,0,154,0,802,18,820,0,820,178,998,82.16
,平安里,1074,0,0,0,0,394,0,1468,40,1508,0,1508,462,1970,76.55
,總計,21934,0,0,0,0,7090,0,29024,726,29750,0,29750,12092,41842,71.1
東山區,,16272,0,0,0,0,6898,0,23170,590,23760,0,23760,13282,37042,64.14
,東山里,1338,0,0,0,0,558,0,1896,32,1928,0,1928,898,2826,68.22
,東中里,2118,0,0,0,0,918,0,3036,76,3112,0,3112,1684,4796,64.89
,東正里,1226,0,0,0,0,454,0,1680,40,1720,0,1720,1210,2930,58.7
,三榮里,802,0,0,0,0,248,0,1050,28,1078,0,1078,758,1836,58.71
,大客里,930,0,0,0,0,448,0,1378,46,1424,0,1424,746,2170,65.62
,科里里,1080,0,0,0,0,484,0,1564,54,1618,0,1618,886,2504,64.62
,東河里,834,0,0,0,0,180,0,1014,38,1052,0,1052,728,1780,59.1
,南溪里,370,0,0,0,0,132,0,502,20,522,0,522,348,870,60.0
,水雲里,354,0,0,0,0,56,0,410,14,424,0,424,382,806,52.61
,林安里,294,0,0,0,0,118,0,412,8,420,0,420,300,720,58.33
,東原里,1612,0,0,0,0,960,0,2572,64,2636,0,2636,1764,4400,59.91
,嶺南里,552,0,0,0,0,236,0,788,10,798,0,798,614,1412,56.52
,南勢里,1194,0,0,0,0,566,0,1760,36,1796,0,1796,464,2260,79.47
,青山里,908,0,0,0,0,492,0,1400,26,1426,0,1426,718,2144,66.51
,高原里,740,0,0,0,0,368,0,1108,24,1132,0,1132,700,1832,61.79
,聖賢里,1920,0,0,0,0,680,0,2600,74,2674,0,2674,1082,3756,71.19
,總計,16272,0,0,0,0,6898,0,23170,590,23760,0,23760,13282,37042,64.14
麻豆區,,40678,0,0,0,0,9498,0,50176,1172,51348,0,51348,21878,73226,70.12
,穀興里,710,0,0,0,0,188,0,898,12,910,0,910,394,1304,69.79
,保安里,610,0,0,0,0,174,0,784,16,800,0,800,266,1066,75.05
,東角里,2206,0,0,0,0,714,0,2920,78,2998,0,2998,1878,4876,61.48
,晋江里,2520,0,0,0,0,694,0,3214,56,3270,0,3270,1464,4734,69.07
,巷口里,1490,0,0,0,0,420,0,1910,56,1966,0,1966,1034,3000,65.53
,中興里,1918,0,0,0,0,656,0,2574,76,2650,0,2650,1204,3854,68.76
,興農里,1708,0,0,0,0,340,0,2048,34,2082,0,2082,834,2916,71.4
,新建里,1308,0,0,0,0,268,0,1576,26,1602,0,1602,628,2230,71.84
,油車里,3600,0,0,0,0,844,0,4444,92,4536,0,4536,2184,6720,67.5
,北勢里,1326,0,0,0,0,160,0,1486,40,1526,0,1526,688,2214,68.93
,大埕里,2832,0,0,0,0,868,0,3700,128,3828,0,3828,1552,5380,71.15
,總榮里,634,0,0,0,0,248,0,882,38,920,0,920,366,1286,71.54
,龍泉里,966,0,0,0,0,172,0,1138,20,1158,0,1158,370,1528,75.79
,南勢里,2100,0,0,0,0,822,0,2922,86,3008,0,3008,1398,4406,68.27
,寮里,1972,0,0,0,0,296,0,2268,30,2298,0,2298,910,3208,71.63
,小埤里,1254,0,0,0,0,206,0,1460,36,1496,0,1496,442,1938,77.19
,埤頭里,1666,0,0,0,0,286,0,1952,52,2004,0,2004,632,2636,76.02
