行政區別,村里別,璩美鳳,蘇煥智,蘇盈貴,陳其邁,陳永和,韓國瑜,有效票數A,無效票數B,投票數C,已領未投票數D,發出票數E,用餘票數F,選舉人數G,投票率H
總計,,168306,79556,90336,625748,234358,735036,1933340,47068,1980408,0,1980408,1113316,3093724,64.01
新營區,,8718,2896,3232,28240,6352,26924,76362,1792,78154,0,78154,47426,125580,62.23
,忠政里,510,146,210,2458,426,1558,5308,108,5416,0,5416,3788,9204,58.84
,民權里,206,96,146,1256,198,892,2794,60,2854,0,2854,1608,4462,63.96
,三仙里,420,122,182,1382,270,1308,3684,128,3812,0,3812,1790,5602,68.05
,大宏里,344,110,184,1368,282,1204,3492,50,3542,0,3542,2186,5728,61.84
,王公里,480,170,212,1974,446,1620,4902,90,4992,0,4992,3140,8132,61.39
,中營里,182,70,100,558,126,530,1566,28,1594,0,1594,722,2316,68.83
,土庫里,192,56,56,484,158,802,1748,38,1786,0,1786,1012,2798,63.83
,南興里,264,140,112,1100,196,1022,2834,62,2896,0,2896,1886,4782,60.56
,興業里,216,88,100,908,170,700,2182,36,2218,0,2218,1272,3490,63.55
,民生里,358,118,120,1282,308,1228,3414,60,3474,0,3474,2818,6292,55.21
,民榮里,630,160,196,1762,408,1832,4988,132,5120,0,5120,3422,8542,59.94
,埤寮里,286,132,72,626,156,876,2148,64,2212,0,2212,1050,3262,67.81
,護鎮里,190,42,72,482,108,652,1546,50,1596,0,1596,1078,2674,59.69
,太南里,256,98,96,508,132,1094,2184,92,2276,0,2276,1070,3346,68.02
,太北里,336,92,76,646,226,1012,2388,80,2468,0,2468,916,3384,72.93
,南紙里,606,156,90,1512,386,1450,4200,102,4302,0,4302,2836,7138,60.27
,嘉芳里,266,110,190,572,164,786,2088,38,2126,0,2126,1440,3566,59.62
,五興里,280,120,102,632,144,1042,2320,110,2430,0,2430,782,3212,75.65
,姑爺里,158,30,54,348,66,554,1210,26,1236,0,1236,610,1846,66.96
,新北里,568,168,208,2160,518,1600,5222,92,5314,0,5314,3820,9134,58.18
,新南里,616,206,204,1996,496,1706,5224,124,5348,0,5348,4030,9378,57.03
,新東里,928,322,254,2926,728,2164,7322,130,7452,0,7452,4394,11846,62.91
,永平里,426,144,196,1300,240,1292,3598,92,3690,0,3690,1756,5446,67.76
,總計,8718,2896,3232,28240,6352,26924,76362,1792,78154,0,78154,47426,125580,62.23
鹽水區,,3236,1388,1132,7962,1724,13110,28552,994,29546,0,29546,13558,43104,68.55
,水秀里,204,90,76,524,90,1032,2016,38,2054,0,2054,910,2964,69.3
,橋南里,516,176,142,1384,374,1706,4298,128,4426,0,4426,2834,7260,60.96
,汫水里,162,52,86,168,58,654,1180,56,1236,0,1236,570,1806,68.44
,岸內里,462,174,154,1416,298,1756,4260,106,4366,0,4366,2678,7044,61.98
,歡雅里,306,108,96,568,120,1060,2258,108,2366,0,2366,856,3222,73.43
,津城里,252,84,76,614,136,888,2050,62,2112,0,2112,726,2838,74.42
,月港里,198,140,96,764,144,776,2118,40,2158,0,2158,980,3138,68.77
,三明里,264,100,98,438,98,1216,2214,70,2284,0,2284,724,3008,75.93
,義中里,224,82,80,504,90,1048,2028,112,2140,0,2140,946,3086,69.35
,文昌里,132,56,90,340,56,614,1288,42,1330,0,1330,664,1994,66.7
