行政區別,村里別,宋楚瑜/徐欣瑩,朱立倫/王如玄,蔡英文/陳建仁,有效票數A,無效票數B,投票數C,已領未投票數D,發出票數E,用餘票數F,選舉人數G,投票率H
總計,,16802,25128,43316,85246,1286,86532,0,86532,81912,168444,51.37
馬公市,,10626,17072,26656,54354,752,55106,0,55106,43256,98362,56.02
,復興里,90,180,200,470,0,470,0,470,492,962,48.86
,長安里,126,226,316,668,8,676,0,676,438,1114,60.68
,中央里,84,168,364,616,2,618,0,618,448,1066,57.97
,啟明里,214,278,628,1120,8,1128,0,1128,658,1786,63.16
,重慶里,204,330,634,1168,10,1178,0,1178,826,2004,58.78
,中興里,186,314,370,870,10,880,0,880,634,1514,58.12
,光復里,332,758,1108,2198,20,2218,0,2218,1592,3810,58.22
,光榮里,990,1976,1522,4488,68,4556,0,4556,3242,7798,58.43
,光明里,280,496,550,1326,22,1348,0,1348,1202,2550,52.86
,朝陽里,1132,1862,2664,5658,84,5742,0,5742,4462,10204,56.27
,陽明里,396,822,1402,2620,32,2652,0,2652,2092,4744,55.9
,重光里,266,498,748,1512,32,1544,0,1544,1192,2736,56.43
,西衛里,1014,1722,2472,5208,72,5280,0,5280,3928,9208,57.34
,西文里,616,1034,1436,3086,50,3136,0,3136,2518,5654,55.47
,東文里,750,1014,1528,3292,48,3340,0,3340,2444,5784,57.75
,案山里,328,490,964,1782,40,1822,0,1822,1602,3424,53.21
,光華里,210,236,298,744,6,750,0,750,630,1380,54.35
,前寮里,174,244,530,948,14,962,0,962,674,1636,58.8
,石泉里,698,882,1122,2702,46,2748,0,2748,1880,4628,59.38
,菜園里,90,128,234,452,12,464,0,464,362,826,56.17
,東衛里,388,742,856,1986,32,2018,0,2018,1566,3584,56.31
,安宅里,68,202,354,624,2,626,0,626,462,1088,57.54
,烏崁里,156,196,700,1052,4,1056,0,1056,758,1814,58.21
,興仁里,216,278,566,1060,14,1074,0,1074,728,1802,59.6
,鐵線里,122,120,470,712,8,720,0,720,396,1116,64.52
,山水里,310,298,1150,1758,32,1790,0,1790,1436,3226,55.49
,鎖港里,348,472,1548,2368,32,2400,0,2400,2156,4556,52.68
,五德里,74,96,166,336,6,342,0,342,368,710,48.17
,井垵里,94,90,214,398,6,404,0,404,328,732,55.19
,嵵裡里,278,556,412,1246,12,1258,0,1258,1006,2264,55.57
,風櫃里,236,196,800,1232,12,1244,0,1244,1334,2578,48.25
,虎井里,76,144,260,480,8,488,0,488,1048,1536,31.77
,桶盤里,80,24,70,174,0,174,0,174,354,528,32.95
,總計,10626,17072,26656,54354,752,55106,0,55106,43256,98362,56.02
湖西鄉,,2128,3030,7434,12592,230,12822,0,12822,11528,24350,52.66
,湖西村,234,276,638,1148,16,1164,0,1164,952,2116,55.01
,湖東村,58,120,152,330,10,340,0,340,304,644,52.8
,青螺村,26,72,134,232,0,232,0,232,264,496,46.77
,白坑村,46,90,154,290,0,290,0,290,266,556,52.16
,南寮村,88,114,456,658,18,676,0,676,648,1324,51.06
,北寮村,60,98,214,372,2,374,0,374,252,626,59.74
,紅羅村,104,120,464,688,16,704,0,704,666,1370,51.39
,西溪村,128,130,308,566,12,578,0,578,644,1222,47.3
,成功村,186,160,376,722,10,732,0,732,620,1352,54.14
,東石村,16,26,92,134,4,138,0,138,136,274,50.36
,中西村,32,62,114,208,2,210,0,210,216,426,49.3
,潭邊村,56,112,184,352,8,360,0,360,182,542,66.42
,鼎灣村,106,130,202,438,10,448,0,448,934,1382,32.42
,許家村,64,96,108,268,4,272,0,272,218,490,55.51
,沙港村,98,158,624,880,14,894,0,894,710,1604,55.74
,城北村,56,88,144,288,4,292,0,292,222,514,56.81
,太武村,24,38,58,120,0,120,0,120,80,200,60.0
,隘門村,138,238,386,762,18,780,0,780,672,1452,53.72
,林投村,146,230,626,1002,24,1026,0,1026,824,1850,55.46
,尖山村,90,110,430,630,8,638,0,638,574,1212,52.64
,龍門村,272,422,1080,1774,36,1810,0,1810,1504,3314,54.62
,菓葉村,100,140,490,730,14,744,0,744,640,1384,53.76
,總計,2128,3030,7434,12592,230,12822,0,12822,11528,24350,52.66
白沙鄉,,1284,2310,3592,7186,80,7266,0,7266,9148,16414,44.27
,中屯村,100,182,276,558,0,558,0,558,408,966,57.76
,講美村,112,186,340,638,4,642,0,642,628,1270,50.55
,城前村,22,44,46,112,2,114,0,114,110,224,50.89
,鎮海村,10,90,68,168,0,168,0,168,142,310,54.19
,港子村,50,100,140,290,8,298,0,298,314,612,48.69
,岐頭村,36,72,90,198,6,204,0,204,254,458,44.54
,小赤村,34,54,70,158,2,160,0,160,172,332,48.19
,赤崁村,354,476,766,1596,20,1616,0,1616,1502,3118,51.83
,瓦硐村,42,112,118,272,6,278,0,278,288,566,49.12
,後寮村,80,108,386,574,2,576,0,576,772,1348,42.73
,通梁村,90,292,354,736,14,750,0,750,724,1474,50.88
,吉貝村,82,130,596,808,4,812,0,812,1836,2648,30.66
,鳥嶼村,206,318,150,674,8,682,0,682,1390,2072,32.92
,員貝村,30,102,54,186,4,190,0,190,278,468,40.6
,大倉村,36,44,138,218,0,218,0,218,330,548,39.78
,總計,1284,2310,3592,7186,80,7266,0,7266,9148,16414,44.27
西嶼鄉,,1216,1800,3750,6766,138,6904,0,6904,7384,14288,48.32
,橫礁村,74,72,160,306,10,316,0,316,236,552,57.25
,合界村,62,88,324,474,10,484,0,484,372,856,56.54
,小門村,42,168,52,262,2,264,0,264,300,564,46.81
,竹灣村,108,160,528,796,18,814,0,814,796,1610,50.56
,大池村,110,134,378,622,14,636,0,636,634,1270,50.08
