行政區別,村里別,1_柯文哲/吳欣盈,67_1_黨籍,2_賴清德/蕭美琴,67_2_黨籍,3_侯友宜/趙少康,67_3_黨籍,有效票數A,無效票數B,投票數C,已領未投票數D,發出票數E,用餘票數F,選舉人數G,投票率H
臺南市新營區,忠政里,1310,無黨籍及未經政黨推薦,2500,民主進步黨,2308,中國國民黨,6118,46,6164,0,6164,2600,8764,70.33
臺南市新營區,民權里,610,無黨籍及未經政黨推薦,1380,民主進步黨,1048,中國國民黨,3038,16,3054,0,3054,1254,4308,70.89
臺南市新營區,三仙里,806,無黨籍及未經政黨推薦,1750,民主進步黨,1188,中國國民黨,3744,42,3786,0,3786,1572,5358,70.66
臺南市新營區,大宏里,806,無黨籍及未經政黨推薦,1814,民主進步黨,1148,中國國民黨,3768,26,3794,0,3794,1584,5378,70.55
臺南市新營區,王公里,1278,無黨籍及未經政黨推薦,2266,民主進步黨,1802,中國國民黨,5346,28,5374,0,5374,2276,7650,70.25
臺南市新營區,中營里,396,無黨籍及未經政黨推薦,698,民主進步黨,440,中國國民黨,1534,14,1548,0,1548,588,2136,72.47
臺南市新營區,土庫里,418,無黨籍及未經政黨推薦,1026,民主進步黨,462,中國國民黨,1906,10,1916,0,1916,820,2736,70.03
臺南市新營區,南興里,660,無黨籍及未經政黨推薦,1320,民主進步黨,1010,中國國民黨,2990,24,3014,0,3014,1442,4456,67.64
臺南市新營區,興業里,572,無黨籍及未經政黨推薦,1004,民主進步黨,798,中國國民黨,2374,28,2402,0,2402,1006,3408,70.48
臺南市新營區,民生里,984,無黨籍及未經政黨推薦,1930,民主進步黨,1256,中國國民黨,4170,24,4194,0,4194,1886,6080,68.98
臺南市新營區,民榮里,1532,無黨籍及未經政黨推薦,2740,民主進步黨,1658,中國國民黨,5930,28,5958,0,5958,2708,8666,68.75
臺南市新營區,埤寮里,492,無黨籍及未經政黨推薦,1090,民主進步黨,554,中國國民黨,2136,14,2150,0,2150,966,3116,69.0
臺南市新營區,護鎮里,458,無黨籍及未經政黨推薦,948,民主進步黨,448,中國國民黨,1854,14,1868,0,1868,752,2620,71.3
臺南市新營區,太南里,508,無黨籍及未經政黨推薦,1246,民主進步黨,426,中國國民黨,2180,22,2202,0,2202,1138,3340,65.93
臺南市新營區,太北里,564,無黨籍及未經政黨推薦,1332,民主進步黨,516,中國國民黨,2412,22,2434,0,2434,924,3358,72.48
臺南市新營區,南紙里,1310,無黨籍及未經政黨推薦,2268,民主進步黨,1486,中國國民黨,5064,44,5108,0,5108,2074,7182,71.12
臺南市新營區,嘉芳里,700,無黨籍及未經政黨推薦,1222,民主進步黨,548,中國國民黨,2470,14,2484,0,2484,1160,3644,68.17
臺南市新營區,五興里,422,無黨籍及未經政黨推薦,1138,民主進步黨,400,中國國民黨,1960,28,1988,0,1988,972,2960,67.16
臺南市新營區,姑爺里,246,無黨籍及未經政黨推薦,654,民主進步黨,192,中國國民黨,1092,8,1100,0,1100,564,1664,66.11
臺南市新營區,新北里,2004,無黨籍及未經政黨推薦,2886,民主進步黨,2122,中國國民黨,7012,20,7032,0,7032,2770,9802,71.74
臺南市新營區,新南里,2160,無黨籍及未經政黨推薦,3308,民主進步黨,2158,中國國民黨,7626,38,7664,0,7664,2822,10486,73.09
臺南市新營區,新東里,2712,無黨籍及未經政黨推薦,3660,民主進步黨,2980,中國國民黨,9352,32,9384,0,9384,3374,12758,73.55
臺南市新營區,永平里,670,無黨籍及未經政黨推薦,1682,民主進步黨,1034,中國國民黨,3386,12,3398,0,3398,1438,4836,70.26
臺南市鹽水區,水秀里,454,無黨籍及未經政黨推薦,1146,民主進步黨,496,中國國民黨,2096,18,2114,0,2114,932,3046,69.4
臺南市鹽水區,橋南里,1128,無黨籍及未經政黨推薦,2444,民主進步黨,1168,中國國民黨,4740,32,4772,0,4772,2378,7150,66.74
臺南市鹽水區,汫水里,206,無黨籍及未經政黨推薦,758,民主進步黨,128,中國國民黨,1092,18,1110,0,1110,604,1714,64.76
臺南市鹽水區,岸內里,1266,無黨籍及未經政黨推薦,2574,民主進步黨,1244,中國國民黨,5084,24,5108,0,5108,2472,7580,67.39
臺南市鹽水區,歡雅里,436,無黨籍及未經政黨推薦,1144,民主進步黨,388,中國國民黨,1968,26,1994,0,1994,1108,3102,64.28
臺南市鹽水區,津城里,394,無黨籍及未經政黨推薦,1090,民主進步黨,452,中國國民黨,1936,20,1956,0,1956,810,2766,70.72
臺南市鹽水區,月港里,420,無黨籍及未經政黨推薦,1000,民主進步黨,646,中國國民黨,2066,14,2080,0,2080,910,2990,69.57
臺南市鹽水區,三明里,398,無黨籍及未經政黨推薦,1240,民主進步黨,326,中國國民黨,1964,28,1992,0,1992,924,2916,68.31
臺南市鹽水區,義中里,382,無黨籍及未經政黨推薦,1132,民主進步黨,424,中國國民黨,1938,14,1952,0,1952,1098,3050,64.0
臺南市鹽水區,文昌里,206,無黨籍及未經政黨推薦,720,民主進步黨,298,中國國民黨,1224,8,1232,0,1232,638,1870,65.88
臺南市鹽水區,竹林里,234,無黨籍及未經政黨推薦,910,民主進步黨,246,中國國民黨,1390,20,1410,0,1410,624,2034,69.32
臺南市鹽水區,三和里,212,無黨籍及未經政黨推薦,636,民主進步黨,244,中國國民黨,1092,22,1114,0,1114,592,1706,65.3
臺南市鹽水區,坔頭港里,376,無黨籍及未經政黨推薦,970,民主進步黨,398,中國國民黨,1744,18,1762,0,1762,822,2584,68.19
臺南市白河區,白河里,410,無黨籍及未經政黨推薦,1244,民主進步黨,548,中國國民黨,2202,14,2216,0,2216,1038,3254,68.1
臺南市白河區,永安里,796,無黨籍及未經政黨推薦,2158,民主進步黨,1036,中國國民黨,3990,34,4024,0,4024,1654,5678,70.87
臺南市白河區,外角里,382,無黨籍及未經政黨推薦,964,民主進步黨,342,中國國民黨,1688,12,1700,0,1700,966,2666,63.77
臺南市白河區,庄內里,442,無黨籍及未經政黨推薦,1226,民主進步黨,474,中國國民黨,2142,16,2158,0,2158,926,3084,69.97
臺南市白河區,秀祐里,274,無黨籍及未經政黨推薦,630,民主進步黨,292,中國國民黨,1196,12,1208,0,1208,522,1730,69.83
臺南市白河區,河東里,318,無黨籍及未經政黨推薦,972,民主進步黨,410,中國國民黨,1700,16,1716,0,1716,792,2508,68.42
臺南市白河區,虎山里,106,無黨籍及未經政黨推薦,320,民主進步黨,148,中國國民黨,574,4,578,0,578,252,830,69.64
臺南市白河區,大林里,120,無黨籍及未經政黨推薦,444,民主進步黨,98,中國國民黨,662,12,674,0,674,398,1072,62.87
臺南市白河區,崁頭里,72,無黨籍及未經政黨推薦,222,民主進步黨,98,中國國民黨,392,8,400,0,400,278,678,59.0
臺南市白河區,六溪里,68,無黨籍及未經政黨推薦,366,民主進步黨,110,中國國民黨,544,2,546,0,546,380,926,58.96
臺南市白河區,仙草里,184,無黨籍及未經政黨推薦,700,民主進步黨,390,中國國民黨,1274,18,1292,0,1292,884,2176,59.38
臺南市白河區,關嶺里,192,無黨籍及未經政黨推薦,638,民主進步黨,364,中國國民黨,1194,8,1202,0,1202,684,1886,63.73
臺南市白河區,大竹里,346,無黨籍及未經政黨推薦,916,民主進步黨,420,中國國民黨,1682,22,1704,0,1704,886,2590,65.79
臺南市白河區,竹門里,228,無黨籍及未經政黨推薦,560,民主進步黨,302,中國國民黨,1090,8,1098,0,1098,518,1616,67.95
臺南市白河區,崎內里,136,無黨籍及未經政黨推薦,432,民主進步黨,266,中國國民黨,834,12,846,0,846,492,1338,63.23
臺南市白河區,昇安里,416,無黨籍及未經政黨推薦,952,民主進步黨,390,中國國民黨,1758,28,1786,0,1786,770,2556,69.87
臺南市白河區,汴頭里,118,無黨籍及未經政黨推薦,562,民主進步黨,154,中國國民黨,834,6,840,0,840,494,1334,62.97
臺南市白河區,內角里,114,無黨籍及未經政黨推薦,494,民主進步黨,200,中國國民黨,808,8,816,0,816,404,1220,66.89
臺南市白河區,詔豐里,428,無黨籍及未經政黨推薦,1494,民主進步黨,508,中國國民黨,2430,32,2462,0,2462,1218,3680,66.9
臺南市白河區,廣蓮里,332,無黨籍及未經政黨推薦,1074,民主進步黨,448,中國國民黨,1854,26,1880,0,1880,890,2770,67.87
臺南市白河區,馬稠後里,266,無黨籍及未經政黨推薦,848,民主進步黨,390,中國國民黨,1504,28,1532,0,1532,902,2434,62.94
臺南市柳營區,士林里,598,無黨籍及未經政黨推薦,1292,民主進步黨,638,中國國民黨,2528,18,2546,0,2546,1090,3636,70.02
臺南市柳營區,光福里,486,無黨籍及未經政黨推薦,1142,民主進步黨,574,中國國民黨,2202,20,2222,0,2222,874,3096,71.77
臺南市柳營區,中埕里,440,無黨籍及未經政黨推薦,812,民主進步黨,350,中國國民黨,1602,24,1626,0,1626,690,2316,70.21
臺南市柳營區,東昇里,966,無黨籍及未經政黨推薦,2026,民主進步黨,932,中國國民黨,3924,40,3964,0,3964,1478,5442,72.84
