行政區別,村里別,1_宋楚瑜/余湘,67_1_黨籍,2_韓國瑜/張善政,67_2_黨籍,3_蔡英文/賴清德,67_3_黨籍,有效票數A,無效票數B,投票數C,已領未投票數D,發出票數E,用餘票數F,選舉人數G,投票率H
臺南市新營區,忠政里,234,親民黨,2892,中國國民黨,3664,民主進步黨,6790,60,6850,0,6850,2192,9042,75.76
臺南市新營區,民權里,114,親民黨,1276,中國國民黨,1918,民主進步黨,3308,40,3348,0,3348,1100,4448,75.27
臺南市新營區,三仙里,150,親民黨,1376,中國國民黨,2516,民主進步黨,4042,58,4100,0,4100,1488,5588,73.37
臺南市新營區,大宏里,162,親民黨,1454,中國國民黨,2546,民主進步黨,4162,48,4210,0,4210,1496,5706,73.78
臺南市新營區,王公里,246,親民黨,2052,中國國民黨,3590,民主進步黨,5888,78,5966,0,5966,1990,7956,74.99
臺南市新營區,中營里,72,親民黨,606,中國國民黨,1094,民主進步黨,1772,18,1790,0,1790,514,2304,77.69
臺南市新營區,土庫里,60,親民黨,596,中國國民黨,1464,民主進步黨,2120,20,2140,0,2140,658,2798,76.48
臺南市新營區,南興里,122,親民黨,1194,中國國民黨,2018,民主進步黨,3334,32,3366,0,3366,1358,4724,71.25
臺南市新營區,興業里,110,親民黨,996,中國國民黨,1398,民主進步黨,2504,42,2546,0,2546,876,3422,74.4
臺南市新營區,民生里,124,親民黨,1496,中國國民黨,2908,民主進步黨,4528,30,4558,0,4558,1736,6294,72.42
臺南市新營區,民榮里,214,親民黨,2024,中國國民黨,3970,民主進步黨,6208,76,6284,0,6284,2300,8584,73.21
臺南市新營區,埤寮里,96,親民黨,636,中國國民黨,1568,民主進步黨,2300,20,2320,0,2320,856,3176,73.05
臺南市新營區,護鎮里,68,親民黨,538,中國國民黨,1336,民主進步黨,1942,22,1964,0,1964,704,2668,73.61
臺南市新營區,太南里,62,親民黨,534,中國國民黨,1832,民主進步黨,2428,14,2442,0,2442,866,3308,73.82
臺南市新營區,太北里,70,親民黨,552,中國國民黨,1870,民主進步黨,2492,36,2528,0,2528,846,3374,74.93
臺南市新營區,南紙里,218,親民黨,1792,中國國民黨,3288,民主進步黨,5298,58,5356,0,5356,1814,7170,74.7
臺南市新營區,嘉芳里,96,親民黨,696,中國國民黨,1768,民主進步黨,2560,36,2596,0,2596,1006,3602,72.07
臺南市新營區,五興里,66,親民黨,532,中國國民黨,1610,民主進步黨,2208,38,2246,0,2246,854,3100,72.45
臺南市新營區,姑爺里,48,親民黨,296,中國國民黨,994,民主進步黨,1338,20,1358,0,1358,458,1816,74.78
臺南市新營區,新北里,254,親民黨,2468,中國國民黨,4156,民主進步黨,6878,82,6960,0,6960,2306,9266,75.11
