行政區別,村里別,宋楚瑜/徐欣瑩,朱立倫/王如玄,蔡英文/陳建仁,有效票數A,無效票數B,投票數C,已領未投票數D,發出票數E,用餘票數F,選舉人數G,投票率H
總計,,119020,189206,228046,536272,7606,543878,0,543878,281584,825462,65.89
竹北市,,33024,49884,76488,159396,2202,161598,0,161598,79290,240888,67.08
,斗崙里,2686,4670,6336,13692,194,13886,0,13886,6272,20158,68.89
,鹿場里,2078,3448,5162,10688,134,10822,0,10822,4528,15350,70.5
,東平里,2050,3196,6144,11390,170,11560,0,11560,5146,16706,69.2
,中興里,1350,2328,3540,7218,116,7334,0,7334,3280,10614,69.1
,隘口里,574,920,1364,2858,60,2918,0,2918,1224,4142,70.45
,東海里,998,1204,1538,3740,54,3794,0,3794,2320,6114,62.05
,竹北里,1568,2374,3046,6988,78,7066,0,7066,3814,10880,64.94
,竹仁里,2424,3832,4502,10758,148,10906,0,10906,5428,16334,66.77
,竹義里,1414,2122,3128,6664,80,6744,0,6744,4100,10844,62.19
,泰和里,1594,2156,2906,6656,86,6742,0,6742,3888,10630,63.42
,新社里,1884,2614,3618,8116,106,8222,0,8222,4692,12914,63.67
,聯興里,1138,1782,2672,5592,94,5686,0,5686,2770,8456,67.24
,麻園里,530,612,1286,2428,16,2444,0,2444,1158,3602,67.85
,溪州里,516,858,1624,2998,50,3048,0,3048,1434,4482,68.01
,白地里,496,658,1614,2768,36,2804,0,2804,1280,4084,68.66
,新港里,220,270,1082,1572,36,1608,0,1608,724,2332,68.95
,大義里,342,444,1252,2038,22,2060,0,2060,1018,3078,66.93
,崇義里,408,564,1550,2522,40,2562,0,2562,1122,3684,69.54
,大眉里,424,722,1030,2176,36,2212,0,2212,1092,3304,66.95
,尚義里,394,360,1298,2052,38,2090,0,2090,906,2996,69.76
,十興里,1678,2186,3916,7780,114,7894,0,7894,3780,11674,67.62
,新國里,1326,1884,2986,6196,58,6254,0,6254,3230,9484,65.94
,新庄里,222,404,750,1376,22,1398,0,1398,718,2116,66.07
,北崙里,1004,1616,2000,4620,68,4688,0,4688,2230,6918,67.77
,新崙里,1678,2092,3426,7196,100,7296,0,7296,3552,10848,67.26
,福德里,770,1460,1782,4012,54,4066,0,4066,2100,6166,65.94
,東興里,1304,1594,2596,5494,62,5556,0,5556,2792,8348,66.55
,北興里,324,432,880,1636,16,1652,0,1652,796,2448,67.48
,興安里,756,1620,1658,4034,54,4088,0,4088,2094,6182,66.13
,文化里,874,1462,1802,4138,60,4198,0,4198,1802,6000,69.97
,總計,33024,49884,76488,159396,2202,161598,0,161598,79290,240888,67.08
竹東鎮,,23622,36828,34260,94710,1318,96028,0,96028,52108,148136,64.82
,上坪里,148,134,126,408,6,414,0,414,244,658,62.92
,瑞峰里,110,208,220,538,8,546,0,546,292,838,65.16
,軟橋里,92,180,174,446,6,452,0,452,276,728,62.09
,員崠里,766,1034,906,2706,44,2750,0,2750,1554,4304,63.89
,東寧里,1080,1666,1328,4074,48,4122,0,4122,2188,6310,65.32
,上舘里,3192,4004,3430,10626,90,10716,0,10716,6338,17054,62.84
,大鄉里,1398,2136,1792,5326,62,5388,0,5388,3204,8592,62.71
,東華里,178,416,422,1016,10,1026,0,1026,446,1472,69.7
,商華里,838,1520,1120,3478,52,3530,0,3530,2454,5984,58.99
,竹東里,358,718,792,1868,26,1894,0,1894,784,2678,70.72
,榮樂里,406,784,640,1830,24,1854,0,1854,936,2790,66.45
,鷄林里,1168,2084,1584,4836,68,4904,0,4904,2560,7464,65.7
,仁愛里,1052,1540,1554,4146,60,4206,0,4206,2086,6292,66.85
,五豐里,2288,3274,3058,8620,118,8738,0,8738,5566,14304,61.09
,三重里,1860,2738,2892,7490,114,7604,0,7604,4142,11746,64.74
,頭重里,1288,2140,2200,5628,88,5716,0,5716,2714,8430,67.81
,員山里,576,866,978,2420,24,2444,0,2444,1124,3568,68.5
,柯湖里,174,250,398,822,14,836,0,836,396,1232,67.86
,二重里,2576,4154,4526,11256,166,11422,0,11422,6182,17604,64.88
,中山里,482,944,826,2252,44,2296,0,2296,1078,3374,68.05
,中正里,646,820,996,2462,32,2494,0,2494,1130,3624,68.82
,南華里,292,570,538,1400,20,1420,0,1420,714,2134,66.54
,榮華里,1986,3524,2722,8232,146,8378,0,8378,4310,12688,66.03
,忠孝里,430,842,736,2008,34,2042,0,2042,1058,3100,65.87
,陸豐里,238,282,302,822,14,836,0,836,332,1168,71.58
,總計,23622,36828,34260,94710,1318,96028,0,96028,52108,148136,64.82
新埔鎮,,7480,11982,18094,37556,490,38046,0,38046,18634,56680,67.12
,內立里,304,398,710,1412,24,1436,0,1436,842,2278,63.04
,寶石里,204,440,566,1210,16,1226,0,1226,534,1760,69.66
,文山里,1148,1874,2312,5334,52,5386,0,5386,2812,8198,65.7
,五埔里,604,760,1146,2510,34,2544,0,2544,1276,3820,66.6
,四座里,900,1266,2178,4344,54,4398,0,4398,2106,6504,67.62
,旱坑里,494,766,960,2220,38,2258,0,2258,1314,3572,63.21
,田新里,658,1210,1360,3228,38,3266,0,3266,1526,4792,68.16
,新埔里,204,568,556,1328,18,1346,0,1346,618,1964,68.53
,新生里,124,280,430,834,8,842,0,842,342,1184,71.11
,新民里,276,566,508,1350,28,1378,0,1378,734,2112,65.25
,上寮里,506,684,1190,2380,36,2416,0,2416,1224,3640,66.37
,下寮里,608,1010,1500,3118,44,3162,0,3162,1564,4726,66.91
,南平里,242,402,698,1342,24,1366,0,1366,648,2014,67.83
,北平里,168,218,488,874,8,882,0,882,400,1282,68.8
,巨埔里,260,362,958,1580,20,1600,0,1600,646,2246,71.24
,照門里,392,524,988,1904,12,1916,0,1916,996,2912,65.8
,清水里,114,138,416,668,14,682,0,682,260,942,72.4
,鹿鳴里,174,260,576,1010,10,1020,0,1020,464,1484,68.73
,新北里,100,256,554,910,12,922,0,922,328,1250,73.76
,總計,7480,11982,18094,37556,490,38046,0,38046,18634,56680,67.12
關西鎮,,6214,11908,14228,32350,526,32876,0,32876,16056,48932,67.19
,東興里,120,328,248,696,12,708,0,708,252,960,73.75
,西安里,522,1098,788,2408,36,2444,0,2444,1282,3726,65.59
,南雄里,194,388,438,1020,18,1038,0,1038,432,1470,70.61
,北斗里,876,1882,1952,4710,94,4804,0,4804,2290,7094,67.72
,仁安里,306,382,686,1374,18,1392,0,1392,750,2142,64.99
,北山里,172,372,508,1052,22,1074,0,1074,428,1502,71.5
,南山里,232,436,626,1294,20,1314,0,1314,758,2072,63.42
,東安里,864,1672,1924,4460,64,4524,0,4524,2474,6998,64.65
,東光里,312,604,798,1714,26,1740,0,1740,842,2582,67.39
,新富里,146,220,364,730,28,758,0,758,404,1162,65.23
,金山里,132,302,294,728,14,742,0,742,428,1170,63.42
,錦山里,246,418,558,1222,10,1232,0,1232,758,1990,61.91
,玉山里,134,214,270,618,10,628,0,628,326,954,65.83
,大同里,206,306,622,1134,14,1148,0,1148,444,1592,72.11
,石光里,458,922,1056,2436,30,2466,0,2466,1174,3640,67.75
,上林里,260,466,382,1108,14,1122,0,1122,490,1612,69.6
,新力里,162,254,356,772,10,782,0,782,296,1078,72.54
,南和里,232,360,562,1154,18,1172,0,1172,514,1686,69.51
,東山里,202,358,562,1122,24,1146,0,1146,540,1686,67.97
,南新里,238,456,578,1272,24,1296,0,1296,610,1906,68.0
,東平里,200,470,656,1326,20,1346,0,1346,564,1910,70.47
,總計,6214,11908,14228,32350,526,32876,0,32876,16056,48932,67.19
湖口鄉,,17068,28988,30068,76124,1066,77190,0,77190,42434,119624,64.53
,孝勢村,372,816,642,1830,34,1864,0,1864,836,2700,69.04
,仁勢村,218,446,418,1082,24,1106,0,1106,556,1662,66.55
,愛勢村,978,2070,2292,5340,58,5398,0,5398,2416,7814,69.08
,信勢村,1342,2154,2560,6056,66,6122,0,6122,3716,9838,62.23
,中勢村,776,1252,1396,3424,54,3478,0,3478,1698,5176,67.19
,德盛村,1292,1974,2342,5608,58,5666,0,5666,3054,8720,64.98
,和興村,640,1208,1774,3622,60,3682,0,3682,1862,5544,66.41
,長嶺村,820,1420,1508,3748,48,3796,0,3796,1960,5756,65.95
,長安村,342,440,728,1510,34,1544,0,1544,662,2206,69.99
,湖口村,682,1298,1430,3410,46,3456,0,3456,1846,5302,65.18
,湖鏡村,672,1382,992,3046,56,3102,0,3102,1498,4600,67.43
,湖南村,440,838,712,1990,24,2014,0,2014,1006,3020,66.69
,波羅村,710,764,1164,2638,46,2684,0,2684,1624,4308,62.3
,鳳凰村,1266,2018,2314,5598,80,5678,0,5678,4006,9684,58.63
,鳳山村,1018,1612,1246,3876,56,3932,0,3932,2292,6224,63.17
,中興村,1616,2904,2006,6526,102,6628,0,6628,4370,10998,60.27
,信義村,920,1348,1558,3826,50,3876,0,3876,2138,6014,64.45
,中正村,664,1354,1422,3440,44,3484,0,3484,1308,4792,72.7
,東興村,1192,1682,2044,4918,60,4978,0,4978,2664,7642,65.14
,勝利村,1108,2008,1520,4636,66,4702,0,4702,2922,7624,61.67
,總計,17068,28988,30068,76124,1066,77190,0,77190,42434,119624,64.53
新豐鄉,,12298,18064,23996,54358,728,55086,0,55086,30096,85182,64.67
,福興村,276,428,730,1434,14,1448,0,1448,686,2134,67.85
,後湖村,482,674,1082,2238,52,2290,0,2290,1170,3460,66.18
,青埔村,538,790,990,2318,24,2342,0,2342,1072,3414,68.6
,埔和村,586,706,1982,3274,22,3296,0,3296,1900,5196,63.43
,瑞興村,526,568,1008,2102,20,2122,0,2122,1218,3340,63.53
,坡頭村,158,270,618,1046,20,1066,0,1066,588,1654,64.45
,中崙村,960,1272,1554,3786,72,3858,0,3858,2154,6012,64.17
