行政區別,村里別,宋楚瑜/徐欣瑩,朱立倫/王如玄,蔡英文/陳建仁,有效票數A,無效票數B,投票數C,已領未投票數D,發出票數E,用餘票數F,選舉人數G,投票率H
總計,,62938,130850,365826,559614,8590,568204,0,568204,293566,861770,65.93
太保市,,4818,9260,25918,39996,588,40584,0,40584,17218,57802,70.21
,太保里,360,914,1584,2858,44,2902,0,2902,1408,4310,67.33
,後庄里,72,132,464,668,10,678,0,678,284,962,70.48
,前潭里,204,468,1502,2174,22,2196,0,2196,768,2964,74.09
,後潭里,192,566,1462,2220,24,2244,0,2244,878,3122,71.88
,梅埔里,200,432,974,1606,20,1626,0,1626,598,2224,73.11
,春珠里,122,284,872,1278,22,1300,0,1300,582,1882,69.08
,崙頂里,120,394,724,1238,26,1264,0,1264,368,1632,77.45
,東勢里,288,542,1340,2170,30,2200,0,2200,864,3064,71.8
,新埤里,202,342,1204,1748,28,1776,0,1776,652,2428,73.15
,舊埤里,386,542,1772,2700,32,2732,0,2732,1354,4086,66.86
,田尾里,118,254,598,970,32,1002,0,1002,420,1422,70.46
,港尾里,94,188,596,878,18,896,0,896,246,1142,78.46
,過溝里,432,788,2620,3840,66,3906,0,3906,1778,5684,68.72
,麻寮里,718,1152,3412,5282,80,5362,0,5362,2528,7890,67.96
,南新里,274,474,1752,2500,24,2524,0,2524,986,3510,71.91
,北新里,482,692,2572,3746,50,3796,0,3796,1808,5604,67.74
,埤鄉里,168,200,650,1018,22,1040,0,1040,342,1382,75.25
,安仁里,386,896,1820,3102,38,3140,0,3140,1354,4494,69.87
,總計,4818,9260,25918,39996,588,40584,0,40584,17218,57802,70.21
朴子市,,4866,10884,29830,45580,644,46224,0,46224,21266,67490,68.49
,安福里,298,758,1346,2402,44,2446,0,2446,1258,3704,66.04
,平和里,324,802,1690,2816,32,2848,0,2848,1276,4124,69.06
,內厝里,138,236,1026,1400,14,1414,0,1414,616,2030,69.66
,開元里,50,132,404,586,10,596,0,596,236,832,71.63
,順天里,86,262,516,864,10,874,0,874,374,1248,70.03
,中正里,94,272,590,956,14,970,0,970,436,1406,68.99
,博厚里,124,222,612,958,16,974,0,974,458,1432,68.02
,文化里,224,648,1526,2398,10,2408,0,2408,1008,3416,70.49
,永和里,354,756,2082,3192,26,3218,0,3218,1638,4856,66.27
,竹圍里,600,1536,3276,5412,60,5472,0,5472,2452,7924,69.06
,新寮里,118,228,586,932,14,946,0,946,410,1356,69.76
,双溪里,110,188,568,866,12,878,0,878,396,1274,68.92
,溪口里,118,244,730,1092,22,1114,0,1114,458,1572,70.87
,德興里,86,244,1116,1446,24,1470,0,1470,628,2098,70.07
,仁和里,296,444,1260,2000,10,2010,0,2010,1054,3064,65.6
,大鄉里,432,966,2672,4070,52,4122,0,4122,1902,6024,68.43
,大葛里,460,938,2240,3638,54,3692,0,3692,1712,5404,68.32
,佳禾里,114,222,622,958,18,976,0,976,382,1358,71.87
,竹村里,150,302,872,1324,34,1358,0,1358,708,2066,65.73
,崁前里,104,164,900,1168,30,1198,0,1198,608,1806,66.33
,順安里,24,86,210,320,6,326,0,326,174,500,65.2
,崁後里,116,182,716,1014,26,1040,0,1040,450,1490,69.8
,德家里,68,226,754,1048,34,1082,0,1082,448,1530,70.72
,新庄里,110,246,602,958,14,972,0,972,434,1406,69.13
,梅華里,128,236,1034,1398,18,1416,0,1416,622,2038,69.48
,松華里,102,268,1286,1656,28,1684,0,1684,806,2490,67.63
,南竹里,38,76,594,708,12,720,0,720,322,1042,69.1
,總計,4866,10884,29830,45580,644,46224,0,46224,21266,67490,68.49
