行政區別,村里別,宋楚瑜/徐欣瑩,朱立倫/王如玄,蔡英文/陳建仁,有效票數A,無效票數B,投票數C,已領未投票數D,發出票數E,用餘票數F,選舉人數G,投票率H
總計,,72396,143542,226772,442710,6276,448986,0,448986,208174,657160,68.32
東區,,34034,73192,99624,206850,3166,210016,0,210016,94004,304020,69.08
,南門里,138,224,574,936,16,952,0,952,448,1400,68.0
,福德里,242,642,946,1830,26,1856,0,1856,888,2744,67.64
,南市里,168,302,756,1226,16,1242,0,1242,518,1760,70.57
,關帝里,86,158,490,734,16,750,0,750,304,1054,71.16
,東門里,90,196,512,798,8,806,0,806,328,1134,71.08
,榮光里,56,126,242,424,0,424,0,424,210,634,66.88
,成功里,118,230,520,868,16,884,0,884,406,1290,68.53
,下竹里,144,212,338,694,6,700,0,700,310,1010,69.31
,竹蓮里,132,216,682,1030,16,1046,0,1046,436,1482,70.58
,寺前里,160,238,534,932,24,956,0,956,468,1424,67.13
,育賢里,186,388,550,1124,24,1148,0,1148,1650,2798,41.03
,中正里,84,206,462,752,6,758,0,758,344,1102,68.78
,公園里,618,1428,1942,3988,48,4036,0,4036,1790,5826,69.28
,頂竹里,556,1214,2110,3880,54,3934,0,3934,1824,5758,68.32
,南大里,320,538,1060,1918,38,1956,0,1956,862,2818,69.41
,振興里,1146,2140,3534,6820,80,6900,0,6900,3640,10540,65.46
,親仁里,374,982,786,2142,32,2174,0,2174,992,3166,68.67
,文華里,976,2132,2778,5886,104,5990,0,5990,2534,8524,70.27
,復中里,802,2048,2860,5710,88,5798,0,5798,2328,8126,71.35
,三民里,978,1960,3302,6240,64,6304,0,6304,2810,9114,69.17
,東園里,1060,2074,3374,6508,130,6638,0,6638,2896,9534,69.62
,東勢里,480,982,1604,3066,62,3128,0,3128,1198,4326,72.31
,光復里,472,988,1704,3164,40,3204,0,3204,1242,4446,72.06
,豐功里,860,2212,2548,5620,122,5742,0,5742,2400,8142,70.52
,武功里,888,3136,1248,5272,86,5358,0,5358,2104,7462,71.8
,綠水里,1158,2930,3692,7780,140,7920,0,7920,3450,11370,69.66
,東山里,660,1744,2018,4422,84,4506,0,4506,1678,6184,72.87
,光鎮里,752,1422,2244,4418,48,4466,0,4466,1980,6446,69.28
,新興里,618,1280,2242,4140,68,4208,0,4208,1684,5892,71.42
,柴橋里,1032,2166,3092,6290,100,6390,0,6390,2898,9288,68.8
,高峰里,1158,2390,3864,7412,110,7522,0,7522,3512,11034,68.17
,仙宮里,318,506,848,1672,28,1700,0,1700,640,2340,72.65
,光明里,580,1782,1588,3950,102,4052,0,4052,1686,5738,70.62
,立功里,282,632,318,1232,26,1258,0,1258,648,1906,66.0
