行政區別,村里別,璩美鳳,蘇煥智,蘇盈貴,陳其邁,陳永和,韓國瑜,有效票數A,無效票數B,投票數C,已領未投票數D,發出票數E,用餘票數F,選舉人數G,投票率H
,溪頭里,0,0,0,3256,0,3414,6670,180,6850,0,6850,3390,10240,66.89
,聯翠里,0,0,0,2302,0,1786,4088,102,4190,0,4190,2140,6330,66.19
,宏翠里,0,0,0,2758,0,2380,5138,128,5266,0,5266,3030,8296,63.48
,仁翠里,0,0,0,1320,0,1652,2972,80,3052,0,3052,1924,4976,61.33
,新翠里,0,0,0,4270,0,3916,8186,232,8418,0,8418,4864,13282,63.38
,吉翠里,0,0,0,2022,0,2232,4254,96,4350,0,4350,2084,6434,67.61
,德翠里,0,0,0,4416,0,3528,7944,162,8106,0,8106,3924,12030,67.38
,滿翠里,0,0,0,1570,0,2014,3584,104,3688,0,3688,1452,5140,71.75
,明翠里,0,0,0,2654,0,2712,5366,140,5506,0,5506,2760,8266,66.61
,松翠里,0,0,0,1766,0,1806,3572,104,3676,0,3676,2090,5766,63.75
,柏翠里,0,0,0,2334,0,2184,4518,106,4624,0,4624,2442,7066,65.44
,龍翠里,0,0,0,2638,0,2664,5302,162,5464,0,5464,3238,8702,62.79
,華翠里,0,0,0,2022,0,1950,3972,122,4094,0,4094,1938,6032,67.87
,忠翠里,0,0,0,6330,0,4684,11014,326,11340,0,11340,5666,17006,66.68
,嵐翠里,0,0,0,1276,0,1386,2662,82,2744,0,2744,1526,4270,64.26
,文翠里,0,0,0,2418,0,2296,4714,120,4834,0,4834,2168,7002,69.04
,青翠里,0,0,0,1600,0,1766,3366,82,3448,0,3448,1770,5218,66.08
,懷翠里,0,0,0,3142,0,3368,6510,176,6686,0,6686,3652,10338,64.67
,福翠里,0,0,0,826,0,716,1542,48,1590,0,1590,770,2360,67.37
,港嘴里,0,0,0,3424,0,3354,6778,162,6940,0,6940,3694,10634,65.26
,振興里,0,0,0,2596,0,2772,5368,110,5478,0,5478,2252,7730,70.87
,振義里,0,0,0,2302,0,2486,4788,152,4940,0,4940,2312,7252,68.12
,光復里,0,0,0,1776,0,1774,3550,98,3648,0,3648,2074,5722,63.75
,埔墘里,0,0,0,3768,0,3220,6988,194,7182,0,7182,3684,10866,66.1
,長壽里,0,0,0,1754,0,1634,3388,84,3472,0,3472,1540,5012,69.27
,福壽里,0,0,0,2236,0,1650,3886,82,3968,0,3968,1774,5742,69.1
,海山里,0,0,0,4540,0,3770,8310,196,8506,0,8506,3966,12472,68.2
,九如里,0,0,0,1552,0,1628,3180,90,3270,0,3270,1538,4808,68.01
,玉光里,0,0,0,2818,0,2528,5346,174,5520,0,5520,3300,8820,62.59
,光仁里,0,0,0,1680,0,1570,3250,84,3334,0,3334,1534,4868,68.49
,埤墘里,0,0,0,2434,0,2316,4750,110,4860,0,4860,2466,7326,66.34
,永安里,0,0,0,1976,0,1990,3966,106,4072,0,4072,1730,5802,70.18
,雙玉里,0,0,0,2264,0,2062,4326,116,4442,0,4442,2286,6728,66.02
,廣新里,0,0,0,1926,0,1794,3720,94,3814,0,3814,2120,5934,64.27
,深丘里,0,0,0,5002,0,3450,8452,184,8636,0,8636,5200,13836,62.42
,香丘里,0,0,0,2206,0,2006,4212,134,4346,0,4346,1830,6176,70.37
,西安里,0,0,0,1640,0,1402,3042,86,3128,0,3128,1494,4622,67.68
,東丘里,0,0,0,2480,0,2706,5186,124,5310,0,5310,2330,7640,69.5
,長安里,0,0,0,2562,0,2230,4792,168,4960,0,4960,2434,7394,67.08
,福丘里,0,0,0,3156,0,1906,5062,136,5198,0,5198,2698,7896,65.83
,福祿里,0,0,0,2490,0,1442,3932,110,4042,0,4042,2466,6508,62.11
,民族里,0,0,0,2808,0,2178,4986,142,5128,0,5128,2244,7372,69.56
,國泰里,0,0,0,2260,0,1464,3724,100,3824,0,3824,2170,5994,63.8
,福德里,0,0,0,3130,0,2616,5746,114,5860,0,5860,2802,8662,67.65
,景星里,0,0,0,2004,0,1496,3500,114,3614,0,3614,2290,5904,61.21
,福星里,0,0,0,2140,0,1816,3956,108,4064,0,4064,1912,5976,68.01
,鄉雲里,0,0,0,2362,0,1768,4130,126,4256,0,4256,2194,6450,65.98
,廣德里,0,0,0,4230,0,3138,7368,166,7534,0,7534,3890,11424,65.95
,大豐里,0,0,0,2906,0,2166,5072,158,5230,0,5230,2754,7984,65.51
,重慶里,0,0,0,5120,0,3896,9016,222,9238,0,9238,5314,14552,63.48
,仁愛里,0,0,0,2552,0,1408,3960,122,4082,0,4082,1398,5480,74.49
,和平里,0,0,0,2414,0,1310,3724,84,3808,0,3808,2316,6124,62.18
,廣福里,0,0,0,2168,0,1834,4002,68,4070,0,4070,2796,6866,59.28
,華興里,0,0,0,2478,0,1898,4376,84,4460,0,4460,2724,7184,62.08
,華貴里,0,0,0,1586,0,1352,2938,80,3018,0,3018,1510,4528,66.65
,華德里,0,0,0,4356,0,2952,7308,170,7478,0,7478,4584,12062,62.0
,華東里,0,0,0,4990,0,3038,8028,182,8210,0,8210,4542,12752,64.38
,信義里,0,0,0,2732,0,2100,4832,104,4936,0,4936,2360,7296,67.65
,浮洲里,0,0,0,2030,0,2304,4334,90,4424,0,4424,2072,6496,68.1
,華中里,0,0,0,2944,0,3108,6052,174,6226,0,6226,2992,9218,67.54
,僑中里,0,0,0,2590,0,2396,4986,152,5138,0,5138,2138,7276,70.62
,中山里,0,0,0,4030,0,3118,7148,148,7296,0,7296,3372,10668,68.39
,復興里,0,0,0,692,0,462,1154,42,1196,0,1196,704,1900,62.95
,大安里,0,0,0,2446,0,2198,4644,98,4742,0,4742,2088,6830,69.43
,福安里,0,0,0,3006,0,2182,5188,86,5274,0,5274,3658,8932,59.05
,聚安里,0,0,0,3026,0,2980,6006,116,6122,0,6122,3090,9212,66.46
,龍安里,0,0,0,1686,0,1688,3374,74,3448,0,3448,1462,4910,70.22
,崑崙里,0,0,0,5494,0,4394,9888,244,10132,0,10132,6238,16370,61.89
,溪洲里,0,0,0,3140,0,2786,5926,146,6072,0,6072,3938,10010,60.66
,溪北里,0,0,0,2110,0,1808,3918,78,3996,0,3996,2026,6022,66.36
,香雅里,0,0,0,1512,0,1340,2852,76,2928,0,2928,1514,4442,65.92
,新生里,0,0,0,2582,0,2310,4892,136,5028,0,5028,2442,7470,67.31
,文德里,0,0,0,1906,0,1570,3476,98,3574,0,3574,1740,5314,67.26
,文化里,0,0,0,1792,0,1782,3574,82,3656,0,3656,2070,5726,63.85
,新海里,0,0,0,2066,0,2262,4328,134,4462,0,4462,1646,6108,73.05
,莒光里,0,0,0,1498,0,1710,3208,86,3294,0,3294,1540,4834,68.14
,富貴里,0,0,0,1500,0,1254,2754,54,2808,0,2808,1122,3930,71.45
,正泰里,0,0,0,1918,0,1706,3624,116,3740,0,3740,1494,5234,71.46
,民生里,0,0,0,1328,0,1306,2634,70,2704,0,2704,1132,3836,70.49
,後埔里,0,0,0,2480,0,1808,4288,126,4414,0,4414,2050,6464,68.29
,華福里,0,0,0,1498,0,1136,2634,52,2686,0,2686,948,3634,73.91
,堂春里,0,0,0,2290,0,2092,4382,108,4490,0,4490,2806,7296,61.54
,成和里,0,0,0,3144,0,2460,5604,134,5738,0,5738,5050,10788,53.19
,光榮里,0,0,0,1720,0,1206,2926,96,3022,0,3022,1512,4534,66.65
,民安里,0,0,0,1400,0,988,2388,62,2450,0,2450,1050,3500,70.0
,陽明里,0,0,0,1608,0,1532,3140,80,3220,0,3220,1584,4804,67.03
,朝陽里,0,0,0,1754,0,2138,3892,112,4004,0,4004,1884,5888,68.0
,松柏里,0,0,0,1368,0,1320,2688,68,2756,0,2756,1220,3976,69.32
,文聖里,0,0,0,1870,0,2066,3936,96,4032,0,4032,2606,6638,60.74
,居仁里,0,0,0,1906,0,1818,3724,88,3812,0,3812,1916,5728,66.55
,莊敬里,0,0,0,2440,0,1988,4428,102,4530,0,4530,2090,6620,68.43
,東安里,0,0,0,1202,0,1304,2506,62,2568,0,2568,1470,4038,63.6
,五權里,0,0,0,2564,0,2374,4938,120,5058,0,5058,2024,7082,71.42
,溪福里,0,0,0,7680,0,5848,13528,256,13784,0,13784,9288,23072,59.74
,大觀里,0,0,0,1734,0,1914,3648,104,3752,0,3752,2556,6308,59.48
,歡園里,0,0,0,640,0,768,1408,48,1456,0,1456,742,2198,66.24
,總計,0,0,0,309374,0,263810,573184,14518,587702,0,587702,309198,896900,65.53
三重區,,0,0,0,199850,0,201646,401496,10022,411518,0,411518,227102,638620,64.44
,大有里,0,0,0,2874,0,2904,5778,130,5908,0,5908,3364,9272,63.72
,二重里,0,0,0,788,0,994,1782,38,1820,0,1820,996,2816,64.63
,頂崁里,0,0,0,1124,0,1490,2614,80,2694,0,2694,1350,4044,66.62
,谷王里,0,0,0,620,0,652,1272,38,1310,0,1310,348,1658,79.01
,中興里,0,0,0,1940,0,2266,4206,92,4298,0,4298,2526,6824,62.98
,德厚里,0,0,0,244,0,312,556,12,568,0,568,132,700,81.14
,成功里,0,0,0,3854,0,3052,6906,134,7040,0,7040,3434,10474,67.21
,福祉里,0,0,0,3116,0,2886,6002,178,6180,0,6180,3068,9248,66.83
,福民里,0,0,0,1826,0,2024,3850,90,3940,0,3940,2100,6040,65.23
,過田里,0,0,0,3856,0,3132,6988,164,7152,0,7152,9420,16572,43.16
,錦田里,0,0,0,1086,0,1228,2314,52,2366,0,2366,1210,3576,66.16
,重明里,0,0,0,1900,0,1790,3690,106,3796,0,3796,2186,5982,63.46
,光田里,0,0,0,2678,0,2406,5084,152,5236,0,5236,2500,7736,67.68
,光陽里,0,0,0,3752,0,3532,7284,172,7456,0,7456,3502,10958,68.04
,田心里,0,0,0,2304,0,2524,4828,114,4942,0,4942,2274,7216,68.49
