行政區別,村里別,周可盛,柯文哲,楊秋興,連勝文,陳永昌,陳菊,馮光遠,有效票數A,無效票數B,投票數C,已領未投票數D,發出票數E,用餘票數F,選舉人數G,投票率H
總計,,1869548,0,1918604,0,0,44414,0,3832566,59560,3892126,0,3892126,2420678,6312804,61.65
板橋區,,288334,0,259804,0,0,6290,0,554428,8334,562762,0,562762,320304,883066,63.73
,留侯里,870,0,874,0,0,18,0,1762,34,1796,0,1796,902,2698,66.57
,流芳里,780,0,688,0,0,18,0,1486,22,1508,0,1508,994,2502,60.27
,赤松里,406,0,406,0,0,12,0,824,18,842,0,842,442,1284,65.58
,黃石里,612,0,524,0,0,14,0,1150,22,1172,0,1172,678,1850,63.35
,挹秀里,708,0,1072,0,0,18,0,1798,34,1832,0,1832,1076,2908,63.0
,湳興里,3002,0,2762,0,0,58,0,5822,86,5908,0,5908,3548,9456,62.48
,新興里,1656,0,1520,0,0,22,0,3198,38,3236,0,3236,2428,5664,57.13
,社後里,3266,0,3082,0,0,82,0,6430,80,6510,0,6510,9060,15570,41.81
,香社里,2874,0,2172,0,0,70,0,5116,76,5192,0,5192,2302,7494,69.28
,中正里,2338,0,2034,0,0,34,0,4406,54,4460,0,4460,3038,7498,59.48
,自強里,2572,0,3428,0,0,70,0,6070,82,6152,0,6152,2962,9114,67.5
,自立里,1734,0,1394,0,0,18,0,3146,36,3182,0,3182,1680,4862,65.45
,光華里,1438,0,1584,0,0,26,0,3048,58,3106,0,3106,1568,4674,66.45
,國光里,1220,0,3142,0,0,50,0,4412,52,4464,0,4464,2152,6616,67.47
,港尾里,1540,0,1510,0,0,26,0,3076,40,3116,0,3116,1700,4816,64.7
,金華里,2410,0,2086,0,0,44,0,4540,84,4624,0,4624,2224,6848,67.52
,港德里,3070,0,2352,0,0,64,0,5486,110,5596,0,5596,2916,8512,65.74
,民權里,1470,0,1634,0,0,34,0,3138,36,3174,0,3174,1480,4654,68.2
,建國里,2434,0,1974,0,0,76,0,4484,76,4560,0,4560,1812,6372,71.56
,漢生里,2210,0,2332,0,0,62,0,4604,74,4678,0,4678,2644,7322,63.89
,公舘里,2348,0,1900,0,0,68,0,4316,74,4390,0,4390,2280,6670,65.82
,新民里,2316,0,2238,0,0,56,0,4610,88,4698,0,4698,2628,7326,64.13
,幸福里,2492,0,2080,0,0,42,0,4614,96,4710,0,4710,2208,6918,68.08
,忠誠里,1200,0,3070,0,0,34,0,4304,78,4382,0,4382,2464,6846,64.01
,百壽里,1382,0,1196,0,0,38,0,2616,44,2660,0,2660,1318,3978,66.87
,介壽里,1796,0,1648,0,0,42,0,3486,68,3554,0,3554,1688,5242,67.8
,新埔里,1358,0,1244,0,0,44,0,2646,44,2690,0,2690,1108,3798,70.83
,華江里,3238,0,3486,0,0,82,0,6806,96,6902,0,6902,4410,11312,61.01
,江翠里,2916,0,2178,0,0,66,0,5160,78,5238,0,5238,3050,8288,63.2
,純翠里,3338,0,2416,0,0,50,0,5804,90,5894,0,5894,3370,9264,63.62
,溪頭里,3692,0,2822,0,0,78,0,6592,92,6684,0,6684,3476,10160,65.79
,聯翠里,1716,0,1580,0,0,36,0,3332,40,3372,0,3372,2840,6212,54.28
,宏翠里,2620,0,2256,0,0,54,0,4930,60,4990,0,4990,3206,8196,60.88
,仁翠里,2034,0,1140,0,0,36,0,3210,36,3246,0,3246,1916,5162,62.88
,新翠里,4124,0,3522,0,0,92,0,7738,102,7840,0,7840,5376,13216,59.32
,吉翠里,2600,0,1876,0,0,60,0,4536,86,4622,0,4622,1810,6432,71.86
,德翠里,4096,0,3984,0,0,72,0,8152,100,8252,0,8252,3572,11824,69.79
,滿翠里,2056,0,1294,0,0,34,0,3384,48,3432,0,3432,1858,5290,64.88
,明翠里,2926,0,2280,0,0,44,0,5250,42,5292,0,5292,3216,8508,62.2
,松翠里,1944,0,1440,0,0,24,0,3408,62,3470,0,3470,2444,5914,58.67
,柏翠里,2108,0,1730,0,0,50,0,3888,50,3938,0,3938,2804,6742,58.41
,龍翠里,3066,0,2436,0,0,60,0,5562,90,5652,0,5652,2912,8564,66.0
,華翠里,2094,0,1552,0,0,40,0,3686,50,3736,0,3736,2408,6144,60.81
,忠翠里,4868,0,5468,0,0,98,0,10434,124,10558,0,10558,5674,16232,65.04
,嵐翠里,1728,0,1218,0,0,40,0,2986,78,3064,0,3064,1386,4450,68.85
,文翠里,2282,0,1768,0,0,40,0,4090,58,4148,0,4148,2792,6940,59.77
,青翠里,1772,0,1176,0,0,24,0,2972,46,3018,0,3018,2234,5252,57.46
,懷翠里,3610,0,2514,0,0,64,0,6188,82,6270,0,6270,3990,10260,61.11
,福翠里,794,0,746,0,0,22,0,1562,46,1608,0,1608,836,2444,65.79
,港嘴里,3724,0,3044,0,0,84,0,6852,86,6938,0,6938,3754,10692,64.89
,振興里,3102,0,2392,0,0,58,0,5552,92,5644,0,5644,2098,7742,72.9
,振義里,2924,0,2070,0,0,76,0,5070,88,5158,0,5158,2092,7250,71.14
,光復里,1992,0,1704,0,0,42,0,3738,54,3792,0,3792,1670,5462,69.43
,埔墘里,3430,0,3200,0,0,76,0,6706,96,6802,0,6802,3876,10678,63.7
,長壽里,1826,0,1438,0,0,40,0,3304,50,3354,0,3354,1548,4902,68.42
,福壽里,1866,0,1950,0,0,46,0,3862,76,3938,0,3938,1830,5768,68.27
,海山里,3784,0,3680,0,0,70,0,7534,100,7634,0,7634,4868,12502,61.06
,九如里,1892,0,1396,0,0,32,0,3320,34,3354,0,3354,1436,4790,70.02
,玉光里,2820,0,2394,0,0,54,0,5268,96,5364,0,5364,3396,8760,61.23
,光仁里,1820,0,1368,0,0,42,0,3230,50,3280,0,3280,1652,4932,66.5
,埤墘里,2304,0,1906,0,0,68,0,4278,48,4326,0,4326,2632,6958,62.17
,永安里,1992,0,1610,0,0,34,0,3636,52,3688,0,3688,2192,5880,62.72
,雙玉里,2246,0,1684,0,0,34,0,3964,60,4024,0,4024,2400,6424,62.64
,廣新里,2048,0,1720,0,0,46,0,3814,62,3876,0,3876,2112,5988,64.73
,深丘里,3666,0,3902,0,0,84,0,7652,98,7750,0,7750,5610,13360,58.01
,香丘里,2334,0,1960,0,0,44,0,4338,82,4420,0,4420,1898,6318,69.96
,西安里,1450,0,1330,0,0,40,0,2820,54,2874,0,2874,1758,4632,62.05
,東丘里,2740,0,1944,0,0,32,0,4716,82,4798,0,4798,2908,7706,62.26
,長安里,2490,0,2228,0,0,44,0,4762,64,4826,0,4826,2506,7332,65.82
,福丘里,1890,0,2338,0,0,46,0,4274,66,4340,0,4340,3144,7484,57.99
,福祿里,1740,0,2086,0,0,44,0,3870,58,3928,0,3928,2634,6562,59.86
,民族里,2400,0,2284,0,0,54,0,4738,72,4810,0,4810,2334,7144,67.33
,國泰里,1750,0,1914,0,0,26,0,3690,40,3730,0,3730,2296,6026,61.9
,福德里,2878,0,2654,0,0,68,0,5600,66,5666,0,5666,2942,8608,65.82
,景星里,1732,0,1776,0,0,30,0,3538,64,3602,0,3602,2264,5866,61.4
,福星里,1956,0,1906,0,0,48,0,3910,74,3984,0,3984,1862,5846,68.15
,鄉雲里,1970,0,1956,0,0,36,0,3962,80,4042,0,4042,2264,6306,64.1
,廣德里,3396,0,3558,0,0,68,0,7022,90,7112,0,7112,3994,11106,64.04
