行政區別,村里別,宋楚瑜/徐欣瑩,朱立倫/王如玄,蔡英文/陳建仁,宋楚瑜/徐欣瑩_黨籍,朱立倫/王如玄_黨籍,蔡英文/陳建仁_黨籍
壽豐鄉,溪口村,168,580,388,親民黨,中國國民黨,民主進步黨
壽豐鄉,米棧村,42,188,86,親民黨,中國國民黨,民主進步黨
壽豐鄉,豐坪村,128,482,368,親民黨,中國國民黨,民主進步黨
壽豐鄉,豐山村,282,900,986,親民黨,中國國民黨,民主進步黨
壽豐鄉,豐裡村,222,718,588,親民黨,中國國民黨,民主進步黨
壽豐鄉,鹽寮村,90,282,202,親民黨,中國國民黨,民主進步黨
富里鄉,吳江村,88,230,156,親民黨,中國國民黨,民主進步黨
富里鄉,學田村,86,272,340,親民黨,中國國民黨,民主進步黨
富里鄉,富南村,54,202,222,親民黨,中國國民黨,民主進步黨
富里鄉,富里村,180,618,620,親民黨,中國國民黨,民主進步黨
富里鄉,新興村,50,304,198,親民黨,中國國民黨,民主進步黨
富里鄉,明里村,56,164,176,親民黨,中國國民黨,民主進步黨
富里鄉,東里村,150,386,364,親民黨,中國國民黨,民主進步黨
富里鄉,永豐村,62,238,166,親民黨,中國國民黨,民主進步黨
富里鄉,石牌村,126,416,340,親民黨,中國國民黨,民主進步黨
富里鄉,竹田村,174,600,340,親民黨,中國國民黨,民主進步黨
富里鄉,羅山村,98,188,156,親民黨,中國國民黨,民主進步黨
富里鄉,萬寧村,100,320,136,親民黨,中國國民黨,民主進步黨
富里鄉,豐南村,78,356,152,親民黨,中國國民黨,民主進步黨
新城鄉,佳林村,206,466,416,親民黨,中國國民黨,民主進步黨
新城鄉,北埔村,660,1922,1430,親民黨,中國國民黨,民主進步黨
新城鄉,嘉新村,208,816,376,親民黨,中國國民黨,民主進步黨
新城鄉,嘉里村,798,2072,1280,親民黨,中國國民黨,民主進步黨
新城鄉,大漢村,530,1528,700,親民黨,中國國民黨,民主進步黨
新城鄉,康樂村,420,1284,1082,親民黨,中國國民黨,民主進步黨
新城鄉,新城村,218,686,696,親民黨,中國國民黨,民主進步黨
新城鄉,順安村,120,326,684,親民黨,中國國民黨,民主進步黨
玉里鎮,三民里,94,342,484,親民黨,中國國民黨,民主進步黨
玉里鎮,中城里,800,2538,2252,親民黨,中國國民黨,民主進步黨
