行政區別,村里別,伍興明,林素美,簡智隆,蘇忠亮,許淑銀Otiam Cirig,陳秋英,陳長明,高小成Qaisul‧Tamapima,高毓真,伍興明_黨籍,林素美_黨籍,簡智隆_黨籍,蘇忠亮_黨籍,許淑銀Otiam Cirig_黨籍,陳秋英_黨籍,陳長明_黨籍,高小成Qaisul‧Tamapima_黨籍,高毓真_黨籍
光復鄉,北富村,4.0,,2.0,,,2.0,2.0,,,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
光復鄉,南富村,0.0,,4.0,,,0.0,4.0,,,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
光復鄉,大全村,0.0,,0.0,,,0.0,0.0,,,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
光復鄉,大同村,6.0,,6.0,,,6.0,6.0,,,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
光復鄉,大安村,2.0,,0.0,,,6.0,0.0,,,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
光復鄉,大富村,0.0,,2.0,,,0.0,0.0,,,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
光復鄉,大平村,4.0,,2.0,,,4.0,2.0,,,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
光復鄉,大興村,6.0,,0.0,,,0.0,2.0,,,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
光復鄉,大華村,2.0,,2.0,,,2.0,10.0,,,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
光復鄉,大豐村,4.0,,10.0,,,4.0,4.0,,,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
光復鄉,大進村,0.0,,4.0,,,0.0,2.0,,,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
光復鄉,大馬村,8.0,,4.0,,,18.0,4.0,,,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
光復鄉,東富村,2.0,,4.0,,,2.0,4.0,,,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
光復鄉,西富村,2.0,,0.0,,,2.0,2.0,,,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
卓溪鄉,卓清村,,,,524.0,,,,718.0,,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
卓溪鄉,卓溪村,,,,348.0,,,,458.0,,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
卓溪鄉,古風村,,,,628.0,,,,560.0,,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
卓溪鄉,太平村,,,,466.0,,,,388.0,,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
