行政區別,村里別,余夏夫,吳國民,周駿宥,哈尼．噶照Hani  Kacaw,曾志德,李正文,林正福,林聖富,林聖明,林莉芳,林高捷,笛布斯‧顗賚,羅名材Halu．Lihang,萬榮財Lafi‧Mayaw,蔡依靜Lamen‧Panay,謝東穎,賴國祥O‧SENG‧KATI,陳建忠,陳英妹,余夏夫_黨籍,吳國民_黨籍,周駿宥_黨籍,哈尼．噶照Hani  Kacaw_黨籍,曾志德_黨籍,李正文_黨籍,林正福_黨籍,林聖富_黨籍,林聖明_黨籍,林莉芳_黨籍,林高捷_黨籍,笛布斯‧顗賚_黨籍,羅名材Halu．Lihang_黨籍,萬榮財Lafi‧Mayaw_黨籍,蔡依靜Lamen‧Panay_黨籍,謝東穎_黨籍,賴國祥O‧SENG‧KATI_黨籍,陳建忠_黨籍,陳英妹_黨籍
光復鄉,大馬村,,12.0,,,4.0,,36.0,,,8.0,,,,86.0,696.0,,60.0,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨
光復鄉,東富村,,4.0,,,8.0,,64.0,,,16.0,,,,236.0,104.0,,682.0,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨
光復鄉,西富村,,6.0,,,12.0,,66.0,,,10.0,,,,266.0,148.0,,406.0,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨
卓溪鄉,卓清村,,,,8.0,,,,,2.0,,0.0,,,,,,,8.0,4.0,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨
卓溪鄉,卓溪村,,,,12.0,,,,,2.0,,0.0,,,,,,,16.0,16.0,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨
卓溪鄉,古風村,,,,12.0,,,,,6.0,,2.0,,,,,,,24.0,6.0,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨
卓溪鄉,太平村,,,,10.0,,,,,0.0,,0.0,,,,,,,2.0,4.0,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨
卓溪鄉,崙山村,,,,20.0,,,,,0.0,,0.0,,,,,,,2.0,2.0,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨
卓溪鄉,立山村,,,,14.0,,,,,2.0,,2.0,,,,,,,4.0,6.0,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨
吉安鄉,仁和村,124.0,,168.0,,,136.0,,14.0,,,,272.0,96.0,,,44.0,,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨
